page,1
ಪಂಚೇರುಗಲ್ಲು,"ವಸ್ತು, ದವಸ ಧಾನ್ಯಗಳನ್ನು ತಕ್ಕಡಿಯಲ್ಲಿಟ್ಟು ತೂಕ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ತಕ್ಕಡಿಯ ಒಂದು ಪರಡಿ/ತಟ್ಟೆಯಲ್ಲಿಟ್ಟು ತೂಕ ಮಾಡುವುದಕ್ಕೆ ಬಳಸುತ್ತಿದ್ದ ವಸ್ತು. ಇದು ಇವತ್ತಿನ ಐದು ಕಿ.ಗ್ರಾಂ ತೂಕವನ್ನು ಒಳಗೊಂಡಿದೆ. ಕಬ್ಬಿಣದ ತೂಕದ ಕಲ್ಲುಗಳು ಬಳಕೆಗೆ ಬರುವ ಪೂರ್ವದಲ್ಲಿ ಈ ಕಲ್ಲುಗಳನ್ನೇ ತೂಕ ಮಾಡಲು ಬಳಸಲಾಗುತ್ತಿತ್ತು. ಆಧುನಿಕ ತೂಕ ಪದ್ಧತಿಯ ಬಳಕೆ ಹೆಚ್ಚಾದ ಪರಿಣಾಮವಾಗಿ ಪಾರಂಪರಿಕವಾದ ತೂಕದ ಕಲ್ಲುಗಳ ಉಪಯೋಗ ಕಡಿಮೆಯಾಗಿದೆ."
ಪಡ್ಡಿನ ಹಂಚು/ಪಡ್ಡಂಚು,ಅಕ್ಕಿಯಿಂದ ತಯಾರಿಸುವ ಪಡ್ಡು ಎಂಬ ತಿಂಡಿಯನ್ನು ಬೇಯಿಸುವ ಹಂಚು. ವೃತ್ತಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಈ ಹಂಚುಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಇದರಲ್ಲಿ ಸುಮಾರು ಒಂದು ಇಂಚು ಆಳ ಒಂದೂವರೆ ಇಂಚು ವ್ಯಾಸದ (ಅಳತೆಯಲ್ಲಿ ಸ್ವಲ್ಪ ವ್ಯತ್ಯಾಸವಿದೆ) ಐದರಿಂದ ಹನ್ನೊಂದು ಗುಳಿಗಳಿರುತ್ತವೆ. ಇದರಲ್ಲಿ ಒಂದಿಷ್ಟು ಎಣ್ಣೆ ಹೊಯ್ದು ಪಡ್ಡನ್ನು ಬೇಯಿಸುತ್ತಾರೆ. ಇದನ್ನು ಬಳಪದ ಕಲ್ಲಿನಿಂದ ತಯಾರಿಸಿದ್ದಾರೆ. ಪಡ್ಡಿನ ಹಂಚುಗಳನ್ನು ಲೋಹದಿಂದಲೂ ನಿರ್ಮಿಸುತ್ತಾರೆ. ಇದರ ಬಳಕೆ ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ಹೆಚ್ಚು. ಬೆಸಸಂಖ್ಯೆಯ ಗುಳಿಗಳ ಹಂಚುಗಳೇ ಹೆಚ್ಚಾಗಿದ್ದರೂ ಅಪೂರ್ವವಾಗಿ ಸಮಸಂಖ್ಯೆಯ ಗುಳಿಗಳವೂ ಇವೆ.
ಪಾವು,ದವಸ ಧಾನ್ಯಗಳನ್ನು ಅಳತೆ ಮಾಡಲು ಬಳಸುತ್ತಿದ್ದ ಸಾಧನ. ಇದು ಸುಮಾರು ಅರ್ಧ ಅಡಿ ಎತ್ತರ ಮೂರು ಇಂಚು ವ್ಯಾಸವಿದೆ. ಇದರ ರಚನೆ ಮತ್ತು ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಹಲವು ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಸಾಮಾನ್ಯವಾಗಿ ಇದರ ಮೇಲ್ಭಾಗ ಮತ್ತು ತಳಭಾಗದಲ್ಲಿ ಒಂದು ಇಂಚು ಅಗಲದ ಪಟ್ಟಿಗಳನ್ನು ಹಾಕಿ ತಯಾರಿಸಿರುವುದು ಹೆಚ್ಚು. ಇದು ಸೇರಿನ ನಾಲ್ಕನೆಯ ಒಂದು ಭಾಗವಿದು. ಈ ಅಳತೆ ಮಾಪಕವನ್ನು ಅಡುಗೆಮನೆಯಲ್ಲೂ ವ್ಯಾಪಾರ ಕೇಂದ್ರಗಳಲ್ಲೂ ಬಳಸುತ್ತಿದ್ದರು. ಕಬ್ಬಿಣದ ತಗಡಿನಿಂದ ಇದನ್ನು ತಯಾರಿಸಿದ್ದಾರೆ.
ಪಿಕಾಸಿ/ಗುದ್ದಲಿ,"ಕೃಷಿ ಹಾಗೂ ಕಾರ್ಮಿಕ ಕೆಲಸಗಳಲ್ಲಿ ಬಳಕೆಯಾಗುವ ಒಂದು ಮುಖ್ಯವಾದ ಸಲಕರಣೆ. ಅಗತ್ಯಕ್ಕೆ ತಕ್ಕಂತೆ ಮಣ್ಣಿನ ಗುಂಡಿ ತೆಗೆಯಲು, ಸಸಿಗಳನ್ನು ಬೇರು ಸಹಿತ ಕೀಳಲು ಹಾಗೂ ನೇಗಿಲಿನಿಂದ ಉಳುಮೆ ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲದ ಸ್ಥಳವನ್ನು ಅಗೆಯಲು ಇದನ್ನು ಬಳಸಲಾಗುತ್ತದೆ. ಕಾರ್ಮಿಕರು ಪೈಪ್‌ಲೈನ್‌ಗಳ ಗುಂಡಿ ತೆಗೆಯಲು ಅಧಿಕವಾಗಿ ಬಳಸುತ್ತಾರೆ. ಇದರ ಎರಡು ತುದಿಗಳಲ್ಲೂ ಒಂದು ಇಂಚು ಅಗಲದ ಚೂಪಾದ ತುದಿಗಳಿದ್ದು ಮಧ್ಯಭಾಗದ ರಂಧ್ರದ ಮೂಲಕ ಹಿಡಿಕೆಯನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಮರದ ಹಿಡಿಕೆಯು ಸುಮಾರು ಎರಡು ಇಂಚು ದಪ್ಪ, ಮೂರು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಕಬ್ಬಿಣದಿಂದ ತಯಾರಿಸಲಾದ ಈ ಸಲಕರಣಿ ಜೆ.ಸಿ.ಬಿ. ಟ್ರ್ಯಾಕ್ಟರ್, ಟಿಲ್ಲರ್‌ಗಳು ಬಳಕೆಗೆ ಬಂದನಂತರವೂ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗದಿರುವುದು ಇದರ ಅಗತ್ಯದ ಬಗೆಗೆ ಬೆರಳುಮಾಡಿ ಯಂತ್ರಗಳ ಅಸಹಾಯಕ ಸ್ಥಿತಿಯನ್ನು ಅಣುಕಿಸುವಂತಿದೆ."
ಪುಚ್ಕೂಳಿ,"ಅತ್ಯಂತ ಕಿರುತೊರೆ/ಕಿರು ಕಾಲುವೆಗಳಲ್ಲಿ, ಹೊಂಡ/ಕಟ್ಟೆ/ಕೆರೆಗಳಿಂದ ಹರಿಯುವ ನೀರಲ್ಲಿನ ಮೀನುಗಳನ್ನು ಹಿಡಿಯಲು ಬಳಸುವ ಉಪಕರಣ. ವಿಶೇಷವಾಗಿ ಹತ್ತುಮೀನು ಹಾಗೂ ಏಡಿ ಹಿಡಿಯಲು ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದನ್ನು ಬಿದಿರ ಸೀಳುಗಳಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಇದು ಹಕ್ಕಿಗಳ ಪುಕ್ಕದ ಆಕಾರದಲ್ಲಿ ಇರುವುದರಿಂದ ಇದಕ್ಕೆ ಪುಚ್ಚ+ಕೂಳಿ= ಪುಚ್ಕುಳಿ ಎಂದು ಹೆಸರು. ತೆಂಗಿನ ಕಡ್ಡಿಗಳಿಂದ ಹೆಣೆದು ಇದನ್ನು ರಚಿಸುತ್ತಾರೆ. ಇದರ ಬಾಯಿ ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಮಧ್ಯೆ ಒಂದು ಕೋಲನ್ನು ಹಿಡಿಕೆಯಾಗಿ ಜೋಡಿಸಲಾಗಿರುತ್ತದೆ. ಹಿಂಭಾಗವನ್ನು ಜೋಡಿಸಿ ಕಟ್ಟಿದಾಗ ಅದು ಹಕ್ಕಿಯ ಪುಕ್ಕದಂತಿರುತ್ತದೆ. ಹರಿಯುವ ನೀರಲ್ಲಿ ಕೂಡಾ ಮೀನು ಹಿಡಿದುಕೊಳ್ಳಲು ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಒಂದು ಕೋಲನ್ನು ಇದರ ಮುಂಭಾಗಕ್ಕೆ ಅಡ್ಡವಾಗಿ ಕಟ್ಟುತ್ತಾರೆ. ಕಾಲುವೆಯ ಎರಡು ಬದಿಗಳಿಗೆ ಎರಡು ಗೂಟಗಳನ್ನು ನಾಟಿ ಅವಕ್ಕೆ ಪುಚ್ಕುಳಿಗೆ ಕಟ್ಟಿದ ಅಡ್ಡ ಕಟ್ಟಿಗೆಯನ್ನು ಕಟ್ಟಿ ಮೀನು ಹಿಡಿಯುತ್ತಾರೆ. ಅಂತೆಯೇ ಹಿಂದಿನ ಭಾಗದಲ್ಲಿ ಸಂಗ್ರಹಿತವಾಗುವ ಮೀನುಗಳನ್ನು ಇನ್ನೊಂದು ಚೀಲದಲ್ಲಿ ತುಂಬುವಂತೆ ಹಿಂಭಾಗಕ್ಕೆ ಚೀಲವನ್ನು ಕಟ್ಟುವುದೂ ಇದೆ. ಇತ್ತೀಚೆಗೆ ಪಾರಂಪರಿಕ ಕೆರೆ, ಕಟ್ಟೆ, ಬಾವಿಗಳು ನಿರ್ನಾಮವಾಗುತ್ತಿರುವುದರಿಂದ ಪುಚ್ಕುಳಿಯಂಥ ಸಲಕರಣೆಗಳು ಕಣ್ಮರೆಯಾಗುತ್ತಿವೆ. ಸರಕಾರದ ಪ್ರೋತ್ಸಾಹದಿಂದ ಮೀನು ಸಾಕಣೆ ಹೆಚ್ಚಿ ಮತ್ತೆ ಪುಚ್ಕುಳಿಗಳು ಚಾಲ್ತಿಗೆ ಬರುವ ಸಾಧ್ಯತೆಗಳಿವೆ."
ಪುರಾತನ ಇಟ್ಟಿಗೆ,"ಇದು ಶಾತವಾಹನರ ಕಾಲಕ್ಕೆ ಸೇರಿದ್ದು (ಸುಮಾರು ಎರಡನೇ ಶತಮಾನ). ಗೋಡೆಕಟ್ಟಲು ಬಳಸಿದ್ದ ಪರಿಕರ. ಇದು ಬಹಳ ದೊಡ್ಡಗಾತ್ರದ ಇಟ್ಟಿಗೆ. ಇದು ಸುಮಾರು ಇಪ್ಪತ್ತು ಇಂಚು ಉದ್ದ, ಸುಮಾರು ಹತ್ತು ಇಂಚು ಅಗಲ, ಸುಮಾರು ಐದು ಇಂಚು ದಪ್ಪವಾಗಿದೆ. ಇಟ್ಟಿಗೆಯನ್ನು ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸಲಾಗಿದೆ. ಈ ಇಟ್ಟಿಗೆಯು ಶಿವಮೊಗ್ಗ ಜಿಲ್ಲೆ ಶಿಕಾರಿಪುರ ತಾಲೂಕು ಈಸೂರು ಗ್ರಾಮದಲ್ಲಿ ದೊರೆತಿದೆ."
ಪೂಜಾಸಾಮಗ್ರಿಗಳು,"ಪೂಜಾಪರಿಕರಗಳು ಮತ್ತು ಪೂಜೆಗೂಳ್ಳುವ ವಸ್ತುಗಳನ್ನು ಈ ವಿಭಾಗದಲ್ಲಿ ಅಡಕಗೊಳಿಸಿದೆ. ಕಿಶೋರಿಯರಿಗಷ್ಟೆ ಸೀಮಿತವಾಗಿರುವ ಅಲ್ಲೆಪಿಲ್ಲೆಗಿಂಡಿ, ಗುಳ್ಳವ್ವನ ಬಾಗಿಲುಗಳಿಂದ ತೊಡಗಿ ಮನೆಗಳಲ್ಲಿ ಬಳಕೆಯಾಗುವ ತೂಗುದೀಪ, ಚೊಂಗ್ಯನ ಮಣೆ, ಕುಂಕುಮದ ಭರಣಿಗಳು; ಸಮಷ್ಟಿಬಳಕೆಗೆ ಒದಗುವ ವಿಭೂತಿ ಕರಡಿಗೆ, ಕೂರಿಗೆವ್ವ, ಎಳೆಗೌರಮ್ಮನ ಮೂರ್ತಿ, ಹರಕೆ ತೊಟ್ಟಿಲು ಮುಂತಾದವು ಒಳಗೊಂಡು ಯೋಗದಂಡ, ಡೋಣಿ, ಗುಗ್ಗುಳಕೊಡ, ಶಸ್ತ್ರ ಮುಂತಾದ ವಿಶಿಷ್ಟ ಧಾರ್ಮಿಕ ಸಾಮಗ್ರಿಗಳೂ ಈ ವಿಭಾಗದಲ್ಲಿ ಸೇರಿವೆ. ಜನಪದ ಮನಸ್ಸಿನ ಧಾರ್ಮಿಕ ಗತಿಸೂಚಕಗಳಾದ ಈ ವಿಭಾಗದ ವಸ್ತುಗಳು ಜನಪದರ ಮನೋವೈಜ್ಞಾನಿಕ ಬದುಕನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಅತ್ಯಗತ್ಯವಾಗಿವೆ. ಮುಂದಿನ ಸಂಪುಟಗಳಲ್ಲಿನ ಇಂಥವಸ್ತುಗಳ ಪರಿಚಯವೂ ಸೇರಿಕೊಂಡಾಗ ಓದುಗರಿಗೆ ಕರ್ನಾಟಕದ ಗ್ರಾಮೀಣ ಧಾರ್ಮಿಕ ಬದುಕನ್ನು ಅವು ಕಟ್ಟಿಕೊಡುವುದರಲ್ಲಿ ಸಂಶಯವಿಲ್ಲ."
ಪೆಟಾರಿ/ಟ್ರಂಕು,"ಬೇರೆ ಬೇರೆ ಗ್ರಾಮೀಣ ಕಸುಬುಗಳವರು ತಮ್ಮ ಪರಿಕರಗಳನ್ನು ಇಟ್ಟುಕೊಂಡು ಹೋಗಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಹದಿನೇಳುವರೆ ಇಂಚು ಉದ್ದ ಹನ್ನೊಂದೂವರೆ ಇಂಚು ಅಗಲ, ಐದು ಇಂಚು ಎತ್ತರ ಹೊಂದಿದೆ. ಇದಕ್ಕೆ ಮುಚ್ಚುವ ಮತ್ತು ತೆರೆಯುವ ವ್ಯವಸ್ಥೆ ಇದ್ದು ಬೀಗ ಹಾಕುವ ವ್ಯವಸ್ಥೆ ಕೂಡ ಇದೆ. ಮನೆಯಲ್ಲಿ ಬಟ್ಟೆ, ಕಾಗದ ಪತ್ರಗಳನ್ನು ಇಟ್ಟುಕೊಳ್ಳಲು ಬಳಸುತ್ತಾರೆ. ಲೋಹದಿಂದ ತಯಾರಿಸಿದ ಇವು ಈಗಲೂ ಬಳಕೆಯಲ್ಲಿವೆ."
page,2
