page,1
ಬಂಕ,"ಕೃಷಿಗೆ ಬಳಕೆಯಾಗುವ ಮಿಣಿ, ಹಗ್ಗ, ಬಾರುಕೋಲು ಇತ್ಯಾದಿಗಳನ್ನು ಗೆದ್ದಲು ತಿನ್ನದಂತೆ ಮತ್ತು ನಾಯಿಗಳಂಥ ಪ್ರಾಣಿಗಳು ಕಡಿಯದಂತೆ ಎತ್ತರದಲ್ಲಿ ತೂಗುಹಾಕಲು ಈ ಸಾಧನವು ಗ್ರಾಮೀಣರಲ್ಲಿ ಬಳಕೆಯಾಗುತ್ತದೆ. ಬಾಗಿದ ಬಿದಿರಿನಿಂದ ಇದನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಇದೇ ಉದ್ದೇಶಕ್ಕೆ ಅಪರೂಪವಾಗಿ ಜಿಂಕೆಯ ಕೊಂಬುಗಳು ಕೂಡ ಬಳಕೆಯಾಗುತ್ತವೆ."
ಬಂಟ,"ಎತ್ತಿನ ಗಾಡಿಯು ನಿಂತಿರುವ ಸಂದರ್ಭಗಳಲ್ಲಿ ಅದರ ಹೊರೆಯು ಎತ್ತುಗಳ ಮೇಲೆ ಬೀಳದಂತೆ ಮಾಡಲು ಈ ಸಾಧನವು ಬಳಕೆಯಾಗುತ್ತದೆ. ಮೂರಾಗಿ ಕವಲೊಡೆದು ಬೆಳೆದ ಮರದ ಕೊಂಬೆಯನ್ನಾಗಲಿ ಮರವನ್ನಾಗಲಿ ನಿರ್ದಿಷ್ಟ ಪ್ರಮಾಣಕ್ಕೆ ತುಂಡರಿಸಿಕೊಂಡು ಇದನ್ನು ತಯಾರು ಮಾಡಲಾಗುತ್ತದೆ. ಸುಮಾರು ಎರಡೂವರೆಯಿಂದ ಮೂರು ಅಡಿಗಳಷ್ಟು ಎತ್ತರವಿರುತ್ತದೆ. ಬಳಸುವಾಗ ಇದನ್ನು ತುದಿಕೆಳಗಾಗಿಟ್ಟು ಅದರ ಮೇಲೆ ಗಾಡಿಯ ಮೂಕಿಯು ನಿಲ್ಲುವಂತೆ ಇರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಅಪರೂಪಕ್ಕೆ ಬಂಟಕ್ಕೆ ಎರಡು ಕಾಲುಗಳಷ್ಟೇ ಇರುವುದೂ ಇದೆ. ಇದನ್ನು ನಾರುಳ್ಳ ಗಟ್ಟಿಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಹಳೆಕಾಲದ ಬಂಡಿಗಾಲಿಗಳ ಮುಂದೆ ಇದನ್ನಿಟ್ಟು, ಅಥವಾ ಹಟ್ಟಿಹಬ್ಬದಲ್ಲಿ ಇಟ್ಟು ಪೂಜೆ ಮಾಡುವುದು ರೂಢಿ."
ಬಟ್ಟೆ ಗೂಟ,"ಗೋಡೆಗಳ ನಿರ್ದಿಷ್ಟ ಎತ್ತರದಲ್ಲಿ ಬಟ್ಟೆಗಳನ್ನು, ಸಣ್ಣ ಚೀಲಗಳನ್ನು ನೇತು ಹಾಕಲು ಬಳಸುವ ಸಾಧನ. ಇದರಲ್ಲಿ ಪಟ್ಟಿ ಮತ್ತು ಗೂಟ ಎಂಬ ಎರಡು ಮುಖ್ಯ ಭಾಗಗಳಿರುತ್ತವೆ. ಗೂಟಗಳ ಸಂಖ್ಯೆಯು ಅಗತ್ಯಾನುಸಾರ ವ್ಯತ್ಯಾಸವಾಗುತ್ತದೆ. ಬಟ್ಟೆಗೂಟದ ಪಟ್ಟಿಯನ್ನು ಮೊಳೆಗಳಿಂದ ಗೋಡೆಗೆ ಭದ್ರವಾಗಿ ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಲೋಹ, ಪ್ಲಾಸ್ಟಿಕ್ ಹ್ಯಾಂಗರ್‌ಗಳು ಬಂದ ನಂತರ ಮರದ ಬಟ್ಟೆಗೂಟಗಳು ಮರೆಯಾಗುತ್ತಿವೆ."
ಬಂಡಿಗಾಲಿ (ಬೆಲ್ಲದ ಬಂಡಿಗಾಲಿ),"ವಿಶೇಷವಾಗಿ ಆಚರಣೆಯಲ್ಲಿ ಬಳಕೆಯಗುವ ಬಂಡಿಯ ಚಕ್ರಗಳು ಬಂಡಿಯನ್ನು ತಳಿರು, ತೋರಣ, ಬಾಳೆಗಿಡ, ಹೂಗಳಿಂದ ಶೃಂಗರಿಸಿ ಮೆರವಣಿಗೆ ಮಡುತ್ತಾರೆ. ಗಾಲಿಯ ಸುತ್ತಲೂ ಎಡೆಯಿಲ್ಲದೆ ಕಬ್ಬಿಣವನ್ನು ಹೆಚ್ಚು ಬಳಕೆಮಾಡಿ ರಚಿಸಿರುವ ಗಾಲಿ. ಚಕ್ಕಡಿಗಾಲಿಗಳ ಮಧ್ಯ ತುಂಬ ಖಾಲಿ ಎಡೆಗಳಿರುತ್ತವೆ. ಚಕ್ಕಡಿಗಾಲಿಗಿಂತ ಬಂಡಿಗಾಲಿಯು ಹೆಚ್ಚು ಭಾರವೂ ಗಟ್ಟಿಮುಟ್ಟಿನದೂ ಆಗಿರುತ್ತದೆ. ಗಾತ್ರದಲ್ಲಿ ಇದು ಚಕ್ಕಡಿಗಾಲಿಗಿಂತ ಸಣ್ಣದು."
ಬಡಿಮಣೆ/ಕೊಡತಿ/ಕೊಡಚಿ,"ಬಡಿಮಣೆ ಕಣದಲ್ಲಿ ಒಕ್ಕಲು ಸಂದರ್ಭದಲ್ಲಿ ಔಡಲ, ಕಡಲೆ ಮುಂತಾದುವನ್ನು ಬಡಿಯುವುದಕ್ಕೆ, ನೆಲಕಡಲೆ (ಬುಡ್ಡಿ) ಮುಂತಾದುವನ್ನು ಒಡೆಯುವುದಕ್ಕೆ ಬಳಸುವ ಸಾಧನ. ಒಂದು ಕೈಯಿಂದ ಸಲೀಸಾಗಿ ಎತ್ತಿ ಬೇಕಷ್ಟೇ ಬಲವಾಗಿ ಬಡಿಯುವುದಕ್ಕೂ ಅನುಕೂಲವಾಗುವಂತೆ ಇದರ ವಿನ್ಯಾಸ ಮತ್ತು ಭಾರವಿದೆ. ಅಪವಾದ ರೂಪದಲ್ಲಿ ನೆಲ/ಗೋಡೆಗಳನ್ನು ತಟ್ಟಿ ಸಮತಟ್ಟು ಮಾಡುವುದಕ್ಕೂ ಇದನ್ನು ಬಳಸಲಾಗುತ್ತದೆ. ಇದರ ಹಿಂಭಾಗದಲ್ಲಿ ಒಂದು ಕೈಯೊಳಗೆ ಅಡಗುವಂತೆ ಹಿಡಿಕೆಯೂ ಅದರ ಮುಂಭಾಗದಲ್ಲಿ ಚಪ್ಪಟೆಯಾದ ಹಲಗೆಯ ಭಾಗವೂ ಇದೆ. ಇದನ್ನು ಹುಣಸೆ, ಕರಿಜಾಲಿ ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
ಬಲಿಯಾ,"ಲಂಬಾಣಿಗರ ಭಾಷೆಯಲ್ಲಿ ಬಲಿಯಾ ಎಂದರೆ ತೋಳಬಂದಿ ಎಂದರ್ಥ. ಲಂಬಾಣಿ ಮಹಿಳೆಯರು ತಮ್ಮ ತೋಳುಗಳಲ್ಲಿ ಇವನ್ನು ಧರಿಸುತ್ತಾರೆ. ಒಂದೊಂದು ತೋಳಿಗೆ ಎರಡೆರಡು ಬಳೆಗಳೆಂಬುದು ಲೆಕ್ಕ. ಈ ಬಳೆಗಳನ್ನು ತೊಡುವುದು ಅಲಂಕಾರಕ್ಕಾಗಿ ಎಂದು ಮೇಲು ನೋಟಕ್ಕೆ ಅನಿಸಿದರೂ ಇದು ಅವರ ಸಾಮಾಜಿಕ, ಧಾರ್ಮಿಕ ಕಟ್ಟು ಕಟ್ಟಳೆಯಂತೆ ತೋಳಲ್ಲಿ ಧರಿಸಲ್ಪಡುತ್ತದ. ಇವು ಇತರರ ತಾಳಿಗೆ/ಮಂಗಲಸೂತ್ರಕ್ಕೆ ಸಮಾನವಾದ ಸಂಕಲ್ಪದಿಂದ ಕೂಡಿದವು. ಮದುವೆಯಾದ ದಿನದಂದು ಗಂಡನ ಮನೆಯವರು ಕೊಡುವ ಇಂಥ ಐದು ಬಳೆಗಳಲ್ಲಿ ನಾಲ್ಕನ್ನು ವಿವಾಹಿತೆ ಧರಿಸಿದರೆ ಉಳಿದ ಒಂದನ್ನು ಅವಳ ತಾಯಿಗೆ ಕೊಡುವ ಸಂಪ್ರದಾಯವಿದೆ. ತಾಯಿಗೆ ಈ ಬಳೆಯು ಮಗಳನ್ನು ಕೊಟ್ಟುದಕ್ಕೆ ಪ್ರತಿಯಾಗಿ ನೀಡುವ ಕಾಣಿಕೆಯಾಗಿರುತ್ತದೆ. ತೋಳಿಗೆ ಈ ಬಳೆಯನ್ನು ಧರಿಸುವುದೆಂದರೆ ಗಂಡನೇ ತಾಳಿಕಟ್ಟಿದ್ದಕ್ಕೆ ಸಮಾನವಾಗುತ್ತದೆ. ಗಂಡ ಜೀವಂತವಿರುವ ತನಕ ಇದನ್ನು ತೆಗೆದು ಹಾಕುವಂತಿಲ್ಲ. ಗಂಡನು ಸತ್ತಾಗ ಕೆಲವರು ಈ ಬಳೆಗಳನ್ನು ಪತಿಯ ಚಿತೆಗೆ ಹಾಕುವ ರೂಢಿ ಇತ್ತು. ಈಗ ಅಂಥ ಆಚರಣೆ ಕಡಿಮೆಯಾಗಿದೆ.
ಬಲಿಯಾಗಳನ್ನು ಫೈಬರ್ ಅಥವಾ ರಬ್ಬರ್‌ನಿಂದ ತಯಾರಿಸುತ್ತಾರೆ. ಬಳೆಯ ಒಂದು ಭಾಗವನ್ನು ತುಂಡರಿಸಿರುವ ಕಾರಣ ತೋಳುಗಳಲ್ಲಿ ಅದನ್ನು ಧರಿಸಲು ಸುಲಭವಾಗುತ್ತದೆ. ಲಂಬಾಣಿ ಸಮುದಾಯವು ವಿವಾಹಗಳಲ್ಲಿ ಸರಗಳನ್ನು ಬಳಸಲು ತೊಡಗಿದ ಬಳಿಕ ಬಲಿಯಾದ ಪ್ರಾಧಾನ್ಯ ಮತ್ತು ಅಗತ್ಯ ಕಡಿಮೆಯಾಗುತ್ತ ಬರುತ್ತಿದೆ. ಲಂಬಾಣಿ ಸ್ತ್ರೀಯರು ಪಾರಂಪರಿಕ ಉಡುಗೆಗಳನ್ನು ಬಿಟ್ಟು ಸೀರೆ/ಸೆಲ್ವಾರ್ ಕಮೀಜ್ ಧರಿಸಲಾರಂಭಿಸಿದ ಬಳಿಕ ಬಲಿಯಾ ಅವರಿಗೆ ಆಕರ್ಷಕ ಸಾಧನವಾಗುವಲ್ಲಿ ವಿಫಲವಾಗಿದೆ."
ಬಾಚಿ,"ಮರದ ತುಂಡುಗಳನ್ನು ಅಗತ್ಯಾನುಸಾರ ಕ್ರಮಬದ್ದವಾಗಿ ಕೆತ್ತನೆ ಮಾಡಲು ಬಡಗಿಗಳು ಬಳಸುವ ಆಯುಧ. ಬಾಚಿಯು ಆರು ಇಂಚು ಉದ್ದ, ಸುಮಾರು ಮೂರು ಇಂಚು ಅಗಲವಿರುತ್ತದೆ. ಅಲಗಿನ ತುದಿ ಭಾಗವು ಹರಿತವಾಗಿರುತ್ತದೆ. ಹಿಡಿಕೆಯು ಸುಮಾರು ಎರಡು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಕಬ್ಬಿಣದಿಂದ ಬಾಚಿಯನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದ. ಅದಕ್ಕೆ ಮರದ ಹಿಡಿಕೆಯನ್ನು ಹಾಕುತ್ತಾರೆ. ಬಾಚಿಯ ಗಾತ್ರಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿರುತ್ತವೆ."
ಬಾಣಂತಿ ಕತ್ತಿ,"ಮಲೆನಾಡಿನ ಶ್ರೀಮಂತ ಮನೆಗಳಲ್ಲಿ ಬಾಣಂತಿಯರು ಬಳಸುವ ವಿಶೇಷ ರಕ್ಷಣಾ ಸಾಧನ. ಇದು ಸುಮಾರು ಏಳುವರೆ ಇಂಚು ಉದ್ದವಾಗಿದ್ದು, ಹಿಡಿಯ ಭಾಗ ಆರು ಕೊಂಡಿಗಳನ್ನೊಳಗೊಂಡಿದೆ. ಉಕ್ಕಿನಿಂದ ತಯಾರಾದ ಕತ್ತಿಯು ಅಲಂಕಾರಿಕವಾಗಿದೆ. ಸುಮಾರು ಇಪ್ಪತ್ತನೇ ಶತಮಾನದ ಮೂವತ್ತರ ಅಥವಾ ನಲವತ್ತರ ದಶಕದಲ್ಲಿ ಉಪಯೋಗಿಸಲ್ಪಡುತ್ತಿತ್ತು. ಬಾಣಂತಿಯಾದವರು ಬಯಲಿಗೆ ಹೋಗುವಾಗ ಅಥವಾ ಒಂಟಿಯಾಗಿರುವಾಗ ತಮ್ಮ ಆತ್ಮರಕ್ಷಣೆಗಾಗಿ ಸೊಂಟದ ಪಟ್ಟಿಗೆ ಸಿಕ್ಕಿಸಿಕೊಂಡು ಹೋಗುತ್ತಿದ್ದರು. ಬಾಣಂತಿ ಮತ್ತು ಮಗುವನ್ನು ತವರಿನಿಂದ ಗಂಡನ ಮನೆಗೆ ಕಳುಹಿಸುವಾಗ ಮಗುವಿಗೆ ದೃಷ್ಟಿಯಾಗದಿರಲೆಂದು ಈ ಕತ್ತಿಯನ್ನು ತೊಟ್ಟಿಲಿನಲ್ಲಿಟ್ಟು ಕಳುಹಿಸುತ್ತಿದ್ದರೆಂದು ತಿಳಿದುಬರುತ್ತದೆ. ಉಪಯೋಗದಲ್ಲಿ ಪುಟ್ಟ ವ್ಯತ್ಯಾಸವಿದ್ದರೂ ತುಳುನಾಡಲ್ಲಿನ ಗೆಜ್ಜೆಕತ್ತಿಗಳೂ ಇದೇ ಮಾದರಿಯವು ಇವನ್ನು ಕೇವಲ ಬಾಣಂತಿಯರು ಮಾತ್ರ ಬಳಸದೆ ಆಢ್ಯ ಮನೆತನದ ಮಹಿಳೆಯರು ಸದಾ ಇಟ್ಟುಕೊಳ್ಳುತ್ತಾರೆ."
ಬಾತಿ,ಚಮ್ಮಾರರು ತಮ್ಮ ವೃತ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಪರಿಕರಗಳನ್ನು ಹಾಕಿಟ್ಟುಕೊಳ್ಳಲು ಬಳಸುವ ಚರ್ಮದ ಚೀಲ. ಇದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದ ಒಂದು ಅಡಿ ಅಗಲ ಇದೆ. ಇದನ್ನು ಒಂದು ಕಡೆಯಿಂದ ಮತ್ತೊಂದು ಕಡೆಗೆ ಕೊಂಡೊಯ್ಯಬಹುದು. ಹಿಡಿದುಕೊಳ್ಳಲು ಹಿಡಿಕೆ ಇದೆ. ತಮ್ಮ ಹರಿತವಾದ ಪರಿಕರಗಳನ್ನು ಹಾಕಿಟ್ಟುಕೊಳ್ಳಲು ಇದನ್ನು ಉಪಯೋಗಿಸುತ್ತಾರೆ. ಇದನ್ನು ಚರ್ಮದಿಂದ ತಯಾರಿಸುತ್ತಾರೆ.
