page,1
ಮಂಕರಿ/ ಮುತ್ಲ,"ಇದು ಒಂದು ಪುಟ್ಟ ಮೊರವಾಗಿದ್ದು ಮಕ್ಕಳಿಗೆ ಆಟಿಕೆಯಾಗಿಯೂ ತರಬೇತಿ ಸಾಧನವಾಗಿಯೂ ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದನ್ನು ಸ್ಥಳೀಯರು ಮಂಕರಿ ಎಂದು ಕರೆಯತ್ತಾರೆ. ಮಕ್ಕಳ ವಯಸ್ಸು ಗಾತ್ರಗಳಿಗನುಗುಣವಾಗಿ ಇದರ ಗಾತ್ರದಲ್ಲಿ ಸಣ್ಣಪುಟ್ಟ ವ್ಯತ್ಯಾಸಗಳಿರುತ್ತವೆ. ಇದನ್ನು ಪುಟ್ಟ ಹುಡುಗಿಯರು ಎತ್ತಿಕೊಂಡು ಚಪ್ಪರಿಸುವ, ಕೇರುವ ಕೆಲಸವನ್ನು ಆಟವಾಡುತ್ತಾ ಆಡುತ್ತ ಕಲಿತು ಬಿಡುತ್ತಾರೆ. ಇದನ್ನು ಬಿದಿರು ಬೆತ್ತಗಳ ಸೀಳುಗಳಿಂದ ತಯಾರಿಸಿ ಅದಕ್ಕೆ ಗೇರೆಣ್ಣೆಯನ್ನು ಲೇಪಿಸಲಾಗುತ್ತದೆ. ಇದು ಸುಮಾರು ಆರು ಇಂಚಿನಿಂದ ಎಂಟು ಇಂಚುಗಳ ತನಕ ಉದ್ದಗಲವುಳ್ಳದ್ದಾಗಿರುತ್ತದೆ.
ಇದು ಕೇವಲ ಮಕ್ಕಳ ಆಟಿಕೆಯಾಗಿ ಮಾತ್ರವಲ್ಲದೆ ದೇವರಿಗೆ ನೈವೇದ್ಯವನ್ನು ಇಡಲು ಮತ್ತು ದೇವರನ್ನು ಉದ್ವಸನ ಮಾಡುವಾಗ (ಕಳುಹಿಸಿಕೊಡುವುದು) ನೈವೇದ್ಯ, ಬಳೆ, ತಾಂಬೂಲ, ಕುಡಿಕೆ ಇತ್ಯಾದಿಗಳನ್ನು ಇಟ್ಟುಕೊಳ್ಳುವುದಕ್ಕೂ ಬಳಕೆಯಾಗುತ್ತದೆ. ಮುತ್ಲವು ಆಟಿಕೆಯಾಗಿ ಬಳಕೆಯಾಗುವ ಸಂದರ್ಭಗಳಾಗಲಿ ಈ ಆಚರಣೆಯಾಗಲಿ ಹಳ್ಳಿಗಳಲ್ಲಿ ಇತ್ತೀಚೆಗೆ ತೀರ ವಿರಳವಾಗಿವೆ."
ಮಚ್ಚು,"ಗಿಡ, ಮರ, ಹಣ್ಣು, ಕಾಯಿ, ಇನ್ನಿತರ ಗಟ್ಟಿ ಪದಾರ್ಥಗಳನ್ನು ಕತ್ತರಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದರಿಂದ ಮಾಂಸ, ಮೂಳೆಯಂತಹ ಪದಾರ್ಥಗಳನ್ನೂ ಕತ್ತರಿಸಬಹುದು. ಕೋಳಿ, ಕುರಿ, ಮೇಕೆ ಹಾಗೂ ಇನ್ನಿತರ ಪ್ರಾಣಿಗಳನ್ನು ಬಲಿ ನೀಡಲು ಸಹ ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಮಚ್ಚನ್ನು ರಕ್ಷಣಾ ಆಯುಧವನ್ನಾಗಿ ರೈತರು ಹೊಲಗಳು ಮತ್ತು ಅರಣ್ಯಗಳಲ್ಲಿ ಬಳಸುತ್ತಾರೆ. ಮನೆ ಬಳಕೆಯಲ್ಲಿ ತೆಂಗಿನಕಾಯಿ ಸಿಪ್ಪೆ ಸುಲಿಯಲು ಇದು ಉಪಯೋಗವಾಗುತ್ತದೆ. ಒಂದೇ ಕಬ್ಬಿಣದ ಪಟ್ಟಿಯಿಂದ ಇದನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ಕಬ್ಬಿಣದ ರಾಡಿನ ಹಿಂಭಾಗವನ್ನು ಕೊಳವೆಯಾಕಾರದ ಹಿಡಕೆಯನ್ನಾಗಿಸಿ ಕೊಳ್ಳಲಾಗುತ್ತದೆ. ಇದರ ಒಂದು ಅಂಚು ಅರ್ಧ ಇಂಚು ದಪ್ಪವಿದ್ದರೆ ಮತ್ತೊಂದು ಅಂಚು ಹರಿತವಾಗಿರುತ್ತದ. ಪ್ರಮುಖವಾಗಿ ಕೃಷಿ ಕೆಲಸಗಳಲ್ಲಿ ತುಂಬ ಬಳಕೆಯಾಗುವ ಮಚ್ಚು ಕಬ್ಬಿಣದಿಂದ ತಯಾರಾಗುತ್ತದೆ."
ಮಡ್ಡೊನಕೆ /ಮೊಡ್ಡೊನಕೆ,"ಕಾರ, ಮಸಾಲೆ, ಗುರೆಳ್ಳು ಮುಂತಾದುವನ್ನು ಒರಳಲ್ಲಿ ಹಾಕಿ ಕುಟ್ಟಲು ಬಳಸುವ ಮರದ ಸಾಧನ. ಸುಮಾರು ಒಂದೂವರೆ ಎರಡು ಅಡಿ ಎತ್ತರವಿರುತ್ತದೆ. ಒನಕೆಗಿಂತ ಇದು ಕಡಿಮೆ ಎತ್ತರವಿರುವುದರಿಂದ ಇದನ್ನು ಮೊಡ್ಡೊನಕೆ ಎನ್ನುತ್ತಾರೆ. ಕೆಲವು ಮೊಡ್ಡೊನಕೆಗಳಿಗೆ ಒಂದು ತುದಿಯಲ್ಲಿ ಬಳೆ ಇದ್ದರೆ, ಇನ್ನು ಕೆಲವಕ್ಕೆ ಬಳೆ ಇರುವುದಿಲ್ಲ, ಒನಕೆಯ ತಳವು ಸ್ವಲ್ಪ ಮಟ್ಟಿಗೆ ಅರ್ಧವೃತ್ತಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಜಂಬೆ, ಸಾಗುವಾನಿ ಮುಂತಾದ ಗಟ್ಟಿ ಮರಗಳನ್ನು ಇದರ ತಯಾರಿಗೆ ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ."
ಮಣಗಲ್ಲು,"ಕಾಳು, ತರಕಾರಿ, ದವಸ-ಧಾನ್ಯ ಹಾಗೂ ವಸ್ತುಗಳನ್ನು ತಕ್ಕಡಿಯಲ್ಲಿಟ್ಟು ತೂಕ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ದಂಡಿಗೆಯ ಒಂದು ಪಲ್ಟಿ/ಪರಡಿ/ತಟ್ಟೆಯಲ್ಲಿಟ್ಟು ತೂಕ ಮಾಡುವುದಕ್ಕೆ ಬಳಸುತ್ತಿದ್ದ ಸಾಧನ. ಇದು ಇವತ್ತಿನ ೧೩ಕಿ.ಗ್ರಾಂ ಭಾರದಷ್ಟಿದೆ. ಜನಪದರು ಈ ಕಲ್ಲನ್ನು ಮಣಗಲ್ಲು ಎನ್ನುತ್ತಾರೆ. ಹಿಂದಿನ ದಿನಗಳಲ್ಲಿ ತೂಕಕ್ಕೆ ದಂಡಿಗೆ ಬಳಕೆಯಾಗುತ್ತಿದ್ದ ಕಾಲದಲ್ಲಿ ಇದರ ಬಳಕೆ ಹೆಚ್ಚಾಗಿತ್ತು. ವಿಶೇಷವಾಗಿ ರೈತರಲ್ಲಿ ನಡೆಯುವ ವ್ಯವಹಾರದ ಸಂದರ್ಭದಲ್ಲಿ ಈ ಕಲ್ಲು ಹೆಚ್ಚಾಗಿ ಬಳಕೆಯಾಗುತಿತ್ತು. ಈ ಕಲ್ಲು ವೃತ್ತಾಕಾರವಾಗಿದ್ದು ೫ ಇಂಚು ಎತ್ತರ, ೨೦ ಇಂಚು ವ್ಯಾಸವಿದೆ. ತಳ ಮತ್ತು ಮೇಲ್ಭಾಗ ಚಪ್ಪಟೆಯಾಗಿದೆ. ಮೇಲ್ಭಾಗದಲ್ಲಿ ಹೂವಿನ ಚಿತ್ರವಿದೆ. ಆಧುನಿಕ ತೂಕ ಪದ್ಧತಿಯ ಬಳಕೆ ಸರಳ ಹಾಗೂ ಪಕ್ಕ (ನಿಖರ)ವಾಗಿರುವ ಪರಿಣಾಮವಾಗಿ ಪಾರಂಪರಿಕ ತೂಕದ ಕಲ್ಲುಗಳ ಉಪಯೋಗ ಕಡಿಮೆಯಾಗಿದೆ."
ಮಣ್ಣಿನ ಕೊಡ/ಪಟ್ಟಿಕೊಡ,"ಮನೆಗೆ/ಮನೆಯಿಂದ ನೀರು ಸಾಗಿಸುವುದಕ್ಕೆ ಬಳಸುವ ಪಾತ್ರೆ. ಇದರ ಒಡಲು ದೊಡ್ಡದು, ಬಾಯಿ ಚಿಕ್ಕದು. ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸವಿರುತ್ತದೆ. ಸುಮಾರು ಅರುವತ್ತಕ್ಕಿಂತಲೂ ಹೆಚ್ಚು ಲೀಟರ್ ನೀರನ್ನು ಇದು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳಬಲ್ಲದು. ಚಿಕ್ಕ ಕೊಡಗಳನ್ನು ಹೆಂಗಸರ/ಮಕ್ಕಳೂ ದೊಡ್ಡ ಕೊಡಗಳನ್ನು ಗಂಡಸರೂ ನೀರು ತರುವುದಕ್ಕೆ ಉಪಯೋಗಿಸುತ್ತಾರೆ. ಕೆಲವು ಕೊಡಗಳು ಕ್ರೀಡೆಗಳಿಗೂ ಬಳಕೆಯಾಗುತ್ತವೆ. ಹಬ್ಬದ ಸಂದರ್ಭಗಳಲ್ಲಿ ಅರ್ಧ ಕೊಡಕ್ಕೆ ಮರಳು ಮತ್ತು ಉಳಿದರ್ಧಕ್ಕೆ ನೀರು ತುಂಬಿ ಮೇಲೆತ್ತುವುದಕ್ಕೂ ಬಳಸಲಾಗುತ್ತದೆ. ಹೀಗೆ ತುಂಬಿದ ಕೊಡದ ಬಾಯಿಗೆ ಬಟ್ಟೆ ಸುತ್ತಿ ಹಲ್ಲುಗಳಿಂದ ಕಚ್ಚಿ ಕೊಡವನ್ನು ಎತ್ತುವ ಗ್ರಾಮೀಣ ಕ್ರೀಡೆಯೂ ಇದೆ. ಇತರ ದ್ರವ ಪದಾರ್ಥಗಳಾದ ಸೇಂದಿ, ಎಣ್ಣೆ, ಮಜ್ಜಿಗೆ, ಕಬ್ಬಿನ ಹಾಲು ಮುಂತಾದವುಗಳ ಸಾಗಾಣಿಕೆಗೂ ಬಳಕೆಯಾಗುತ್ತಿದ್ದವು. ಕಬ್ಬಿಣ ಮತ್ತು ಪ್ಲಾಸ್ಟಿಕ್ ಕೊಡಗಳು ಇವುಗಳ ಬಳಕೆಯನ್ನು ಕುಗ್ಗಿಸಿವೆ."
ಮಣ್ಣಿನ ತಟ್ಟೆ,"ಹಿಂದಿನ ಕಾಲದ ಜನಪದರು ಸಾಮಾನ್ಯವಾಗಿ ಊಟ ಮಾಡಲು ಬಳಸುತ್ತಿದ್ದ ಸಾಧನ. ಜನಪದರು ಅಡುಗೆಮಾಡಲು ಮಣ್ಣಿನ ವಸ್ತುಗಳನ್ನೇ ಬಳಸುತ್ತಿದ್ದರು. ಮಣ್ಣಿನ ತಟ್ಟೆಗಳು ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಒಂದು ಅಡಿ ವ್ಯಾಸ, ಸುತ್ತಲೂ ಒಂದು ಇಂಚು ಎತ್ತರದ ಪಟ್ಟಿಯನ್ನು ಹೊಂದಿರುತ್ತವೆ. ಜೇಡಿ ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸಲಾಗುವ ಈ ವಸ್ತುಗಳನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ಬಳಕೆ ಮಾಡಲಾಗುತ್ತದೆ. ದಿನ ನಿತ್ಯ ಬಳಕೆಯಾಗುತ್ತಿದ್ದ ಈ ವಸ್ತು ಇಂದು ಬಳಕೆಯಾಗುವುದು ಕಡಿಮೆ. ಮಣ್ಣಿನ ತಟ್ಟೆಗಳ ಬದಲು ಲೋಹದ ತಟ್ಟೆಗಳು ಬಂದು ಶತಮಾನಗಳಾದವು."
ಮಣ್ಣಿನ ಮಗಿ,ಮದುವೆ ಆಚರಣೆಗಳಲ್ಲಿ ಬಳಕೆಯಾಗುತ್ತಿದ್ದ ವಿಶೇಷ ವಸ್ತು. ಇದನ್ನು ಮಗಿ ಎಂದು ಕರೆಯುತ್ತಾರೆ. ಇದರ ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಸಾಮಾನ್ಯವಾಗಿ ಸುಮಾರು ಆರರಿಂದ ಏಳು ಇಂಚು ಉದ್ದ ಹದಿನಾಲ್ಕು ಇಂಚು ಸುತ್ತಳತೆ ಇರುತ್ತದೆ. ಮದುವೆಯ ಸಂಪ್ರದಾಯದಂತೆ ವಧೂವರರಿಗೆ ಸುರಿಗೆ ನೀರು ಹಾಕುವಾಗ(ಸುರಿಗೆ ಸುತ್ತುವ ಕಾರ್‍ಯಕ್ರಮದಲ್ಲಿ ಮತ್ತು ಅದರ ಬಳಿಕ) ಇವು ಬಳಕೆಯಾಗುತ್ತವೆ. ಅಲ್ಲದೆ ನೀರು ಮಜ್ಜಿಗೆ ಕುಡಿಯಲು ಕೂಡ ಬಳಕೆಯಾಗುತ್ತದೆ.
ಮದ್ದಲೆ ಪಡಗ,"ಜಾನಪದ ವಾದ್ಯಗಳಲ್ಲಿ ತುಂಬ ಹೆಚ್ಚು ಬಳಕೆಯಾಗುವ ಒಂದು ಸಾಧನ ಮದ್ದಳೆ. ಇದು ಮರವನ್ನು ಕೊರೆದು ಟೊಳ್ಳಾಗಿಸಿಕೊಂಡು ರಚಿಸಿಕೊಂಡ ಪಡುಗ/ಕುತ್ತಿಗೆ ಎರಡು ಬದಿಗೂ ಚರ್ಮ ಮುಚ್ಚಿಗೆ ಯನ್ನು ತಯಾರಿಸಿಕೊಂಡು ಮುಚ್ಚುತ್ತಾರೆ. ಮುಚ್ಚಿಗೆಯನ್ನು ಬಿಗಿಯಲು ಪರಸ್ಪರ ಚರ್ಮದ ಬಾರ/ಮಿಣಿಗಳನ್ನು ಉಪಯೋಗಿಸುತ್ತಾರೆ. ಸಂಗೀತ ಕಛೇರಿ, ಯಕ್ಷಗಾನ, ನೃತ್ಯ ಮುಂತಾದೆಡೆ ಮದ್ದಲೆಯ ಬಳಕೆ ಇದೆ. ಮದ್ದಲೆ ಪಡಗವು ಮಧ್ಯಭಾಗದಲ್ಲಿ ದೊಡ್ಡದಾಗಿರುತ್ತದೆ. ಪಡುಗಗಳಲ್ಲಿ ನಾನಾ ಗಾತ್ರದವುಗಳನ್ನು ಕಾಣಬಹುದು. ಸುಮಾರು ಎರಡೂವರೆ ಅಡಿಯಿಂದ ಮೂರೂವರೆ ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಹಲಸು, ದೊಡ್ಡಹಲಸು/ಹೆಬ್ಬಲಸು, ಕಾಚಿ ಮುಂತಾದ ಮರಗಳಿಂದ ಇದನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ಮದ್ದಲೆಯು ದೇವವಾದ್ಯವಾಗಿದ್ದು ಆತೋದ್ಯವಾದ್ಯ ಎಂಬ ವಿಭಾಗಕ್ಕೆ ಸೇರುತ್ತದೆ."
ಮನೆಬಳಕೆ,"ಈ ವಿಭಾಗದಲ್ಲಿ ಸಂಗ್ರಹಿತವಾದ ಗೃಹೋಪಯೋಗಿ ವಸ್ತುಗಳಲ್ಲಿ ವಿಶಿಷ್ಟವಾದ ಕೆಲವನ್ನು ಆಯ್ದು ಅವುಗಳನ್ನು ಪರಿಚಯಿಸಿದೆ. ಇವು ಗ್ರಾಮೀಣ ಪ್ರದೇಶದ ಜನರು ಮನೆಗಳಲ್ಲಿ ತಮ್ಮ ದೈನಂದಿನ ಬಳಕೆಗೆ ಬಳಸುವ ವಸ್ತುಗಳು. ಮಣ್ಣು, ಶಿಲೆ, ಲೋಹ, ಬೆತ್ತ, ಬಿದಿರು, ಹಗ್ಗ ಇತ್ಯಾದಿ ಪ್ರಾಕೃತಿಕ ವಸ್ತುಗಳಿಂದ ನಿರ್ಮಿಸಿಕೊಂಡ ಸಾಮಗ್ರಿಗಳು ಇಲ್ಲಿವೆ. ಕೆಲವು ವಸ್ತುಗಳ ಬಳಕೆ ಈಗ ಬೇರೆ ಬೇರೆ ಕಾರಣಗಳಿಗೆ ತಪ್ಪಿಹೋಗಿದೆ. ಎತ್ತಿನಕೊಂಬಿನ ನಶ್ಯದಡಬ್ಬಿ, ಔಂಗುಗಡಿಗೆ, ಮಾನಿಚೇರಿ ಟೋಪಿಯಂಥ ಅಪೂರ್ವ ವಸ್ತುಗಳೂ ನಮ್ಮ ವಸ್ತುಸಂಗ್ರಹಾಲಯದಲ್ಲಿವೆ. ಅವುಗಳ ವಿವರಗಳು ಕೂಡ ಇಲ್ಲಿ ಸೇರ್ಪಡೆಯಾಗಿವೆ."
