page,1
ಸರಸ್ವತಿ ವಿಗ್ರಹ,ವಿದ್ಯೆ ಕಲಿಯಲು ಸರಸ್ವತಿ ದೇವಿಯನ್ನು ಪೂಜಿಸುತ್ತಾರೆ. ಜನರ ಮನದಲ್ಲಿ ಜ್ಞಾನದೇವಿಯಾಗಿ ಪವಿತ್ರವೆನಿಸಿರುವ ಈ ದೇವಿಗೆ ನವರಾತ್ರಿಯಲ್ಲಿ ವಿಶೇಷ ಪೂಜೆ ಇದೆ. ಭಕ್ತಿಯುಳ್ಳ ಜನರು ಸರಸ್ವತಿ ವಿಗ್ರಹಗಳನ್ನು ಮಾಡಿಸಿ ತಮ್ಮ ಮನೆಗಳಲ್ಲಿ ಪೂಜಿಸುತ್ತಾರೆ. ವಿಗ್ರಹದಲ್ಲಿ ಸರಸ್ವತಿಯು ವೀಣೆ ನುಡಿಸುತ್ತ ನವಿಲಿನ ಮೇಲೆ ಆಸೀನಳಾದಂತಿದೆ. ಮೂರು ಇಂಚು ಎತ್ತರ ವಿರುವ ಈ ವಿಗ್ರಹವನ್ನು ಒಂದು ಇಂಚು ದಪ್ಪದ ಹಲಗೆಯ ಮೇಲೆ ಕೆತ್ತಲಾಗಿದೆ. ಹಿಂಭಾಗವು ಸಮತಟ್ಟಾಗಿದೆ. ಸಾಗುವಾನಿ ಮರದಿಂದ ಮಾಡಲಾದ ಈ ವಿಗ್ರಹ ಚಿಕ್ಕದಾಗಿದ್ದರೂ ಚಿತ್ತಾಕರ್ಷಕವಾಗಿದೆ.
ಸಾಣಿಗೆ,"ಭತ್ತ, ರಾಗಿ, ಜೋಳ ಇತ್ಯಾದಿಗಳನ್ನು ಹಸನುಮಾಡುವಾಗ ಬಳಕೆಯಾಗುವ ವಸ್ತು. ಇದು ಸುಮಾರು ಹದಿನೆಂಟರಿಂದ ಇಪ್ಪತ್ತೆರಡು ಇಂಚು ವ್ಯಾಸವಿದ್ದು ಎರಡರಿಂದ ಮೂರು ಇಂಚು ಎತ್ತರದ ಅಂಚುಳ್ಳದ್ದಾಗಿರುತ್ತದೆ. ಕೆಳಭಾಗವನ್ನು ಬೆತ್ತ ಅಥವಾ ಬಿದಿರಿನ ಸೀಳುಗಳನ್ನು ಬಳಸಿಕೊಂಡು ಉದ್ದಕ್ಕೂ ಅಡ್ಡಕ್ಕೂ ಹಾಸಿಕೊಂಡು ಹೆಣೆಯಲಾಗುತ್ತದೆ. ಕಾಳುಗಳ ಗಾತ್ರಕ್ಕೆ ಅನುಸಾರವಾಗಿ ಕಣ್ಣುಗಳನ್ನು ಹೆಣೆದಿರುವ ಸಾಣಿಗೆಗಳಿರುತ್ತವೆ.. ಭತ್ತ, ರಾಗಿ, ಜೋಳ, ಇತ್ಯಾದಿಗಳನ್ನು ಕಸ, ಕಡ್ಡಿ, ಮಣ್ಣಿನ ಪುಟ್ಟ ಹರಳುಗಳಿಂದ ಬೇರ್ಪಡಿಸಲು ಕೂಡ ಇದು ಉಪಯೋಗವಾಗುತ್ತದೆ. ಇದನ್ನು ಮೇದರು, ಕೊರಚರು ತಯಾರಿಸುತ್ತಾರೆ."
ಸಾರಂಗದ ಕೊಂಬು,ಮನೆಯ ಮುಂದೆ ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಾಗಿಲ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಮರದ ಸಾರಂಗದ ಮುಖವಾಡಕ್ಕೆ ಈ ಕೊಂಬನ್ನು ಜೋಡಿಸಿ ಇಡುತ್ತಾರೆ. ಇದರಲ್ಲಿ ಗಟ್ಟಿಮುಟ್ಟಾದ ವಸ್ತುಗಳನ್ನು ನೇತು ಹಾಕಲೂ ಬಳಸುತ್ತಾರೆ. ಈ ಕೊಂಬುಗಳ ಹೆಚ್ಚಿನ ಭಾಗವೂ ಟೊಳ್ಳಾಗಿರುತ್ತದೆ. ತಳಭಾಗದ ದಪ್ಪ ಸುಮಾರು ಒಂದೂವರೆ ಇಂಚಿನಷ್ಟಿದ್ದರೆ ತುದಿಯ ಕಡೆಗೆ ಸಾಗುತ್ತ ಗಾತ್ರ ಕಡಿಮೆಯಾಗಿ ತುದಿಯು ಚೂಪಾಗಿರುತ್ತದೆ. ನೇರವಾಗಿರದೆ ವಕ್ರ ವಕ್ರವಾಗಿರುವ ಈ ಕೊಂಬಿನ ಮೇಲೆ ಬಳೆಯಾಕಾರದ ಗೆರೆಗಳಿರುತ್ತವೆ. ಇದು ಸಾರಂಗದ ಕೊಂಬಾಗಿದ್ದು ಹಿಂದೆ ಯಾವುದೋ ಸಂದರ್ಭದಲ್ಲಿ ಅದು ಸತ್ತ ಬಳಿಕ ಅದನ್ನು ಸಂಗ್ರಹಿಸಲಾಗಿದೆ ಅಥವಾ ಬೇಟೆಯಾಡಿ ಅದನ್ನು ಸಂಗ್ರಹಿಸಬಹುದಾಗಿತ್ತು. ಇತ್ತೀಚಿಗೆ ಇದರ ಲಭ್ಯತೆ ಕಡಿಮೆಯಾಗಿದ್ದು ಬಳಕೆಯೂ ಕಡಿಮೆಯಾಗಿದೆ. ಹೀಗೆಯೇ ಕಾಡು ಕೋಣಗಳ ಕೊಂಬನ್ನೂ ಬಳಸಲಾಗುತ್ತದೆ.
ಸಿಂಬಿ (ಬೆ),"ಪಾತ್ರೆ, ಗಡಿಗೆ ಮತ್ತು ಮಡಿಕೆಗಳನ್ನು ಇಡುವುದಕ್ಕೆ ಬಳಸುವ ಸಾಧನ. ಇದನ್ನು ಈಚಲು ಮರದಗರಿಯಿಂದ ಹೆಣೆಯುತ್ತಾರೆ. ಇದು ಸುಮಾರು ಐದು ಇಂಚು ದಪ್ಪವಾಗಿದ್ದು, ಸುಮಾರು ಏಳು ಇಂಚು ವ್ಯಾಸವಿರುತ್ತದೆ. ಅಡುಗೆ ಮಾಡಿದ ಬಿಸಿ ಪಾತ್ರೆ, ಗಡಿಗೆ, ಮಡಿಕೆಗಳನ್ನು ಸಿಂಬಿಯ ಮೇಲೆ ಇಡುತ್ತಾರೆ. ಇತ್ತೀಚೆಗೆ ಇದರ ಉತ್ಪಾದನೆ ಹಾಗೂ ಬಳಕೆ ಕಡಿಮೆಯಾಗುತ್ತಿದೆ."
ಸುಣ್ಣಕಾಯಿ,ಎಲೆ ಅಡಿಕೆ ಹಾಕಿಕೊಳ್ಳುವವರು ಸುಣ್ಣ ಇಟ್ಟುಕೊಳ್ಳಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಸುಮಾರು ಐದು ಇಂಚು ಸುತ್ತಳತೆಯನ್ನು ಹೊಂದಿದೆ. ಕಂಚಿನಿಂದ ತಯಾರಿಸಲಾಗಿದೆ. ಸು. ಎಂಭತ್ತು ವರ್ಷ ಹಳೆಯದು. ಎಲೆ ಅಡಿಕೆ ಹಾಕಿಕೊಳ್ಳುವವರು ಸುಣ್ಣಕಾಯಿಯಲ್ಲಿ ಸುಣ್ಣ ಹಾಕಿಕೊಂಡು ಚೀಲದಲ್ಲಿ ಇಟ್ಟುಕೊಳ್ಳುತ್ತಿದ್ದರು. ಕಂಚಿನ ಸಾಧನವಾಗಿರುವುದರಿಂದ ಇದರಲ್ಲಿ ಸುಣ್ಣ ತಂಪಾಗಿರುತ್ತದೆ ಎಂಬ ನಂಬಿಕೆಯೂ ಇದೆ. ವಿವಿಧ ರೂಪದ (ಆಕಾರದ) ಸುಣ್ಣದ ಕಾಯಿಗಳು ಇವೆ.
ಸೊಳ/ಸ್ವಳ,ಮಡಕೆ ಮಾಡುವಾಗ ಅದಕ್ಕೆ ನಿರ್ದಿಷ್ಟ ಆಕಾರ ತರಲು ಬಳಸುವ ಒಂದು ಸಾಧನ. ಇದು ಸುಮಾರು ನಾಲ್ಕರಿಂದ ಐದು ಇಂಚುಗಳಷ್ಟು ಅಗಲ ಉದ್ದಗಳಿರುವ ಮರದ ಹಲಗೆಯ ತುಂಡು. ಇದು ಒಂದು ಪುಟ್ಟ ಹಿಡಿಕೆಯನ್ನೊಳಗೊಂಡಿರುತ್ತದೆ. ಹಿಡಿಕೆಯೂ ಸೇರಿ ಸುಮಾರು ಎಂಟರಿಂದ ಹತ್ತು ಇಂಚು ಉದ್ದವಿರುತ್ತದೆ. ಸ್ವಳದ ಹಲಗೆಯು ಸುಮಾರು ಒಂದು ಒಂದೂವರೆ ಇಂಚು ದಪ್ಪವಿರುತ್ತದೆ. ಮಡಕೆಯು ಹಸಿಯಿದ್ದು ನಿರ್ಮಾಣಗೊಳ್ಳುತ್ತಿರುವ ಸಂದರ್ಭದಲ್ಲಿ ಅದರ ಒಳಭಾಗದಲ್ಲಿ ಆಸರೆಯಾಗಿ ಬಡೆಕಲ್ಲು ಇರಿಸಿಕೊಂಡು ಹೊರಗಿನಿಂದ ಆಯವರಿತು ಸ್ವಳದಿಂದ ತಟ್ಟುತ್ತ ಮಡಕೆಗೆ ಉದ್ದೇಶಿತ ಆಕಾರ ನಿಡಲಾಗುತ್ತದೆ. ಸ್ವಳವನ್ನು ಹಗುರವಾದ ಅತ್ತಿಯಂಥ ಮರಗಳಿಂದ ನಿರ್ಮಿಸಿಕೊಳ್ಳುತ್ತಾರೆ.
ಸ್ಯಾವಿಗೆ ಒತ್ತೊಳ್ಳು,"ಸ್ಯಾವಿಗೆಯನ್ನು ತಯಾರಿಸಲು ಬಳಸುವ ಮರದ ಸಾಮಗ್ರಿ. ಇದರಲ್ಲಿ ಹಿಡಿಕೆ, ಲಂಬ ಬಡಿಗೆ, ಅಡ್ಡಬಡಿಗೆ, ಸ್ಯಾವಿಗೆ ಕೊಂಡೆ ಮುಂತಾದ ಪ್ರಧಾನ ಭಾಗಗಳಿವೆ. ಹಿಡಿಕೆಯನ್ನು ಮೇಲಕ್ಕೂ ಕೆಳಕ್ಕೂ ಚಲಿಸಲು ಸಾಧ್ಯವಾಗುವಂತೆ ಅದರ ತುದಿಯು ಲಂಬ ಬಡಿಗೆಯ ತುದಿಗೆ ಜೋಡಣೆಯಾಗಿದೆ. ಈ ಲಂಬ ಬಡಿಗೆಯು ಬುಡದಲ್ಲಿ ಕತ್ತರಿಯಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಇದರ ಮಧ್ಯಕ್ಕೆ ಸ್ಯಾವಿಗೆ ಒರಳನ್ನು ಹೊಂದಿರುವ ಅಡ್ಡ ಬಡಿಗೆಯು ಜೋಡಿಸಲ್ಪಟ್ಟಿದೆ. ಅಡ್ಡ ಬಡಿಗೆಯನ್ನು ಇನ್ನೊಂದು ತುದಿಯಲ್ಲಿ ಆಧರಿಸಲು ಕತ್ತರಿಯಾಕಾರದ ಇನ್ನೊಂದು ಸಣ್ಣ ಲಂಬ ಬಡಿಗೆಯಿದೆ. ಅಡ್ಡ ಬಡಿಗೆಯಲ್ಲಿ ಸುಮಾರು ಎರಡೂವರೆ ಇಂಚು ವ್ಯಾಸದ ಒಂದೋ ಎರಡೋ ರಂಧ್ರಗಳನ್ನು ನಿರ್ದಿಷ್ಟ ಅಂತರದಲ್ಲಿ ಕೊರೆದು ಅದಕ್ಕೆ ಸ್ಯಾವಿಗೆಕೊಂಡೆಗಳನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಕೊಂಡಿಯು ಕಂಚು/ಹಿತ್ತಾಳೆಯದು. ಈ ಸ್ಯಾವಿಗೆ ಕೊಂಡೆಯ ತಳದಲ್ಲಿ ಅನೇಕ ಸಣ್ಣ ರಂಧ್ರಗಳಿರುತ್ತವೆ. ಈ ರಂಧ್ರಗಳಿಂದಲೇ ಸ್ಯಾವಿಗೆಯು ಹೊರಬರುತ್ತದೆ. ಸ್ಯಾವಿಗೆ ಕೊಂಡೆಗಳನ್ನು ಜೋಡಿಸಿದ ಅಡ್ಡ ಬಡಿಗೆಯ ರಂಧ್ರಗಳಿಗೆ ಸರಿಯಾಗಿ ಹೊಂದುವಂತೆ ಹಿಡಿಕೆಯ ಕೆಳಗೆ, ಕೊಂಡೆಯ ಒಳಸೇರಿದ ಸ್ಯಾವಿಗೆ ಕಡುಬನ್ನು ಒತ್ತಲು ಅಗತ್ಯವಾದ, ವೃತ್ತಾಕಾರದ ಮರದ ಸಲಕರಣೆಗಳನ್ನು ಭದ್ರವಾಗಿ ಜೋಡಿಸಿರುತ್ತಾರೆ. ಹಿಡಿಕೆಯನ್ನು ಎತ್ತುವಾಗ ಇವು ಕೊಂಡೆಯಿಂದ ಕಳಚುತ್ತವೆ. ತಗ್ಗಿಸಿದಾಗ ಕೊಂಡೆಯ ಒಳಪ್ರವೇಶಿಸುತ್ತದೆ. ಎರಡು ಕೊಂಡೆಯ ಸ್ಯಾವಿಗೆ ಮಣೆಯಿಂದ ಏಕಕಾಲದಲ್ಲಿ ಎರಡು ಕಡೆ ಸ್ಯಾವಿಗೆಯು ಸಿದ್ಧವಾಗುತ್ತದೆ. ಒಂದೇ ಕೊಂಡೆಯ ಮರದ ಸ್ಯಾವಿಗೆ ಮಣೆಗಳೂ ಚಾಲ್ತಿಯಲ್ಲಿವೆ. ಹಿಡಿಕೆಯು ಸುಮಾರು ಐದು ಅಡಿ ಉದ್ದ, ಲಂಬ ಬಡಿಗೆಯು ಸುಮಾರು ಮೂರು ಅಡಿ ಎತ್ತರ, ಸಣ್ಣ ಲಂಬ ಬಡಿಗೆಯು ಎರಡು ಅಡಿ ಎತ್ತರ ಮತ್ತು ಕೊಂಡೆಯನ್ನು ಒಳಗೊಂಡ ಅಡ್ಡ ಬಡಿಗೆಯು ಸುಮಾರು ಮೂರು ಅಡಿ ಉದ್ದ ಇರುತ್ತದೆ. ಇವೆಲ್ಲವೂ ಅತ್ಯಂತ ಗಟ್ಟಿಮುಟ್ಟಾದ ಮರಗಳಿಂದ ನಿರ್ಮಿತವಾಗುತ್ತವೆ. ಕಬ್ಬಿಣ, ಉಕ್ಕು, ಕಂಚು ಮುಂತಾದ ಲೋಹಗಳಿಂದ ಕಾರ್ಖಾನೆಗಳಲ್ಲಿ ನಿರ್ಮಾಣವಾಗುವ ಸ್ಯಾವಿಗೆ ಮಣೆಗಳು ಬಂದ ಬಳಿಕ ಮರದ ಮಣೆಗಳು ಮೂಲೆಗುಂಪಾಗತೊಡಗಿವೆ."
ಸ್ವಾಗತ ಮೂರ್ತಿ,ಮನೆಯ ಮುಂಬಾಗಿಲ ಮೇಲ್ತುದಿಗೆ ಸಮಾನಾಂತರವಾಗಿ ಗೋಡೆಗಳಲ್ಲಿ ಅಲಂಕಾರಕ್ಕಾಗಿ ಹಾಕಲು ಬಳಸುವ ಮೂರ್ತಿ. ಇದು ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಸುಮಾರು ಎಂಟು ಇಂಚು ಅಗಲವಿರುತ್ತದೆ. ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಅತಿಥಿಗಳಿಗೆ ಸ್ವಾಗತ ಕೋರಲು ಇವುಗಳನ್ನು ಹಾಕುತ್ತಾರೆ. ಈ ಸ್ವಾಗತಮೂರ್ತಿಯು ವಸ್ತ್ರಾಭರಣ ಭೂಷಿತಳಾಗಿರುವ ಒಬ್ಬ ಹೆಣ್ಣು ಕೈಮುಗಿದು ಅತಿಥಿಗಳಿಗೆ ಸ್ವಾಗತವನ್ನು ಕೋರುವಂತೆ ಕೆತ್ತಿರುತ್ತಾರೆ. ಈ ಸ್ವಾಗತ ಮೂರ್ತಿಯನ್ನು ಸಾಗುವಾನಿಯಂಥ ಮರಗಳಿಂದ ತಯಾರು ಮಾಡುತ್ತಾರೆ.
page,2
