page,1
ಹಗ್ಗ ಹೊಸೆಯುವ ಮಣೆ,"ತೆಂಗಿನ ನಾರು, ರಕ್ಕಸಬಳ್ಳಿ ನಾರು, ಪುಂಡೆನಾರು ಮುಂತಾದ ನಾರಿನಿಂದ ಹಗ್ಗ ಹೊಸೆಯುವುದಕ್ಕೆ ಬಳಸುವ ಪರಿಕರ. ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ಇದರ ಮಧ್ಯಭಾಗವು ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಸುಮಾರು ಒಂದು ಅಡಿ ಸುತ್ತಳತೆಯನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಇದರಲ್ಲಿ ಒಂದು ಇಂಚು ಸುತ್ತಳತೆಯ ಮೂರು ರಂಧ್ರಗಳಿರುತ್ತವೆ. ಮಣೆಯ ಎರಡು ತುದಿಗಳಲ್ಲಿ ಹಿಡಿಕೆಗಳಿದ್ದು ಇವುಗಳನ್ನು ಹಿಡಿದುಕೊಂಡು ಹಗ್ಗವು ಹುರಿ ಬೀಳುವಂತೆ ತಿರುವಲಾಗುತ್ತದೆ. ಈ ಸಾಧನವನ್ನು ಸಾಗುವಾನಿ ಮರದಿಂದ ತಯಾರಿಸಿದ್ದಾರೆ."
ಹಣತೆ,"ದೀಪ ಹಚ್ಚಲು ಬಳಕೆಯಾಗುವ ಮಣ್ಣಿನ ಸಾಧನ. ಸಾಮಾನ್ಯವಾಗಿ ಇದರ ಮೇಲ್ಭಾಗವು ಅರಳಿಎಲೆಯ ಆಕಾರದಲ್ಲಿದ್ದು ಅದರ ಮಧ್ಯವು ತಗ್ಗಾಗಿರುತ್ತದೆ. ಬತ್ತಿಯನ್ನಿರಿಸಿ ಎಣ್ಣೆ ಎರೆಯಲು ಅವಕಾಶವಾಗುವಂತೆ ಹಣತೆಯನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಸಾಮಾನ್ಯ ಹಣತೆಗಳಲ್ಲಿ ಒಂದೆಡೆ ಮಾತ್ರ ಬತ್ತಿ ಇಟ್ಟು ಉರಿಸಲು ರಚನೆಗಳಿವೆ. ವಿಶೇಷ ಹಣತೆಗಳಲ್ಲಿ ಐದೆಡೆ ಹಾಗೆ ಉರಿಸಬಹುದು. ಕೆಂಪು, ಕಪ್ಪು, ಬೂದು ಬಣ್ಣದ ಆವೆ ಮಣ್ಣನ್ನು ಹದಗೊಳಿಸಿ, ಅಚ್ಚುಬಳಸಿ ಇದನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ. ನಾನಾ ಗಾತ್ರಗಳಲ್ಲಿ ತಯಾರಾಗುವ ಹಣತೆ ಕೆಲವೊಮ್ಮೆ ತುಂಬ ಕಲಾತ್ಮಕವಾಗಿಯೂ ಇರುತ್ತವೆ. ಕೆಲವೆಡೆ ಜಗಲಿಯ(ದೇವರ ಕೋರೆ) ಮೇಲೆ ಉರಿಸಬಾರದೆಂದೂ ಮನೆಯಲ್ಲಿ ಯಾರಾದರೂ ತೀರಿಕೊಂಡರೆ ಮಣ್ಣಿನ ಹಣತೆಗಳನ್ನೇ ಬಳಸಬೇಕೆಂದೂ ವಿಧಿ ನಿಷೇಧಗಳಿವೆ. ಚಿನ್ನ, ಬೆಳ್ಳಿ, ಕಂಚು, ಹಿತ್ತಾಳೆ, ತಾಮ್ರ ಅಥವಾ ಸ್ಟೀಲ್‌ನಿಂದಲೂ, ಕಲ್ಲಿನಿಂದಲೂ ಹಣತೆಗಳನ್ನು ರಚಿಸಲಾಗುತ್ತದೆ."
ಹಣೆಕಟ್ಟು,"ಜನಪದರಿಗೆ ಎತ್ತುಗಳೆಂದರೆ ಪಂಚಪ್ರಾಣ. ಅವು ತಮ್ಮ ಕುಟುಂಬದ ಸದಸ್ಯರೆಂದೂ ಸುಖ ಸಂಪದಗಳ ಕಾರಣಕರ್ತರೆಂದೂ ಭಾವನೆ. ಅವನ್ನು ನಾನಾ ವಿಧ ಆರೈಕೆ ಮಾಡಿ, ಶೃಂಗರಿಸಿ ಆನಂದಿಸುವುದು ಅನೇಕರ ಹವ್ಯಾಸ. ಹಣೆಕಟ್ಟು ಅಂಥ ಒಂದು ಅಲಂಕಾರ ಸಾಧನ. ಇದು ಸುಮಾರು ಎಂಟರಿಂದ ಹತ್ತು ಇಂಚುಗಳಷ್ಟು ಉದ್ದ ಮತ್ತು ಸುಮಾರು ಆರರಿಂದ ಎಂಟು ಇಂಚುಗಳಷ್ಟು ಅಗಲವಿದ್ದು ಬೇರೆ ಬೇರೆ ಆಕಾರದಲ್ಲಿರುತ್ತವೆ. ಅರಳಿ ಎಲೆ, ವಜ್ರಾಕಾರ, ಅರ್ಧಚಂದ್ರ ಮುಂತಾದ ಆಕಾರದಲ್ಲಿ ಹಣೆಕಟ್ಟುಗಳನ್ನು ನಿರ್ಮಿಸುತ್ತಾರೆ. ಸರಳವಾದ ದಾರವೊಂದಕ್ಕೆ ಪದಕವನ್ನು ಜೋಡಿಸಿದಂತೆಯೂ ಇದು ಇರುತ್ತದೆ. ದಪ್ಪ ಬಟ್ಟೆಯ ಮೇಲೆ ಕನ್ನಡಿಯ ಚೂರು, ಬಣ್ಣಬಣ್ಣದ ಮಣಿಗಳು, ಮುತ್ತುಗಳು, ಕವಡೆ, ಚಿಪ್ಪುಗಳು, ಪುಟ್ಟ ಶಂಖಗಳು, ತೂತಿನ ಬಿಲ್ಲೆ, ನಾನಾ ಬಣ್ಣದ ದಾರಗಳು, ಕಿರುಗೆಜ್ಜೆ ಮುಂತಾದುವುಗಳನ್ನು ನಾನಾ ವಿನ್ಯಾಸಗಳಲ್ಲಿ ಪೋಣಿಸಿ ಹಣೆಕಟ್ಟನ್ನು ರಚಿಸುತ್ತಾರೆ. ಹೊರಂಚಿನ ಸುತ್ತ ಅಲ್ಲಲ್ಲಿ ಉಣ್ಣೆಯ ಗೊಂಡೆಗಳನ್ನು ಪೋಣಿಸಿ ಹಣೆಕಟ್ಟುನ್ನು ಅಲಂಕರಿಸುತ್ತಾರೆ. ಹಣೆಕಟ್ಟನ್ನು ನಿತ್ಯಬಳಕೆ ಮಾಡುವುದಿಲ್ಲ. ಕಾರ ಹುಣ್ಣೆಮೆ, ಹಟ್ಟಿ ಹಬ್ಬ, ಮದುವೆ ದಿಬ್ಬಣ, ಮೆರವಣೆಗೆ ಮುಂತಾದ ಸಂದರ್ಭಗಳಲ್ಲಿ ಹಣೆಕಟ್ಟು, ಕೋಡಣಸು ಮುಂತಾದವುಗಳಿಂದ ಎತ್ತುಗಳನ್ನು ಅಲಂಕರಿಸಲಾಗುತ್ತದೆ. ಕಾರ ಹುಣ್ಣೆಮೆ ಸಂದರ್ಭದಲ್ಲಿ ಕರಿಬಿಡುವುದು/ಹೋರಿ ಬೆದರಿಸುವುದು ಎಂಬ ಆಚರಣೆಯಲ್ಲಿ ಕೂಡ ಈ ರೀತಿ ಎತ್ತುಗಳನ್ನು ಅಲಂಕಾರ ಮಾಡುತ್ತಾರೆ."
ಹತ್ತಿರಾಟೆ,ಹತ್ತಿಯಿಂದ ಕಾಳುಗಳನ್ನು ಬಿಡಿಸಲು ಬಳಸುವ ಸಾಧನ. ಇದು ಆಯತಾಕಾರದಲ್ಲಿದೆ. ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಉದ್ದ ಒಂದು ಅಡಿ ಅಗಲವಿದೆ. ನಾಲ್ಕು ಬದಿಗಳಲ್ಲೂ ಪರಸ್ಪರ ಬಲನೀಡುವ ರೀತಿಯಲ್ಲಿ ಸುಮಾರು ಎರಡೂವರೆ ಇಂಚು ಅಗಲದ ರೀಪುಗಳನ್ನು ಜೋಡಿಸಲಾಗಿದೆ. ಚೌಕಟ್ಟಿನ ಮಧ್ಯೆ ಎರಡು ಕಟ್ಟಿಗೆಯ ಸರಳುಗಳಿದ್ದು ಇವುಗಳನ್ನು ಬಳಸಿ ಹರಳೆ ಮತ್ತು ಬೀಜವನ್ನು ಬೇರ್ಪಡಿಸಲಾಗುತ್ತದೆ. ಇದನ್ನು ನೇಕಾರರು ಬಳಸುತ್ತಾರೆ.
ಹರಕೆ ತೊಟ್ಟಿಲು,"ಹರಕೆಯನ್ನು ಕೊಡುವ/ತೀರಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ ದೇವಾಲಯದ ಮುಂಭಾಗದಲ್ಲಿರುವ ಮರದ ಒಂದು ಕೊಂಟಿಗೆ ಅಥವಾ ದೇವಾಲಯದ ಒಂದು ಭಾಗದಲ್ಲಿ ಕಟ್ಟುವ ಮರದ ಚಿಕ್ಕ ತೊಟ್ಟಿಲು. ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದ, ಅರ್ಧ ಅಡಿ ಅಗಲವಾಗಿರುತ್ತದೆ. ನಾಲ್ಕು ಭಾಗಗಳಲ್ಲಿ ಸುಮಾರು ಅರ್ಧ ಅಡಿ ಎತ್ತರದ ಗೂಟಗಳಿರುತ್ತವೆ. ಈ ಗೂಟಗಳಿಗೆ ಸೇರಿದಂತೆ ಮರದ ತೆಳು ಹಲಗೆ ತುಂಡನ್ನು ಜೋಡಿಸಿದ್ದಾರೆ. ತೊಟ್ಟಿಲಿನ ಸುತ್ತ ಮತ್ತು ತೊಟ್ಟಿಲಿನ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಚಿತ್ತಾರದ ಕೆತ್ತನೆಗಳಿವೆ. ಮಕ್ಕಳು ಆಗದವರು ತೊಟ್ಟಿಲ ಹರಕೆ ಹೊತ್ತು ಮಕ್ಕಳಾದ ಬಳಿಕ ಹರಕೆ ಒಪ್ಪಿಸುವ ಸಂದರ್ಭದಲ್ಲಿ ಈ ತರಹದ ತೊಟ್ಟಿಲುಗಳು ಬಳಕೆಯಾಗುತ್ತವ."
ಹರ್ತಿಕುಡ/ಕುಂಟೆಕುಡ,"ನೇಗಿಲು ಅಥವಾ ರಂಟೆ ಹೊಡೆದ ಭೂಮಿಯನ್ನು ಹರಗಲು (ಸಮತಟ್ಟು ಮಾಡಲು), ನಾಟಿ/ಬಿತ್ತನೆ ಮಾಡದ ಹೊಲ/ಗದ್ದೆಗಳಲ್ಲಿ ಬೆಳೆದ ಕಳೆಯನ್ನು ನಾಶಮಾಡಲು, ಕುಂಟೆಗೆ ಬಳಸುವ ಲೋಹದ ಸಾಧನ. ಕುಂಟೆಯ ದಿಂಡಿನ ಕೆಳಗೆ ಇರುವ ತಾಳುಗಳಿಗೆ ಈ ವಸ್ತುವನ್ನು ಜೋಡಿಸಿಕೊಳ್ಳಲಾಗುವುದು. ಹರಗುವುದರಿಂದ ಹೊಲದಲ್ಲಿನ ಗಿಡಗಂಟಿಗಳು ನಾಶವಾಗುತ್ತವೆ. ಇದು ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ಅಗಲ ಎರಡೂವರೆ ಅಡಿ ಉದ್ದ ಹೊಂದಿರುತ್ತದೆ. ಕುಂಟೆ ತಾಳುಗಳಿಗೆ ಸಿಕ್ಕಿಸಲು ಕುಡದ ಎರಡು ತುದಿಗಳಲ್ಲಿ ಕೊಕ್ಕೆ ರೂಪದ ಒಂದೂವರೆ ಇಂಚಷ್ಟು ಉದ್ದವುಳ್ಳ ಉಪಕರಣ ಇರುತ್ತದ. ಇದರ ಪ್ಲೇಟಿನ ಕೊನೆಯ ತುದಿ ಹರಿತವಾಗಿದೆ. ತುದಿ ಮೊಂಡಾದರೆ ಪುನಃ ಕಮ್ಮಾರರ ಬಳಿ ಕಾಯಿಸಿ ತಟ್ಟಿಸಿ ಹರಿತಮಾಡಿಸುತ್ತಾರೆ. ಇವುಗಳ ಸ್ವರೂಪದಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ."
ಹಲಗೆ/ತಮಟೆ,"ಹಿಂದಿನ ಕಾಲದಲ್ಲಿ ಹಳ್ಳಿಗಳಲ್ಲಿ ಆಜ್ಞೆ, ಸುದ್ದಿಗಳನ್ನು ಸಾರ್ವಜನಿಕರಿಗೆ ತಿಳಿಸುವುದಕ್ಕೆ ; ಹಬ್ಬ ಹರಿದಿನ, ದೇವರ ಮೆರವಣಿಗೆ, ಮದುವೆ ಮೆರವಣಿಗೆ, ಶವಸಂಸ್ಕಾರ ಸಂದರ್ಭದ ಮೆರವಣಿಗೆ ಮುಂತಾದ ಸಂದರ್ಭಗಳಲ್ಲಿ, ರಾಧಾನಾಟ ಮುಂತಾದ ಬಯಲಾಟ ಪ್ರಕಾರಗಳ ಪ್ರದರ್ಶನದ ಸಂದರ್ಭದಲ್ಲಿ ಈ ವಾದ್ಯವು ಬಳಕೆಯಾಗುತ್ತಿತ್ತು. ಇದು ಸುಮಾರು ಎರಡು ಅಡಿ ವ್ಯಾಸ ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ಎತ್ತರವಿರುತ್ತದೆ. ಮರದಕಟ್ಟಿ (ಈಡಿಚಿme)ಗೆ ಮೇಕೆ/ಆಡು/ಎಮ್ಮೆ ಕರುವಿನ ಚರ್ಮವನ್ನು ಒಂದು ಬದಿಯಲ್ಲಿ ಮುಚ್ಚಿ ಬಿಗಿಗೊಳಿಸಲಾಗುತ್ತದೆ. ಹಾಗೆ ಬಿಗಿಗೊಳಿಸಿಕೊಳ್ಳುವುದಕ್ಕೆ ಕಬ್ಬಿಣದ ತಂತಿಯಿಂದ ನಿರ್ಮಿಸಿದ ಬಲೆಯ ತುಂಡಿನಂಥ ಸಾಧನವನ್ನು ಮರದ ಕಟ್ಟಿಗೆಗೆ ಜೋಡಿಸಿಟ್ಟಿರುತ್ತಾರೆ.
ಹಲಗೆಯನ್ನು ಒಂದು ಕೈಯಲ್ಲಿ ಗುಣಿ ಎಂಬ ಕೋಲಿನಿಂದಲೂ, ಇನ್ನೊಂದು ಕೈಯಲ್ಲಿ ತೆಳ್ಳನೆಯ ಮತ್ತು ಉದ್ದ ಕಿರಿದಾದ ಚಿಟಿಕೆ ಎಂಬ ಕೋಲಿನಿಂದಲೂ ಬಡಿಯುತ್ತಾರೆ. ತಮಟೆಯನ್ನು ಬಿಸಿಲಲ್ಲಾಗಲಿ ಬೆಂಕಿಯಲ್ಲಾಗಲಿ ಒಂದಿಷ್ಟು ಹದಕ್ಕೆ ಬಿಸಿಮಾಡಿಕೊಂಡರೆ ಶ್ರುತಿಗೆ ಹೊಂದಿಕೊಂಡು ಚೆನ್ನಾಗಿ ಶಬ್ದವು ಹೊರಡುತ್ತದೆ."
ಹಳೇಬೀಗಗಳು/ಕೊಲ್ಲಾಪುರದ ಬೀಗಗಳು,ಮನೆಯ ಬಾಗಿಲು ಹಾಗೂ ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಭದ್ರಪಡಿಸಲು ಇವುಗಳನ್ನು ಬಳಸಲಾಗುತ್ತಿತ್ತು. ಇವು ಈಗಿನ ಬೀಗಗಳಿಗಿಂತ ವಿಶಿಷ್ಟವಾಗಿವೆ. ಈ ಬೀಗಗಳಲ್ಲಿ ಬೀಗ ಹಾಗೂ ಅದರೊಳಗಿನ ಕಂಬಿಯನ್ನು ಬೇರೆ ಬೇರೆ ಮಾಡಬಹುದಾಗಿದ್ದು ಆಯತಾಕಾರದಲ್ಲಿ ಉದ್ದವಾಗಿರುತ್ತದೆ. ಬೀಗದ ಎಡಭಾಗಕ್ಕೆ ಹಾಗೂ ಮೇಲ್ಭಾಗಕ್ಕೆ ಕಂಬಿ ಸಿಕ್ಕಿಸುವಂತೆ ಮಾಡಲಾಗಿರುತ್ತದೆ. ಬೀಗವನ್ನು ಕೀ ಇಲ್ಲದೆಯೂ ಹಾಗೂ ಕೀ ಮೂಲಕವು ಹಾಕಬಹುದು. ಆದರೆ ಬೀಗ ತೆಗೆಯುವಾಗ ಕೀ ಬಳಸಲೇ ಬೇಕಾಗುತ್ತದೆ. ಹಿಂದೆ ಇವುಗಳನ್ನು ಕಮ್ಮಾರರೇ ತಯಾರಿಸುತ್ತಿದ್ದರು. ಇವುಗಳಲ್ಲಿ ಸಣ್ಣ ಹಾಗೂ ದೊಡ್ಡ ಬೀಗಗಳು ಇವೆ. ಈ ಹಳೆಯ ಕಾಲದ ಬೀಗಗಳನ್ನು ಕಬ್ಬಿಣದಿಂದ ಮಾಡಲಾಗಿದೆ
ಹಾಸಕ್ಕಿ ಕಲ್ಲು/ತೊಳಲಿ ಕಲ್ಲು,"ಮದುವೆ ಸಂದರ್ಭದಲ್ಲಿ ಭತ್ತವನ್ನು ಬೀಸಲು ವಿಶೇಷವಾಗಿ ಬಳಕೆಯಾಗುತ್ತದೆ. ಇದು ವೃತ್ತಾಕಾರದಲ್ಲಿದ್ದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ವ್ಯಾಸವಿದೆ. ಇದರ ಮೇಲಿನ ಭಾಗವು ಟ್ರಾಕ್ಟರ್ ಚಕ್ರಾಕಾರದ ಹತ್ತೊಂಬತ್ತು ರಚನೆಯನ್ನು ಹೊಂದಿದೆ. ಪ್ರತಿಯೊಂದಕ್ಕೊ ಸುಮಾರು ಎರಡೂವರೆ ಇಂಚು ಅಂತರವಿದೆ. ಅದರ ಒಳಸುತ್ತಿನಲ್ಲಿ ಅಡಿಗಲ್ಲಿನ ಗೂಟವನ್ನು ಸಿಕ್ಕಿಸಲು ಒಂದು ರಂಧ್ರವು (ಸರಿಯಾಗಿ ಮಧ್ಯದಲ್ಲಿ) ಇದೆ. ಅದರ ಇಬ್ಬದಿಗಳಲ್ಲಿ ಧಾನ್ಯವು ಒಳಗೆ ಪ್ರವೇಶಿಸಲು ಅಗತ್ಯವಾದ ರಂಧ್ರಗಳಿವೆ. ಹೊರಸುತ್ತಿನ ಅಂಚಿನ ಬಳಿ ಹಿಡಿಕೆಯ ಗೂಟ ಜೋಡಿಸಲು ಒಂದು ರಂಧ್ರವಿದೆ. ಮೇಲ್ಭಾಗದ ತಿರುಗಲ್ಲು ಸುಮಾರು ಮೂರು ಇಂಚು ದಪ್ಪವೂ ಇರುವುದರಿಂದ ಭಾರವಾಗಿದೆ.
ಮದುವೆಯಾಗುವ ಸಂದರ್ಭದಲ್ಲಿ ಹಸೆಗೆ ಹಾಕಲು ಮತ್ತು ಅಕ್ಷತೆ ಎರಚುವುದಕ್ಕೆ ಬೇಕಾದ ಅಕ್ಕಿಯನ್ನು ಇದರಲ್ಲಿ ಬೀಸಿ ತಯಾರಿಸಿಕೊಳ್ಳುವುದು ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ರೂಢಿ. ಇದರಲ್ಲಿ ಯಾರೂ ಕುಳಿತು ಕೊಳ್ಳುವುದಿಲ್ಲ. ಇದರಲ್ಲಿ ವಿಶೇಷವಾದ ಅಕ್ಕಿಯನ್ನು ಬೀಸಿಕೊಳ್ಳುವ ಮೊದಲು ಇದನ್ನು ಹೆಣ್ಮಕ್ಕಳು ಪೂಜಿಸುತ್ತಾರೆ. ಕಲ್ಲು ಎಂದು ಹೆಸರಿರುವುದಾದರೂ ಇದನ್ನು ಮರದಿಂದ ತಯಾರಿಸಿದ್ದಾರೆ."
