page,1
ಅಃ,"[ಅ] [ಕತ್ತರಿಸಿ ಕೊಡುವಾಗ, ನೋವಿನಿಂದ] ಅಯ್ಯೋ ಎಂಬ ಉದ್ಗಾರ (ಎಂದುಂ ಪೋಗೆಂದನೆ ಮಾಣೆಂದನೆ ಪೆಱತೊದನೀವೆನೆಂದನೆ ನೊಂದು ಅಃ ಎಂದನೆ ಸೆರಗಿಲ್ಲದೆ ಪಿಡಿಯೆಂದನಿದೇಂ ಕಲಿಯೊ ಚಾಗಿಯೋ ರವಿತನಯಂ: ಪಂಪಭಾ, ೧. ೧೦೨)"
ಅಂಕ,"[ನಾ]  ಶ್ರೇಷ್ಠ (ನಾಕದ ಫಣಿಲೋಕದ ಅಂಕದ ಪೊೞಲ್ಗಳನೀ ಪೊೞಲೊಂದು ರಮ್ಯಹರ್ಮ್ಯದ ಬೆಲೆಗಂಬರಂ ನೆಱೆಯದು: ಆದಿಪು, ೬. ೮೯ [‘ಅಂಕದ ಪೊೞಲ್‌’ ಎಲ್. ಬಸವರಾಜು ಆವೃತ್ತಿಯಲ್ಲಿ]; ತೊಡೆ (ಜಗತ್ತ್ರಿತಯಪತಿಯಂ ತ್ರಿದಶಪತಿಯ ನೀಡಿದ ಕೇಯೂರರಶ್ಮಿರಂಜಿತ ಭುಜಯುಗಳಕ್ಕೆ ನೀಡಿದಾಗಳ್ .. .. ನಿಜಾಂಕಮನೇಱಿಸಿದಂ: ಆದಿಪು, ೭. ೪೮ ವ); [ನಾ]  ಶೌರ್ಯ (ಸಾಗರದೊಳಗಿರ್ದಂಕದ ಮಾಗಧನಂ ಕಟ್ಟಿದಲ್ಲದೆ ಇರಂ ಅರಸಂ ಎನುತ್ತೋಗಡಿಸದೆ ನಡೆದುದು ಬಲಸಾಗರಮಾ ಸಾಗರಂಬರಂ ತರತರದಿಂ: ಆದಿಪು, ೧೨. ೬೮); [ನಾ]  ಗುರುತು (ತನ್ನಂಕದೊಂದುಗ್ರಸಾಯಕದಿಂ ನಾಯಕರಂ ಪಡಲ್ವಡಿಸುತುಂ: ಪಂಪಭಾ, ೧. ೭೪); [ನಾ]  ಪ್ರಸಿದ್ಧ (ವಿನತಾಪುತ್ರನ ವಜ್ರ ತುಂಡ ಹತಿಗಂ ಮೆಯ್ಯಾಂತು ಕಂಡಂಗಳುಳ್ಳಿನಂ ಅಂಗಂಗಳಂ ಒಡ್ಡಿ ಒಡ್ಡಿ ತನುವಂ ಕೊಟ್ಟಂತು ಜೀಮೂತವಾಹನನೆಂಬ ಅಂಕದ ಚಾಗಿ: ಪಂಪಭಾ, ೪. ೨೬); [ನಾ]  ಬಿರುದು (ದನುಜಾಂತಕನೆಂಬೀ ನಿನ್ನ ನಚ್ಚುವೋದ ಅಂಕಂ ಎಲವೊ ಮುನ್ನೆನ್ನನ್ನಂ ದನುಜಂ ಪುಟ್ಟದೆ ಸಂದುದು: ಪಂಪಭಾ, ೬. ೫); [ನಾ]  ದ್ವಂದ್ವಯುದ್ಧ (ದೇವರೆಲ್ಲರುಂ ಅಂಬರತಳದೊಳಿರ್ದಂಕಮಂ ನೋೞ್ಪಂತೆ ನೋಡೆ: ಪಂಪಭಾ, ೮. ೨೧ ವ)"
ಅಂಕತಳ,"[ನಾ]  ತೊಡೆಯ ಮೇಲ್ಭಾಗ (ತದಂಗನಾ ಅಂಕತಳದೊಳ್ ಬಾಲಾರ್ಕನಂ ಪೋಲ್ತು ಭಾಸುರತೇಜೋಧಿಕನಪ್ಪ ಬಾಳನಂ ಅೞ್ಕರ್ತು ನೋಡುತ್ತುಂ: ಆದಿಪು, ೭. ೪೪)"
ಅಂಕದಂಬು,"[ನಾ]  ಹೆಸರುವಾಸಿಯಾದ ಬಾಣ (ಅಂಕದಂಬೆತ್ತಲುಂ ತುಱುಗಿ ನಡುವಿನಂ ಸಾರ್ದು ಸಾರ್ದೆಚ್ಚೆಚ್ಚು ಕಾದಿದರ್: ಪಂಪಭಾ, ೧೩. ೩೯)"
ಅಂಕಮಾಲಾ,"[ನಾ]  [ರಾಜರ] ಸ್ತುತಿಮಾಲೆ (ಮಹಾವಂದಿವೃಂದ ಅಂಕಮಾಲಾನಾದಂ ಗಂಭೀರನಾದಂ ನೆಗೞ್ದಿರೆ ತಳರ್ದಂ ರಾಗದಿಂ ಸಾರ್ವಭೌಮಂ: ಆದಿಪು, ೧೧. ೧೪)"
ಅಂಕವಣೆ,"[ನಾ]  ಕುದುರೆಯ ರಿಕಾಪು (ಅನ್ನೆಗಂ ನಕುಳನುಂ ಅಂಕವಣೆಯುಂ ಬಾಳುಂ ಬಾರುಂ ಚಮ್ಮಟಿಗೆಯನುಮಂ: ಪಂಪಭಾ, ೮. ೫೪ ವ)"
ಅಕಳಂಕರಾಮ,"[ನಾ]  ಅರಿಕೇಸರಿಯ ಬಿರುದು, ಅರ್ಜುನ (ಚತುರಂಗಮೆಯ್ದೆ ಕೀಲಿಸೆ ಪಡೆ ಚಿತ್ರದೊಂದು ಪಡೆಯಂತೆವೊಲಾಯ್ತು ಅಕಳಂಕರಾಮನಿಂ: ಪಂಪಭಾ, ೧೧. ೧೩೫)"
ಅಕಾಂಡತಾಂಡವ,"[ನಾ]  ಅಕಾಲದ ನರ್ತನ, ಹೊತ್ತಲ್ಲದ ಹೊತ್ತಿನ ಕುಣಿತ (ಅಕಾಂಡತಾಂಡವಾರಂಭಶೌಂಡ ಶಿಖಂಡಿ ಮಂಡಳಮುಮಂ: ಆದಿಪು, ೪. ೫೪ ವ)"
ಅಕಾಂಡಪ್ರಳಯ,"[ನಾ]  ಅಕಾಲದಲ್ಲುಂಟಾದ ಪ್ರಳಯ (ಸಮುದ್ಯತ್ ರಜತಗಿರಿ ತಟ ಸ್ಪಷ್ಟ ಸಂಶ್ಲಿಷ್ಟ ಮೌರ್ವೀನಿನದಂ ಪರ್ವಿತ್ತು ಅಕಾಂಡಪ್ರಳಯ ಘನಘಟಾಟೋಪ ಗಂಭೀರನಾದಂ: ಪಂಪಭಾ, ೧೨. ೧೩೭)"
