page,1
ಎತ್ತೆತ್ತ,"[ಅ] ಏನೇನು (ಮನದೊಳ್ ಮುಂ ಪುದಿದಿರ್ದ ಕೋಪಮನಿತುಂ ತೂಳ್ದಾಗಳ್ ಎತ್ತೆತ್ತ ಗೆಯ್ದೆನಿದಂ ತಮ್ಮನೊಳ್ ಎಂಬುದೊಂದುಪಶಮಂ ಕೈಗಣ್ಮಿ: ಆದಿಪು, ೧೪. ೧೩೨)"
ಎನತು,"[ಗು] ನನ್ನದು (ನೀನೀಯೆ ಬಂದುದೆನಗೆ ಇದಂ ಎನತು ಎಂದು ಏಂ ನಿನಗೆ ಬಗೆಯಲಪ್ಪುದೆ: ಆದಿಪು, ೧೪. ೧೪೪)"
ಎನಿತಾನುಂ,"[ನಾ] ಎಷ್ಟೆಷ್ಟೋ, ಹಲವು ಬಗೆಗಳಲ್ಲಿ (ಎಂದು ಎನಿತಾನುಂ ತೆಱದೊಳ್ ಅಳಿಪಿನ ಲಲ್ಲೆಯ ಚೆಲ್ಲದ ಪುರುಡಿನ ಮುಳಿಸಿನ ನೆವದ ಪಡೆಮಾತುಗಳಂ ನುಡಿದುಂ ಕಾಲ್ವಿಡಿದುಂ ಅಚಳಿತಧೈರ್ಯನ ಮನಮಂ ಚಲಿಯಿಸಲಾಱದೆ: ಪಂಪಭಾ, ೭. ೯೪ ವ)"
ಎನಿತು,"[ನಾ] ಎಷ್ಟು (ಆಗಳಾ ತಾರಾಗಣಂಗಳ್ ದಿಶಾವನಿತೆಯರ ಮಕುಟಮಾಣಿಕಂಗಳಂತೆ ಎನಿತು ಬೆಳಗಿಯುಂ ಕೞ್ತಲೆಯಂ ಅಲೆಯಲಾಱವಾದುವು: ಪಂಪಭಾ, ೪. ೪೯ ವ)"
ಎನಿಬರಾನುಂ,"[ನಾ] ಎಷ್ಟೋ ಜನ (ನಂಟರಪ್ಪ ಅಶ್ವಗ್ರೀವ ವಿದ್ಯುನ್ಮಾಲಿ ನೀಲಾದಿಗಳಪ್ಪ ಪ್ರಭೃತಿಗಳ್ ಎನಿಬರಾನುಂ ಮುರಾಂತಕನಂ ಬಂದು ತಾಗಿದೊಡೆ: ಪಂಪಭಾ, ೬. ೬೪ ವ)"
ಎನಿಸು,"[ಕ್ರಿ] ಎನ್ನುವಂತೆ ಮಾಡು, ಅನ್ನಿಸು (ನೆಗೞ್ದಾದಿ ಕ್ಷತ್ರಿಯರೊಳಂ ಇಲ್ಲೆನಿಸಿದುದೀ ತ್ರಿಜಗದೊಳ್ ಎಸಗಿದ ಎಸಕಂ ಅರಿಕೇಸರಿಯಾ: ಪಂಪಭಾ, ೧. ೨೧)"
ಎನು,"[ಕ್ರಿ] ಳು (ಎಂದು ತನ್ನ ಮನಮನಱಿದು ಮುಟ್ಟಿ ನುಡಿದ ಕೆಳದಿಯ ನುಡಿಗೆ ಪೆಱತೇನುಮಂ ಎನಲಱಿಯದೆ: ಪಂಪಭಾ, ೪. ೬೪ ವ)"
ಎನೆ,"ಎನ್ನಿಸುವಂತೆ, ಎಂದು ತೋರುವಂತೆ (ಪುಸಿ ಎನೆ ರಥಮಂ ಹರಿ ಚೋದಿಸುವಂತೆವೊಲಿರ್ದು ಅದೆಂತು ನರನಂ ಗೆಲಿಪಂ ವಿಸಸನದೊಳ್: ಪಂಪಭಾ, ೧೨. ೯೧)"
ಎನೆಯೆನೆ,"[ಕ್ರಿ] [ಎನೆ+ಎನೆ] ಎಂದು ಹೇಳಲು (ಎನೆಯೆನೆ ಬಾಷ್ಪವಾರಿ ಪುಳಕಂಬೆರಸು ಒರ್ಮೆಯೆ ಪೊಣ್ಮೆ ಮುನ್ನೆ ನೀವೆನಗಿದನೇಕೆ ಪೇೞ್ದಿರೊ: ಪಂಪಭಾ, ೯. ೬೮)"
