page,1
ಏಂ,"[ಅ] ಏನು ಕಾರಣ, ಏಕೆ (ಇಱಿವಂತು ನಿನಗೆ ಮನದೊಳ್ ತಱಿಸಲವುಂಟಪ್ಪೊಡೆ ಎಲವೊ ದೇವೇಶನಂ ಏಂ ಸೆಱೆವಿಡಿದೆ: ಪಂಪಭಾ, ೧೦. ೧೨೧)"
ಏ ಕಜ್ಜಂ,"ಆಗಬೇಕಾದುದೇನು, ಏನು ಉಪಯೋಗ? (ರವಿರಶ್ಮಿಗಳ್ ಪುಗಲೆವೇಡ ಈ ರಶ್ಮಿಗಳ್ ಸಾಲ್ಗುಂ ಇಂತೇ ಕಜ್ಜಂ ಬೆಳಗು: ಆದಿಪು, ೬. ೧೦೪)"
ಏ ಕಾರಣಂ,"[ಸ] ಯಾವ ಕಾರಣದಿಂದ (ನಗೆಗಣ್ ಸೋರ್ವ ಕದುಷ್ಣವಾರಿಚಯದಿಂ ಬಿಂಬಾಧರಂ ಸುಯ್ಯ ಬೆಂಕೆಗಳಿಂ ನಾಡೆ ಬೆಡಂಗುಗೆಟ್ಟ ಇರವು ಇದಿಂತೇಕಾರಣಂ: ಪಂಪಭಾ, ೪. ೬೮)"
ಏಂ ಗಳ,"ಏನಪ್ಪಾ! ಹಾಗಲ್ಲವೇ (ಪಸಿವನಾಮೇಗೊಂಡು ಏಂ ಗಳ ಗೆಯ್ವೆವು: ಆದಿಪು, ೭. ೭೩)"
ಏಂ ಪಿರಿದೋ,"ಏನು ದೊಡ್ಡದೋ! (ಕೊಡಗೂಸುತನದ ಭಯದಿಂ ನಡುಗುವ ಕನ್ನಿಕೆಯ ಬೆಮರ ನೀರ್ಗಳ ಪೊನಲೊೞ್ಕುಡಿಯಲ್ ಒಡಗೂಡೆ ಗಂಗೆಯ ಮಡು ಕರೆಗಣ್ಮಿದುದು ನಾಣ ಪೆಂಪೇಂ ಪಿರಿದೋ: ಪಂಪಭಾ, ೧. ೯೨)"
ಏಕಕಾರ್ಯಾಳೋಚನಪರ,"[ನಾ] ಒಂದೇ ಕಾರ್ಯದ ಬಗ್ಗೆ ಆಸಕ್ತರಾದ[ವರು] (ಎಂದು ತಮ್ಮೊಳ್ ಅಯ್ವರುಂ ಏಕಕಾರ್ಯಾಳೋಚನಪರರಾಗಿ ದ್ವೈತವನದೊಳ್ ಅದ್ವೈತಸಾಹಸರಿರ್ಪನ್ನೆಗಂ: ಪಂಪಭಾ, ೭. ೩೦ ವ)"
ಏಕಗ್ರಾಹಿ,"[ನಾ] ಒಂದೇ ಪಟ್ಟು ಹಿಡಿದವನು. ಹಟಮಾರಿ (ಕಣ್ಗಾಣದ ಇಂತಪ್ಪ ಏಕಗ್ರಾಹಿಗಂ ಒಱಂಟಂಗಂ ರಥಮಂ ಎಸಗೆಂ ಎಂದು ವರೂಥದಿಂದ ಇೞಿದು ಪೋಗೆ: ಪಂಪಭಾ, ೧೨. ೨೦೫ ವ)"
ಏಕಚ್ಛತ್ರಚ್ಛಾಯೆ,"[ನಾ] ಒಂದೇ ಕೊಡೆಯ ನೆರಳು, ಒಬ್ಬ ರಾಜನ ಆಳ್ವಿಕೆ (ಅಂತು ಭರತಂ ಭರತಮಂಡಲಮಂ ಏಕಛತ್ರಚ್ಛಾಯೆಯಿಂದಂ ಪ್ರತಿಪಾಲಿಸುತ್ತಮಿರೆಯಿರೆ: ಆದಿಪು, ೫. ೪ ವ)"
ಏಕತ್ವ,"[ನಾ] ಷೋಡಶಭಾವನೆಗಳಲ್ಲಿ ಒಂದು (ಮಮತ್ವಮಂ ಬಿಸುಟು ನೀನೇಕತ್ವಮಂ ಭವ್ಯ ಭಾವಿಸು ನಿನ್ನೀ ತನುವಂ ತಪೋವನವನಕ್ರೀಡಾಸುಖಕ್ಕೊಡ್ಡು: ಆದಿಪು, ೨. ೪೭)"
