page,1
ಒಕ್ಕಲಿಕ್ಕು,"[ಕ್ರಿ] ಒಕ್ಕಣೆ ಮಾಡು, ಬಡಿ (ಅಂತು ತನ್ನ ಬಲಮೆಲ್ಲಮಂ ಜವನಂತೆ ಒಕ್ಕಲಿಕ್ಕಿ ಕೊಲ್ವ ಕಳಶಕೇತನನಂ: ಪಂಪಭಾ, ೧೨. ೨೧ ವ)"
ಒಕ್ಕಲಿಗ,"[ನಾ] ಬೇಸಾಯ ಮಾಡುವವನು (ಮಲೆ ತಲೆದೋಱದೆಂದುದನೆ ಕೊಟ್ಟುದು ಡಂಗಮಡಂಗಿ ಬಂದುದು ಒಕ್ಕಲಿಗವೆಸರ್ಗೆ ಪೂಣ್ದುದು: ಪಂಪಭಾ, ೨. ೯೦)"
ಒಕ್ಕಲ್,"[ನಾ] ಮನೆತನ (ಮಲೆಪರ್ ಮಂಡಳಿಕರ್ ಕಱುಂಬರ್ ಅದಟರ್ ವೀರರ್ಕಳುಂ ತಮ್ಮ ಬಾೞ್ದಲೆಯಂ ಬೇಡಿದ ವಸ್ತುವಾಹನಮುಮಂ ಮುಂದಿಟ್ಟು ಮೂವಿಟ್ಟಿಯ ಒಕ್ಕಲವೋಲ್ ಇಂ ಬೆಸಕಯ್ಯೆ ಸಂತಮಿರುತುಂ: ಪಂಪಭಾ, ೯. ೧೦)"
ಒಕ್ಕು,"[ಕ್ರಿ] [√ಉಗು] ಪೈರಿನಿಂದ ಕಾಳನ್ನು ಬೇರ್ಪಡಿಸು (ಸ್ತಂಬಕರ್ಯಾದಿ ನಾನಾವಿಧ ಧಾನ್ಯಂಗಳಂ ಪದನಱಿದುಡುಗುವ ಕಣಂ ಮಾಡುವ ಒಕ್ಕುವ ಅಡುಕುವ ಬಯ್ತಿಡುವ ಅಕ್ಕಿ ಮಾಡುವ ವಿವಿಧ ಭಾಜನಂಗಳೊಳ್ ಅಡುವ: ಆದಿಪು, ೬. ೭೭ ವ); [ಕ್ರಿ] ಹೊರಕ್ಕೆ ಸುರಿ (ತಿಸುಳದೊಳ್ ಉಚ್ಚಳಿಪ್ಪ ಪೊಸನೆತ್ತರೆ ಕೆಂದಳಿರಾಗೆ ಕಣ್ಗೆ ಅಗುರ್ವಿಸುವಿನಂ ಒಕ್ಕು ನೇಲ್ವ ಕರುಳೋಳಿಯೆ ಬಾಳಮೃಣಾಳಮಾಗೆ: ಪಂಪಭಾ, ೧. ೬); [ಕ್ರಿ] ತೊರೆ, ಅವಗಣಿಸು (ಭಯಮುಂ ಲೋಭಮುಂ ಎಂಬ ತಮ್ಮುತೆರಡುಂ ಪಾಪಕ್ಕೆ ಪಕ್ಕಾಗೆ ಪಾೞಿಯನೊಕ್ಕು ಆಳ್ದನ ಗೆಯ್ದ ಸತ್ಕೃತಮುಂ ಪಿಂತಿಕ್ಕಿ: ಪಂಪಭಾ, ೯. ೮೪)"
ಒಗಸುಗ,"[ನಾ] ಅಸಾಧಾರಣ (ಮೆಲ್ಪಿನ ತೊದಳ್ನುಡಿಗಪ್ಪೊಡಮೆಯ್ದೆವಾರವು ಏಂ ಒಗಸುಗಂ ಎಂದು ತಳ್ತಗಲನಾಕೆಯಂ ಲಲಿತಾಂಗವಲ್ಲಭಂ: ಆದಿಪು, ೨. ೭೫); [ನಾ] ಅತಿಶಯ (ಅಗಲುರಮಂ ಎನಗೆ ಪಡೆದ ಅಜನ ಒಗಸುಗಂ ಅಲ್ತು ಎಲಗೆ ನಿನ್ನನೆನಗೆಯೆ ಪಡೆದಂ: ಪಂಪಭಾ, ೮. ೬೭)"
ಒಗೆ,"[ಕ್ರಿ] ಹುಟ್ಟು, ಕಾಣಿಸಿಕೊ (ಕಮಲೋದ್ಭವನ ಅಮಳಿನ ಹೃತ್ಕಮಲದೊಳ್ ಒಗೆದರ್ ಸುರೇಂದ್ರಧರಕರ್ ಆ ವಾಗಮಳರ್ ನೆಗೞ್ದಿರ್ದರ್ ಪುಲಹ ಮರೀಚಿ ಅತ್ರಿ ಅಂಗಿರಸ ಪುಳಸ್ತ್ಯ ಕ್ರತುಗಳ್: ಪಂಪಭಾ, ೧. ೬೦); [ಕ್ರಿ] ಉಂಟಾಗು (ಅಂತೊಗೆದ ಅನೇಕ ಉತ್ಪಾತಂಗಳಂ ಕಂಡು ಚದುರವಿದುರಂ ಇಂತೆಂದಂ: ಪಂಪಭಾ, ೧. ೧೩೨ ವ); [ಕ್ರಿ] ಚಿಮ್ಮು (ಬಿಗಿದೊಗೆದ ನಿನ್ನ ಮೊಲೆಗಳ ಮೃಗಮದದ ಪುಳಿಂಚುಗಳ್ ಪಗಿಲ್ತಿರಲ್ ಎಡೆಯಾದ ಅಗಲುರಮನೆನಗೆ ಪಡೆದಜನೊಗಸುಗಮಲ್ತೆಲಗೆ ನಿನ್ನನೆನಗೆಯೆ ಪಡೆದಂ: ಪಂಪಭಾ, ೮. ೬೭)"
ಒಗೆತರ್,"[ಕ್ರಿ] ಹೊರಬಾ (ಒಡನುಣ್ಮಿ ಭೋಂಕೆನೊಗೆತರ್ಪ ಮಹೋರಗನೆಯ್ದೆ ಪಲ್ಗಳರ್ದೊಡೆ ಕಿಡಿವೀೞೆ ನೆತ್ತರೊಱೆದುರ್ಚುಗೆ ಕೊಂಡುದು ತತ್ತಪಸ್ವಿಯಂ: ಆದಿಪು, ೨. ೪೦); [ಕ್ರಿ] ಹುಟ್ಟಿ ಬರು (ಮುಂ ಬೇಡಿದ ವರಮಂ ಕುಡದೆ ಅಂಬುಜಮುಖಿ ಪುತ್ರನೆನ್ನ ದೊರೆಯಂ ನಿನಗಕ್ಕೆ ಎಂಬುದುಂ ಒದವಿದ ಗರ್ಭದೊಳಂಬುಜಮಿತ್ರನನೆ ಪೋಲ್ವ ಮಗನೊಗೆತಂದಂ: ಪಂಪಭಾ, ೧. ೯೪)"
ಒಟ್ಟಜೆ,"[ನಾ] ಅತಿಶಯ (ತನ್ನ ನಣ್ಪಂ ಒಟ್ಟಜೆಯಿಂ ತೋಱಿ ವಜ್ರಬಾಹುಮಹೀಪತಿಯಂ ಕರೆದುಂ: ಆದಿಪು, ೪. ೫೨ ವ); [ನಾ] ಅತಿಶಯತ್ವ (ಕಟ್ಟಾಯದೊಳ್ ಅಳವು ಅಳವಿನೊಳ್ ಒಟ್ಟಜೆ ಪುಟ್ಟಿದುದು ಪೋಲ್ವರಾರ್ ಬದ್ದೆಗನಂ: ಪಂಪಭಾ, ೧. ೨೪); [ನಾ] ಬಲಾತ್ಕಾರ (ಕೂರದರ್ ನೆಲನಂ ಒಟ್ಟಜೆಯಿಂ ಕೊಳೆ ಕೊಟ್ಟು ಮುಟ್ಟುಗೆಟ್ಟು ಇನ್ನುಂ ಅರಣ್ಯದೊಳ್ ನಮೆದಪಂ ಯಮನಂದನಂ: ಪಂಪಭಾ, ೭. ೫೫); [ನಾ] ಪರಾಕ್ರಮ (ವಿಜಿಗೀಷುತ್ವದೊಳ್ .. .. ರಣದೊಳ್ ಭೂಭಾಗಮಂ ನೆಟ್ಟನೆ ಒಟ್ಟಜೆಯಿಂದ ಅಂಜಿಸಿ ಕೊಳ್ಳದಿರ್ಪರೆ: ಪಂಪಭಾ, ೯. ೪೭); [ನಾ] ಪುಂಜ (ಎತ್ತಿಕೊಂಡ ಶ್ರುತಿಯಂ ಪಲ್ಲಟಿಸದೆಯುಂ ಮತ್ತಂ ಪರಿಚ್ಛೇದಂಗಳಂ ಅಱಿದುಂ ಒಟ್ಟಜೆಯ ರಾಜಿಯಿಂ ಕಣ್ಗಳಿಂಚರದೊಳಂ ಪೊಂಪುೞಿವೋಗೆ: ಪಂಪಭಾ, ೧೪. ೩೦ ವ)"
ಒಟ್ಟಲ್,"[ಕ್ರಿ] ರಾಶಿಹಾಕು (ವಿಸಸನದೊಳ್ ವಿರೋಧಿನೃಪರಂ ತಱಿದೊಟ್ಟಲುಂ ಅರ್ಥಿಗರ್ಥಮಂ ಕಸವಿನ ಲೆಕ್ಕಮೆಂದು ಕುಡಲುಂ: ಪಂಪಭಾ, ೧. ೧೧೭)"
