page,1
ಓ,"[ಕ್ರಿ] ಪ್ರೀತಿಸು (ಧರಾಭರಮನಶೇಷಮಂ ನಿಜತನೂಭವರ್ಗೆ ಓವದೆ ಪಚ್ಚುಕೊಟ್ಟು: ಆದಿಪು, ೯. ೭೫); [ಕ್ರಿ] ಸಲಹು (ಆವ ಅಲರುಂ ಪಣ್ಣುಂ ಬೀತು ಓವುವು ಗಡ ಬೀಯವಲ್ಲಿ ಮಲ್ಲಿಗೆಗಳುಂ ಇಮ್ಮಾವುಗಳುಂ ಎಂದೊಡೆ ಇಂ ಪೆಱತಾವುದು ಸಂಸಾರಸಾರಸರ್ವಸ್ವಫಲಂ: ಪಂಪಭಾ, ೧. ೫೫); [ಕ್ರಿ] ಗೌರವ (ಇವರೆಮ್ಮ ಆಚಾರ್ಯರೆಂದೋವದೆ ಏರ್ವೆಸನಂ ಮಾಣದೆ ಕೈದುಗೊಳ್: ಪಂಪಭಾ, ೧. ೭೮); [ಕ್ರಿ] ಕಾಮಿಸು (ಸನ್ನತದಿಂ ರತಕ್ಕೆಳಸಿ ನಲ್ಲಲೊಳೋತು ಒಡಗೂಡಿದೆನ್ನನಿಂತು ಅನ್ನೆಯಂ ಎಚ್ಚುದರ್ಕೆ ಪೆಱತಿಲ್ಲದು ದಂಡಂ: ಪಂಪಭಾ, ೧. ೧೧೨); [ಕ್ರಿ] ಕಾಪಾಡು (ಎರ್ದೆಯೊಳ್ ತಡಮಾಡೆ ಬೇಟದುದ್ದಾನಿಯನಾನೆ ಮನ್ಮಥಮಹೀಭುಜನೋವದೆ ತೋಱಿಕೊಟ್ಟುದೊಂದಾನೆಯೆ: ಪಂಪಭಾ, ೪. ೫೮); [ಕ್ರಿ] ಉಪಚರಿಸು (ಅೞಿಯೆ ನೊಂದ ತಮ್ಮ ಅಣುಗಾಳ್ಗಳ ಕೊಂಡಾಟದಾನೆಗಳ ನಚ್ಚಿನ ಕುದುರೆಗಳ ಪುಣ್ಗಳಂ ಉಡಿಯಲುಂ ಓವಲುಂ ಮರ್ದುಬೆಜ್ಜರುಮಂ ಅಟ್ಟುತ್ತುಂ: ಪಂಪಭಾ, ೧೧. ೨ ವ)"
ಓ ಓ,"[ಅ] ಕಾಪಾಡಿ ಕಾಪಾಡಿ (ಆವರಿಸಿತ್ತೊ ನಭೋಂತರ್ಭೂವಿವರಮಂ ಅಮರ್ದಿನೆಸಕಂ ಎನೆ ಬಿರಯಿಗಳ್ ಓ ಓ ಇದು ಮದನನ ಸೋದನದೀವಿಗೆಯೆನೆ ತೊಳಗಿ ಬೆಳಗಿದುದು ತುಹಿನಕರಂ: ಪಂಪಭಾ, ೪. ೫೨)"
ಓಕುಳಿ,"[ನಾ] ಬಣ್ಣದ ನೀರು (ಮುತ್ತಿನ ಪಚ್ಚೆ ಮಾಣಿಕದ ವಜ್ರದ ಕೇೞಿಯೊಳ್ ಒಂದಿ ಸಾಂದಿನೊಳ್ ಕತ್ತುರಿಯೊಂದು ಕೋೞ್ಗೆಸಱೊಳ್ ಓಕುಳಿ ಚಂದನ ಗಂಧವಾರಿಯೊಳ್ ಸುತ್ತಲುಂ ಅೞ್ಕಱಂ ಪಡೆವ ಗೇಯದ ಪೆಂಪಿನ ಅಲಂಪಂ ಆರ್ಗಂ ಆರ್ತಿತ್ತುದು ಪಟ್ಟಬಂಧ ಮಹೋತ್ಸವಂ ಆ ಪಡೆಮೆಚ್ಚೆ ಗಂಡನಾ: ಪಂಪಭಾ, ೧೪. ೨೦)"
ಓಗಡಿಸು,"[ಕ್ರಿ] [ಓಗಡ+ಇಸು; ಓಗಡ<(ಪ್ರಾ) ಓಕ್ಕಡ್ಢ< (ಸಂ) ಅಪಕೃಷ್ಟ] ಹಾಳಾಗು (ಮೂರ್ಖಜಡಜನಾರಣ್ಯದೊಳ್ ಇಂಪು ಓಗಡಿಸಿದ ಕವಿಶಬ್ದಮದು ಏಗೆಯ್ದುದು ಅರಣ್ಯರುದಿತಂ ಬಗೆವಾಗಳ್: ಆದಿಪು, ೧. ೨೩); [ಕ್ರಿ] ಬೇಸರ ತೋರು (ಪೂಮಾಲೆಯಂ ಓಗಡಿಸದೆ ಕುಡುವಮರಿ ಕಲ್ಪಲತೆಯಂ ಪೋಲ್ತಳ್: ಆದಿಪು, ೭. ೧೧); [ಕ್ರಿ] ತಡೆದುಕೊ (ಅಗಲ್ವೆಡೆಯೊಳ್ ಇನ್ನಿರೆನೆಂದೊಡೆ ಕಣ್ಣ ನೀರ್ಗಳಂ ಓಗಡಿಸದೆ ಸೂಸೆ ಗಗ್ಗರಿಕೆಗೊಂಡುದನಾಂ ನೆನೆವೆಂ ಲತಾಂಗಿಯಾ: ಆದಿಪು, ೧೨. ೩೨); [ಕ್ರಿ] ಅಸಹ್ಯಪಡು (ಕಣ್ಣೀರ ಪೂರಂ ಆ ಪ್ರೇತಮಂ ಓಗಡಿಸದೆ ಸುಡುವುದು ಗಡಂ ಇನ್ನುಡುಗುವುದೀ ಶೋಕಮಂ: ಪಂಪಭಾ, ೨. ೨೮); [ಕ್ರಿ] ಹಿಂಜರಿದು ಹೋಗು (ಮುಗಿಲ್ಗಳ ಕರ್ಪು ಪೀನಂ ಓಗಡಿಸಿದುದು ಇಂದುಮಂಡಲದ ಕರ್ಪೆಸೆದತ್ತು: ಪಂಪಭಾ, ೭. ೬೯); [ಕ್ರಿ] ಹೋಗಲಾಡಿಸು, ಕೆಡಿಸು (ನಡೆದುದು ಬಾಳಕಾಲದೊಳೆ ತೊಟ್ಟು ಎನಗೆ ಅಂಕದ ಶೌಚವೀಗಳ್ ಓಗಡಿಪುದೆ: ಪಂಪಭಾ, ೧೧. ೪೬)"
ಓಗಂಬಾಡು,"[ನಾ] ಸುಪ್ರಭಾತ ಹಾಡು (ನಿನಗೆ ಓಗಂಬಾಡುವ ಯುವತಿನಿಕಾಯದ ದನಿಗೆ ಸೆಣಸುವಂತೆವೊಲ್ .. .. ಮೊರೆವುವಳಿಗಳ ಬಳಗಂ: ಆದಿಪು, ೧೨. ೫೦)"
ಓಗರಗಂಪು,"[ನಾ] ಬೆರಕೆ ಗಂಧ, ಸಮ್ಮಿಶ್ರಗಂಧ (ಜೊಂಪದಲರ್ವಾಸುಗಳೊಳ್ ನೆಲಸಿತ್ತು ಪೂತ ಗೊಜ್ಜಗೆಗಳ ಸಿಂದುರಂಗಳೊಳಗೆ ಓಗರಗಂಪನೆ ಬೀಱುತಿರ್ಪ: ಪಂಪಭಾ, ೫. ೩೦)"
ಓಗರವೂ,"[ನಾ] ಬೆರಕೆ ಹೂ (ಓಗರವೂಗಳ ಬಂಡಂ ಎಯ್ದೆ ಪೀರುತ್ತ ಒಡವಂದುವು ಇಂದ್ರವನದಿಂ ಮಱಿದುಂಬಿಗಳ್; ಪಂಪಭಾ, ೧೧. ೮೧)"
ಓಘ,"[ನಾ] ಚಲಿಸುವ ಸಮೂಹ (ಪೌರಾಂಗನಾ ವಶೀಕರಣ ಚೂರ್ಣಮಾದುದು ಬಳೌಘಧೂಳೀಚಯಂ: ಆದಿಪು, ೧೧. ೧೫)"
ಓಘಪ್ರತೀತ,"[ನಾ] ಪರಂಪರೆಯಲ್ಲಿ ಪ್ರಸಿದ್ಧವಾದ (ಅತನುರಸೋಪೇತ ವಿಳಂಬಿತ ಮಧ್ಯ ದ್ರುತಲಯಂಗಳೊಳ್ ಲಕ್ಷಣಸಂಯುತ ತತ್ತ್ವಾನುಗತೌಘಪ್ರತೀತವಾದ್ಯಂಗಳೆಸೆದುವು: ಆದಿಪು, ೯. ೨೩)"
ಓಘಮೇಘಮಾಗು,"[ಕ್ರಿ] ಧಾರಾಕಾರ ಸುರಿ (ಮೇಘಮುಖರೆನಿಸಿ ಸಂದುರಗೌಘದಿನಂದು ಓಘಮೇಘಮಾದೊಡೆ ಮೞೆ: ಆದಿಪು, ೧೪. ೭೧)"
ಓಜ,"[ನಾ] ಒವಜ [ಉಪಾಧ್ಯಾಯ] ಗುರು (ಮತ್ತುೞಿದ ವಿದ್ಯೆಗಳ್ ಓಜರೆ ಚಟ್ಟರ್ ಎಂಬಿನಂ ನೆರೆದುವು ಗಳ ತನ್ನೊಳಾರ್ ದೊರೆ ಗುಣಾರ್ಣವನಂತು ಕುಶಾಗ್ರಬುದ್ಧಿಗಳ್: ಪಂಪಭಾ, ೨. ೩೪)"
ಓಜನ ಸಾಲೆ,"[ನಾ] ವಾಜರಶಾಲೆ, ಕಮ್ಮಾರನ ಸಾಲೆ (ಆಗಳ್ ಆಱುಂ ಋತುಗಳ ಪೂಗಳಂ ಒಂದುಮಾಡಿ ಪೂವಿನಂಬುಗಳಂ ಪಣ್ಣಲೆಂದು ಕಾಮದೇವಂ ಮಾಡಿದ ಓಜನ ಸಾಲೆಯಿರ್ಪಂತಿರ್ಪ ಪೂವಿನ ಸಂತೆಯೊಳ್: ಪಂಪಭಾ, ೪. ೮೦ ವ)"
ಓಜೆ,"[ನಾ] ಧಾಟಿ (ತಂದೆಯ ಚೆಲ್ವೆ ತಂದೆಯೊಂದಂದಮೆ ತಂದೆಯೊಂದು ನಿಡಿಯ ಓಜೆಯೆ ತನ್ನೊಳಮರ್ಕೆವೆತ್ತುದು: ಆದಿಪು, ೮. ೪೩); [ನಾ] ಕ್ರಮ (ಯಥಾ ರಾಜಾ ತಥಾ ಪ್ರಜಾ ಎಂಬವೊಲ್ ಓಜೆಗೊಂಡು ಧರ್ಮಪ್ರಿಯರಾದರ್ ಪ್ರಜೆಗಳುಂ: ಆದಿಪು, ೧೬. ೪೦); [ನಾ] ರೀತಿ (ಒದವಿದ ನೂಲ ತೊಂಗಲುಲಿ ದೇಸೆಯನಾಂತು ವಿಳಾಸದಿಂದಿಱುಂಕಿದ ನಿಱಿ ಗಂಡರಳ್ಳೆರ್ದೆಗಳಂ ತುೞಿವೋಜೆಯನುಂಟುಮಾಡುವಂದದೆ: ಪಂಪಭಾ, ೪. ೩೫)"
ಓಜೆಗೊಳ್,"[ಕ್ರಿ] ಕ್ರಮ ಅನುಸರಿಸು (ಯಥಾ ರಾಜಾ ತಥಾ ಪ್ರಜಾ ಎಂಬವೊಲ್ ಓಜೆಗೊಂಡು ಧರ್ಮಪ್ರಿಯರಾದರ್ ಪ್ರಜೆಗಳುಂ ಸಮಸ್ತಾವನಿಯೊಳ್: ಆದಿಪು, ೧೬. ೪೦)"
ಓಡ,"[ನಾ] ತೆಪ್ಪ, ದೋಣಿ (ಸಾಸಿರ್ವರ್ ಏಱಿದೊಡಲ್ಲದೆ ಈ ಓಡಂ ನಡೆಯದು ಎಂಬುದುಂ ಆಂ ಅನಿಬರ ಬಿಣ್ಪುಮಪ್ಪೆಂ ಏಱಿಸೆಂದೊಡೆ ಗೆಯ್ವೆಂ ಎಂದೊಡಂ ಏಱಿಸಿ ನಡೆಯಿಸುವಲ್ಲಿ: ಪಂಪಭಾ, ೧. ೬೮ ವ)"
