page,1
ಕಃ ಕೇನಾರ್ಥಿ ಕೋ ದರಿದ್ರಃ,"ಯಾರು ಏನನ್ನು ಬೇಡುತ್ತಾನೆ, ಯಾರು ಬಡವ (ಆ ದೀನಾನಾಥರ್ಗೆ ವೃದ್ಧದ್ವಿಜಮುನಿನಿಕರಕ್ಕೆ ಅಂದು ಎಡಱು ಪೋಪಿನಂ ಕಃ ಕೇನಾರ್ಥೀ ಕೋ ದರಿದ್ರಃ ಎನುತುಂ ಅನಿತುಮಂ ಧರ್ಮಜಂ ಸೂಱೆಗೊಟ್ಟಂ: ಪಂಪಭಾ, ೬. ೪೦)"
ಕಂಕಣವಾರ,"[ನಾ] ಬಳೆಗಳ ಸಾಲು [ಕಂಕಣ+ಆರ=ಕಂಕಣ ಮತ್ತು ಹಾರ] (ಮೆಲ್ಲನೆ ವಕುಲ ಆಳವಾಳತಳದೊಳ್ ಸುರಿದ ಅಂಬುಜಸೂತ್ರದಿಂದೆ ಮತ್ತನಿತಱೊಳಂ ಮುಗುಳ್ಸರಿಗೆ ತೋಳ್ವಳೆ ಕಂಕಣವಾರಮೆಂದು ಬೇೞ್ಪನಿತನೆ ಮಾಡಿ: ಪಂಪಭಾ, ೨. ೧೬)"
ಕಕುದ,"[ನಾ] ರಾಜಚಿಹ್ನ (ಸ್ನೇಹನಿಗಳದಿಂದಮೆ ತೊಡರ್ದು ಆ ಧವಳಾತಪವಾರಣ ಕಕುದವಿಭೂತಿಯನುೞಿದು ನೆಗೞ್ದು ಉಪಾಸಕನಾದಂ: ಆದಿಪು, ೬. ೬)"
ಕಕುದ್ದೇಶ,"[ನಾ] ಪರ್ವತಪ್ರದೇಶ (ತದ್ಗಿರೀಂದ್ರೋತ್ತರ ಕಕುದ್ದೇಶದ ಸ್ಫಟಿಕ ಅಂಜನ ಕಾಂಚನ ರಜತ ರುಚಕ ಕುಂಡಳ ರುಚಿರ ಸುದರ್ಶನಂಗಳೆಂಬ ಎಂಟು ಕೂಟಂಗಳೊಳ್: ಆದಿಪು, ೭. ೩ ವ)"
ಕಕುಭ,"[ನಾ] ಮತ್ತಿಯ ಗಿಡ (ಕಕುಭ ಅಶೋಕ ಕದಂಬ ಲುಂಗ ಲವಲೀಭೂಜ ಆರ್ಜುನ ಅನೋಕಹ ಪ್ರಕರಂ: ಪಂಪಭಾ, ೫. ೮೦)"
ಕಂಕೇಲಿ,"[ನಾ] ಕಂಕೆಲ್ಲಿ, ಅಶೋಕವೃಕ್ಷ (ಪುಣ್ಯಾಂಬು ಪೂರ್ಣಕುಂಭಾಗ್ರಮುಚಿತ ಕಂಕೇಲಿಪಲ್ಲವೋಲ್ಲಾಸರಚಿತ: ಆದಿಪು, ೪. ೩೦ ರಗಳೆ)"
ಕಕ್ಕಡೆ,"[ನಾ] ಗರಗಸದಂತೆ ಬಾಯುಳ್ಳ ಒಂದು ಬಗೆಯ ಆಯುಧ (ನಡುವ ಸರಲ್ಗೆ ಮೆಯ್ಯೊಳ್ ಅಡಂಗುವ ಸಂಕುಗೆ ದಿಂಕುಗೊಳ್ವ ಕಕ್ಕಡೆಗೆ ಇದಿರ್ ಉರ್ಚುವ .. .. ಪಂಪಭಾ, ೧೦. ೯೪)"
ಕಕ್ಕಂಬು,"[ನಾ] ಒಂದು ಬಗೆಯ ಬಾಣ, ಮುಳ್ಳಿನ ಬಾಣ (ನೆಱನರಿವ ಕಣೆ ಗೆಲೆಯಂಬು ಕಕ್ಕಂಬು ಕೆಲ್ಲಂಬು ಮೊನೆಯಂಬು ತೀವೆ ಕಣ್ಣಂ: ಪಂಪಭಾ, ೧೩. ೩೯)"
ಕಕ್ಕರ,"[ನಾ] ಒಂದು ಬಗೆಯ ಮದ್ಯ (ಈ ಕಕ್ಕರಕ್ಕಿಂತುಟಪ್ಪುದು ಕಳ್ಳಪ್ಪುದು ತಪ್ಪದೆಂದು ಕುಡಿದರ್ ಕಾಮಾಂಗಮಂ ಕಾಂತೆಯರ್: ಪಂಪಭಾ, ೪. ೮೮)"
