page,1
ಖಂಡ,"[ನಾ] ಗುಂಪು, ಸಮೂಹ (ನಾಗರ ಖಂಡಂಗಳಂ ಆ ನಾಗರ ಖಂಡದೊಳೆ ತೊಡರೆ ನರಂ ಇಸುವುದುಂ ನಾಗರ ಖಂಡಂಗಳುಮಂ ನಾಗರ ಖಂಡಮುಮಂ ಅಳುರ್ದುಕೊಂಡಂ ದಹನಂ: ಪಂಪಭಾ, ೮೯); [ನಾ] ಮಾಂಸಖಂಡ (ನಾಟಕಶಾಲೆಯೊಳ್ ಎಯ್ದೆ ರಕ್ತಪುಷ್ಪಾಂಜಳಿಗೆಯ್ದ ಮಾೞ್ಕೆಯವೊಲಿರ್ದುದು ಸೂಸಿದ ಖಂಡದಿಂಡೆಗಳ್: ಪಂಪಭಾ, ೮. ೭೮)"
ಖಂಡನೀಯ,"[ಗು] ಮುರಿಯುವ (ಅಲ್ಪದಶನಮಾತ್ರ ಖಂಡನೀಯ ಮಂಡಕಮುಮಂ: ಆದಿಪು, ೧೧. ೨೬ ವ)"
ಖಂಡಾತ್,"[ಭರತ] ಖಂಡದಿಂದ (ಆಸೇತೋ ರಾಮಚಾಪ ಅಟನಿತಟಯುಗ ಟಂಕ ಅಂಕಿತ ಆಖಂಡಖಂಡಾತ್: ಪಂಪಭಾ, ೧೪. ೨೭)"
ಖಡ್ಗಧೇನುಕ,"[ನಾ] ಕಿರುಗತ್ತಿ, ಸುರಗಿ (ಗುಪ್ತಗುಲ್ಮಾಂತರಪ್ರಾಪ್ತ ಖಡ್ಗಧೇನುಕಮಾಂಧ್ರದಾನುಷ್ಕಬಳಂ: ಆದಿಪು, ೧೩. ೪೫ ವ)"
ಖಡ್ಗರತ್ನ,"[ನಾ] [ಜೈನ] ಭರತ ಚಕ್ರವರ್ತಿಯ ಏಳು ಅಜೀವರತ್ನಗಳಲ್ಲಿ ಒಂದು (ಆ ನೆಗೞ್ದ ಸಮರಕಳಕಳಮಂ ಕೇಳ್ದಿದೇನೆಂದು ಭರತೇಶ್ವರಚಕ್ರವರ್ತಿ ಖಡ್ಗರತ್ನಕ್ಕೆ ಕೈಯಂ ನೀಡಿದಾಗಳ್: ಆದಿಪು, ೧೩. ೬೬ ವ)"
ಖಡ್ಗಿ,"[ನಾ] ಖಡ್ಗಧಾರಿ (ತುರಂಗಸೈನ್ಯಂ ಉರ್ಕುಡುಗದೆ ಬರ್ಪ ನಾಯಕಬಲಂ ರಥಸಂತತಿ ಖಡ್ಗಿವೃಂದಂ: ಆದಿಪು, ೪. ೯೨); [ನಾ] ಖಡ್ಗಮೃಗ (ಇಭಖಡ್ಗಿವ್ರಾತ ನಾನಾ ಹರಿಮಯ ಕಟಕಭ್ರಾಂಜಿತ ತುಂಗವಂಶಪ್ರಭವಂ: ಆದಿಪು, ೧೩. ೪೬)"
ಖದಿರಗುಳಿಕಾ,"[ನಾ] ಕಾಚಿನ ಗುಳಿಗೆ (ಮೃಗಮದಖದಿರಗುಳಿಕಾ ಬಹಳಕರ್ಪೂರಪಾಳೀಸಂಮಿಶ್ರ ತಾಂಬೂಲದ್ವಿಗುಣಿತ ವದನಾರವಿಂದಾಮೋದನುಮಾಗಿ: ಆದಿಪು, ೧೧. ೨೭ ವ)"
ಖದ್ಯೋತ,"[ನಾ] ಮಿಣುಕು ಹುಳು (ಸಮಸ್ತ ಉರ್ವೀಧರ ಅಶೇಷ ಶೇಷ ಮಹಾನಾಗಫಣಾಮಣಿ ದ್ಯುತಿಯನೇಂ ಖದ್ಯೋತದೊಳ್ ಕಾಣ್ಬರೇ: ಪಂಪಭಾ, ೫. ೭೬)"
ಖರ,"[ನಾ] ಕತ್ತೆ (ವಾನರ ವಾರಣ ಉಷ್ಟ್ರ ಖರ ಮತ್ಸ್ಯ ಕಳೇವರ ಪೂತಿಗಂಧಮೇನೇನೊಳವುಳ್ಳುವೊಂದೆಡೆಗೆ ಬಂದುಂ ಅವಂದಿರ ಮೆಯ್ಯ ಗಂಧದುದ್ದಾನಿಗೆ ವಾರದು: ಆದಿಪು, ೫. ೯೦); [ಗು] ತೀಕ್ಷ್ಣವಾದ (ಭರತನ ಮುಖದೊಳ್ ಪರ್ವಿದ ಖರಕೋಪಾನಳನನೆಯ್ದೆ ನಂದಿಸುವವೊಲ್: ಆದಿಪು, ೧೪. ೧೦೭); [ಗು] ಬಲವಾದ (ಸುಭಟಾರೂಢತುರಂಗಮ ವೇಗಬಲಪತಿತ ಖರಖುರಟಂಕ ಪರಿಸ್ಖಲನಕಳಿತ ವಿಷಮಸಮರಭೆರೀನಿಸ್ವನಮುಂ: ಪಂಪಭಾ, ೧೩. ೫೧ ವ)"
ಖರಕರ,"[ನಾ] ತೀಕ್ಷ್ಣಕಿರಣ[ಗಳುಳ್ಳವನು] ಸೂರ್ಯ (ಖರಕರಸಮಪ್ರಭಂ ಚಕ್ರರತ್ನಂ ಒಡವುಟ್ಟೆ ಪುಟ್ಟಿದೆರಡೊಸಗೆಯೊಳಂ: ಆದಿಪು, ೩. ೨೭)"
ಖರಕರಬಿಂಬ,"[ನಾ] ಸೂರ್ಯಮಂಡಲ (ಖರಕರಬಿಂಬದಿಂ ಕಿರಣಸಂತತಿಗಳ್ ಪೊಱಪೊಣ್ಮಿದಪ್ಪುವು ಎಂಬರ ನುಡಿ ಪೋಲ್ವೆವೆತ್ತುದು ಎನೆ: ಪಂಪಭಾ, ೧೨. ೭೩)"
ಖರಕಿರಣ,"[ನಾ] ಸೂರ್ಯ (ಖರಕಿರಣಸ್ಫುರಿತಕ್ಕಿದಿರುರಿವಂತಿರೆ ಸಾಮದಿಂದಳವಡಿಸಿ ನೋಡುವೆಂ: ಆದಿಪು, ೧೪. ೪೨)"
ಖರತನ,"[ನಾ] ತೀಕ್ಷ್ಣತೆ, ಉಗ್ರತೆ (ಖರಕಿರಣಂಗಳ ಕಾಯ್ಪಿನ ಖರತನದಿಂ ಚಂದ್ರಕಿರಣದುಜ್ಜಳಿಕೆಯಿಂ: ಆದಿಪು, ೧೧. ೭)"
ಖರಪರುಷ,"[ನಾ] ಕತ್ತೆಯ ದನಿಯಂತೆ ಕರ್ಕಶವಾದ (ಖರಪರುಷನಿನಾದರ್ ನಾರಕರ್ ಬರ್ದುತಿರ್ಪರ್: ಆದಿಪು, ೫. ೮೯)"
ಖರಸಾಣೆಗಾಣಿಸು,"[ನಾ] ಸಾಣೆ ಹಿಡಿ (ಮದನಾಸ್ತ್ರಂ ಖರಸಾಣೆಗಾಣಿಸಿದುದು ಎಂಬಂತಾಗೆ ನಿನ್ನೊಂದು ಕಂದಿದ ಮೆಯ್ ಎನ್ನಯ ತೋಳೊಳೊಂದೆ ಸಿರಿಯಂ ನೀನುಯ್ದು ತೊೞ್ತಾಳ್ದು ರಾಗದಿಂ ಎನ್ನೊಳ್ ಸುಕಮಿರ್ಪುದು: ಪಂಪಭಾ, ೮. ೬೬)"
ಖರಾಂಶು,"[ನಾ] ಖರಕರ (ಬೇಸಱೆ ಲೋಕಮಂ ತಗುಳ್ದು ಸುಟ್ಟ ಅೞಲಿಂದೆ ಖರಾಂಶು ನಾರಕಾವಾಸದೊಳ್ ಆೞ್ವವೋಲ್ ಅಪರವಾರ್ಧಿಯೊಳ್ ಆೞ್ವುದುಂ: ಪಂಪಭಾ, ೩. ೮೧)"
ಖರ್ವಡ,"[ನಾ] ಖರ್ವಟ, ನಗರ ಹಳ್ಳಿಗಳ ನಡುವಣ ಸ್ಥಿತಿಯ ಮತ್ತು ಬೆಟ್ಟಗಳ ನಡುವಿರುವ ಊರು (ಉರ್ವೀಧರನಿರುದ್ಧಂಗಳಪ್ಪ ಖರ್ವಡಂಗಳುಮಂ: ಆದಿಪು, ೮. ೬೩ ವ)"
ಖರ್ವಡನಿವಾಸಿ,"[ನಾ] ಬೆಟ್ಟದೂರುಗಳಲ್ಲಿ ವಾಸಿಸುವವರು (ಸರ್ವಸ್ವಮುಮಂ ಕುಡದಿರಲುರ್ವೀಪತಿ ಬಂದೊಡೆ ಆಗದು ಎಂದು ಅತಿಭಕ್ತರ್ ಖರ್ವಡನಿವಾಸಿಗಳ್: ಆದಿಪು, ೯. ೧೨೮);"
ಖರ್ವಿತ,"[ಗು] ನೆಗ್ಗಿದ, ಅಗೆದ (ಮತ್ತ ಮಾತಂಗ ಪದನಖ ಖರ್ವಿತ ಉರ್ವೀತಳಮುಂ ಪ್ರಚಂಡ ಮಾರ್ತಂಡ ಮರೀಚಿ ತೀವ್ರ ಜ್ವಳನ ಆಸ್ಫಾರ ಕರಾಳ ಕರವಾಳ ಭಾಮಂಡಳ ಪರೀತ ಉದ್ಯತ ದೋರ್ದಂಡ ಚಂಡಪ್ರಚಂಡ ಸುಭಟ: ಪಂಪಭಾ, ೧೩. ೫೧)"
ಖಲೀನ,"[ನಾ] ಕಡಿವಾಣ (ಖಣಖಣಾಯಿತ ಖಲೀನಸಂಘಟ್ಟ ಸ್ಕಂದಮಾನ ಫೇನ ಸಲಿಲಸ್ರೋತಶ್ಶತಂಗಳಿಂದಂ: ಆದಿಪು, ೧೪. ೯೫ ವ)"
page,2
ಖಳ,"[ನಾ] ದುಷ್ಟ, ಕೆಟ್ಟ (ನಿನಗೀ ಖಳಸಂಸೃತಿಯೆಂಬುದೊಂದು ಱಾಟಣದೊಳಗಮ್ಮ ನೀಂ ಮೊಗಪೆಯಾಗದೆ ತಾಳ್ದಪವರ್ಗಮಾರ್ಗಮಂ: ಆದಿಪು, ೩. ೭೧)"
ಖಳಕರ್ಮಾಷ್ಟಕ,"[ನಾ] [ಜೈನ] ಎಂಟು ಬಗೆಯ ದುಷ್ಟಕರ್ಮಗಳಲ್ಲಿ ಒಂದು (ಖಳಕರ್ಮಾಷ್ಟಕಮಂ ಪಡಲ್ವಡಿಸಿ: ಆದಿಪು, ೧೬. ೫೫)"
ಖೞ್ಗ,"[ನಾ] ಖಡ್ಗ, ಕತ್ತಿ (ಒಣಗಿದುದೊಂದು ಪೆರ್ವಿದಿರ ಪೆರ್ವೊದಱಿಂ ಮೊರೆದು ಉರ್ವುವ ಆಶುಶುಕ್ಷಿಣಿಯವೊಲ್ ಆಂತ ಖೞ್ಗನಿವಹಕ್ಕೆ .. .. ಉರ್ಚಿಮುಕ್ಕಲುಂ ಇದೇಂ ನೆಱೆ ಕಲ್ತುವೊ: ಪಂಪಭಾ, ೧೧. ೯೪)"
ಖೞ್ಗಿ,"[ನಾ] ಖಡ್ಗಧಾರಿ (ಮುಳಿಸಿಂ ಮಾಱಾನಲೆಂದಿರ್ದ ಖೞ್ಗಿ ಸಮಂತೊರ್ಮೆಯೆ ನೂಂಕಲಿರ್ದ ಘಟೆ ನೋಟಕ್ಕೇನಗುರ್ವಾದುದೋ: ಆದಿಪು, ೧೪. ೧೦೦)"
ಖಾಂಡವ,"[ನಾ] ಕುರುಕ್ಷೇತ್ರದ ಒಂದು ವನ (ಪಾವಕನೞ್ವಿ ಖಾಂಡವವನಮನುಂಡಪಂ ಅರ್ಜುನಂ ಊಡಿದಪ್ಪಂ ಐರಾವತವಾಹನಂ ನೆಱೆದು ಸಾಧನಸಂಯುತನಾಂಪಂ: ಪಂಪಭಾ, ೫. ೭೮)"
