page,1
ಗಗನ,"[ನಾ] ಆಕಾಶ (ಗೋಕರ್ಣನಾಥನಂ ಗೌರೀನಾಥನಂ ಅವನಿ ಪವನ ಗಗನ ದಹನ ತರಣಿ ಸಲಿಲ ತುಹಿನಕರ ಯಜಮಾನ ಮೂರ್ತಿಯಂ ತ್ರೈಲೋಕ್ಯಸಂಗೀತಕೀರ್ತಿಯಂ ಕಂಡು: ಪಂಪಭಾ, ೪. ೨೬ ವ)"
ಗಗನಗಂಗಾ,"[ನಾ] ಆಕಾಶಗಂಗೆ, ದೇವನದಿ (ಗಗನಗಂಗಾ ಶೀಕರನಿಕರಂಗಳಿಂದಂ ಆನಂದನಯನಜಲಂಗಳಂ ಸೂಸುವಂತೆ ದಿವ್ಯಾನಿಳಂ ತೀಡೆ: ಆದಿಪು, ೭. ೩೬ ವ)"
ಗಗನಗಜ,"[ನಾ] ಆಕಾಶದ ಆನೆ, ಐರಾವತ (ಗಗನಗಜಕ್ಕಿಕ್ಕಿದ ಪೊನ್ನ ಗಂಟೆಯೆರಡೆನಲುಂ ಅಂಬರಾಂಭೋನಿಧಿಯೊಳ್ ನೆಗೆದುರಿವೌರ್ವಾನಳನುರ್ಬುಗಳೆನಲುಂ: ಆದಿಪು, ೬. ೫೨)"
ಗಗನಗಮನಜನಿತಶ್ರಮ,"[ನಾ] ಆಕಾಶಪ್ರಯಾಣದಿಂದಾದ ಆಯಾಸ (ಬಳ್ಳಿಗಾವಣಂಗಳೊಳಂ ನನೆಯ ಜೊಂಪಗಳೊಳಂ ಗಗನಗಮನಜನಿತಶ್ರಮಮಂ ಆಱಿಸಿ: ಪಂಪಭಾ, ೭. ೮೧ ವ)"
ಗಗನಗಾಮಿನೀವಿದ್ಯೆ,"[ನಾ] ಆಕಾಶದಲ್ಲಿ ಹಾರುವ ವಿದ್ಯೆ (ನೀನೆನ್ನಂ ನಿನ್ನ ಗಗನಗಾಮಿನೀವಿದ್ಯೆಯಿಂ ಉತ್ತರ ಕುರುವನೆಯ್ದಿಸು: ಆದಿಪು, ೨. ೧೪ ವ)"
ಗಗನಚಾರಣ,"[ನಾ] [ಜೈನ] ಆಕಾಶದಲ್ಲಿ ಸಂಚರಿಸುವ ಋಷಿದ್ವಯ (ಧರ್ಮವರ ಸಾಗರಸೇನರೆಂಬ ಗಗನಚಾರಣರ್ ಕಾಂತಾರಚರ್ಯಾ ಮಾರ್ಗದೊಳ್ ತಮ್ಮ ವಾಸಕ್ಕೆ ಬರ್ಪರಂ ಶ್ರೀಮತಿಯುಂ ತಾನುಂ ಕಂಡು: ಆದಿಪು, ೪. ೯೫ ವ)"
ಗಗನತಳ,"[ನಾ] ಬಾಂದಳ, ಅಂತರಿಕ್ಷ (ಗಗನತಳಮೆ ಪಱಿದು ಬಿೞ್ದುದೆನಿಪ ಬಹುತಟಾಕದಿಂ ಕುಕಿಲ್ವ ನಲಿವ ಕೋಕದಿಂ: ಪಂಪಭಾ, ೧. ೫೮)"
ಗಗನಪ್ರಚಾರ,"[ನಾ] [ಜೈನ] ಆಕಾಶ ಸಂಚಾರ (ಅನ್ವಿತಚತುರಾನನತ್ವಂ ಅಖಿಳಾಗಮವಿತ್ತ್ವಂ ಅಪಕ್ಷ್ಮತಾಸಂ ಆಯತಗಗನಪ್ರಚಾರಂ ಅಪಜೀವವಧಂ ಪರಿವೀತ ದೇಹಬಿಂಬತೆ: ಆದಿಪು, ೧೦. ೪೩)"
ಗಗನಮಂಡಲ,"[ನಾ] ಆಕಾಶ ಪ್ರದೇಶ (ಎರಡುಂ ಬಲದ ಕಡುವಿಲ್ಲರ್ ಭೋರ್ಗರೆದು ಇಸೆ ಕೂರ್ಗಣೆಯೊಳ್ ಪಂದರ್ ಇಕ್ಕಿದಂತಾಯ್ತು ಗಗನಮಂಡಲಮೆಲ್ಲಂ: ಪಂಪಭಾ, ೧. ೭೨)"
