page,1
ಘಟ,"[ನಾ] ಗಡಿಗೆ (ಕಾಮಂಗೆ ಮಜ್ಜನಕೆ ಎಂದೆತ್ತಿದ ಚಂದ್ರಕಾಂತ ಘಟದೊಳ್ ತಂದು ಅೞ್ತಿಯಿಂ ಪುಷ್ಪವಾಸನೆಗೆಂದಿಕ್ಕಿದ ನೀಳನೀರರುಹಮಂ ಪೋಲ್ದತ್ತು ಕೞ್ಪಿಂದುವಾ: ಪಂಪಭಾ, ೪. ೫೧)"
ಘಟಚೇಟಿಕೆ,"[ನಾ] ನೀರು ತರುವ ದಾಸಿ (ಕಮಳೆಯಂ ಅಶ್ವತ್ಥಾಮಂ ಮುಂದಿಟ್ಟು ಕುರುಕುಟುಂಬ ಘಟಚೇಟಿಕೆಯಂ ತರ್ಪಂತೆ ತಂದು: ಪಂಪಭಾ, ೧೩. ೧೦೨ ವ)"
ಘಟಪ್ರೋದ್ಭೂತ,"[ನಾ] ದ್ರೋಣ (ಶರಶಯ್ಯಾಗ್ರದೊಳ್ ಇಂತು ನೀಮಿರೆ ಘಟಪ್ರೋದ್ಭೂತಂ ಅಂತಾಗೆ ವಾಸರನಾಥಾತ್ಮಜಂ ಅಂತು ಸಾಯೆ: ಪಂಪಭಾ, ೧೩. ೬೯)"
ಘಟಸಂಭವ,"[ನಾ] ದ್ರೋಣ (ಈ ಅೞಿವು ಇನ್ನೆನಗೆ ಆಜಿರಂಗದೊಳ್ ಗೞಿಯಿಸುಗೆ ಎಂಬಿದಂ ನುಡಿಯುತುಂ ಘಟಸಂಭವನೊಳ್ ಸುಯೋಧನಂ: ಪಂಪಭಾ, ೧೧. ೧೦೯)"
ಘಟಸಂಭೂತ,"[ನಾ] ದ್ರೋಣ ಘಟಸಂಭೂತಂಗೆ ಕರ್ಣಂಗೆ ಅಸಾಧ್ಯನೊಳ್ ಆ ಗಾಂಡಿವಿಯೊಳ್ ಕಱುತ್ತಿಱಿವರಾರ್: ಪಂಪಭಾ, ೧೩. ೯)"
ಘಟಾಘಟಿತ,"[ಗು] ಆನೆಯ ಸಮೂಹದಿಂದ ಕೂಡಿದ, ಉಂಟಾಗುವ (ನಾಳೆ ವಿರೋಧಿಸಾಧನ ಘಟಾಘಟಿತ ಆಹವದಲ್ಲಿ ನಿನ್ನ ಕಟ್ಟಾಳಿರೆ ಮುಂಚಿ ತಾಗದೊಡಂ ಅಳ್ಕುಱೆ ತಾಗಿ ವಿರೋಧಿಸೈನ್ಯಭೂಪಾಳರಂ ಒಂದೆ ಪೊಯ್ಯದೊಡಂ: ಪಂಪಭಾ, ೧೦. ೩೯)"
ಘಟಾಳಿ,"[ನಾ] ಆನೆಯ ದಂಡು (ಬಾಯ್ಬಿಡೆ ಘಟಾಳಿ ಗುಣಾರ್ಣವನಂಬು ಲಕ್ಕಲೆಕ್ಕದೆ ಕೊಳೆ: ಪಂಪಭಾ, ೮. ೨೧)"
ಘಟಿತ,"[ಗು] ಕೂಡಿದ, ಸೇರಿಸಿದ (ಜಟಮಟಿಸಿಕೊಂಡು ನಿಮ್ಮೀ ಘಟಿಯಿಸುವ ಈ ಸಂಧಿ ಕೌರವರ್ಕಳೊಳ್ ಎನ್ನಿಂ ಘಟಿತ ಜರಾಸಂಧ ಉರಸ್ತಟ ಸಂಧಿವೊಲ್ ಒಂದೆ ಪೊೞ್ತಱೊಳ್ ವಿಘಟಿಸದೇ: ಪಂಪಭಾ, ೯. ೨೩)"
ಘಟಿಯಿಸು,"[ಕ್ರಿ] ಆಗು, ಸಂಭವಿಸು (ದಿಟ್ಟಿ ಮನಮೆಂಬಿವು ತೊಟ್ಟನೆ ನಟ್ಟು ನಟ್ಟವೊಲ್ ಘಟಿಯಿಸೆ ಸೋಲ್ತೊಱಲ್ದು: ಆದಿಪು, ೩. ೯೦); [ಗು] ಉಂಟಾಗಲಿರುವ (ಜಟಮಟಿಸಿಕೊಂಡು ನಿಮ್ಮೀ ಘಟಿಯಿಸುವ ಈ ಸಂಧಿ ಕೌರವರ್ಕಳೊಳ್ ಎನ್ನಿಂ ಘಟಿತ ಜರಾಸಂಧ ಉರಸ್ತಟ ಸಂಧಿವೊಲ್ ಒಂದೆ ಪೊೞ್ತಱೊಳ್ ವಿಘಟಿಸದೇ: ಪಂಪಭಾ, ೯. ೨೩)"
ಘಂಟೆಯಲುಗು,"[ಕ್ರಿ] [ಸೂಳೆಯ] ಮನೆಯ ಮುಂದಿನ ಗಂಟೆಯನ್ನು ಶಬ್ದಮಾಡು (ಮತ್ತಮಲ್ಲಿ ಕೋಟಿ ಪೊಂಗೆ ಘಂಟೆಯಲುಗುವ ಕಿಱುಕುಳಬೊಜಂಗರುಮಂ: ಪಂಪಭಾ, ೪. ೮೭ ವ)"
ಘಟೋದ್ಭವ,"[ನಾ] ದ್ರೋಣ (ಯಾದವವಂಶಜರುಂ ನಾನಾದೇಶ ನರೇಂದ್ರರುಂ ಘಟೋದ್ಭವನ ಧನುರ್ವೇದಮನೆ ಕಲಲ್ ಬಂದಾಳಾದರ್: ಪಂಪಭಾ, ೨. ೫೬)"
ಘಟ್ಟಣೆ,"[ನಾ] ತಾಗುವಿಕೆ, ಘರ್ಷಣೆ (ಬಾಳ್ವಾಳ್ಗಳ ಘಟ್ಟಣೆಯೊಳ್ ಬಳ್ವಳ ಬಳೆದೊಗೆದು ನೆಗೆದ ಕಿಡಿಗಳ ಬಂಬಲ್ಗಳ್ವೆರಸು ಪೊಳೆದು ನೆಗೆದುದು ಬಾಳ್ವೊಗೆ: ಪಂಪಭಾ, ೧೦. ೮೪)"
ಘಟ್ಟನ,"[ನಾ] ಹೊಡೆತ (ಚಟುಳಿತ ಚಕ್ರನೇಮಿ ಪರಿವರ್ತನ ಘಟ್ಟನಘಾತನಿರ್ಭರ ಸ್ಫುಟಿತ ಧರಾತಳಂ: ಪಂಪಭಾ, ೧೧. ೧೪೭)"
