page,1
ಚಕ್ಕಣ,"[ನಾ] ಚಾಕಣ, ಮದ್ಯಪಾನದಲ್ಲಿ ನಂಜಿಕೊಳ್ಳುವ [ಖಾರವಾದ] ತಿಂಡಿ (ಗೇಯದೊಳ್ ಈಕೆ ಸೊರ್ಕನಿಕ್ಕಿದಳೆನೆ ಕಳ್ಗೆ ಚಕ್ಕಣಮೆನಿಪ್ಪುದು: ಪಂಪಭಾ, ೭. ೯೦)"
ಚಕ್ಕುಚಕ್ಕನೆ,"[ಅ] ಚಕ್ ಚಕ್ ಎಂದು (ನಿಶಾತಶರಾಳಿಗಳ್ ಎಯ್ದೆ ಚಕ್ಕುಚಕ್ಕನೆ ಕೊಳೆ ಮೊಕ್ಕುಮೊಕ್ಕೆನೆ ಶಿರಂಗಳುರುಳ್ದುವು ವೈರಿಭೂಪರಾ: ಪಂಪಭಾ, ೧೨. ೧೧೯)"
ಚಕ್ಕುಮೊಕ್,"[ಅ] ಚಕ್ ಮೊಕ್ ಎಂದು (ಬೇವ ಶವಸಂಘಾತಂಗಳಂ ಚಕ್ಕುಮೊಕ್ಕೆಂದು ಆಗಳ್ ಕಡಿದು ಉಗ್ರಭೂತನಿಕರಂ ಕೆಯ್ ಬೇಯೆ ಬಾಯ್ ಬೇಯೆ ತಿಂಬಂದಂ: ಪಂಪಭಾ, ೧೩. ೭೧)"
ಚಕ್ರ,"[ನಾ] ಸೈನ್ಯ (ಚತುರಂಗ ಚಕ್ರಪಾಂಸುಪಟಲದಿಂದಂ ದಿಙ್ಮುಖಂಗಳುಂ ವಿರೋಧಿನರಪಾಳಯ ಪ್ರಿಯಸಖೀ ಮುಖಂಗಳುಂ ವಿಚ್ಛಾಯಂಗಳಾಗೆಯುಂ: ಆದಿಪು, ೧೩. ೭೭ ವ); [ನಾ] ಚಕ್ರವರ್ತಿಯ ಚಕ್ರ (ಹತವೈರಿಕ್ಷತ್ರಚಕ್ರಂ ಭಯಚಕಿತ ಜಗದ್ವೀರಚಕ್ರಂ ವಿನಮ್ರಕ್ಷಿತಿಚಕ್ರಂ: ಆದಿಪು, ೧೪. ೩); [ನಾ] ಒಂದು ಆಯುಧ (ಅನೇಕಾಕ್ಷರಸ್ವರೂಪಂಗಳೊಳಂ ಚಾಪ ಚಕ್ರ ಪರಶು ಕೃಪಾಣ ಶಕ್ತಿ ತೋಮರ ಮುಸಲ ಮುಸುಂಡಿ ಭಿಂಡಿವಾಳ ಮುದ್ಗರ ಗದಾದಿ ವಿವಿಧಾಯುಧಂಗಳೊಳಂ: ಪಂಪಭಾ, ೨. ೩೪ ವ); [ನಾ] ಸುದರ್ಶನಚಕ್ರ (ಪಿಡಿಯೆಂ ಚಕ್ರಮನೆಂಬ ಚಕ್ರಿಯಂ ಇಳಾಚಕ್ರಂ ಭಯಂಗೊಳ್ವಿನಂ ಪಿಡಿಯಿಪ್ಪೆಂ ಕರಚಕ್ರಮಂ: ಪಂಪಭಾ, ೧೦. ೨೫); [ನಾ] ಸಮೂಹ (ತದ್ರಾಜಚಕ್ರಂ ಪೊದಳ್ದರ್ಬಿಸಿದತ್ತು ಉದ್ದಾಮ ಮೌರ್ವೀರವಮುಖರ ಮಹಾಚಾಪ ಚಕ್ರಾಂಧಕಾರಂ: ಪಂಪಭಾ, ೧೨. ೨೦); [ನಾ] ಗಾಲಿ (ಭೀಕರ ರಥಚಕ್ರಮಂ ಪಿಡಿದು ನುಂಗಿದಳೊರ್ಮೆಯೆ ಧಾತ್ರಿ ಕೋಪದಿಂ: ಪಂಪಭಾ, ೧೨. ೨೦೬)"
ಚಕ್ರಧರ,"[ನಾ] ಚಕ್ರವನ್ನು ಧರಿಸಿದವನು, ಶ್ರೀಕೃಷ್ಣ (ಸಾರವಸ್ತುಗಳಿಂ ನೆಱೆದ ಅಂಭೋರಾಶಿಯೆ ಕಾದಿಗೆ ಕಾವನುಂ ಸೀರಪಾಣಿ ವಿಳಾಸದಿನಾಳ್ದಂ ಚಕ್ರಧರಂ: ಪಂಪಭಾ, ೪. ೩೨); [ನಾ] ಚಕ್ರವರ್ತಿ (ಚಕ್ರಧರನಧರಕಸಲಯದ ಮೇಲೆ ದಂತಕಾಂತಿ ಲತಾಂತಪ್ರಭೆಗಳ್ ಪಸರಿಸೆ: ಆದಿಪು, ೪. ೨೬ ವ)"
ಚಕ್ರನೇಮಿ,"[ನಾ] ಚಕ್ರದ ಸುತ್ತುಪಟ್ಟೆ (ಚಟುಳಿತ ಚಕ್ರನೇಮಿ ಪರಿವರ್ತನಘಟ್ಟನಘಾತನಿರ್ಭರ ಸ್ಫುಟಿತ ಧರಾತಳಂ: ಪಂಪಭಾ, ೧೧. ೧೪೭)"
ಚಕ್ರಪಾಣಿ,"[ನಾ] ಕೈಯಲ್ಲಿ ಚಕ್ರವನ್ನುಳ್ಳವನು, ಶ್ರೀ ಕೃಷ್ಣ (ತನ್ನಿಱಿದು ಗೆಲ್ದ ಕೊಳುಗುಳವಂ ನೋಡಲ್ ಚಕ್ರಪಾಣಿಯುಂ ತನ್ನ ಸಹೋತ್ಪನ್ನರುಂ ಒಡವರೆ: ಪಂಪಭಾ, ೧೪. ೨)"
ಚಕ್ರರಕ್ಷಕ,"[ನಾ] ರಥದ ಚಕ್ರದ ಉಸ್ತುವಾರಿ ಹೊತ್ತವನು (ಮದ್ರರಾಜಂ ಪನ್ನಿರ್ಛಾಸಿರ ಆನೆವೆರಸು ನೃಪನ ಚಕ್ರರಕ್ಷಕಂ ನೀಳಂ ಎಡೆಗೊಂಡು ತಾಗಿದನಾಗಳ್: ಪಂಪಭಾ, ೧೦. ೧೦೮ ವ)"
ಚಕ್ರರತ್ನ,"[ನಾ] [ಜೈನ] ಚಕ್ರವರ್ತಿಯಾಗುವವನ ಆಯುಧಾಗಾರದಲ್ಲಿ ಹುಟ್ಟುವ ಚಕ್ರಾಯುಧ (ನೆಲನಾಕಾಶಂ ದಿಶಾಮಂಡಲಮೆನಿತನಿತುಂ .. .. ಪರ್ವುವುದನಿದುವೆ ಪೇೞ್ದಪುದೆಂಬಂತೆ .. .. ಬೆಳಗಿದುದು ದಿಶಾಚಕ್ರಮಂ ಚಕ್ರರತ್ನಂ: ಆದಿಪು, ೧೧. ೨)"
ಚಕ್ರಲಾಭ,"[ನಾ] [ಜೈನ] ಐವತ್ತಮೂರು ಗರ್ಭಾನ್ವಯಕ್ರಿಯೆಗಳಲ್ಲಿ ಒಂದು, ಚಕ್ರರತ್ನವು ದೊರೆಯುವುದು (ಚಕ್ರಲಾಭ .. .. ಅಗ್ರನಿರ್ವೃತಿಯೆಂಬ ಅಯ್ವತ್ತುಮೂಱು ಗರ್ಭಾದಿನಿರ್ವಾಣ ಪರ್ಯಂತಂಗಳಪ್ಪ ಗರ್ಭಾನ್ವಯಕ್ರಿಯೆಗಳಂ: ಆದಿಪು, ೧೫. ೧೫ ವ)"
