page,1
ಛಟಾ,"[ನಾ] ರಾಶಿ (ಕಾಶ್ಮೀರಮೃಗಮದಚ್ಛಟಾಸಿಕ್ತಾಂಗಣಮುಂ ಅಂಗಣರಚಿತ ಮೌಕ್ತಿಕರಂಗಬಲಿಯುಂ: ಆದಿಪು, ೪. ೫೮ ವ)"
ಛತ್ರರತ್ನ,"[ನಾ] [ಜೈನ] ಭರತ ಚಕ್ರವರ್ತಿಯ ಏಳು ಅಜೀವರತ್ನಗಳಲ್ಲಿ ಒಂದು (ಅಡಿಯೊಳ್ ಪಾಸಿದ ಚರ್ಮರತ್ನಪಟಮಂ ತಚ್ಛತ್ರರತ್ನಂ ಬೆಡಂಗಿಡಿದೋರಂತಿರೆ ಮುಟ್ಟಿ ಪೊಲ್ದ ತೆಱದಿಂಬಾಗೆ: ಆದಿಪು, ೧೩. ೬೦)"
ಛಂದೋವಿಚಿತಿ,"[ನಾ] ಛಂದಶ್ಶಾಸ್ತ್ರ (ಸ್ವಯಂಭುವ ಆಭಿಧಾನ ಪದವಿದ್ಯಾ ಛಂದೋವಿಚಿತಿ ಅಲಂಕಾರಗಳೆಂಬ ಮೂಱಱಿಂ ಪೆಸರ್ವಡೆದ ವಾಙ್ಮಯಮುಮಂ: ಆದಿಪು, ೮. ೬೦ ವ); [ನಾ] ವೃತ್ತಭೇದಗ¼ನ್ನು ವಿವರಿಸುವ ಶಾಸ್ತ್ರ (ಅಂತು ಪಂಚಾಂಗವ್ಯಾಕರಣದೊಳಂ ವೃತ್ತಭೇದಮಪ್ಪ ಛಂದೋವಿಚಿತಿಯೊಳಂ ಶಬ್ದಾಲಂಕಾರ ನಿಷ್ಠಿತಮಪ್ಪ ಅಲಂಕಾರದೊಳಂ: ಪಂಪಭಾ, ೨. ೩೪ ವ)"
ಛಂದೋವಿದ್ಯಾ,"[ನಾ] ಛಂದಶ್ಶಾಸ್ತ್ರ (ಛಂದೋವಿದ್ಯಾಳಂಕಾರ ಪದವಿಚಾರ ಕಾವ್ಯ ಗೀತ ನೃತ್ಯ ಆತೋದ್ಯಾದಿ ಗೋಷ್ಠಿಗಳೊಳಂ: ಆದಿಪು, ೮. ೩ ವ)"
ಛದ್ಮಸ್ಥಗುಣಸ್ಥಾನ,"[ನಾ] [ಜೈನ] ಜ್ಞಾನಾವರಣ ಮತ್ತು ದರ್ಶನಾವರಣಗಳು ಛದ್ಮ, ಅದರಲ್ಲಿರುವವರು ಛದ್ಮಸ್ಥ; ೪ ರಿಂದ ೧೦ ಗುಣಸ್ಥಾನವರೆಗಿನವರು ಸರಾಗಛದ್ಮಸ್ಥರು, ೧೦ ರಿಂದ ೧೨ ರವರೆಗಿನವರು ವೀತರಾಗಛದ್ಮಸ್ಥರು (ವೀತರಾಗಛದ್ಮಸ್ಥಗುಣಸ್ಥಾನಂ ಏಕತ್ವವಿತರ್ಕವಿಚಾರಾಭಿಧಾನ ಪರಿಣತಂ ಅಪರಿಮಿತಪ್ರದೇಶನಿರ್ಜರಾದಿ ಕ್ರಿಯಾಕಳಾಫಂ: ಆದಿಪು, ೧೦. ೧೪ ವ)"
ಛನ್ನ,"[ಗು] ಆವರಿಸಿದ (ಉನ್ನತ ಧವಳಚ್ಛತ್ರಚ್ಛನ್ನ ವಿಯತ್ತಳನಂ ಇಂದುಕುಳತಿಳಕನಂ ಇಂತು ಅನ್ನೆಯದಿಂದ ಈ ಪೞುವಿನೊಳ್ ಎನ್ನರಸನಂ ಇಂತು ಬಿದಿಯೆ ತಂದಿಕ್ಕುವುದೇ: ಪಂಪಭಾ, ೨. ೨೨)"
ಛವಿ,"[ನಾ] ಚರ್ಮ (ಅಪ್ರಿಣಾಕ ಭಾವಿಳಶ್ಲಿಸ್ಥಿತಚಳನುಂ ಶ್ಲಕ್ಷ್ಣ ಸ್ನಿಗ್ಧ ಮೃದು ಬಹಳಚ್ಛವಿಯುಂ ಬಂಧು ಜೀವ ಶಾಕ ಪುಷ್ಟ ಸಪದ್ಮಮಹಾರಜಶಂಖಾಸತಳವೆಂಬ ಸಪ್ತದ್ವಾಸ್ಥಿತನುಂ: ಆದಿಪು, ೧೨. ೫೬ ವ); [ನಾ] ಕಾಂತಿ (ತನ್ನೊಳಗಣ ಪನ್ನಗನಂ ಮುಂ ನೀಂ ಪಿಡಿದು ಒಗೆಯೆ ಕಾಯಲಾಱದೆ ಪಿರಿದುಂ ಬನ್ನದ ಕರ್ಪೆಸೆದುದು ತೊಱೆಗೆ ಇನ್ನುಂ ಹರಗಳ ತಮಾಳ ನೀಳಚ್ಛವಿಯಿಂ: ಪಂಪಭಾ, ೫. ೫೪)"
ಛಾಯ,"[ನಾ] ಕಾಂತಿ (ತಪ್ತತಪನೀಯಚ್ಛಾಯನುಂ ಸಪ್ತಹಸ್ತೋಚ್ಛ್ರಯನುಂ ನಿದ್ರಾಲಸ ಅಕ್ಷಿನಿಮೇಷ ಜರಾ ಶೋಕ ವಿಷಾದ ವಿರಹಿತನುಂ: ಆದಿಪು, ೬. ೬೯ ವ)"
ಛಾಯಾಟೋಪ,"[ನಾ] ಬಣ್ಣದ ವೈಭವ (ದಳಿತ ಕಮಲಚ್ಛಾಯಾಟೋಪಂ ಮನೋಜರಸ ಪ್ರಭಾವಳಯ ನಿಳಯಂ ಪ್ರೋದ್ಯತ್ ಭ್ರೂವಿಭ್ರಮಂ: ಪಂಪಭಾ, ೪. ೭೭)"
ಛಾಯಾಲಕ್ಷ್ಯ,"[ನಾ] ಪ್ರತಿಬಿಂಬವನ್ನು ನೋಡಿ ಹೊಡೆಯಬೇಕಾದ ಗುರಿ (ಛಾಯಾಲಕ್ಷ್ಯಮನೊಡ್ಡಿಯುಂ ಆಯದ ನೀರೊಳಗೆ ತನ್ನನಡಸಿದ ನೆಗೞಂ ಬಾಯೞಿವಿನಂ ಇಸಿಸಿಯುಂ ಅರೆ ಹೋಯಜ ಬಾಪ್ಪೆಂದು ಹರಿಗನಂ ಗುರು ಪೊಗೞೆ ಪಂಪಭಾ, ೨. ೬೦)"
ಛಾಯೆ,"[ನಾ] ಕಾಂತಿ (ಉನ್ಮಿಷತ್ ರತ್ನ ಹಟಚ್ಛಾಯೆಯೊಳೆ ಮುಸುಕಿ ದೇಹಚ್ಛಾಯೆಯುಮಂ ಪುದಿಯೆ ರತ್ನತರುವನೆ ಪೋಲ್ತಂ: ಆದಿಪು, ೪. ೪೦)"
ಛಿದ್ರ,"[ನಾ] ತೂತು, ರಂಧ್ರ (ದಿವ್ಯಾಸ್ತ್ರಂಗಳಿಂ ನೂಱುಯೋಜನದ ಅಳವಿಯ ಖಾಂಡವವನಮೆಲ್ಲಮಂ ತಟ್ಟಿ ಮೆಡಱಿ ಮಶಕಮಾತ್ರಮಪ್ಪೊಡಂ ಮಿಸುಕಲ್ ಛಿದ್ರಮಿಲ್ಲದಂತಾಗೆ: ಪಂಪಭಾ, ೫. ೯೬ ವ)"
ಛಿದ್ರಿಸು,"[ಕ್ರಿ] ನಾಶಮಾಡು (ರಸದಾನಾದಿಗಳೊಳ್ ಛಿದ್ರಿಸುವಮಪ್ಪೊಡೆ ಅವರ್ ಆಪ್ತವಂತರುಂ ಬುದ್ಧಿವಂತರುಂ ಆಗಿ ನೆಗೞ್ದರ್ ಇನ್ನಾವ ಮಾೞ್ಕೆಯೊಳ್ ಪಗೆಯಂ ಕೆಯ್ಗೆ ಮಾಡುವುದು ಪೇೞಿಂ: ಪಂಪಭಾ, ೬. ೬೭ ವ); [ರಹಸ್ಯ] [ಕ್ರಿ] ಭೇದಿಸು (ಒಂದು ದಿವಸಂ ದುರ್ಯೋಧನನ ಮಯ್ದುನಂ ಸಿಂಧುದೇಶಾಧೀಶ್ವರಂ ಸೈಂಧವಂ ಅವರಂ ಛಿದ್ರಿಸಲೆಂದು ಮೆಯ್ಗರೆದು ಬಂದು: ಪಂಪಭಾ, ೭. ೩೦ ವ)"
ಛುರಿತ,"[ಗು] ಬೆರೆತ, ಸೇರಿದ (ಪರಿವಿರಚಿತ ಚಿತ್ರಾಂಬರವಿತಾನ ಚ್ಛಾಯಾಚ್ಛುರಿತರಂಗಭೂಮಿಯೊಳ್: ಆದಿಪು, ೮. ೬೭ ವ)"
ಛೇದ,"[ನಾ] ಕತ್ತರಿಸುವುದು (ಧರ್ಮದ್ರುಚ್ಛೇದಪರಶುಧಾರೆಯುಂ ವಿಷಯವಿಷದ್ರುಮಕಂದಳಿಯುಂ: ಆದಿಪು, ೧೪. ೧೨೨ ವ)"
page,2
page,3
page,4
page,5
page,6
page,7
page,8
page,9
page,10
page,11
page,12
page,13
page,14
page,15
page,16
page,17
page,18
page,19
page,20
