page,1
ಜಕ್ಕ,"[ನಾ] ಯಕ್ಷ (ಕುಬೇರನಿಂ ಕಪ್ಪಂಗೊಂಡು ಪೊನ್ನಂ ಜಕ್ಕರೆಕ್ಕೆಯಿಂ ಪೊತ್ತು ಬರೆ: ಪಂಪಭಾ, ೬. ೩೨ ವ)"
ಜಕ್ಕರೆಕ್ಕೆ,"[ನಾ] [ಜಕ್ಕರ್+ಎಕ್ಕೆ} ಯಕ್ಷರು ಒಟ್ಟಾಗಿ (ಕೈಳಾಸದ ಮೇಗಣ್ಗೆ ವಂದು ಕುಬೇರನಿಂ ಕಪ್ಪಂಗೊಂಡು ಜಕ್ಕರ್ ಎಕ್ಕೆಯಿಂ ಪೊತ್ತು ಬರೆ: ಪಂಪಭಾ, ೬. ೪೨ ವ)"
ಜಕ್ಕವಕ್ಕಿ,"[ನಾ] ಚಕ್ರವಾಕ ಪಕ್ಷಿ (ಬನಮಂ ಕೋಗಿಲೆ ಜಕ್ಕವಕ್ಕಿ ಪಗಲಂ ಪೂಗೊಂಚಲಂ ತುಂಬಿ ಚಂದ್ರನನಂಭೋನಿಧಿ: ಆದಿಪು, ೧೨. ೩೧)"
ಜಗ,"[ನಾ] ಜಗತ್ತು (ಜಗಮಂ ಮಾಡಿದ ಪದ್ಮಜಂ ಪಡೆದನಿಲ್ಲೀ ಕನ್ನೆಯಂ ಮಾಡುವಲ್ಲಿಗೆ .. .. ಅಂಗಜನೆಂಬಜಂ ಪಡೆದನಂತಾ ಕಾಂತೆಗೀ ಕಾಂತಿಯಂ: ಪಂಪಭಾ, ೪. ೭೫)"
ಜಗತೀತಳ,"[ನಾ] ಜಗಲಿ (ಷೋಡಶಸೋಪಾನೋಪಶೋಭಿತ ಜಗತೀತಳಮಧ್ಯದೊಳ್ ಅನುಕ್ರಮದೊಳ್ ಎಂಟು ನಾಲ್ಕುನಾಲ್ಕುಂ ಬಿಲ್ನಿಡಿಯವಾಗಿ: ಆದಿಪು, ೧೦. ೨೩ ವ)"
ಜಗತೀತ್ರಯ,"[ನಾ] ಮೂರು ಲೋಕಗಳು (ಬಸಿಱೊಳ್ ಜಗತೀತ್ರಯಮಂ ಒಸೆದಿಟ್ಟು ಓರಂತೆ ಕಾದ ಪೆಂಪಿನ ನಿಮ್ಮೀ ಬಸಿಱಂ ಪೊಕ್ಕ ಅಯ್ವರಂ ಅಸುರಕುಳಾಂತಕ ಕಡಂಗಿ ಕಾವುದು ಪಿರಿದೇ: ಪಂಪಭಾ, ೯. ೧೬)"
ಜಗತೀರಾಜ್ಯ,"[ನಾ] ಭೂರಾಜ್ಯ, ಐಹಿಕರಾಜ್ಯ (ನೆಗೞ್ದ ತಪೋರಾಜ್ಯದ ಬಗೆ ಮಿಗೆ ನಿಂದಂ ವೃಷಭನಾಥಂ ಅತ್ತೊಂದೆಡೆಯೊಳ್ ಜಗತೀರಾಜ್ಯದ ಬಗೆ ಕೈಮಿಗೆ ನಿಂದಂ ಭರತರಾಜನಿತ್ತೊಂದೆಡೆಯೊಳ್: ಆದಿಪು, ೯. ೬೭)"
ಜಗತೀಸಂತತಿ,"[ನಾ] ಜಗತ್ತಿನ ಸಂತತಿ (ಗೃಹಸ್ಥಧರ್ಮದಿಂದಂ ನೀನೆಂತಂತೆ ಸಲೆ ನೆಗೞೆ ಜಗತೀಸಂತತಿ ನಿಲೆ ನಿನ್ನ ಧರ್ಮಸಂತತಿ ನಿಲ್ಕುಂ: ಆದಿಪು, ೮. ೧೩)"
ಜಗತ್ತ್ರಯ,"[ನಾ] ಮೂರು ಲೋಕಗಳು: ಸ್ವರ್ಗ, ಮರ್ತ್ಯ, ಪಾತಾಳ (ಸಿಂಹಾಸನಮಸ್ತಕದೊಳಿರ್ದ ಜಗತ್ತ್ರಿತಯತಿಳಕನ ಪಾದಪದ್ಮಂಗಳ್ಗೆ .. .. ವಿಹಿತೋಪಹಾರನಾಗಿ: ಆದಿಪು, ೧೩. ೮೩ ವ)"
