page,1
ಟಂಕ,"[ನಾ] ಕಲ್ಲು ಕೆತ್ತುವ ಚಾಣ, ಉಳಿ (ಆಕರ್ಣಾಕೃಷ್ಟ ಉತ್ಸೃಷ್ಟ ನಿಜ ವಿಕೀರ್ಣಟಂಕಂಗಳಿಂದಂ ತತ್ಪತಾಕಿನೀಕುಂಜರ ಶಿರಶ್ಶಿಳಾ ಪಟ್ಟಕಂಗಳಂ ಇರ್ಬಗಿಮಾಡಲ್ಪಡದೆಯುಂ: ಆದಿಪು, ೧೪. ೧೦೩ ವ); [ನಾ] ಬೆಟ್ಟದ ಇಳಿಜಾರು (ಮಾದ್ಯತ್ ಗಜಗಂಡಕಷಣಪ್ರೋದ್ಭೇದದಿಂ ಸಾರ್ದು ಬಂದು ಇದಿರೊಳ್ ಕೂಡುವುದಿಲ್ಲಿ ಚಂದನರಸಂ ಕೆಂಬೊನ್ನ ಟಂಕಂಗಳೊಳ್: ಪಂಪಭಾ, ೪. ೨೨); [ನಾ] ಲಾಳ (ಸುಭಟಾರೂಢತುರಂಗಮ ವೇಗಬಲಪತಿತ ಖರಖುರಟಂಕ ಪರಿಸ್ಖಲನಕಳಿತ ವಿಷಮಸಮರಭೇರೀನಿಸ್ವನಮುಂ: ಪಂಪಭಾ, ೧೩. ೫೧ ವ)"
ಟಂಕಾರ,"[ನಾ] ಬಿಲ್ಲಿನ ಠೇಂಕಾರ (ಆತೋದ್ಯಪ್ರಗೀತಧ್ವನಿಗಳಿರೆ ಧನುರ್ದಂಡಟಂಕಾರಮಂ ಕೇಳಲುಂ: ಆದಿಪು, ೮. ೩೩)"
ಟಂಕೋತ್ಕೀರ್ಣ,"[ನಾ] ಚಾಣದಿಂದ ಕೆತ್ತಿದುದು (ಅಪ್ರತಿಹತ ದಿಗ್ವಿಜಯಪ್ರಶಸ್ತಿಯಂ ಟಂಕೋತ್ಕೀರ್ಣಂ ಮಾಡಿ ಗಂಗಾದೇವಿಯೋಲಗಿಸಿದ ಅನರ್ಘ್ಯರತ್ನಂಗಳಂ ಕೈಗೆ ಮಾಡಿ: ಆದಿಪು, ೧೪. ೫೯ ವ)"
ಟಕ್ಕುವಗೆ,"[ನಾ] [ಟಕ್ಕು+ಬಗೆ] ಮೋಸದ ಬುದ್ಧಿ (ಆ ಲಾಕ್ಷಾಗೃಹದಾಹಮೊಂದೆ ವಿಷಸಂಯುಕ್ತಾನ್ನಂ ಅಂತೊಂದೆ ಪಾಂಚಾಲೀನಿಗ್ರಹಂ ಒಂದೆ ಟಕ್ಕುವಗೆಯಿಂ ಗೆಲ್ದಿರ್ದ ಜೂದೊಂದೆ: ಪಂಪಭಾ, ೯. ೨೨)"
ಟಮಾಳ,"[ನಾ] ಮೋಸ (ದುರ್ವಿಮಂತ್ರಮಂ ಪರೆಪ ಟಮಾಳಮಂ ಪಿರಿದಂ ಓದಿದೊಡೆ ಅಪ್ಪ ಪದಾರ್ಥಮಾವುದೋ: ಪಂಪಭಾ, ೧೩. ೬೬)"
ಟಾಠಡಾಢಣ,"ಟವರ್ಗದ ಅಕ್ಷರಗಳು; ಅವುಗಳಂತೆ ನಿಶ್ಚಿತ, ನಿಷ್ಠುರ (ಮೇಣ್ ಎನ್ನ ನುಡಿ ಟಾಠಡಾಢಣಂ ಎನ್ನಂ ಬೆಸಸುವುದು ರಾಜಸೂಯಂ ಬೇಳಲ್: ಪಂಪಭಾ, ೬. ೨೬)"
ಟೀಕು,"[ನಾ] ವ್ಯಾಖ್ಯಾನ (ಲೋಕಕ್ಕಿದು ಅರ್ಥಶಾಸ್ತ್ರದ ಟೀಕೆನಿಸಿದ ತನ್ನ ನುಡಿ ಮನಂಗೊಳಿಸೆ: ಪಂಪಭಾ, ೯. ೧೪)"
page,2
page,3
