page,1
ಡಕ್ಕೆ,"[ನಾ] ಒಂದು ವಾದ್ಯ (ತನ್ನ ತೊಡಂಕದು ಎಯ್ದೆ ನೂರ್ಮಡಿ ಮನದೊಳ್ ಪಳಂಚಲೆಯೆ ಡಕ್ಕೆಯೊಳ್ ಅೞ್ಜಜವಾಗೆ ಆಡಿದಳ್: ಪಂಪಭಾ, ೪. ೯೦)"
ಡಂಗ,"[ನಾ] ಸುಂಕವಸೂಲಿಗಾಗಿರುವ ಕಾವಲು ಕಟ್ಟೆ (ಪೊಂಗುವ ಮಲೆಪರ ಮಲೆಗಳ ಡಂಗಂಗಳ್ ಮಲೆವ ಮಂಡಲಂಗಳ್ ಪ್ರತ್ಯಂತಗಳ್ ಎನಲ್ ಒಳವೆ ಪಾಂಡವರಂ ಗೆಡೆಗೊಳೆ ನಿನಗೆ ಕುರುಕುಳಾಂಬರಭಾನೂ: ಪಂಪಭಾ, ೯. ೩೯)"
ಡಂಬ,"[ನಾ] ತೋರಿಕೆ, ಮೋಸ (ಸತ್ತನೆ ಮತ್ತೆ ಪುಟ್ಟುವಂ ಗಡ ಪುಸಿ ಕಾಣ ಡಂಬವಿದು ಖೇಚರ ನೀನಿದನೆಂತು ನಂಬಿದೋ: ಆದಿಪು, ೨. ೮); ಕಪಟ, ಮರೆಮಾಚುವಿಕೆ (ಹಿಡಿಂಬೆ ಡಂಬಮಿಲ್ಲದೆ ಭೀಮಸೇನನೊಳಪ್ಪ ಒಡಂಬಡಂ ನುಡಿಯೆ: ಪಂಪಭಾ, ೩. ೧೮ ವ)"
ಡವಕೆ,"[ನಾ] ಪೀಕದಾನಿ (ಚಾಮರದ ಅಡಪದ ಡವಕೆಯ ಕನ್ನಡಿಯ ಪರಿಚಾರಿಕೆಯುರುಂ ಒಡನಾಡಿ ಬೆಳೆದ ಕೆಳದಿಯರುಂ: ಆದಿಪು, ೩. ೨೩ ವ)"
ಡವಕೆಯ ಪರಿಚಾರಿಕೆ,"[ನಾ] ಪೀಕದಾನಿ ಅಥವಾ ಕಾಳಾಂಜಿ ನೀಡುವ ಸೇವಕಿ (ನೂಱೆಂಟುಂ ಕರಣಮುಮಂ ಅವಳ ಡವಕೆಯ ಪರಿಚಾರಿಕೆಯಱಿಗುಂ ಆಕೆಗವು ತೊಡರ್ವೆಡೆಯೇ: ಆದಿಪು, ೯. ೨೯)"
ಡವಕೆವಿಡಿ,"[ಕ್ರಿ] ಪೀಕದಾನಿಯನ್ನು ಒಡ್ಡು (ಲೋಕಂ ಪೊಗೞ್ವುದು ಕನಕಾಬ್ಜಾಕಾರದ ಡವಕೆವಿಡಿದ ಸುರಸೌಂದರಿಯಂ : ಆದಿಪು, ೭. ೭)"
ಡಾಕಿನೀ,"[ನಾ] ಪಿಶಾಚಿ (ಆಮಂತ್ರಿತ ಡಾಕಿನೀ ದಶನಘಟ್ಟನಜಾತವಿಭೀಷಣಂ ಮದೇಭ ಅಂತ್ರನಿಯಂತ್ರಿತ ಅಶ್ವಶವಮಾಂಸರಸಾಸವಮತ್ತಯೋಗಿನೀತಂತ್ರಂ: ಪಂಪಭಾ, ೧೨. ೧೨೦)"
ಡಾಮರ,"[ನಾ] ಹಿಂಸೆ, ದಾಳಿ (ಆ ಮಾಧವೀಮಂಟಪಮಂ ಕಾಮನ ಡಾಮರಕ್ಕೆ ಅಳ್ಕಿ ವನದುರ್ಗಂಬುಗುವಂತೆ ಪೊಕ್ಕು: ಪಂಪಭಾ, ೫. ೬ ವ)"
ಡಾವರ,"[ನಾ] ಕ್ಷೋಭೆ (ಇಂಚೆಯ ಪಸವಿನ ಬಱದ ಕಳಂಚಿನ ಡಾವರದ ಬಾಧೆಯಿಲ್ಲದ ಪದದೊಳ್ ಮುಂಚದೆ ಪಿಂಚದೆ ಬಳೆದು ವಿರಿಂಚಿಯ ಕೆಯ್ಪಿಡಿವೊಲಾದುವಾ ನಾಡೂರ್ಗಳ್: ಪಂಪಭಾ, ೮. ೫೧)"
