page,1
ತಕ್ಕ,"[ನಾ] ಉಳ್ಳವನು (ಇಳೇಯಂ ಘಾತಿಸಿ ತಕ್ಕರಂ ಕವರ್ದುಕೊಂಡು ಅರ್ಥಮಂ ಪೂೞ್ದು ನೋಡುತ್ತುಂ ಉಗ್ರಲೋಭವಶದಿಂ: ಆದಿಪು, ೨. ೧೫); [ನಾ] ತಕ್ಕದ್ದು, ಶ್ರೇಷ್ಠ [√ತಗು] (ಕ್ಷೀರಾಬ್ಧಿಯ ನೀರಲ್ಲದೆ ಧೀರನ ಮಜ್ಜನಕೆ ಪೆಱವು ನೀರ್ ತಗವು ಎಂದು ವಾರಾಶಿವರಂ ಸುರಜನದಾರಿ ಮನೋಹಾರಿ ನೀಳ್ದುವೆರಡುಂ ಕೆಲದೊಳ್: ಆದಿಪು, ೭. ೮೨); [ನಾ] ದಾನಾರ್ಹ (ಜಿನಪೂಜೋತ್ಸವಮಂ ಮಹಾಮಹಮುಮಂ ತಾಂ ಮಾಡಿ ಸಲ್ವನ್ನೆಗಂ ಧನಮಂ ತಕ್ಕವರ್ಗೀಯವೇೞ್ಪುದು: ಆದಿಪು, ೧೫. ೬); [ನಾ] ಗುಣಶಾಲಿ (ಕಲಿಯನೆ ಪಂದೆ ಮಾೞ್ಪ ಒಳ್ಗಲಿಯಂ ಕಡುವಂದೆ ಮಾೞ್ಪ ತಕ್ಕನಂ ಪೊಲೆಯನೆ ಮಾೞ್ಪ ಮುಂ ಪೊಲೆಯನಂ ನೆಱೆ ತಕ್ಕನೆ ಮಾೞ್ಪ: ಪಂಪಭಾ, ೧೨. ೯೨)"
ತಕ್ಕು,"[ನಾ] ಆತ್ಮವಿಶ್ವಾಸ, ಸ್ವಾಭಿಮಾನ (ದರ್ಪಿತದುರಿತಮಲ್ಲನುಮಂ ಉಡಿವ ತಕ್ಕಿನಿಂ ಸಭೆಗೆ ನಡೆದಂ ಇಂದ್ರಾರ್ಚಿತನಾ: ಆದಿಪು, ೧೪. ೧೩೪); [ನಾ] ಶ್ರೇಷ್ಠ (ಮದಮಂ ಮುಕ್ಕುಳಿಸಿರ್ದ ಇಭಂಗಳಂ ಉದಗ್ರಾಶ್ವಂಗಳಂ ತಕ್ಕಿನಗ್ಗದ ಬಾಡಂಗಳಂ ಆಯ್ದು ಕೊಟ್ಟು: ಪಂಪಭಾ, ೨. ೫೩); [ನಾ] ಆಧಿಕ್ಯ, ಹೆಚ್ಚಿಕೆ (ಎರಡುಂ ಬಲಂ ಎನ್ನೆ ನೋಡೆ ತಕ್ಕಿನ ಎನ್ನ ಅದಟುಮಂ ಎನ್ನ ವೀರಮುಮಂ ಆಜಿಯೊಳ್ ಎನ್ನರಸಂಗೆ ತೋಱುವೆಂ: ಪಂಪಭಾ ಪರಿಷತ್ತು, ೧೦. ೪೧)"
ತಕ್ಕುದೆ,"[ನಾ] ಯೋಗ್ಯವಾದುದೇ (ಮಧ್ಯಸ್ಥಂಗಳಾಗಿರ್ದುವರ್ಕಲೆಯಲ್ ತಕ್ಕುದೆ ಕೆನ್ನಂ ಆ ತ್ರಿವಳಿಗಳ್ಗೆನ್ನಂ ಸರೋಜಾಕ್ಷಿಯಾ: ಪಂಪಭಾ, ೪. ೭೪)"
ತಕ್ಕೂರ್ಮೆ,"[ನಾ] (ತಕ್ಕು+ಊರ್ಮೆ] ಯೋಗ್ಯತೆ (ಈ ನುಡಿಯೆ ನಿನ್ನ ಕೂರ್ಮೆಗಂ ತಕ್ಕೂರ್ಮೆಗಂ ದೊರೆಯಪ್ಪುದಾದೊಡಂ ಅರಾತಿಸೈನ್ಯಮಂ ತವೆ ಕೊಂದಲ್ಲದೆ ನಿನ್ನ ಮೊಗಮಂ ನೋಡೆಂ: ಪಂಪಭಾ, ೧೩. ೨೮ ವ)"
ತಕ್ಷಕಪತಿ,"[ನಾ] ಮಹಾ ಶಿಲ್ಪಿ (ಭದ್ರಮುಖನೆಂಬ ತಕ್ಷಕಪತಿಯುಂ .. .. ಆತ್ಮೀಯ ಸಾಮ್ರಾಜ್ಯಪರಿಚ್ಛೇದಮಾಗೆ: ಆದಿಪು, ೧೫. ೩ ವ)"
ತಕ್ಷಕರತ್ನ,"[ನಾ] [ಜೈನ] ಜೀವರತ್ನಗಳಲ್ಲಿ ಒಂದಾದ ಸ್ಥಪತಿ, ವಾಸ್ತುಶಿಲ್ಪಿ (ಪ್ರಾಸಾದಪ್ರಕರಣನುಮಪ್ಪ ಭದ್ರಮುಖನೆಂಬ ತಕ್ಷಕರತ್ನಮುಂ: ಆದಿಪು, ೧೧. ೩ ವ)"
ತಗರ್,"[ಕ್ರಿ] ಅಡ್ಡಗಟ್ಟು (ರಥಮಂ ಬಂದೇಱಿ ಪೋ ಪೋಗಲೆಂದೊದಱುತ್ತುಂ ಪರಿತಂದು ತಾಗಿ ತಗರ್ದಂ ಗಂಗಾಸುತಂ ಭೀಮನಂ: ಪಂಪಭಾ, ೧೧. ೧೦)"
ತಗರ್ತಲೆಯ,"[ನಾ] ಒಂದು ಬಾಣ (ನೆಱೆದು ನಿರ್ವಾಯಂ ನರುವಾಯಂ ಮುಂಮೊನೆ ನೆರಕೆ ನಾರಾಚಂ ತಗರ್ತಲೆಯಂ: ಪಂಪಭಾ, ೧೩. ೩೯)"
ತಗವು,"ಯೋಗ್ಯವಾಗವು (ಕ್ಷೀರಾಬ್ಧಿಯ ನೀರಲ್ಲದೆ ಧೀರನ ಮಜ್ಜನಕೆ ಪೆಱವು ನೀರ್ ತಗವು ಎಂದು ಆ ವಾರಾಶಿವರಂ: ಆದಿಪು, ೭. ೮೨)"
