page,1
ದಕ್ಕು,"[ನಾ] ದಸಿ, ಮುಳ್ಳಿನಂಥ ಕತ್ತಿ (ಪುಸಿ ನಸುವಂಚನೆ ನೋರ್ಪು ಅಸಿದು ಅಗಲಿತು ತಕ್ಕು ದಕ್ಕು ಪಗೆ ಕೆಯ್ಬಗೆ ಕೆಯ್ ಕುಸುರಿ ನುಸುಳೆಂಬ ಕೇಣದ ಕುಸುರಿಯಂ ಅಱಿದು ಇಱಿದು ಮೆಱೆದು ಉಱೆದೆ ಅರೆಬರ್: ಪಂಪಭಾ, ೧೦. ೮೧)"
ದಕ್ಷಾಧ್ವರಧ್ವಂಸಕ,"[ನಾ] ದಕ್ಷನ ಯಜ್ಞವನ್ನು ಹಾಳುಮಾಡಿದವನು, ಶಿವ (ಇದು ಕೈಲಾಸಂ ಭವಾನೀಧವನ ನೆಲೆ ಮನೋಜಾತನಂ ಬೂದಿಮಾಡಿತ್ತಿದಱೊಳ್ ದಕ್ಷಾಧ್ವರಧ್ವಂಸಕನ ನೊಸಲ ಕಣ್: ಪಂಪಭಾ, ೭. ೭೪)"
ದಕ್ಷಿಣ,"[ಗು] ಬಲಭಾಗದ (ದಕ್ಷಿಣಚರಣದೊಳ್ ನೆಲನಂ ಪರಡಿ ಗಂಭೀರನಿನಾದದಿಂ ಹೇಷಿತಂಗೆಯ್ವ ವಿಜಯಹಯಮುಮಂ: ಪಂಪಭಾ, ೯. ೯೫ ವ)"
ದಕ್ಷಿಣದಿಕ್ಪಾಲ,"[ನಾ] ದಕ್ಷಿಣದ ಅಧಿಪತಿ, ಯಮ (ಅನ್ಯದುರ್ಧರ ನಿಜಧನುರ್ದಂಡಮಂ ತದ್ಧ್ವಜಿನಿಗೆ ಕೋಪಕುಟಿಲ ದಕ್ಷಿಣದಿಕ್ಪಾಲ ಭ್ರುಕುಟೀವಿಭ್ರಮಮಂ ಮಾಡಲ್ಪಡದೆಯುಂ: ಆದಿಪು, ೧೪. ೧೦೩ ವ)"
ದಕ್ಷಿಣವಿಷಾಣ,"[ನಾ] ಬಲಭಾಗದ ದಂತ (ನಿಜಭುಜವಿಜಯಲಕ್ಷ್ಮೀ ಪರಿರಂಭಣಪ್ರಕಟನದಕ್ಷದಕ್ಷಿಣ ವಿಷಾಣವಿನ್ಯಸ್ತಹಸ್ತನುಂ: ಆದಿಪು, ೧೪. ೯೦ ವ)"
ದಕ್ಷಿಣಹಸ್ತ,"[ನಾ] ಬಲಗೈ (ಅಂತಕಾರಾದಿ ಹಕಾರಾಂತ ಸ್ವರವ್ಯಂಜನ ಭೇದಭಿನ್ನ ಶುದ್ಧಾಕ್ಷರಂಗಳುಮಂ ಆಯೋಗವಾಹಕ ಚತುಷ್ಕಮುಮಂ ಸಂಯೋಗಾಕ್ಷರಂಗಳುಮಂ ಬ್ರಹ್ಮಿಗೆ ದಕ್ಷಿಣಹಸ್ತದೊಳ್ ಉಪದೇಶಂಗೆಯ್ದು: ಆದಿಪು, ೮. ೫೯ ವ)"
ದಕ್ಷಿಣಾಕಾಲ,"[ನಾ] ದಾನ ಕೊಡುವ ವೇಳೆ (ಮೂವತ್ತೆರಡು ದಿವಸದೊಳ್ ಕ್ರತುವಂ ನಿರ್ವರ್ತಿಸಿ ಮಹಾದಾನಂಗೆಯ್ದು ದಕ್ಷಿಣಾಕಾಲದೊಳ್: ಪಂಪಭಾ, ೬. ೩೮ ವ)"
ದಕ್ಷಿಣಾಕ್ಷಿಸ್ಪಂದ,"[ನಾ] ಬಲಗಣ್ಣ ಅದುರುವಿಕೆ (ಅರಿಮಕುಟರತ್ನಮಂ ನಿಜಚರಣಕ್ಕರ್ಘ್ಯ ಪ್ರದೀಪಮಾಗಿರ್ಪುದನಾ ಭರತೇಶ್ವರಂಗೆ ಸೂಚಿಸಿದತ್ತು ದಕ್ಷಿಣಾಕ್ಷಿಸ್ಪಂದಂ: ಆದಿಪು, ೧೧. ೧೨)"
ದಕ್ಷಿಣಾಕ್ಷಿಸ್ಪಂದನ,"[ನಾ] ಬಲಗಣ್ಣ ಅದುರುವಿಕೆ (ಅಂತು ದಕ್ಷಿಣಾಕ್ಷಿಸ್ಪಂದನದೊಳಂ ಸೂಚಿಸುವ ಶುಭಸೂಚನೆಯೊಳಂ ನಾರಾಯಣಂ ಉದಾತ್ತನಾರಾಯಣನ ಬರವನಱಿದು: ಪಂಪಭಾ, ೩. ೩೩ ವ)"
ದಕ್ಷಿಣಾಗ್ನಿ,"[ನಾ] [ಜೈನ] ಜೈನ ಬ್ರಾಹ್ಮಣರ ಮನೆಗಳಲ್ಲಿ ಅರ್ಹಂತನ ಪೂಜೆಗಾಗಿ ಸ್ಥಾಪಿಸುವ ಮೂರು ಬಗೆಯ ಅಗ್ನಿಗಳಲ್ಲಿ ಒಣದು (ತೀರ್ಥಕರಗಣಧರಾನಗಾರ ಕೇವಳಿಗಳ್ ಪರಿನಿರ್ವಾಣಕ್ಷೇತ್ರದೊಳ್ ಶರೀರಸಂಸ್ಕಾರಾದಿ ಗಾರ್ಹಪತ್ಯ ದಕ್ಷಿಣಾಗ್ನಿ ಆಹವನೀಯಮೆಂಬ ಪೆಸರಂ ಪಡದಂ: ಆದಿಪು, ೧೫. ೧೬ ವ)"
ದಕ್ಷಿಣಾಭಿಮುಖ,"[ನಾ] [ದಕ್ಷಿಣ+ಅಭಿಮುಖ] ದಕ್ಷಿಣಕ್ಕೆ ಎದುರಾದ (ದಕ್ಷಿಣಾಭಿಮುಖನಾಗಿ ನಿತ್ಯಪ್ರಯಾಣಂಗಳಿಂ ಬಂದು: ಆದಿಪು, ೧೩. ೭೭ ವ)"
ದಕ್ಷಿಣಾವರ್ತ,"[ನಾ] [ದಕ್ಷಿಣ+ಆವರ್ತ] ಬಲಗಡೆ ಸುತ್ತುವ (ವಿಜಯಗಜಮನೇಱಿ ವಿದ್ಯೋತಮಾಗಿ ದಕ್ಷಿಣಾವರ್ತಮಪ್ಪ ಹೋಮಾಗ್ನಿಯಂ ಬಲಂಗೊಂಡು: ಪಂಪಭಾ, ೯. ೯೫ ವ)"
