page,1
ಧಗಂ,"[ಅ] ಧಸಕ್ ಎನ್ನುವಂತೆ ಅನುಕರಣ ಪದ (ನಿನ್ನನೊರ್ವನಂ ಪಗೆವಡೆಯೊಡ್ಡುಗಳಂ ಒಡೆಯಲ್ಕೆ ಪೇೞ್ದು ಎರ್ದೆ ಧಗಂ ಎನೆ ಸೈರಿಸುವ ಉಪಾಯಮಾವುದು ಕಱುವೇ: ಪಂಪಭಾ, ೧೧. ೯೧)"
ಧಗದ್ಧಗಿತರವ,"[ನಾ] ಧಗಧಗ ಎಂಬ ಶಬ್ದ (ಧೃತಧಗದ್ಧಗಿತರವನಿರ್ಮಳಶಿಖಾಳಿಯಂ ಸತತಗತಿ ಪಥಮನಡರ್ವುಜ್ಜ್ವಳಜ್ವಾಳೆಯಂ: ಆದಿಪು, ೭. ೨೭ ವ)"
ಧನ,"[ನಾ] ಸಂಪತ್ತು (ತನು ರೂಪ ವಿಭವ ಯೌವನ ಧನ ಸೌಭಾಗ್ಯ ಆಯುರಾದಿಗಳ್ಗೆಣೆ ಕುಡುಮಿಂಚಿನ ಪೊಳೆಪು ಮುಗಿಲ ನೆೞಲ್ ಇಂದ್ರನ ಬಿಲ್ ಬೊಬ್ಬುಳಿಕೆಯುರ್ಬು ಪರ್ಬಿದ ಭೋಗಂ: ಆದಿಪು, ೯. ೯. ೪೬)"
ಧನಂಜಯ,"[ನಾ] ಅರ್ಜುನ (ಅನ್ನೆಗಂ ತನ್ನ ಮಯ್ದುನನಪ್ಪ ಅಮೋಘಾಸ್ತ್ರಧನಂಜಯನ ಬರವಿನ ಸಂತಸದೊಸಗೆ ಪಡೆಮಾತಂ ಮುಂದುವರಿದಱಿಪುವಂತೆ: ಪಂಪಭಾ, ೪. ೩೨ ವ)"
ಧನದ,"[ನಾ] ಕುಬೇರ (ಧನದಂ ಕಾಂಚನಪಂಚರತ್ನಮಯಂ ರೈವೃಷ್ಟಿಯಂ ಮಾಡುವಲ್ಲಿ: ಆದಿಪು, ೭. ೨೪)"
ಧನದಾನುಚರ,"[ನಾ] ಕುಬೇರನ ಹಿಂಬಾಲಕ (ಅಱುವತ್ತುಕೋಟಿ ಧನದಾನುಚರರಂ ಅತಿರೌದ್ರಭಯಾನಕಮಾಗೆ ಕೊಂದು ಸೌಗಂಧಿಕ ಕಾಂಚನಕಮಳಹರಣಪರಿಣತನಾದಂ: ಪಂಪಭಾ, ೮. ೩೧)"
ಧನಸಂಕುಲ,"[ನಾ] ಸಂಪತ್ತೆಲ್ಲ (ಧರ್ಮಪುತ್ರನುಂ ಕುಲಧನಸಂಕುಲಗಳನೆ ತಂದಿಡೆ ಇಟ್ಟು ಅವನಾಡಿ ಸೋಲ್ತಂ ಆಕುಲಮತಿ ಮುಂದೆ ಭಾರತದೊಳೊಡ್ಡುವುದಂ ಕಡುನನ್ನಿ ಮಾೞ್ಪವೊಲ್: ಪಂಪಭಾ, ೬. ೭೨)"
ಧನು,"[ನಾ] [ಜೈನ] ಬಿಲ್ಲು, ಎತ್ತರದ ಒಂದು ಅಳತೆ (ಏೞೆ ಧನು ಮೂಱು ಮೊೞನಿಂ ಪೇೞೆ ಷಡಂಗುಲಮೆ ಮೊದಲ ನಾರಕರ ಒಡಲ್: ಆದಿಪು, ೫. ೯೨)"
ಧನುರಾಗಮ,"[ನಾ] ಧನುರ್ವಿದ್ಯೆ (ಇನಿಬರೊಳಗೀತನೊರ್ವನೆ ಧನುರಾಗಮದೆಡೆಗೆ ಕುಶಲನಕ್ಕುಂ ಅದರ್ಕೇಂ ಕಿನಿಸದಿರಿಂ ಮುನ್ನಱಿಪಿದೆಂ ಎನೆ ಭೀಷ್ಮನಲಂಪು ಮಿಗೆ ಮುಗುಳ್ನಗೆ ನಕ್ಕಂ: ಪಂಪಭಾ, ೨. ೫೫)"
