page,1
ನಃ,ನಮ್ಮನ್ನು (ಸ ಸರ್ವಜಗತಾಂ ಗುರುರ್ಗಿರಿಸುತಾಪತಿಃ ಪಾತು ನಃ: ೪. ೨೭)
ನ ದೇವಚರಿತಂ ಚರೇತ್,"ದೇವರ ನಡೆಯಂತೆ ನಡೆದುಕೊಳ್ಳಲಾಗದು (ನ ದೇವಚರಿತಂ ಚರೇತ್ ಎನಿಸಿದೈ ತ್ರಿಲೋಕೇಶ್ವರಾ: ಆದಿಪು, ೧೩. ೮೪)"
ನಕುಲ,"[ನಾ] ಪಂಚಪಾಂಡವರಲ್ಲೊಬ್ಬ (ನಕುಲಂ ಕುಂತಶಸ್ತ್ರದೊಳತಿಪ್ರವೀಣನುಮಾಗಿ: ಪಂಪಭಾ, ೨. ೩೬ ವ)"
ನಕುಳ,"[ನಾ] ನಕುಲ, ಮುಂಗುಸಿ (ಶಾರ್ದೂಲ ವರಾಹ ಗೋಲಾಂಗೂಲ ನಕುಳಂಗಳಂ ನೋಡುತ್ತಮವರ್ಕೆ ಭಕ್ಷ್ಯಾಪೂಪಗಳಂ ತಿರಿಸಿ ನೀಡುತ್ತಮಿರ್ದ: ಆದಿಪು, ೫. ೨ ವ)"
ನಕ್ಕು,"[ಕ್ರಿ] ನೆಕ್ಕು, ನಾಲಗೆಯಿಂದ ರುಚಿನೋಡು (ಎನಿತಾನುಂ ಅಂಬುನಿಧಿಗಳಂ ಅನೇಕ ನಾಕಂಗಳಲ್ಲಿ ಕುಡಿದುಂ ಪೋಯ್ತಿಲ್ಲೆನಗೆ ನರಭೋಗಮೆಂಬೀ ಪನಿಪುಲ್ಲಂ ನಕ್ಕೆ ತೃಷ್ಣೆ ಪೇೞ್ ಪೋದಪುದೇ: ಆದಿಪು, ೯. ೫೭)"
ನಕ್ರ,"[ನಾ] ಮೊಸಳೆ (ಕರಾಳನಕ್ರಚರ್ವಿತ ನಿಕೀರ್ಣನಿರಯಜನಿಕುರುಂಬ ಶಲ್ಯಶಕಲಪರಿಪೂರಿತ ಧವಳಪ್ಲವದುರ್ನಿರೀಕ್ಷಣವಿಷಮೆಯುಂ: ಆದಿಪು, ೫. ೮೭ ವ)"
ನಕ್ಷತ್ರ,"[ನಾ] ಹುಟ್ಟಿದ ನಕ್ಷತ್ರ (ಶುಭತಿಥಿ ಶುಭನಕ್ಷತ್ರಂ ಶುಭವಾರಂ ಶುಭಮುಹೂರ್ತಮೆನೆ ಗಣಕಂ ಇಳಾಪ್ರಭುವೊಗೆದಂ ಉದಿತಕಾಯಪ್ರಭೆಯೊಗೆದಿರೆ ದಳಿತಶತ್ರುಗೋತ್ರಂ ಪುತ್ರಂ: ಪಂಪಭಾ, ೧. ೧೨೭)"
ನಕ್ಷತ್ರಮಾಳಾ,"[ನಾ] ಇಪ್ಪತ್ತೇಳು ಎಳೆಗಳ ಮುತ್ತಿನ ಕಂಠೀಹಾರ (ಅರ್ಧಹಾರ ರಶ್ಮಿಕಳಾಪ ನಕ್ಷತ್ರಮಾಳಾ ಅರ್ಧಗುಚ್ಛ ಮಾಣವಕ ಅರ್ಧಮಾಣವಕಗಲೆಂಬ ಪನ್ನೊಂದು ನಾನಾರತ್ನದ ಸುವರ್ಣಪದಕವಿರಚನಾದಿ ಭೇದದಿಂ: ಆದಿಪು, ೮. ೫೪ ವ)"
ನಖಮಯೂಖ,"[ನಾ] ಉಗುರಿನ ಕಾಂತಿ (ಪುಟ್ಟಿದಂ ಅಖಿಳ ಕ್ಷ್ಮಾಪಾಲಮೌಳಿ ಮಣಿರಂಜಿತ ಕಿರಣಾಪಾಳಿತ ನಖಮಯೂಖರಂಜಿತ ಚರಣಂ: ಪಂಪಭಾ, ೧. ೧೮)"
