page,1
ಪಂಕಜವಕ್ತ್ರ,"[ನಾ] ತಾವರೆಯಂತಹ ಮುಖ[ವುಳ್ಳವನು] (ಸಾಲಪ್ರಾಂಶು ವಿಶಾಲ ಲೋಲನಯನಂ ಪ್ರೋದ್ಯತ್ ವೃಷಸ್ಕಂಧಂ ಉನ್ಮೀಲತ್ ಪಂಕಜವಕ್ತ್ರಂ ಆಯತ ಸಮಗ್ರ ಉರಸ್ಸ್ಥಳಂ: ಪಂಪಭಾ, ೧. ೬೮)"
ಪಂಕಜವಿಷ್ಟರ,"[ನಾ] ಕಮಲದ ಆಸನವುಳ್ಳವನು, ಬ್ರಹ್ಮ (ಸ್ಫುರಿತೋದ್ಯತ್ಕನಕ ಪ್ರಭಾಪ್ರಸರದಿಂ ಪೀತಾಂಬರಂ ಪದ್ಮವಿಷ್ಟರದಿಂ ಪಂಕಜವಿಷ್ಟರಂ ನತವಿನೇಯವ್ರಾತ ಚೇತಸ್ತಮೋಹರನಾಗಿರ್ದುದಱಿಂ ಹರಂ: ಆದಿಪು, ೧೬. ೬)"
ಪಂಕಪ್ರಭೆ,"[ನಾ] [ಜೈನ] ಏಳು ನರಕಗಳಲ್ಲಿ ನಾಲ್ಕನೆಯದು, (ಪಂಕಪ್ರಭೆಯೊಳ್ ದಶಬ್ಧ್ಯುಪಮೆಯಿಂ ದುಃಖಾಗ್ನಿಯೊಳ್ ಬೆಂದು: ಆದಿಪು, ೫. ೪)"
ಪಂಕೇಜಗರ್ಭಾತ್ಮಜ,"[ನಾ] [ಪಂಕೇಜಗರ್ಭ+ಆತ್ಮಜ = ಬ್ರಹ್ಮನ ಮಗ] ನಾರದ (ಎಮ್ಮನ್ವಯಕ್ಷ್ಮಾಪರ್ ಆವ ವಿಳಾಸಂಗೊಳ್ ಇರ್ಪರ್ ಏದೊರೆತು ತಾಂ ಎಮ್ಮಯ್ಯನೈಶ್ವರ್ಯಂ ಇಂತು ಇವನೆಲ್ಲಂ ತಿಳಿವಂತುಟಾಗಿ ಬೆಸಸಿಂ ಪಂಕೇಜಗರ್ಭಾತ್ಮಜಾ: ಪಂಪಭಾ, ೬. ೧೫)"
ಪಂಕೇಜಪತ್ರಾಂಬು,"[ನಾ] [ಪಂಕೇಜ+ಪತ್ರ+ಅಂಬು] ತಾವರೆಯ ಎಲೆಯ ಮೇಲಿನ ನೀರು (ಅರ್ಕಂ ಅಳುರ್ಕೆಗೆಟ್ಟು ನಭದಿಂ ತೂಳ್ದಂ ಸುರುಳ್ದಪ್ಪಿದಳ್ ಮೃಡನಂ ಗೌರಿ ಸಮಸ್ತಂ ಈ ತ್ರಿಭುವನಂ ಪಂಕೇಜಪತ್ರಾಂಬುವೋಲ್ ನಡುಗಿತ್ತು: ಪಂಪಭಾ, ೧೦. ೨೬)"
ಪಂಕೇಜಪತ್ರೇಕ್ಷಣೆ,"[ನಾ] ತಾವರೆಯ ದಳದಂತೆ ಕಣ್ಣುಳ್ಳವಳು (ಅತ್ಯುಗ್ರ ಆಜಿಯೊಳ್ ಮುನ್ನಂ ಈ ಖಳ ದುಶ್ಶಾಸನನಂ ಪೊರಳ್ಚಿ ಬಸಿಱಂ ಪೋೞ್ದಿಕ್ಕಿ ಬಂಬಲ್ಗರುಳ್ಗಳಿಂ ಆನಲ್ತೆ ವಿಳಾಸದಿಂ ಮುಡಿಯಿಪೆಂ ಪಂಕೇಜಪತ್ರೇಕ್ಷಣೇ: ಪಂಪಭಾ, ೭. ೧೨)"
ಪಂಕೇಜವಕ್ತ್ರೆ,"[ನಾ] ಕಮಲಮುಖಿ (ಅಂತೆ ಬಂದು ಪಂಕೇಜವಕ್ತ್ರೆ ಮತ್ಸ್ಯಸುತನಂ ನುಡಿದಳ್: ಪಂಪಭಾ, ೮. ೯೭)"
ಪಂಕೇರುಹನಾಭ,"[ನಾ] ಬ್ರಹ್ಮ (ದ್ವಾರಾವತೀಪುರಕ್ಕೆ ಚರರಂ ತಡವಿಲ್ಲದೆ ಬೇಗಮಟ್ಟಿ ಪಂಕೇರುಹನಾಭನಂ ಬರಿಸಿ: ಪಂಪಭಾ, ೬. ೨೧)"
ಪಕ್ಕ,"[ನಾ] ಹತ್ತಿರ (ಕಲ್ಪಮಹೀಜದ ಪಕ್ಕದ ಇರ್ಕೆಲಂಬಿಡಿದು ಮಡಲ್ತು ತೋಱುವ ಲತಾವಳಿಗಳ್ಗೆಣೆಯಾಯ್ತು: ಆದಿಪು, ೨. ೪); [ನಾ] ಎದುರು, ಸಮಕ್ಷಮ (ನುಡಿ ನಿನಗಂ ದಿನೇಶತನಯಂಗಂ ಅದೆನ್ನಯ ಪಕ್ಕದೆ ಆದೊಡಂ ಮಿಡುಕದೆ ಕೇಳ್ವೆಂ ಅಲ್ಲಿ ಸಮಂ ಇರ್ವರುಂ: ಪಂಪಭಾ, ೧೩. ೨೮)"
ಪಕ್ಕರೆ,"[ನಾ] [ಪಕ್ಷರಕ್ಷೆ] ಪಕ್ಕದಲ್ಲಿ ಹಾಕುವ ಗುಳ, ಜೀನು (ಪಕ್ಕರೆಯಿಕ್ಕಿ ಬಂದುವು ಹಯಂ ಘಟೆ ಪಣ್ಣಿದುವಾಯುಧಂಗಳಿಂ ತೆಕ್ಕನೆ ತೀವಿ ಬಂದುವು ರಥಂ: ಪಂಪಭಾ, ೩. ೬೭)"
