page,1
ಫಣಾಗಣಮಣಿಕಿರಣ,"[ನಾ] ಹೆಡೆಗಳ ಸಮೂಹದ ರತ್ನದ ಕಾಂತಿ (ಆಗಳ್ ಅನಂತಂ ಅನಂತ ಫಣಾಗಣಮಣಿಕಿರಣಮೆಸೆಯೆ ದುಗ್ಧಾರ್ಣವದೊಳ್ ರಾಗದಿನಿರ್ಪಂತಿರ್ದಂ ಭೋಗಿ ತೞತ್ತೞಿಸಿ ಬೆಳಗೆ ಕೆಯ್ದೀವಿಗೆಗಳ್: ಪಂಪಭಾ, ೪. ೫೩)"
ಫಣಾಮಣಿ,"[ನಾ] ಹೆಡೆಯ ಮಣಿ (ಬಾಳದಿನೇಶಬಿಂಬದ ನೆೞಲ್ ಜಲದೊಳ್ ನೆಲಸಿತ್ತೊ ಮೇಣ್ ಫಣೀಂದ್ರಾಳಯದಿಂದಂ ಉರ್ಚಿದ ಫಣಾಮಣಿಮಂಗಳರಶ್ಮಿಯೋ ಪಂಪಭಾ, ೧. ೯೬)"
ಫಣಾರತ್ನ,"[ನಾ] ಫಣಾಮಣಿ (ದೀಪದೊಳ್ ಪನ್ನಗಪತಿಯ ಫಣಾರತ್ನದೀಪಂ ವಿತಾನಾವಳಿಯೊಳ್ ದಿವ್ಯಂ ವಿತಾನಂ ತುಱುಗಿದುವು: ಆದಿಪು, ೧೬. ೨)"
ಫಣಿ,"[ನಾ] ಹಾವು (ಮತ್ಸ್ಯ ಮಕರ ಕುಲಿಶ ಕಲಶ ಕುಳೀರ ವರಾಹ ವಾನರ ಕಂಠೀರವ ಚಮೂರು ಮಯೂರ ಗರುಡ ಫಣಿರಾಜಚಿಹ್ನಂಗಳಪ್ಪ: ಆದಿಪು, ೧೧. ೨೮ ವ)"
ಫಣಿಕೇತನ,"[ನಾ] ರ್ಪಧ್ವಜ, ದುರ್ಯೋಧನ (ಎಂಬುದುಂ ಬೞಿಕ್ಕಿನ ನುಡಿಗೆ ಸೈರಿಸಲಾಱದೆ ಫಣಿಕೇತನಂ ಇಂತೆಂದಂ: ಪಂಪಭಾ, ೧೩. ೨೩ ವ)"
ಫಣಿಗೇಹ,"[ನಾ] ಫಣಿಗೃಹ (ಫಣಿಫಣಾಸ್ಫುರಿತದೀಪಿಕಾವ್ಯೂಹಮಂ ಕ್ವಣಿತಮಣಿಕಿಂಕಿಣೀನಿನದ ಫಣಿಗೇಹಮಂ .. .. ನೋಡಿ: ಆದಿಪು, ೭. ೨೭ ರಗಳೆ)"
ಫಣಿಪ್ರಭು,"[ನಾ] ಫಣಿಪತಿ (ಫಣಿಪ್ರಭುಗಂ ಎತ್ತಮತ್ತಳಗಮಲ್ತೆ ರೂಪಸ್ತವಂ ಗುಣಸ್ತವಂ ಉದಾತ್ತವೃತ್ತ ಭವದೀಯ ವಸ್ತುಸ್ತವಂ: ಆದಿಪು, ೧೩. ೯೦)"
ಫಣಿಫಣಾ,"[ನಾ] ಹಾವಿನ ಹೆಡೆ (ಫಣಿಫಣಾಸ್ಫುರಿತ ಮಣಿದೀಪಿಕಾವ್ಯೂಹಮಂ: ಆದಿಪು, ೭. ೨೭ ರಗಳೆ)"
ಫಣಿಭೂಷಣ,"[ನಾ] ಹಾವುಗಳೆಂಬ ಆಭರಣ (ಮುಳಿಸು ಲಲಾಟನೇತ್ರಶಿಖಿ ಮೆಚ್ಚೆ ವಿನೂತ ರಸಪ್ರಸಾದಂ ಉಜ್ಜಳಜಸಂ ಅಂಗಸಂಗತ ಲಸತ್ ಭಸಿತಂ ಪ್ರಭುಶಕ್ತಿ ಶಕ್ತಿ ನಿರ್ಮಳಮಣಿಭೂಷಣಂ ಫಣಿಭೂಷಣಂ ಆಗೆ: ಪಂಪಭಾ, ೧. ೨)"
ಫಣಿರಾಜಕೇತನ,"[ನಾ] ಫಣಿಪತಿಕೇತನ (ಅಪರಾಂಬುರಾಶಿಯೊಳ್ ಮುೞುಗುವ ತೀವ್ರದೀಧಿತಿವೊಲ್ ಆ ಕೊಳದೊಳ್ ಫಣಿರಾಜಕೇತನಂ ಮುೞುಗಿದಂ: ಪಂಪಭಾ, ೧೩. ೭೪)"
ಫಣಿರಾಜಕೇತು,"[ನಾ] ದುರ್ಯೋಧನ (ಮುಂದೆ ಬಂದು ಏಡಿಸುವಂತಿರೆ ಆಡಿದುದೊಂದು ಮರುಳ್ ಫಣಿರಾಜಕೇತುವಂ: ಪಂಪಭಾ, ೧೩. ೫೪)"
ಫಣಿವೈರಿ,"[ನಾ] ಹಾವಿನ ಶತ್ರು, ಗರುಡ (ಗಜ ವೃಷಭ ಅಂಕುಶ ಚಕ್ರ ಅಂಬುಜ ಹಂಸ ಮಯೂರ ಮತ್ಸ್ಯ ಫಣಿವೈರಿ ಮತಂಗಜರಿಪು ಚಿಹ್ನ ವಿಶಾಲಧ್ವಜಂಗಳಿಂ ಧ್ವಜಮಹೀತಳಂ ಸೊಗಯಿಸುಗುಂ: ಆದಿಪು, ೧೦. ೩೩)"
ಫಣೀಂದ್ರ,"[ನಾ] ಆದಿಶೇಷ (ಪಡೆಮೆಚ್ಚೆ ಗಂಡನ ಗಂಡಗಾಡಿಯಂ ಕಂಡು ಫಣೀಂದ್ರನ ಕನ್ನೆ ಕನಕಲತೆಯೆಂಬ ನಾಗಕನ್ನೆ ಕಣ್ಬೇಟಗೊಂಡು: ಪಂಪಭಾ, ೪. ೧೫ ವ)"
ಫಣೀಂದ್ರಕೇತು,"[ನಾ] ಸರ್ಪಕೇತನ, ದುರ್ಯೋಧನ (ಪೇೞದೊಡೆ ಪೋಗದಿರು ಈಶ್ವರನಾಣೆ ಎಂದು ಪುಲ್ಮರುಳ್ ಇನಿಸಾನುಮಂ ತಗೆದು ಕಾಡಿದುದಲ್ಲಿ ಫಣೀಂದ್ರಕೇತುವಂ: ಪಂಪಭಾ, ೧೩. ೫೫)"
ಫಣೀಂದ್ರಾಲಯ,"[ನಾ] ನಾಗರಾಜನ ಮನೆ ಅಂದರೆ ಪಾತಾಳಲೋಕ (ಬಾಳದಿನೇಶಬಿಂಬದ ನೆೞಲ್ ಜಲದೊಳ್ ನೆಲಸಿತ್ತೊ ಮೇಣ್ ಫಣೀಂದ್ರಾಳಯದಿಂದಮುರ್ಚಿದ ಫಣಾಮಣಿ ಮಂಗಳರಶ್ಮಿಯೋ: ಪಂಪಭಾ, ೧. ೯೬)"
ಫಲವಿನತ,"[ನಾ] ಹಣ್ಣುಗಳ ಭಾರದಿಂದ ಜಗ್ಗಿದುದು (ಧರ್ಮಾಮೃತವರ್ಷದಿಂ ಧರ್ಮಕ್ಷೇತ್ರಂಗಳೊಳ್ ಭವ್ಯಸಸ್ಯಂಗಳಂ ಅನೇಕಬ್ರತಫಲವಿನತಂಗಳ್ ಮಾಡಿ: ಆದಿಪು, ೧೬. ೪೦ ವ)"
ಫಲಾಶಿ,"[ನಾ] [ಫಲ+ಆಶಿ] ಹಣ್ಣು ತಿನ್ನುವವನು (ವಿವಿಧಮೂಲ ಫಲಾಶಿಗಳುಂ ಸರೋವರ ನದೀ ನಿರ್ಝರಾಂಬುಪಾಯಿಗಳುಂ ಅಗಿ: ಆದಿಪು, ೯. ೯೩ ವ)"
ಫಲ್ಗುಣ,"[ನಾ] ಅರ್ಜುನ (ಕೇಳಿರೆ ಕಂಕಭಟ್ಟನೆ ಯುಧಿಷ್ಠಿರಂ ಆ ವಲಲಂ ವೃಕೋದರಂ ಬಾಳೆಯರಂ ದಲಾಡಿಪ ಬೃಹಂದಳೆ ಫಲ್ಗುಣಂ: ಪಂಪಭಾ, ೯. ೬)"
ಫಳ,"[ನಾ] [ಫಲ] ಸಾರ್ಥಕ್ಯ, ಪ್ರಯೋಜನ (ಶ್ರೀಗೆ ಫಳಂ ಚಾಗಂ ವಾಕ್‌ಶ್ರೀಗೆ ಫಳಂ ಸರ್ವಶಾಸ್ತ್ರಪರಿಣತಿ ವೀರಶ್ರೀಗೆ ಫಳಂ ಆಯಂ ಎಂದಿಂತಾಗಳುಂ ಅಱಿದೆಸೆಗಿದಂ ಪರಾಕ್ರಮಧವಳಂ: ಪಂಪಭಾ, ೬. ೧)"
