page,1
ಬಕ,"[ನಾ] ಬಕಪಕ್ಷಿ (ಬಕ ಕಲಹಂಸ ಬಲಾಕ ಪ್ರಕರ ಮೃದುಕ್ವಣಿತರಮ್ಯಮಿದಿರೊಳ್ ತೋಱೆತ್ತು ಕೊಳಂ ಪರಿವಿಕಸಿತ ಕನಕ ಕಂಜಕಿಂಜಲ್ಕಪುಂಜಪಿಂಜರಿತಜಳಂ: ಪಂಪಭಾ, ೮. ೩೮); [ನಾ] ಒಬ್ಬ ರಾಕ್ಷಸ (ಅಯ್ವರೊಳಂ ನಾಮ್ಮಾಣದೆ ಬಕನ ಬಾರಿಗೊರ್ವನನೀವೆಂ: ಪಂಪಭಾ, ೩. ೨೬)"
ಬಕವೇಷ,"[ನಾ] ಬಕಪಕ್ಷಿಯ ರೂಪ (ಬಕಂ ಬಕವೇಷದಿಂ ಪೆಱಗಣ ದೆಸೆಗೆ ಮೆಲ್ಲನೋಸರಿಸಿ ಬಂದು: ಪಂಪಭಾ, ೩. ೨೯ ವ)"
ಬಕವೇಷಿ,"[ನಾ] ಬಕನ ವೇಷ ಧರಿಸಿದವನು, ಕಪಟಿ (ಅಱಿದು ಶರಣಾಗತಜಳನಿಧಿಯಂ ಎಯ್ದೆವಂಂ ಈ ಬಕವೇಷಿ ನಿನ್ನನೇನಂ ಬೇಡಿದಂ ನೀನೀತಂಗೇನಿತ್ತೆ: ಪಂಪಭಾ, ೫. ೭೧ ವ)"
ಬಕ್ಕೆ,"[ನಾ] ಒಂದು ವಿಧದ ಹಲಸಿನ ಹಣ್ಣು (ಗೊಲೆಯೊಳ್ಪಣ್ತುದು ಮೈಂದವಾೞೆ ಪಥಿಕರ್ಬರ್ಕೆಂದು ಭೃಂಗಂಗಳಿಂದೆ ಉಲಿವಂತಿರ್ದುದು ಪಣ್ತ ಬಕ್ಕೆ ತನಿವಣ್ಣಾಗಿರ್ದುದು: ಆದಿಪು, ೧೧. ೬೮)"
ಬಗಿ,"[ಕ್ರಿ] ತೋಡು, ಕೆತ್ತು (ಅೞ್ಗಿದ ಬಿಲ್ವಡೆ ಮಾಣದೆ ತಗ್ಗಿದ ರಥಂ ಎಯ್ದೆ ಬಗಿದ ಪುಣ್ಗಳ ಪೊಱೆಯಿಂ ಮೊೞ್ಗಿದ ಕರಿಘಟೆ ಜವಂ ಅಡುವ ಅೞ್ಗೆಯಂ ಅನುಕರಿಸೆ ವೀರಭಟರಣರಂಗಂ: ಪಂಪಭಾ, ೧೧. ೬೪):"
ಬಗೆ,"[ನಾ] ಮನಸ್ಸು (ತುಂಗ ಭವದ್ಬೋಧದ ಬೆಳಗಿಂಗೆ ಒಳಗಪ್ಪನಿತು ಎನ್ನ ಬಗೆ ಪುಗದು: ಆದಿಪು, ೮. ೧೦); [ಕ್ರಿ] ಚಿಂತಿಸು, ಧ್ಯಾನಿಸು (ಮುಳಿಸಿನ ದಳ್ಳುರಿಗನುಗುೞುತ್ತುಂ ಚಕ್ರರತ್ನಮಂ ಬಗೆದು ಬೆಸಸಿದಂ ಭರತೇಶಂ: ಆದಿಪು, ೧೪. ೧೧೫); [ಕ್ರಿ] ನಿರ್ಧರಿಸು (ಈಗಡೆ ಜೈನದೀಕ್ಷೆಯಂ ಕೊಂಡು ಅಡಿಗೆಱಗಿಸುವೆಂ ಸಮಸ್ತಸುರ ಸಮುದಯಮಂ ಎಂದಿಂತು ಬಗೆದು: ಆದಿಪು, ೧೪. ೧೨೭ ಮತ್ತು ೧೨೮); [ನಾ] ರೀತಿ (ಬಗೆ ಪೊಸತಪ್ಪುದಾಗೆ ಮೃದು ಬಂಧದೊಳೊಂದುವುದೊಂದಿ ದೇಸಿಯೊಳ್ ಪುಗುವುದು ಪೊಕ್ಕ ಮಾರ್ಗದೊಳೆ ತಳ್ವುದು: ಪಂಪಭಾ, ೧. ೮); [ಕ್ರಿ] ಭಾವಿಸು (ವಸುಧೆಗಸದಳಮಾಯ್ತು ಆ ಮಗನಂದಂ ಎಂದು ಲೋಗರ್ ಬಗೆದಿರೆ ವಸುಷೇಣನೆಂಬ ಪೆಸರಾಯ್ತಾಗಳ್: ಪಂಪಭಾ, ೧. ೯೭); [ನಾ] ಚಿಂತನೆ (ಮಸಿಯಿಂದಂ ಜಗಮೆಲ್ಲಮಂ ದಿತಿಸುತಂ ಮುಂ ಪೂೞ್ದನೋ ಕಾಲಮೇಘಸಮೂಹಂ ದೆಸೆಯೆಲ್ಲಮಂ ಕವಿದುದೋ: ಪಂಪಭಾ, ೪. ೪೯); [ನಾ] ಇಷ್ಟ (ಉಸಿರ್ದೊಡೆ ಬಗೆ ತೀರ್ಗುಂ ಬಿಸಿದುಂ ಬೆಟ್ಟಿತ್ತುಂ ಉಸಿರದೇಂ ತೀರ್ದಪುದೇ: ಪಂಪಭಾ, ೪. ೬೫); [ಕ್ರಿ] ಲೆಕ್ಕಿಸು (ದಿವ್ಯವಚನಮಂ ಅದಂ ಅಂತೇನುಂ ಬಗೆಯದೆ ಕುಡಿದು ಅಜ್ಞಾನತೆಯಿಂ ನಂಜುಗುಡಿದರಂತಿರೆ ಕೆಡೆದಂ: ಪಂಪಭಾ, ೮. ೪೦); [ಕ್ರಿ] ಪರಿಗಣಿಸು (ಶಲ್ಯನಂ ಅಂದು ಅಖಲ್ಯನಂ ಬಗೆವವೊಲ್ ಏಳಿದಂ ಬಗೆದು ದಂತಿಯಂ ಆಗಡೆ ತೋಱಿಕೊಟ್ಟು: ಪಂಪಭಾ, ೧೦. ೧೧೧); [ನಾ] ಮನೋರಥ (ಅಂತು ತನ್ನ ಪಗೆಯುಂ ಬಗೆಯುಂ ಒಡನೊಡನೆ ಮುಡಿಯೆ: ಪಂಪಭಾ, ೧೨. ೧೫೫ ವ); [ಕ್ರಿ] ಯೋಚನೆ ಮಾಡು (ಪಗೆಗೆ ಕಣಿಯುಂಟೇ ನಣ್ಪಿಂಗಂ ಆಗರಮುಂಟೆ ನೀಂ ಬಗೆಯ: ಪಂಪಭಾ, ೧೩. ೧೦)"
ಬಗೆಗಲ್,"[ಕ್ರಿ] [ಬಗೆ+ಕಲ್] ಮನಸ್ಸನ್ನು ತಿಳಿ (ಈ ಕಿಱಿಯವಳ್ ನಮಗೊಂದುಮಂ ಇಂತುಟೆನ್ನಳ್ ಇನ್ನುಂ ಬಗೆಗಲ್ವಂ ಅನ್ನೆವರೆಗಂ ಉಮ್ಮಳಿಸುತ್ತಿರದಿರ್: ಆದಿಪು, ೩. ೨೬)"
ಬಗೆಗುಂ,"ಆಲೋಚಿಸುತ್ತದೆ (ಕನ್ನೆತನಂಗೆಯ್ಯಲ್ ಬಗೆಗುಂ ನಾಣ್ ಮಿಗೆ ಮನಮುಂ ಇೞುವರಿಯಲ್ ಬಗೆಗುಂ ಕನ್ನಡಿಕುಂ ತನ್ನಳಿಪಂ ತನ್ನಲೆ ತಾನಿಂತು ಕನ್ನೆ ತಳವೆಳಗಾದಳ್: ಪಂಪಭಾ, ೪. ೫೫) "
ಬಗೆಗೆ ಬರ್,"[ಕ್ರಿ] ಮನಸ್ಸಿಗೆ ತೋಚು, ಇಷ್ಟವಾಗು (ಅಂತು ಕೊಟ್ಟ ಅಯ್ದು ಮಂತ್ರಂಗಳಂ ಆಹ್ವಾನಂಗೆಯ್ದು ನಿನ್ನ ಬಗೆಗೆ ಬಂದ ಪೋಲ್ವೆಯ ಮಕ್ಕಳಂ ಪಡೆವೆ ಎಂದು ಬೆಸಸಿದೊಡೆ: ಪಂಪಭಾ, ೧. ೮೯ ವ)"
