page,1
ಭಕ್ಷ,"[ನಾ] ಆಹಾರ (ನಿಡಿಯರ್ ಬಲ್ಲಾಯದ ಬಲ್ದಡಿಗರ್ ವಂದಿರ್ದರಯ್ವರಾಲವ ಕೆೞಗಿಂ ತೊಡರ್ದರ್ ನಮ್ಮಯ ಭಕ್ಷದೊಳ್: ಪಂಪಭಾ, ೩. ೧೨)"
ಭಕ್ಷ್ಯ,"[ನಾ] ತಿಂಡಿ, ಆಹಾರ (ಶಾರ್ದೂಲ ವರಾಹ ಗೋಲಾಂಗೂಲ ನಕುಳಂಗಳಂ ನೋಡುತ್ತುಂ ಅವರ್ಕೆ ಭಕ್ತ್ಯಾಪೂಪಂಗಳಂ ತರಿಸಿ ನೀಡುತ್ತುಂ ಇರ್ದು: ಆದಿಪು, ೫. ೨ ವ)"
ಭಂಗ,"[ನಾ] ಅವಮಾನ (ಭರತಾವನೀಶ್ವರಂ ಗುರು ಪಿರಿಯಣ್ಣಂ ಚಕ್ರವರ್ತಿ ಮಹಿಮಾಕರಂ ಈ ದೊರೆಯನುಂ ಅಳವೞಿಯೆ ವಸುಂಧರೆಯೊಳ್ ತಂದಿಕ್ಕಿ ಭಂಗಮಂ ಮಾಡುವೆನೇ: ಆದಿಪು, ೧೪. ೧೧೨); [ನಾ] ಮುರಿಯುವುದು (ತುಂಗವನ್ಯಮತಂಗಜ ದಂತಾಘಾತ ನಿಪಾತಿತಸಲ್ಲಕೀ ಭಂಗಮಂ .. .. ನೃಪನೆಯ್ದಿದಂ ಉದ್ಯತ್ಛೃಂಗಮನಾ ಶತಶೃಂಗಮಂ: ಪಂಪಭಾ, ೧. ೧೧೫)"
ಭಗವತಿಯೇಱು,"[ನಾ] [ಭಗವತಿಯ+ಏಱು] ದೇವಿಯ ಯುದ್ಧ, ದೇವಿ ಮೈಮೇಲೆ ಬಂದಾಗ ಉಂಟಾಗುವ ಉರುಬು (ಭಗವತಿಯೇಱುವೆರ್ವ ತೆಱದಿನಾಯ್ತಿವರೇಱು: ಪಂಪಭಾ, ೧೦. ೧೩)"
ಭಗವತ್ಕೃತ,"[ಗು] [ಜೈನ] ತೀರ್ಥಂಕರನಿಂದ ಆದ (ವಿತತಾಷಾಢದ ಬಹುಳ ಪ್ರತಿಪದ್ದಿನದಂದು ಕೀರ್ತಿ ನೆಗೞ್ದಿರೆ ಭಗವತ್ಕೃತಯುಗಮಾದುದರಿಂದಂ ಕೃತಯುಗಮೆಂಬರ್ ಪುರಾಣವಿದರಿದನೀಗಳ್: ಆದಿಪು, ೮. ೬೬)"
ಭಗವದ್ರೂಪ,"[ನಾ] [ಜೈನ] ಗಣಧರರೂಪ (ಭಗವದರುಹನ ಸಮಕ್ಷದೊಳ್ ಅಗಣ್ಯಪುಣ್ಯಪ್ರಭಾವದಿಂದಂ ಕೊಂಡಂ ಭಗವದ್ರೂಪಮಂ ಇಂದ್ರಾದಿಗಳೆಲ್ಲಂ ಪೊಗೞೆ ಕಾಲಲಬ್ಧಿಯನಾಗಳ್: ಆದಿಪು, ೧೦. ೪೮)"
ಭಂಗಿ,"[ನಾ] ನಿಲವು (ಭಂಗಿಗಳೊಳೆಮ್ಮೊಳಾದೀ ಸಂಗಡಮಂ ನೀಮೆ ಮನದೆಗೊಂಡೆಮ್ಮ ಕಿಸುರ್ ಪಿಂಗುಗೆ ಅಗಲ್ವೆಡೆಯೊಳ್: ಆದಿಪು, ೧೧. ೧೩೩); [ನಾ] ತಿರುವು (ಕೆಂಪು ಕೆಂಪು ಕೊನೆ ಸೆಳ್ಳುಗುರ್ಗಳ್ ಕುಡಿ ತೋಳ್‌ನಯಂ ನಯಂ ನೆಲೆ ನೆಲೆ ಭಂಗಿ ಭಂಗಿ : ಪಂಪಭಾ, ೫. ೧೨)"
ಭಂಗುರ,"[ಗು] ಚಂಚಲವಾದ (ತುಂಗತರಂಗ ಭಂಗುರ ಪಯೋಧಿಪರೀತ ಮಹಾಮಹೀತಳಾಲಿಂಗಿತಕೀರ್ತಿ ಕೇಳ್ದು ಬಡಪಾರ್ವನ ಪುಯ್ಯಲಂ ಒರ್ಮೆ: ಪಂಪಭಾ, ೬. ೨)"
ಭಗ್ನಮನ,"[ನಾ] ಒಡೆದುಹೋದ ಮನಸ್ಸಿನವನು (ಯಮನಂದನಂ ಮೂವರ್ ತಮ್ಮಂದಿರ ಬರವಂ ಕಾಣದೆ ಭಗ್ನಮನನಾಗಿ: ಪಂಪಭಾ, ೮. ೪೧ ವ)"
