page,1
ಮಕರ,"[ನಾ] ಮೊಸಳೆ, ಮಹಾ ಮೀನು (ರಥಂ ಮಕರಂಗಳಂತೆ ಅಗುರ್ವುವರಿಯುತ್ತುಂ ಇರ್ಪ ಅಣಿ ಬೃಹದ್ಬಡಬಾನಳನಂತೆ: ಪಂಪಭಾ, ೮. ೯೯); [ನಾ] ತಿಮಿಂಗಿಲ (ಕರಿಮಕರಾಹತಿಯಿಂ ಬಿರಿದಳಱುವ ಭೈತ್ರದಂತೆ ವಿವಿಧಾಯುಧ ದಂತುರಿತಂಗಂಳೞಿದುವಾ ಸಂಗರಜಳನಿಧಿಯೊಳ್ ವರೂಥ ಕರಿ ನಿಕರಂಗಳ್: ಪಂಪಭಾ, ೧೩. ೩೫)"
ಮಕರಂದ,"[ನಾ] ಹೂಜೇನು (ಮಂದಾರವರ್ಷ ನವಮಕರಂದ ರಜೋಗಂಧಬಂಧು ವಿವಿಧಪತಾಕಾಸಂದೋಹಾಂದೋಳನ ಪಟು ಬಂದಾಱಿಸಿದತ್ತು ಸಮವಸರಣಸಮೀರಂ: ಆದಿಪು, ೧೪. ೧೩೫)"
ಮಕರಧ್ವಜ,"[ನಾ] ಮನ್ಮಥ (ಅಂತಾ ಬಾಲೆ ಕಾಯ್ದ ಪುಡಿಯೊಳಗೆ ಬಿಸುಟ್ಟ ಎಳವಾಳೆಯಂತೆ ಸುರತಮಕರಧ್ವಜನೊಳಾದ ಬೇಟದೊಳ್ ಮಮ್ಮಲ ಮಱುಗುತಿರ್ದಳ್: ಪಂಪಭಾ, ೫. ೧೦ ವ)"
ಮಕರಮಸ್ತಕಭೂಮಿ,"[ನಾ] ಮಕರವ್ಯೂಹದ ತಲೆಬದಿಯ ಜಾಗ (ಕೌರವಬಲದ ಒಡ್ಡಣದ ನಾಯಕರಿವರಾರೆಂದು ಬೆಸಗೊಳೆ ಮಕರಮಸ್ತಕಭೂಮಿಯೊಳ್ ಯುದ್ಧಸನ್ನದ್ಧನಾಗಿ: ಪಂಪಭಾ, ೧೦. ೫೩ ವ)"
ಮಕರವ್ಯೂಹ,"[ನಾ] ಮೀನಿನಾಕಾರಾದ ಸೇನಾರಚನೆ (ಕೌರವಬಲದ ಸೇನಾನಾಯಕಂ ಗಾಂಗೇಯಂ ಅಡ್ಡಮಾಗೆ ತನ್ನೊಡ್ಡಿದ ಮಕರವ್ಯೂಹದ ಮೊನೆಯೊಳ್: ಪಂಪಭಾ, ೧೦. ೫೨ ವ)"
ಮಕರಿಕಾಪತ್ರ,"[ನಾ] ಅಲಂಕಾರಕ್ಕಾಗಿ ದೇಹದ ಮೇಲೆ ಬರೆದುಕೊಳ್ಳುವ ಚಿತ್ರ (ಅಲಕಂ ಮಂದಾರಶೂನ್ಯಂ ಕದಪು ಮಕರಿಕಾಪತ್ರಶೂನ್ಯಂ ಲಲಾಟಂ ತಿಲಕಾಳಂಕಾರಶೂನ್ಯಂ: ಆದಿಪು, ೩. ೧೩)"
ಮಕುಟ,"[ನಾ] ಕಿರೀಟ (ಆತಂ ನಿಜಭುಜವಿಜಯಖ್ಯಾತಿಯನಾಳ್ದ ಆಳ್ದಂ ಅಧಿಕಬಲಂ ಅವನಿಪತಿವ್ರಾತಮಣಿಮಕುಟ ಕಿರಣದ್ಯೋತಿತಪಾದಂ: ಪಂಪಭಾ, ೧. ೧೬)"
ಮಕುಟಬದ್ಧ,"[ನಾ] ಕಿರೀಟ ಧರಿಸಿದವನು, ರಾಜ (ಮಹಾಮಂಡಳಿಕ ಪ್ರಮುಖಮಕುಟಬದ್ಧರ್ ಮಾೞ್ಪ ಚತುರ್ಮುಖಮುಂ: ಆದಿಪು, ೧೫. ೧೩ ವ)"
ಮಕುಟಭಂಗ,"[ನಾ] ಕಿರೀಟವನ್ನು ಮುರಿಯುವುದು (ಅನ್ನೆಗಂ ವೇಣೀಸಂಹಾರ ಊರುಭಂಗ ಮಕುಟಭಂಗಂಗಳೆಂಬ ತನ್ನ ಮಹಾಪ್ರತಿಜ್ಞೆಯಂ ನೆಱಪಿದ ಭೀಮಸೇನನಳವಂ ಅಳವಲ್ಲದೆ ಪೊಗೞ್ದು: ಪಂಪಭಾ, ೧೩. ೯೮ ವ)"
ಮಕುಟಮಾಣಿಕ,"[ನಾ] ಕಿರೀಟದ ಮಾಣಿಕ್ಯ (ಆಗಳಾ ತಾರಾಗಣಂಗಳ್ ದಿಶಾವನಿತೆಯರ ಮಕುಟಮಾಣಿಕಂಗಳಂತೆ ಎನಿತು ಬೆಳಗಿಯುಂ ಕೞ್ತಲೆಯಂ ಅಲೆಯಲಾಱವಾದುವು: ಪಂಪಭಾ, ೪. ೪೯ ವ)"
ಮಕುಟಶಿಖರ,"[ನಾ] ಕಿರೀಟದ ತುದಿ (ಪುಗೆ ಪೊಱಮಡೆ ತನ್ನ ಮನಂಬುಗುವಂತಿರೆ ತನ್ನ ಮಕುಟಶಿಖರಮನವು ನೆಟ್ಟಗೆ ತಾಗುವಂತುಮಾರೆ ಜಗದಧಿಪನುದಾತ್ತಭಕ್ತಿಯಿಂ ಮಾಡಿಸಿದಂ: ಆದಿಪು, ೧೬. ೩೮)"
ಮಕ್ಕಳೆವು,"[ನಾ] ಮಕ್ಕಳಾಗಿದ್ದೇವೆ (ನಿಮ್ಮಯ ಧರ್ಮದ ಮಕ್ಕಳೆವು ಎಮ್ಮಂ ಕಡೆಗಣಿಸಿ ನಿಮಗೆ ನೆಗೞ್ವುದು ದೊರೆಯೇ: ಪಂಪಭಾ, ೧೧. ೧೨೮)"
ಮಖ,"[ನಾ] ಯಾಗ (ಆ ಮಖದ ಮಾಹಾತ್ಮ್ಯಮಂ ಪೇೞ್ವೊಡೆ ಮುನ್ನಂ ಕೃತಯುಗದೊಳ್ ಹರಿಶ್ಚಂದ್ರನೆಂಬ ಚಕ್ರವರ್ತಿ ಶತಕ್ರತುವಂ ನಿರ್ವರ್ತಿಸಿ: ಪಂಪಭಾ, ೬. ೧೭ ವ)"
ಮಗ,"[ನಾ] ಮಗು, ಹುಡುಗ (ಮಗನೆ ಪದಿನಾಲ್ಕು ವರುಷದ ಮಗನೈ ನಿನ್ನನೊರ್ವನಂ ಪಗೆವಡೆಯೊಡ್ಡುಗಳಂ ಒಡೆಯಲ್ಕೆ ಪೇೞ್ದು: ಪಂಪಭಾ, ೧೧. ೯೧)"
ಮಗಧನಾಯಕ,"[ನಾ] ಶ್ರೇಣಿಕ ಮಹಾರಾಜ (ವರ್ಧಮಾನಜಿನ ಸನ್ನಿಧಿಯೊಳ್ ವಿಪುಳಾದ್ರಿಯೊಳ್ ನಿಜಾದರದೊಳೆ ಗೌತಮರ್ ಮಗಧನಾಯಕನುಂ ತಿಳಿವಂತು ಪೇೞ್ದುದಂ: ಆದಿಪು, ೧. ೪೧)"
ಮಗನೆಯಿನ್,"ಮಗನೇ ಆಗಿದ್ದೀಯೆ (ಕೃತಾಂತನೆಂ ಎನಗಮ್ಮ ನೀಂ ಮಗನೆಯಿನ್ ಪೆಱತೇಂ ನಿನಗೆ ಉತ್ತರೋತ್ತರಂ: ಪಂಪಭಾ, ೮. ೪೮)"
ಮಗಮಗಿಸು,"[ನಾ] ಪರಿಮಳ ಬೀರು (ನಿಡುಸುಯ್ದ ನಲ್ಲಳ ಮುಖಾಂಬುಜಸೌರಭದೊಳ್ ಪೊದಳ್ದು ಅದೇಂ ಮಗಮಗಿಸಿತ್ತೊ ಕತ್ತುರಿಯ ಕಪ್ಪುರದೊಂದು ಕದಂಬದಂಬುಲಂ: ಪಂಪಭಾ, ೪. ೧೦೭)"
ಮಂಗಳ,"[ನಾ] ಮಂಗಳಕರ ಗೀತೆ (ಮಂಗಳಮನೆ ಪಾಡುತ್ತುಂ ಮಂಗಳಧಾರಿಣಿಯರಾಗಿ ಮುಂದಂ ನಡೆವಾಶಾಂಗನೆಯರಿಂದೆ: ಆದಿಪು, ೭. ೪೮)"
