page,1
ಯಕ್ಷಕರ್ದಮ,"[ನಾ] ಪರಿಮಳ, ಲೇಪನ ದ್ರವ್ಯ (ಕಾಳಾಗರು ಕಾಶ್ಮೀರ ಕಸ್ತೂರಿ ಕರ್ಪೂರ ಯಕ್ಷಕರ್ದಮಕ್ಷೋದದೊಳಂ ನದೀತರಂಗಂಗಳಂ ವಿಚಿತ್ರವರ್ಣಂ ಮಾಡಿ: ಆದಿಪು, ೧೧. ೧೩೯ ವ)"
ಯಜನ,"[ನಾ] ಯಾಗ ಮಾಡುವಿಕೆ (ಅಂತು ಭವಿಷ್ಯದ್ ದ್ವಿಜವರ್ಣಕೆ ಅಧ್ಯಯನ ಅಧ್ಯಾಪನ ದಾನ ಪ್ರತಿಗ್ರಹ ಯಜನ ಯಾಜನ ವಿಶಿಷ್ಟವೃತ್ತಿಯುಮಂ: ಆದಿಪು, ೮. ೭೩ ವ)"
ಯಜಮಾನ,"[ನಾ] ಎಂಟು ಮೂರ್ತಿಗಳ ಶಿವನ ಒಂದು ಮೂರ್ತಿ (ಗೋಕರ್ಣನಾಥನಂ ಗೌರೀನಾಥನಂ ಅವನಿ ಪವನ ಗಗನ ದಹನ ತರಣಿ ಸಲಿಲ ತುಹಿನಕರ ಯಜಮಾನ ಮೂರ್ತಿಯಂ ತ್ರೈಲೋಕ್ಯಸಂಗೀತಕೀರ್ತಿಯಂ ಕಂಡು ಕೆಯ್ಗಳಂ ಮುಗಿದು: ಪಂಪಭಾ, ೪. ೨೬ ವ); [ನಾ] ಯಾಗಕರ್ತ, ದೀಕ್ಷೆವಹಿಸಿ ಯಜ್ಞ ಮಾಡುವವನು (ಧರ್ಮಪುತ್ರಂ ಸಪತ್ನಿ ಯಜಮಾನನಾಗಿರ್ದಾಗಳ್: ಪಂಪಭಾ, ೬. ೩೩ ವ)"
ಯಜ್ಞದ್ರವ್ಯ,"[ನಾ] ಯಜ್ಞ ಮಾಡಲು ಬೇಕಾದ ಸಾಮಗ್ರಿ (ಬ್ರಹ್ಮೃಷಿಯರುಮಂ ಅರಸುಮಕ್ಕಳಂ ಎಡೆಯೆಱಿದಿರಿಸಿ ಯಜ್ಞದ್ರವ್ಯಂಗಳೆಲ್ಲಮಂ ನೆರಪಿ: ಪಂಪಭಾ, ೬. ೩೩ ವ)"
ಯಜ್ಞವಿದ್ಯಾ[ದ್ಯೆ],"[ನಾ] ಯಜ್ಞದ ಬಗೆಗಿನ ತಿಳಿವಳಿಕೆ (ಚಾರುತರ ಯಜ್ಞವಿದ್ಯಾಪಾರಗರ ರವಂಗಳಿಂ .. .. ನೆಗೞ್ದುದು ಆಹುತಿಧೂಮಂ: ಪಂಪಭಾ, ೬. ೩೪)"
ಯಜ್ಞಸೇನ,[ನಾ] ದ್ರುಪದರಾಜ (ತನ್ನ ಬಲಮೆಲ್ಲಮಂ ಜವನಂತೆ ಒಕ್ಕಲಿಕ್ಕಿ ಕೊಲ್ವ ಕಳಶಕೇತನನಂ ಯಜ್ಞಸೇನಂ ಏನುಂ ಮಾಣದೆ: ಪಂಪಭಾ. ೧೨. ೨೧ ವ)
ಯಜ್ಞಸೇನತನೂಜೆ,"[ನಾ] ದ್ರೌಪದಿ (ಆ ಮಾತೆಲ್ಲಮಂ ಕೇಳ್ದು ಯಜ್ಞಸೇನತನೂಜೆ ಯಮತನೂಜಂಗಿಂತೆಂದಳ್: ಪಂಪಭಾ, ೭. ೪೪ ವ)"
ಯಜ್ಞೋಪವೀತ,"[ನಾ] [ಯಜ್ಞ+ಉಪವೀತ] ದ್ವಿಜರು ಧರಿಸುವ ಜನಿವಾರ (ಅವರವರ ನೆಲೆಗಳೊಳ್ ಬ್ರಹ್ಮಸೂತ್ರಾಭಿಧಾನ ಯಜ್ಞೋಪವೀತದಿಂ ಪವಿತ್ರಗಾತ್ರರ್ಮಾಡಿ: ಆದಿಪು, ೧೫. ೧೧ ವ)"
ಯತಿ,"[ನಾ] ಮುನಿ (ಅನಂತಚತುಷ್ಟಯವಿಳಾಸಿ ಕೈವಲ್ಯಲಕ್ಷ್ಮಿಯಂ ಯತಿ ಪಡೆದಂ: ಆದಿಪು, ೧೦. ೧೫)"
ಯತಿಸಮಿತಿ,"[ನಾ] ಮುನಿಸಮುದಾಯ (ಪರಮತಪಶ್ಚರಣನಿರತ ಯತಿಸಮಿತಿಗೆಲ್ಲಂ ಪ್ರತಿಗ್ರಹಾದಿಪುರಸ್ಸರಂ ನಿರವದ್ಯಾಹಾರಾದಿ ವಿತರಣರೂಪ ಪಾತ್ರದತ್ತಿಯುಂ: ಆದಿಪು, ೧೫. ೧೩ ವ)"
ಯತ್ಯಾಶ್ರಮ,"[ನಾ] [ಯತಿ+ಆಶ್ರಮ] ಯತಿಯ ಸ್ಥಿತಿ (ಅಂತಾ ತ್ರಿಲೋಕಗುರು ಧರಾತಳಂ ಪೊಗೞ್ವಿನಂ ಯತ್ಯಾಶ್ರಮದೊಳ್ ನಿಂದಂ: ಆದಿಪು, ೬. ೨೪ ವ)"
