page,1
ರಕ್ಕಸವಡೆ,"[ನಾ] [ರಕ್ಕಸ + ಪಡೆ] ರಾಕ್ಷಸ ಸೈನ್ಯ (ಮೂಱುಂ ಯೋಜನದಳವಿಯ ಸಭಾಮಂಟಪಮನೊಂದು ಲಕ್ಕ ರಕ್ಕಸವಡೆಯಿಂ ಪೊತ್ತು ತರಿ: ಪಂಪಭಾ, ೬. ೨ ವ)"
ರಕ್ಕಸಿ,"[ನಾ] ರಾಕ್ಷಸಿ (ಪೊಱಗಣ್ಗೆ ಸಯ್ದರೆನೆ ತಾವೊಳಗಂ ತವೆ ತೋಡಿ ತಿಂದು ರಕ್ಕಸಿಯರ ಕಂಡ ಕುಂಬಳದ ಮಾೞ್ಕೆವೊಲಾಗಿರೆ: ಪಂಪಭಾ, ೯. ೪೮)"
ರಕ್ಕಸಿಯರ ಕಂಡ ಕುಂಬಳ,"ರಾಕ್ಷಸಿಯರ ದೃಷ್ಟಿ ಬಿದ್ದ ಕುಂಬಳ, ಹೊರಗೆ ಸರಿಯಾಗಿ ಕಾಣಿಸಿದರೂ ರಾಕ್ಷಸಿಯ ದೃಷ್ಟಿ ಬಿದ್ದು ತಿರುಳು ಕೊಳೆತಿರುವ ಹಾಗೆ (ಪೊಱಗಣ್ಗೆ ಸಯ್ದರೆನೆ ತಾವೊಳಗಂ ತವೆ ತೋಡಿ ತಿಂದು ರಕ್ಕಸಿಯರ ಕಂಡ ಕುಂಬಳದವೊಲಾಗಿರೆ: ಪಂಪಭಾ, ೯. ೪೮)"
ರಕ್ತಕಂಠೀಜನ,"[ನಾ] ಇನಿದನಿಯ ಸ್ತ್ರೀಯರು (ಗೀತಾರಾವದಿಂದಂ ನೆಱೆಯೆ ನೆಱಗೊಳಲ್ ರಕ್ತಕಂಠೀಜನಂ ಬಂದಿರೆ ವಂದಿವ್ರಾತಮೆತ್ತಂ ಬಗೆಗೊಳಲಿರೆ ಚೆಲ್ವಾದುದಾಸ್ಥಾನರಂಗಂ: ಆದಿಪು, ೨. ೩)"
ರಕ್ತತುಳುಂಕು,"[ಕ್ರಿ] ಕೋಪದಿಂದ ಕೆಂಪಾಗು (ಉಮ್ಮನೆ ಬೆಮರುತ್ತುಂ ಇರ್ದ ದುಶ್ಶಾಸನನುಮಂ ಕಣ್ಕೆತ್ತಿ ಕಿಱುನಗುವ ಕೂರದರ ಮೊಗಮುಮಂ ತಮ್ಮಣ್ಣನ ಬಿನ್ನನಾದ ಮೊಗಮುಮಂ ಕಂಡು: ಪಂಪಭಾ, ೭. ೫ ವ)"
ರಕ್ತತೆ,"[ನಾ] ಕೆಂಬಣ್ಣ (ತುಂಬಿದ ರಕ್ತತೆಯಿಂ ನಿಜಬಿಂಬಂ ವಾರುಣಿಯನೊಸೆದು ಸೇವಿಸೆ ನಾಣ್ಗೆಟ್ಟಂಬೋಲ್ ತೇಜಂ ಮಸುಳ್ವಿನಂ ಅಂಬರಮಂ ಬಿಸುಟಂ ಆಗಳಂಬುಜಮಿತ್ರಂ: ಪಂಪಭಾ, ೩. ೨೩)"
ರಕ್ತಮೋಕ್ಷ,"[ನಾ] ರಕ್ತದ ಬಿಡುತೆ (ವೃಕೋದರನಿಂ ಆ ರಣರಂಗದೊಳಾದ ದುಷ್ಟದುಶ್ಶಾಸನ ರಕ್ತಮೋಕ್ಷದೊಳೆ ದೋಷವಿಮೋಕ್ಷಂ ಅದೇಕೆ ಕೊಂಡಪೈ: ಪಂಪಭಾ, ೧೩. ೬೮)"
ರಕ್ತರುಚಿ,"[ನಾ] ಕೆಂಪು ಕಾಂತಿ (ಇತ್ತ ವಂದ ಸಂಧ್ಯಾಸಮಯಾತ್ತ ರಕ್ತರುಚಿ ಪಿಂಗೆ: ಪಂಪಭಾ, ೩. ೮೧)"
ರಕ್ತಾಂಭೋಜ,"[ನಾ] [ರಕ್ತ+ಅಂಭೋಜ] ಕೆಂದಾವರೆ (ಯೋಗಾಭ್ಯಾಸದೊಳ್ ಅರೆಮುಗುಳ್ದ ರಕ್ತಾಂಭೋಜದಳ ವಿಳಾಸ ಉಪಹಾಸಿಗಳಪ್ಪ ಕಣ್ಗಳಂ ಒತ್ತಂಬದಿಂ ತೆಱೆದು: ಪಂಪಭಾ, ೧೩. ೬೩ ವ)"
ರಕ್ತಾಶೋಕ,"[ನಾ] ಕೆಂಪು ಅಶೋಕ (ಭವ್ಯಹೃತ್ಕಮಳಕ್ಕಂ ಮುದಮಂ ಜಪಾಪ್ರಸವ ರಕ್ತಾಶೋಕ ಬಂಧೂಕ ಶೋಣಮಣಿ ಜ್ಯೋತಿಗಳೆಕ್ಕೆಯಿಂ ಕುಡೆ: ಆದಿಪು, ೧೬. ೩)"
ರಂಗ,"[ನಾ] ನರ್ತನರಂಗ (ಧರೆ ರಂಗಂ ಗಗನಂ ಮನೋಹರತರಂ ನಾಟ್ಯಾಲಯಂ ನರ್ತಕಂ ಸುರರಾಜಂ: ಆದಿಪು, ೭. ೧೨೭); [ನಾ] ವೇದಿಕೆ (ಸಂಗತದಿಂ ಈಗಳ್ ಇಂತೀ ರಂಗಮೆ ರಣರಂಗಮಾಗೆ ಕಾದುವಂ ಅಳವಂ ಪೊಂಗದಿರ್ ಇದಿರ್ಚು ಅದೇಂ ಗಳ ರಂಗಂಬೊಕ್ಕಾಡುವಂತೆ ಪೆಂಡಿರ್ ಗಂಡರ್: ಪಂಪಭಾ, ೨. ೮೦)"
