page,1
ಲಂಕಾಧಿಪತಿ,"[ನಾ] ಲಂಕೆಯ ಒಡೆಯ, ರಾವಣ (ತನ್ನ ದೋರ್ಗರ್ವದ ಅಗುರ್ವಂ ಪ್ರಾಕಟಂ ಮಾಡುವ ಬಗೆಯೊಳಿದಂ ಪತ್ತಿ ಕಿೞ್ತೊತ್ತಿ ಪೊತ್ತು ಎತ್ತಿದೊಡೆ ಇತ್ತಂ ಮೆಚ್ಚಿ ಲಂಕಾಧಿಪತಿಗೆ ಬರವಂ ರಾಗದಿಂ ನೀಳಕಂಠಂ: ಪಂಪಭಾ, ೭. ೭೪)"
ಲಕುಟ,"[ನಾ] ದೊಣ್ಣೆ (ಪಾಪಸತ್ವಂಗಳ್ ಕಾಡೆ ಲಕುಟಯಷ್ಟ್ಯಾದಿ ವಿಧಿಯನುಪದೇಶಂಗೆಯ್ದಾತಂ ಕ್ಷೇಮಂಧರನೆಂಬ ಪೆಸರಂ ಪಡೆದಂ: ಆದಿಪು, ೬. ೫೬ ವ)"
ಲಕ್ಕ,"[ನಾ] ಲಕ್ಷ ಎಂಬ ಸಂಖ್ಯೆ (ಪಟ್ಟಂಗಟ್ಟಿದ ಇಳಾಧಿನಾಥರೆ ಪಯಿಂಛಾಸಿರ್ವರ್ ಒಳ್ಳಾನೆಗಳ್ ಪಟ್ಟಂಗಟ್ಟಿದುವು ಒಂದು ಲಕ್ಕ ತುರಗಂ ಪತ್ತೆಂಟು ಲಕ್ಕಂ: ಪಂಪಭಾ, ೧೦. ೧೧೭)"
ಲಕ್ಕಣ,"[ನಾ] ಲಕ್ಷಣ (ಬೂದಿ ಜೆಡೆ ಲಕ್ಕಣಂ ತಪಕೆ ಆದುವು ಎರೞ್ದೊಣೆ ಶರಾಸನಂ ಕವಚಂ ಇದೆಂತಾದುವೋ ಮುತ್ತುಂ ಮೆೞಸುಂ ಕೋದಂತುಟೆ ನಿನ್ನ ತಪದ ಪಾಂಗೆಂತು ಗಡಾ: ಪಂಪಭಾ, ೭. ೯೨); [ನಾ] ದುರ್ಯೋಧನನ ಮಗನ ಹೆಸರು (ಲಕ್ಕಣಂ ಮೊದಲಾಗೆ ನೂರ್ವರ್ ಮಕ್ಕಳುಂ ಸುತ್ತಿಱಿದು ಬಳಸಿ ಬರೆ: ಪಂಪಭಾ, ೧೦. ೨೭ ವ)"
ಲಕ್ಕೆ,"[ನಾ] ಲಕ್ಷ ಎಂಬ ಸಂಖ್ಯೆ (ಒಂದೊತ್ತಂ ನಡೆಯಿಸುವುದೊಂದೊತ್ತಿನ ಲಯಕೆ ಲಕ್ಕೆ ತೆಱನಾಡುವುದೇನೆಂದಾಂ ಬಣ್ಣಿಸುವೆನೊ: ಆದಿಪು, ೯. ೩೩); [ನಾ] ಗುರಿ, ಉದ್ದೇಶ (ಅತಿವೇಗದಿಂ ಪರಿವ ಪಾಱುವ ಲಕ್ಕೆಯನೊಡ್ಡುವ ಒಳ್ಪು ತನ್ನನೆ ನಡೆ ನೋಡಿಸುತ್ತುಮಿರೆ: ಆದಿಪು, ೧೧. ೩೧)"
ಲಕ್ಷ್ಮ,"[ನಾ] ಕಲಂಕ, ಗುರುತು (ಧವಳಾಪಾಂಗ ವಿಲೋಕನಾಮೃತಮಯಂ ಭ್ರೂಲಕ್ಷ್ಮರಮ್ಯಂ ಮನೋಭವ ರಾಜ್ಯೋದಯಹೇತು: ಆದಿಪು, ೬. ೮೮)"
ಲಕ್ಷ್ಮಿ,"[ನಾ] ಕಾಂತಿ, ಸೊಗಸು (ಜಿನಸವನಾಂಬುವಿನೊಳ್ ಭೋಂಕೆನೆ ಚಂದ್ರಂ ತೇಂಕಿ ಹಂಸವೃದ್ಧನಂ ಇನಿಸಂ ನೆನೆಯಿಸಿ ಕೊಳದೊಳಗಣ ಸಿತವನರುಹಲಕ್ಷ್ಮಿಯುಮಂ ಇನಿಸು ತನಗೊಳಕೊಂಡಂ: ಆದಿಪು, ೭. ೯೯)"
ಲಕ್ಷ್ಮೀದಯಿತಂ,"[ನಾ] ಸಿರಿಯೊಡೆಯ (ಜಳಧಿಯುಮಂ ಲಕ್ಷ್ಮೀದಯಿತಂ ನೀರ್ವರಿಯಿಂದಾದಮೆ ಕಿಱಿದೆಂದು ಬಗೆದು ನೋಡಿದನಾಗಳ್: ಆದಿಪು, ೧೨. ೭೫)"
ಲಕ್ಷ್ಯ,"[ನಾ] ಗುರಿಯ ವಸ್ತು (ಭರತಕುಲತಿಳಕರಿರ್ ವರಶರಾಸನ ವ್ಯಗ್ರಹಸ್ತರಿರ್ ಬಳಯುತರಿರ್ ನೆರೆದಿನಿಬರುಂ ಇರದೆ ಈ ಲಕ್ಷ್ಯಮಂ ಇರದಕ್ಕಟ ಸರದೆ ತೆಗೆಯಲಾರ್ತರುಮಿಲ್ಲಾ: ಪಂಪಭಾ, ೨. ೫೨)"
