page,1
ವಕುಳ,"[ನಾ] ನಾಗಕೇಸರ, ಪಗಡೆ ಗಿಡ (ಮತ್ತೊರ್ವಳ್ ವಕುಳ ಮುಕುಳಾಸವವದನಪರಿಮಳೆ: ಆದಿಪು, ೧೧. ೧೨೩ ವ)"
ವಕ್ತ್ರಪದ್ಮ,"[ನಾ] ಮುಖಕಮಲ (ಅದಱ ಪೊದಳ್ದು ನೀಳ್ದ ಲುಳಿತಾಳಕೆ ತನ್ನ ವಕ್ತ್ರಪದ್ಮದಿನೊಸೆದಾಂತೊಡೆ ಆಕೆಯ ಕಪೋಲದೊಳ್ ನವಧೂಮಲೇಖೆ ಚೆಲ್ವಿದಿರ್ಗೊಳೆ ಗಾಡಿವೆತ್ತು: ಪಂಪಭಾ, ೩. ೭೬)"
ವಕ್ತ್ರಮಂಡನ,"[ನಾ] ಮುಖಾಲಂಕಾರ (ಜಲಲವಮಂಜರಿಯಂ ಉಟುಮಾಡಿದುವು ದಿಶಾಲಲನೆಯರ ವಕ್ತ್ರಮಂಡನ ವಿಲಾಸದೊಳ್ ನೆಗೞ್ವ ಕರ್ಣಪೂರಶ್ರೀಯಂ: ಆದಿಪು, ೭. ೯೫)"
ವಕ್ರ,"[ನಾ] ತಡೆ (ಜವನಾಣೆಗಂ ಆಜ್ಞೆಗಂ ಉಂಟೆ ವಕ್ರಂ ಆ ಖಳನ ತುೞಿವುಮಂ ಸೋಂಕುಮಂ ಆರವಧರಿಪರ್: ಆದಿಪು, ೪. ೬೭); [ನಾ] ಅಡ್ಡಿ, ತೊಂದರೆ (ಚಕ್ರದೊಳೇಂ ಮತ್ತೇಜಶ್ಚಕ್ರಮೆ ಮುಂದಕ್ಕೆ ದಂಡರತ್ನಂಬರಂ ಆರ್ ವಕ್ರಮೆನಗೆ ಅಖಿಳ ಧರಣೀಚಕ್ರದೊಳ್: ಆದಿಪು, ೧೨. ೭೨)"
ವಕ್ರಿಸು,"[ಕ್ರಿ] ಅಡ್ಡಿಮಾಡು (ಅದಿನ್ನೆನಗೆ ತಪ್ಪುದು ತನ್ಮುನಿಶಾಪದಿಂದಂ ಇನ್ನಾರುಮಿದರ್ಕೆ ವಕ್ರಿಸದಿರಿಂ ವನವಾಸದೊಳಿರ್ಪೆಂ: ಪಂಪಭಾ, ೧. ೧೧೪); [ಕ್ರಿ] ವಕ್ರವಾಗು, ಬೇರೆಯಾಗು (ನಿಮ್ಮೀ ಕ್ರಮಕಮಲಕ್ಕೆ ಎಱಗದೆ ವಕ್ರಿಸಿ ಭೂಚಕ್ರದೊಳಗೆ ಬಾೞ್ವರುಂ ಒಳರೇ: ಪಂಪಭಾ, ೧೧. ೩೦); ಪ್ರತಿಭಟಿಸು, ಎದುರಿಸು (ವೈರಿನರಾಧಿಪಸೈನ್ಯವಾರ್ಧಿಯಂ ಪೊಸೆದೊಡೆ ಪುಟ್ಟಿದೀ ನಿನಗೆ ವಕ್ರಿಸಲೆನ್ನಂ ಅದೆಂತು ತೀರ್ಗುಮೋ: ಪಂಪಭಾ, ೧೩. ೧೦೧)"
ವಕ್ರೋಕ್ತಿ,"[ನಾ] ಸುಂದರವಾದ ಮಾತು, ಆಲಂಕಾರಿಕ ಮಾತು (ಎಂದೆಂದು ಓರೊರ್ವರ್ ಆಕೆಯ ರೂಪಂ ವಕ್ರೋಕ್ತಿಯೊಳೆ ಪೊಗೞ್ದು: ಪಂಪಭಾ, ೩. ೪೬ ವ)"
ವಕ್ರೋಕ್ತಿನಿಪುಣ,"[ನಾ] ಚತುರತೆಯಿಂದ ಮಾತಾಡುವುದರಲ್ಲಿ ಬಲ್ಲಿದ (ಜನಪದಸಮಭಿಜಾತನುಂ ಅನ್ವಯಾಗತನುಂ ಅಭಿರೂಪನುಂ ಪ್ರತ್ಯುತ್ಪನ್ನಪ್ರತಿಭನುಂ ವಕ್ರೋಕ್ತಿನಿಪುಣನುಂ: ಆದಿಪು, ೧೪. ೪೩ ವ)"
ವಕ್ಷೋಜ,"[ನಾ] ಮೊಲೆ (ವಿಜಯಲಕ್ಷ್ಮೀಲಲನಾವಕ್ಷೋಜ ಸ್ಪರ್ಶನಮಂ ಅನಕ್ಷರಮಱಿಪಿದುದು ಪತಿಗಮಂದಸ್ಪಂದಂ; ಆದಿಪು, ೧೧. ೧೧)"
ವಚನರಚನೆ,"[ನಾ] ಮಾತಿನ ಜೋಡಣೆ (ನಿನ್ನ ಬಗೆಯಂ ಬಗೆದಂತೆ ತೀರ್ಚುವೆಂ ಎಂದು ಅನೇಕ ಪ್ರಕಾರ ವಚನರಚನೆಗಳಿಂದಾಕೆಯ ಮನಮಂ ಆಱೆ ನುಡಿಯುತ್ತಿರ್ಪಿನಂ: ಪಂಪಭಾ, ೪. ೬೯ ವ)"
