page,1
ಶಕಟ,"[ನಾ] ಬಂಡಿ, ರಥ (ಅನೇಕಶರಭರಿತ ಶಕಟಸಹಸ್ರಮನೊಂದು ಮಾಡಿ ಗಾಂಗೇಯನ ಪೆಱಗೆ ನಿಲಿಸಿದಾಗಳ್: ಪಂಪಭಾ, ೧೧. ೧೬ ವ)"
ಶಕಟವ್ಯೂಹ,"[ನಾ] ರಥದ ಆಕಾರದಲ್ಲಿ ಸೇನೆಯನ್ನು ನಿಲ್ಲಿಸುವ ಒಂದು ರಚನೆ (ಶಕಟವ್ಯೂಹದ ಪೆಱಗೆ .. .. ಅಧಿಕಬಲರಪ್ಪ ಸೌಬಲ ದುಶ್ಶಾಸನಾದಿ ಪ್ರಧಾನ ವೀರಭಟಕೋಟಿಯ ನಡುವೆ ಸಿಂಧುರಾಜನಂ ನಿರಿಸಿ: ಪಂಪಭಾ, ೧೧. ೧೩೨ ವ)"
ಶಂಕರ,"[ಗು] ಶುಭಕರ (ಪ್ರೀತಿಂಕರ ಶಂಕರ ವಿದ್ಯಾತಿಶಯನಿಧಾನ ನಿನ್ನ ದಯೆವೆರಸಿದತಿಪ್ರೀತಿಯೊಳ್ ಆಂ ಅತ್ಯುತ್ತಮ ಜಾತಿಗಳೊಳ್ ಪುಟ್ಟಿ ಸುಖಮನುಣುತುಂ ಬಂದೆಂ: ಆದಿಪು, ೫. ೭೩)"
ಶಕಳ,"[ನಾ] ಚೂರು, ತುಂಡು (ಅನೇಕ ನೃಪ ಶಿರಃ ಕಪಾಳ ಶಕಳ ಜರ್ಜರಿತಮುಂ ಪರಸ್ಪರ ಸಮರ ರಭಸಸಮುತ್ಸಾರಿತಮುಂ: ಪಂಪಭಾ, ೧೩. ೫೧ ವ)"
ಶಂಕಾಕುಳಿತಚಿತ್ತ,"[ನಾ] [ಶಂಕಾ+ಆಕುಳಿತಚಿತ್ತ] ಆತಂಕದಿಂದ ವಿಕಲಗೊಂಡ ಮನಸ್ಸು (ಯಮನಂದನನಿರ್ವರ ಬರವುಮಂ ಕಾಣದೆ ಶಂಕಾಕುಳಿತಚಿತ್ತನಾಗಿ: ಪಂಪಭಾ, ೮. ೪೦ ವ)"
ಶಂಕಾಂತರ,"[ನಾ] ಸಂದೇಹಗಳು (ದಿವ್ಯಾಪ್ಸರೋವೃಂದಂ ಈ ಕ್ಷಿತಿಗೇಂ ಇಂದ್ರನ ಶಾಪದಿಂದ ಇೞಿದುವೋ ಪೇೞೆಂಬ ಶಂಕಾಂತರಂ ಮತಿಗಂ ಪುಟ್ಟುವಿನೆಗಂ: ಪಂಪಭಾ, ೪. ೩೯)"
ಶಂಕಾಪನಯನ,"[ನಾ] [ಜೈನ] ಸಂದೇಹವಿಲ್ಲದಿರುವುದು (ಜಿನಮತ ಪದಾರ್ಥಶಂಕಾಪನಯನಮುಂ ಭೋಗಾಕಾಂಕ್ಷೆಯೊಳ್ ವಿಮುಖತೆಯುಂ: ಆದಿಪು, ೫. ೫೭)"
ಶಂಕಾವಹ,"[ಗು] ಸಂದೇಹವುಂಟುಮಾಡುವ (ಆಹವ ಮಹಾಹುಂಕಾರ ಕಾಳಕೂಟವಿಟಪಿಪ್ರದೋಹ ಶಂಕಾವಹ ನಾಭಿಕೂಪಾವಲಂಬಿತ ಕೂರ್ಚಕಳಾಪಂ: ಆದಿಪು, ೧೩. ೪೫ ವ)"
ಶಂಕಿಸು,"[ಕ್ರಿ] ಹೆದರು, ಹಿಂಜರಿ (ಬೆಸಸೆನೆಯುಂ ನುಡಿಯಲ್ ಶಂಕಿಸಿದಪೆಂ ಆಂ ಎಂದೊಡೆ ಏಕೆ ಶಂಕಿಸಿದಪೈ ನೀಂ ಬೆಸವೇೞ್: ಪಂಪಭಾ, ೧೨. ೯೦)"
ಶಂಕು,"[ನಾ] ಈಟಿ (ವಿಜಯರಾಜಮಹಿಷೀ ಮಯೂರಾತಪತ್ರ ಶಂಕಾವಹಶಂಕುಸಂಕುಳಂಗಳಿಂದಂ: ಆದಿಪು, ೧೪. ೯೦ ವ)"
ಶಕುನಂಗಳಂ ಕ್ರಮಮಂ ಬಗೆ,"[ಕ್ರಿ] ಪ್ರಕೃತಿಯ ಕೆಟ್ಟ ಸೂಚನೆಗಳ ಸ್ವರೂಪವನ್ನು ಗಮನಿಸು, ಅರ್ಥಮಾಡಿಕೊ (ಅವರ ಮನದ ಪುಲ್ವಗೆಯಂ ಪೊಲ್ಲಮೆಯುಮಂ ಅಱಿಯದೆ ಸಮಸ್ತಬಳೋದ್ಯುಕ್ತನಾಗಿ ಶಕುನಂಗಳ ಕ್ರಮಮಂ ಬಗೆಯದೆ: ಪಂಪಭಾ, ೬. ೬೮ ವ)"
ಶಕುನದ ನಯ,"[ನಾ] ಶಕುನಶಾಸ್ತ್ರ (ಬಿಡೆ ತಿರ್ದಿದ ಶಕುನದ ನಯದಡಿವಿಡಿದು ಪುರೋಹಿತಂ ನೃಪಂಗೀ ನುಡಿಯಂ ನುಡಿದಂ: ಆದಿಪು, ೫. ೬)"
ಶಕುನಿ,"[ನಾ] ಗಾಂಧಾರಿಯ ಸೋದರನಾದ ಗಾಂಧಾರರಾಜ ಸೌಬಲನ ಮಗ (ಮದುವೆಯಂ ಮಾಡಲೆಂದು ಧೃತರಾಷ್ಟ್ರಂಗೆ ಗಾಂಧಾರರಾಜ ಸೌಬಲನ ಮಗಳಪ್ಪ ಗಾಂಧಾರಿಯಂ ಶಕುನಿಯೊಡವುಟ್ಟಿದಳಂ ತಂದುಕೊಟ್ಟು: ಪಂಪಭಾ, ೧, ೮೭, ವ)"
ಶಕ್ತಿ,"[ನಾ] ಒಂದು ಆಯುಧ, ಶಕ್ತ್ಯಾಯುಧ (ಸುರ ದನುಜ ಭುಜಗ ವಿದ್ಯಾಧರ ನರ ಸಂಕುಲದೊಳ್ ಆರನಾದೊಡಂ ಏನೋ ಗರಮುಟ್ಟೆ ಕೊಲ್ಗುಂ ಇದು ನಿಜವಿರೋಧಿಯಂ ಧುರದೊಳ್ ಎಂದು ಶಕ್ತಿಯನಿತ್ತಂ: ಪಂಪಭಾ, ೧. ೧೦೩)"
ಶಕ್ರಕಾರ್ಮುಕ,"[ನಾ] ಕಾಮನ ಬಿಲ್ಲು (ಪೊನಲ್ಗಳ ಕೆಂಪು ಪಸುರ್ಪು ಕರ್ಪು ಬೆಳ್ಪು ಒಳಕೊಳೆ ಶಕ್ರಕಾರ್ಮುಕವಿಳಾಸಮಂ ಏನೆರ್ದೆಗೊಂಡು ಬೇಟದತ್ತಳಗಮಂ ಉಂಟುಮಾಡಿದುದೋ: ಪಂಪಭಾ, ೭. ೨೫)"
ಶಕ್ರನೃತ್ಯ,"[ನಾ] [ಜೈನ] ಜಿನ ಜನ್ಮಾಭಿಷೇಕಕಾಲದಲ್ಲಿ ಸೌಧರ್ಮೇಂದ್ರನು ಮಾಡುವ ಆನಂದನೃತ್ಯ (ಶಕ್ರನೃತ್ಯದೊಳೊಡಂಬಡೆ ನರ್ತಿಸುವಲ್ಲಿ ಜತ್ತವಟ್ಟದ ಮಣಿಯಂತದೇಂ ಪದುಳಮಾದುದೊ ದಿವ್ಯವಧೂಕದಂಬಕಂ: ಆದಿಪು, ೭. ೧೨೫)"
ಶಕ್ರಪುತ್ರ,"[ನಾ] ಇಂದ್ರನ ಮಗ, ಅರ್ಜುನ (ಆ ಶಕ್ರಪುತ್ರನಂ ಆ ಕೊಂದೊಡೆ ಧರ್ಮಪುತ್ರನೞಿಗುಂ ತಾಯೆಂದೆ ಮುಂ ಕೊಂತಿ ಬಂದಿನಿಸಂ ಪ್ರಾರ್ಥಿಸಿ ಪೋದಳ್ ಎನ್ನಂ ಅದಂ ನಾಂ ಮಾಣ್ದಿರ್ದೆಂ: ಪಂಪಭಾ, ೧೨. ೧೯೬)"
ಶಂಖ,"[ನಾ] [ಜೈನ] ಶಂಖದ ಹುಳು, ಚರ್ಮ, ನಾಲಗೆಗಳನ್ನುಳ್ಳ ದ್ವೀಂದ್ರಿಯ ಜೀವಿ (ಸ್ಪರ್ಶನ ರಸನೇಂದ್ರಿಯೋಪೇತಂಗಳಪ್ಪ ಶಂಖಾದಿ ದ್ವೀಂದ್ರಿಯಂಗಳ್: ಆದಿಪು, ೧೦. ೬೩ ವ)"
ಶಂಖಚಕ್ರಚಾಮರಹಳಚಿಹ್ನಿತಪದಾಕೃತಿ,"[ನಾ] ಶಂಖ, ಚಕ್ರ, ಚಾಮರ, ನೇಗಿಲುಗಳ ಗುರುತಿರುವ ಪಾದದ ಆಕಾರ, ಎಂದರೆ ಚಕ್ರವರ್ತಿಯ ಪಾದ (ಅರಿನೃಪಾಲಮೌಳಿಮಣಿಯೊಳ್ ನೆಲೆಗೊಂಡುದು ಶಂಖಚಕ್ರಚಾಮರಹಳಚಿಹ್ನಿತಪದಾಕೃತಿ: ಪಂಪಭಾ, ೬. ೨೯)"
ಶಂಖದೊಳ್ ಪಾಲೆಱೆ,"[ಕ್ರಿ] ಶಂಖದಲ್ಲಿ ಹಾಲು ಹಾಕು, ಅಥವಾ ಪಾವನವಾಗು (ಶಂಖದೊಳ್ ಪಾಲೆಱೆದಂತಿರೆ ಮಲಿನಮಿಲ್ಲದ ಒಳ್ಗುಲದ ಅರಸುಗಳಿರೆ ನೀನುಂ ಅಗ್ರಪೂಜೆಯಂ ಆಂಪಾ: ಪಂಪಭಾ, ೬. ೫೦)"
page,2
ಶಂಖಧವಳ,"[ನಾ] ಶಂಖುವಿನಂತೆ ಹೊಳೆಯುವ (ಕಣ್ಗೊಪ್ಪಿ ತೋರ್ಪುದಿದು ಉತ್ಪ್ರೇಂಖತ್ ಅಸಂಖ್ಯ ಶಂಖಧವಳಂ ಗಂಭೀರನೀರಾಕರಂ: ಪಂಪಭಾ, ೪. ೨೪)"
ಶಂಖನಿಧಿ,"[ನಾ] ಕುಬೇರನ ನವನಿಧಿಗಲ್ಲಿ ಒಂದು (ಧೃತರತ್ನಾರ್ಘ್ಯಂ ಬಂದಂ ಪತಿಗಿದಿರಂ ಶಂಖನಿಧಿಯೆ ಬರ್ಪಂತಾಗಳ್: ಆದಿಪು, ೧೩. ೧೨)"
ಶಂಖಾಸ,"[ನಾ] ತುಂಬೆ (ಅಪ್ರಿಣಾಕ ಭಾವಿಳಶ್ಲಿಸ್ಥಿತಚಳನುಂ ಶ್ಲಕ್ಷ್ಣ ಸ್ನಿಗ್ಧ ಮೃದು ಬಹಳಚ್ಛವಿಯುಂ ಬಂಧುಜೀವ ಶಾಕ ಪುಷ್ಟ ಸಪದ್ಮಮಹಾರಜಶಂಖಾಸತಳವೆಂಬ ಸಪ್ತದ್ವಾಸ್ಥಿತನುಂ: ಆದಿಪು, ೧೨. ೫೬ ವ)"
ಶತಕ್ರತು,"[ನಾ] ನೂರು ಯಜ್ಞಗಳು (ಆ ಮಖದ ಮಾಹಾತ್ಮ್ಯಮಂ ಪೇೞ್ವೊಡೆ ಮುನ್ನಂ ಕೃತಯುಗದೊಳ್ ಹರಿಶ್ಚಂದ್ರನೆಂಬ ಚಕ್ರವರ್ತಿ ಶತಕ್ರತುವಂ ನಿರ್ವರ್ತಿಸಿ: ಪಂಪಭಾ, ೬. ೧೭ ವ)"
ಶತಚತುಷ್ಟಯ,"[ನಾ] ನಾಲ್ಕು ನೂರು (ಮತ್ತಂ ಘಾತಿಗಳ ಕೇಡಿನೊಳ್ ಗವ್ಯೂತಿಶತಚತುಷ್ಟಯ ಸುಭಿಕ್ಷತೆ ಮೊದಲಾಗೆ: ಆದಿಪು, ೧೦. ೪೨ ವ)"
ಶತಚೂರ್ಣ,"[ನಾ] ನೂರು ಚೂರು, ಪುಡಿಪುಡಿ (ಅಂತೆಯ್ದಿ ತದ್ಗದಾಘಾತದೊಳಂ ಬಾಣಪಾತದೊಳಂ ಅವನ ರಥಮಂ ಶಚಚೂರ್ಣಂ ಮಾಡಿ: ಪಂಪಭಾ, ೭. ೩೧ ವ)"
ಶತಪತ್ರ,"[ನಾ] ಕಮಲ (ಸರೋಜನಿಳಯೆ ಎನ್ನ ಬರ್ಪನ್ನಂ ಅರಸನಂ ಅಗಲದೆ ವಿಕಸಿತಶತಪತ್ರ ಆತಪತ್ರದ ತಣ್ಣೆೞಲುಮಂ ಕುಂದಲೀಯದಿರು: ಪಂಪಭಾ, ೧೩. ೧೦೫ ವ)"
