page,1
ಷಟ್ಕ,"[ನಾ] ಆರರ ಗುಂಪು (ಮತ್ತಂ ಅಭ್ಯಂತರತಪಷ್ಷಟ್ಕದೊಳಂ ಪ್ರಾಯಶ್ಚಿತ್ತ ವಿನಯ ವೈಯಾಪತ್ಯ ಸ್ವಾಧ್ಯಾಯ ಧ್ಯಾನ ವ್ಯುತ್ಸರ್ಗಂಗಳೊಳಂ ಕೈಕೊಂಡು: ಆದಿಪು, ೬. ೩೩ ವ)"
ಷಟ್ಕರ್ಮ,"[ನಾ] ವೈದಿಕ ಬ್ರಾಹ್ಮಣನ ಆರು ಕೆಲಸಗಳು: ಅಧ್ಯಯನ, ಅಧ್ಯಾಪನ, ಯಜನ, ಯಾಜನ, ದಾನ, ಪ್ರತಿಗ್ರಹ; (ಭವಿಷ್ಯದ್ವಿಜನ್ಮವರ್ಣಕ್ಕೆ ಅಧ್ಯಯನ ಅಧ್ಯಾಪನ ದಾನ ಪ್ರತಿಗ್ರಹ ಯಜನ ಯಾಜನ ವಿಶಿಷ್ಟವೃತ್ತಿಯುಮಂ: ಆದಿಪು, ೪. ೭೬ ವ); [ನಾ] ಪ್ರಜೆಗಳು ಅನುಸರಿಸಬಹುದಾದ ಆರು ವರ್ಗಗಳ ವೃತ್ತಿಗಳು: ಅಸಿ, ಮಷಿ, ಕೃಷಿ, ವಾಣಿಜ್ಯ, ವಿದ್ಯೆ ಮತ್ತು ಶಿಲ್ಪ (ಪೂರ್ವಾಪರವಿದೇಹಸ್ಥಿತಿ ಸಮಾನಮಾಗೆ ಷಟ್ಕರ್ಮಂಗಳುಮಂ ವರ್ಣಾಶ್ರಮವಿಭಾಗಂಗಳುಮಂ ಗ್ರಾಮಗೃಹಾದಿಭೇದಂಗಳುಮಂ: ಆದಿಪು, ೮. ೬೨ ವ); [ನಾ] [ಜೈನ] ಹೊಸತಾಗಿ ತಾನು ಸೃಷ್ಟಿಸಿದ ಬ್ರಾಹ್ಮಣರಿಗೆ ಭರತನು ನಿಗದಿಗೊಳಿಸಿದ ಆರು ಕರ್ಮಗಳು: ಪೂಜೆ, ವಾರ್ತೆ, ದತ್ತಿ, ಸ್ವಾಧ್ಯಾಯ, ಸಂಯಮ, ತಪಸ್ಸುಗಳು (ಆರ್ಯ ಷಟ್ಕರ್ಮಂಗಳಂ ನಿಮಗಿವು ಕುಲಾಚಾರಂಗಳೆಂದು ಅಱಿಯೆ ಪೇೞ್ದು ಕೈಕೊಳಿಸಿ: ಆದಿಪು, ೧೫. ೧೩ ವ)"
ಷಟ್ಖಂಡ,"[ನಾ] [ಜೈನ] ಆರು ಭೂಭಾಗಗಳು, ಹಿಮವತ್ಪರ್ವತದ ದಕ್ಷಿಣದಲ್ಲಿ ಲವಣಸಮುದ್ರದವರೆಗೂ ವ್ಯಾಪಿಸಿರುವುದು ಭರತಕ್ಷೇತ್ರ. ಇದರ ನಡುವೆ ವಿಜಯಾರ್ಧಪರ್ವತದ ಪೂರ್ವಪಶ್ಚಿಮವಾಗಿ ಹಬ್ಬಿ ಈ ಕ್ಷೇತ್ರವನ್ನು ಉತ್ತರ ಭರತ, ದಕ್ಷಿಣ ಭರತ ಎಂದು ಎರಡಾಗಿ ಒಡೆಯುತ್ತದೆ. ಹಿಮವತ್ಪರ್ವತದಲ್ಲಿ ಹುಟ್ಟಿದ ಮಹಾಸಿಂಧು ಮಹಾಗಂಗಾ ಎಂಬೆರಡು ನದಿಗಳು ಉತ್ತರದಿಂದ ದಕ್ಷಿಣಕ್ಕೆ ಹರಿದು ಲವಣ ಸಮುದ್ರವನ್ನು ಸೇರುತ್ತವೆ, ವಿಜಯಾರ್ಧಪರ್ವತ ಮತ್ತು ಗಂಗಾಸಿಂಧೂ ನದಿಗಳಿಂದ ಭರತಕ್ಷೇತ್ರ ಆರು ಖಂಡಗಳಾಗಿ ಭಾಗವಾಗಿದೆ. ಉತ್ತರ ಭರತಕ್ಷೇತ್ರದ ಮೂರು ಖಂಡಗಳ ನಡುವೆ ಆರ್ಯಖಂಡವಿವೆ, ಈ ಎರಡೂ ಕ್ಷೇತ್ರದ ಖಂಡಗಳು ಕೂಡಿ ಷಟ್ಖಂಡವೆನಿಸಿವೆ (ಅನ್ನೆಗಮಿತ್ತ ಷಟ್ಖಂಡಮಂಡಿತ ಧರಾಮಂಡಳಮಂ ಬಾಯ್ಕೇಳಿಸಿ: ಆದಿಪು, ೩. ೪೫ ವ)"
ಷಟ್ಚರಣ,"[ನಾ]ದುಂಬಿ (ದಾನಪ್ರಮೋದ ವಾಚಾಳಷಟ್ಚರಣ ಚಾರಣ ಗಣೋಚ್ಚಾರ ಝಂಕಾರಜಯಾಶೀರ್ಘೋಷಮುಮಪ್ಪ ವಿಜಯಗಜದ ಬೆಂಗೆ ವಂದು:ಆದಿಪು, ೧೪. ೯೦ ವ)"
ಷಟ್ಛತ,"[ನಾ] [ಷಟ್+ಶತ] ಆರುನೂರು (ಅನೇಕವರ್ಷಸಹಸ್ರಂ ಸಲೆ ಷಟ್ಛತಕಾಂಡಾಸನೋತ್ಸೇಧಶರೀರನುಂ: ಆದಿಪು, ೬. ೬೦ ವ)"
ಷಟ್ಪದ,"[ನಾ] ದುಂಬಿ (ಚೂತಲತಾ ಲತಾಂತ ಮಕರಂದಾಮೋದ ಸಂಸಕ್ತ ಷಟ್ಪದದೊಳ್ ತಳ್ತಿರೆ: ಆದಿಪು, ೯. ೧೧೬)"
ಷಂಡ,"[ನಾ]ಗುಂಪು (ಪಲವುಂ ಭಂಗಿಯಿಂ ಕೂಡೆ ನೀಲೋತ್ಪಲಷಂಡಂ ಪದ್ಮಷಂಡಂ ಲಲಿತವನಲತಾ ಷಂಡಮುಂ ತಂಡತಂಡಂಗಳಿನೀ ಬಂದಪ್ಪುದು:ಆದಿಪು, ೧೧. ೧೩೯)"
ಷಡಂಗಬಲ,"[ನಾ]ರಥ, ಆನೆ, ತುರಗ, ಪದಾತಿ, ದಿವಿಜ, ಖೇಚರ ಎಂಬ ಆರು ಬಗೆಯ ಸೇನೆಗಳು (ಭುವನತಳಂ ನಡೆವ ಚತುರ್ಬಲಕೆ ದಿವಿಜಖೇಚರಸೈನ್ಯಕ್ಕೆಡೆ ನೆಱೆಯದು ಗಗನಮುಮೆನೆ ಷಡಂಗಬಲಮಿಂತು ತಳರೆ ತಳರ್ದಂ ಭರತಂ:ಆದಿಪು, ೧೧. ೩೪)"
ಷಡ್ಗುಣ,"[ನಾ] ರಾಜನೀತಿಯ ಆರು ಗುಣಗಳು: ಸಂಧಿ, ವಿಗ್ರಹ, ಯಾನ, ಆಸನ, ಸಂಶ್ರಯ ಮತ್ತು ದ್ವೈಧೀಭಾವ, (ಇದು ರಾಜವಿದ್ಯೆಯೊಳಗಾವುದು ವಿದ್ಯೆಯೊ ಷಡ್ಗುಣಂಗಳೊಳಾವ ಗುಣಂ: ಆದಿಪು, ೯. ೯೧)"
