page,1
ಸ ಸರ್ವಜಗತಾಂ ಗುರುರ್ಗಿರಿಸುತಾಪತಿಃ ಪಾತು ನಃ,"ಸಮಸ್ತ ಜಗತ್ತಿಗೂ ಒಡೆಯನೂ ಗುರುವೂ ಪಾರ್ವತೀಪತಿಯೂ ಶಿವನೂ ಆದ ಅವನು ನಮ್ಮನ್ನು ಕಾಪಾಡಲಿ (ಪಂಪಭಾ, ೪. ೨೭)"
ಸಂಕಟ,"[ನಾ] [ಸಂಕಷ್ಟ] ಇಕ್ಕಟ್ಟಾದ, ದುರ್ಗಮವಾದ (ಜಾನುಭಂಜನೀ ಶೂಲಪ್ರಕರ ಪರಿವೃತಂಗಳುಂ ಕೂಪಕೂಟಾವಪಾತ ಲೋಹ ಕಂಟಕ ಸಂಕಟಂಗಳುಂ .. .. ಅಪ್ಪ ದುರ್ಗಂಗಳೊಳ್: ಆದಿಪು, ೧೩. ೫೭ ವ); [ನಾ] ವ್ಯಥೆ (ನಲ್ಲರಗಲ್ಕೆಗೆ ಕಣ್ಣ ನೀರ್ಗಳಂ ಮಿಡಿವ ಬಹುಪ್ರಕಾರಸಂಕಟಮೊಪ್ಪಿದುದಾ ಪ್ರಯಾಣದೊಳ್: ಆದಿಪು, ೪. ೫೭); ತೊಂದರೆ (ಒರ್ವರಂ ಒರ್ವರ್ ಎಚ್ಚು ನಿಜಪೀಠಾಂಭೋಜದಿಂ ಬ್ರಹ್ಮನುಚ್ಚಳಿಪನ್ನಂ ಪಿರಿದೊಂದು ಸಂಕಟಮನೀ ತ್ರೈಲೋಕ್ಯದೊಳ್ ಮಾಡಿದರ್: ಪಂಪಭಾ, ೧. ೭೯)"
ಸಂಕರ,"[ನಾ] ಮಿಶ್ರಣ (ಎರೞ್ತಡಿಯ ಪೂಮರದಿಂ ಕೞಿವೂಗಳತ್ತಮಿತ್ತ ಕವಿದಲ್ಲಿ ಮೆಲ್ಲನುಗೆ ತೆಂಕುವ ಪೂವಿನ ಸಂಕರಂಗಳಂ: ಆದಿಪು, ೧. ೬೧); [ನಾ] ಶಂಕರ, ಶಿವ (ಅಣ್ಣನೊಂದು ಮಾತಂ ಅಣಂ ಮೀಱದೆ ನಿಂದು ಸಂಕರನ ನೀನಾರಾಧಿಸು ಎಂದು ಇಂತಿದಂ ಮುನಿ ಪರಾಶರಂ ಒಲ್ದು ಪೇೞೆ: ಪಂಪಭಾ, ೮. ೫)"
ಸಂಕರ್ಷಣ,"[ನಾ] ಬಲರಾಮ (ಎಂಬುದುಂ ಸಂಕರ್ಷಣಂ ಆತನ ಮನದ ಉತ್ಕರ್ಷತೆಯನಱಿದು ಪೆಱತಂ ಇನ್ನೆನಗೆ ನುಡಿಯಲೆಡೆಯಿಲ್ಲ: ಪಂಪಭಾ, ೧೩. ೯೦ ವ)"
ಸಂಕಲೆ,"[ನಾ] [ಶೃಂಖಲಾ] ಸಂಕೋಲೆ (ಓಪನಂ ಮಿಡುಕಲೀಯದೆ ಕಾಲ್ವಿಡಿದೞ್ತು ತೋರ ಕಣ್ಬನಿಗಳನಿಕ್ಕಿದಳ್ ತರಳಲೋಚನೆ ಸಂಕಲೆಯಿಕ್ಕಿದಂತೆವೋಲ್: ಪಂಪಭಾ, ೪. ೯೭)"
ಸಂಕಲ್ಪ,"[ಗು] ಕಲ್ಪಿಸಿಕೊಂಡ, ಕಲ್ಪನೆಯ (ಎಂದು ತನ್ನೊಳೆ ಬಗೆದು ಸಂಕಲ್ಪಸಮಾಗಮಸುಖಮನನುಭವಿಸಿ: ಆದಿಪು, ೪. ೧೪ ವ); [ನಾ] ವಿದ್ಯೆ [ಶರಕಲ್ಪ] (ಶರಸಂಧಾನ ಆಕರ್ಷಣ ಹರಣಾದಿ ವಿಶೇಷವಿವಿಧಸಂಕಲ್ಪಕಳಾಪರಿಣತಿಯಂ ಮೆಱೆದುದು: ಪಂಪಭಾ, ೧೨. ೧೮೬)"
ಸಕಳಕಳಾಧರ,"[ನಾ]ಎಲ್ಲ ಕಲೆಗಳನ್ನುಳ್ಳ, ಪೌರ್ಣಮಿಯ ಚಂದ್ರ (ಪಲಂಬರ್ ರಾಜಕುಮಾರರ ನಡುವೆ ತಾರಾಗಣಂಗಳ ನಡುವಣ ಸಕಳಕಳಾಧರನಂತೆ ಶಸ್ತ್ರಕಲಾಧರನಾಗಿ:ಪಂಪಭಾ, ೨. ೫೯ ವ)"
ಸಕಳದತ್ತಿ,"[ನಾ][ಜೈನ] ವಂಶದ ಎಲ್ಲವನ್ನೂ ಮಗನಿಗೆ ಕೊಡುವುದು (ನಿಜಾನ್ವಯೋದ್ಧರಣಸಮರ್ಥನಪ್ಪ ಅಗ್ರತನೂಭವಂಗೆ ಆತ್ಮೀಯ ಧರ್ಮ ಧನ ಬಂಧುಗಳಂ ಸಮರ್ಪಿಪ ಸಕಳದತ್ತಿಯುಂ:ಆದಿಪು, ೧೫. ೧೩ ವ)"
ಸಕಳರ್ತುಕರಾಜ,"[ನಾ]ಎಲ್ಲ ಋತುಗಳಿಗೂ ರಾಜ, ಋತುರಾಜ (ಭರತರಾಜಂ ಸಕಳರ್ತುಕರಾಜನಪ್ಪ ಮನೋಜರಾಜಂಗೆ ಮಾಡಿದುದೆನಿಸುವ ವಿರಾಜಮಾನ ರಕ್ತಾಶೋಕಪಲ್ಲವ ಕಾಯಮಾನದೊಳ್:ಆದಿಪು, ೧೧. ೭೪ ವ)"
