page,1
ಹಟತ್,"[ಗು]ಹೊಳೆಯುವ (ಘಟಾಘಟಿತ ಹಟತ್ ವಿರೋಧಿರುಧಿರಪ್ಲವಲಂಪಟ ಸಂಕಟೋತ್ಕಟಂ:ಪಂಪಭಾ, ೧೧. ೧೪೬)"
ಹಟತ್ಕಿರೀಟ,"[ನಾ]ಹೊಳೆಯುವ ಕಿರೀಟ (ಕಟಕ ಕಟಿಸೂತ್ರ ಕುಂಡಲ ಹಟತ್ಕಿರೀಟ ಅಂಗದಾದಿ ಮಣಿಭೂಷಣ ಭಾಜಟಿಳಿತ ಮೂರ್ತ್ಯುತ್ಕರ್ಷಂ ಸ್ಫುಟಹರ್ಷಂ ತನ್ನ ವರ್ಷವರ್ಧನ ದಿನದೊಳ್:ಆದಿಪು, ೨. ೨)"
ಹತಪ್ರತಿಜ್ಞ,"[ನಾ]ಪ್ರತಿಜ್ಞಾಭಂಗರಾದವರು (ಆತ್ಮೀಯವಿದ್ಯಾ ಗರ್ವಪರ್ವತಂ ಅವರ ವಚೋನಿರ್ಘಾತದಿಂ ನುಚ್ಚುನುಱಿಯಾಗಿ ಪೋದೊಡೆ ಹತಪ್ರತಿಜ್ಞರುಂ ಗಳಿತಗರ್ವರುಂ ಆಗಿ:ಆದಿಪು, ೩. ೭೫ ವ)"
ಹತವಿಹತ,"[ನಾ]ಹೊಡೆತ ಮರುಹೊಡೆತ(ವಿದ್ವಿಷ್ಟವಿದ್ರಾವಣನ ಮೊನೆಯಂಬಿನ ಏಱಿಂಗೆ ಅಳ್ಕಿ ಹತವಿಹತ ಕೋಳಾಹಳರಾಗಿ:ಪಂಪಭಾ, ೫. ೮೮ ವ)"
ಹತಿ,"[ನಾ]ಹೊಡೆತ (ವಿನತಾಪುತ್ರನ ವಜ್ರ ತುಂಡ ಹತಿಗಂ ಮೆಯ್ಯಾಂತು ಕಂಡಂಗಳುಳ್ಳಿನಂ ಅಂಗಂಗಳಂ ಒಡ್ಡಿ ಒಡ್ಡಿ ತನುವಂ ಕೊಟ್ಟಂತು:ಪಂಪಭಾ, ೪. ೨೬);[ನಾ]ವಧೆ, ಹತ್ಯೆ (ಕರ್ಣಹತಿಯೊಳ್ ತನಗೞ್ಕಱನೀಯೆ ಬಂದನಂದು ಅರಮನೆಗೆ ಅಚ್ಯುತಂಬೆರಸು ಅಳುರ್ಕೆಯಿಂ ಅಮ್ಮನ ಗಂಧವಾರಣಂ:ಪಂಪಭಾ, ೧೨. ೨೨೧)"
ಹತೋಶ್ವತ್ಥಾಮಾ,"[ಹತಃ+ಅಶ್ವತ್ಥಾಮಾ] ಅಶ್ವತ್ಥಾಮ ಹತನಾ[ದನು/ಯಿತು] (ಸಾಮಜಮಶ್ವತ್ಥಾಮಂ ನಾಮದಿಂದ ಒಂದೞಿದೊಡೆ ಅಲ್ಲಿ ಕಂಡು ಹತೋಶ್ವತ್ಥಾಮಾ ಎನೆ: ಪಂಪಭಾ, ೧೨. ೨೭)"
ಹಯ,"[ನಾ]ಕುದುರೆ[ಸೈನ್ಯ](ಸರಳ ಪೊದಳ್ದ ಬಲ್ಸರಿಯ ಕೋಳ್ಗಿರಲಾಱದೆ ತೆರಳ್ದು ದುರ್ಧರ ಹಯಂ ಅೞ್ಗಿ ಸಂದಣಿಸಿ ಸಂದಣಿ ಕೋಳ್ಗುದಿಗೊಂಡು:ಪಂಪಭಾಪರಿಷತ್ತು, ೩. ೭೦)"
ಹಯವಲ್ಲನ,"[ನಾ]ಕುದುರೆಯ ಒಂದು ಬಗೆಯ ನಡಿಗೆ (ಅದಂ ಗುಣಾರ್ಣವನಿಡಲೊಲ್ದನಿಲ್ಲ ಹಯವಲ್ಲನ ಸಚಳರತ್ನಕುಂಡಳಂ:ಪಂಪಭಾ,೫. ೫೧)"
ಹಯಹೇಷಿತ,"[ನಾ]ಕುದುರೆಯ ಕೆನೆತ (ಮದಸ್ತಂಭೇರಮ ಬೃಂಹಿತಂಗಳಿಂದಂ ಯುಗಪದಾಸ್ಫಾಲಿತ ಅನೇಕ ದುಂದುಭಿಧ್ವನಿ ಮಧುರಗೀತಂಗಳಪ್ಪ ಹಯಹೇಷಿತಂಗಳಿಂದಂ:ಆದಿಪು, ೧೪. ೯೬ ವ)"
ಹಯೋಪಾಯ,"[ನಾ]ಅಶ್ವವಿದ್ಯೆ (ಹಯೋಪಾಯಕುಶಲರಪ್ಪ ಗಾಂಗೇಯರ್ ಅಱಿಪಿದ ಮಾತಂ ಏಕಾಂತದೊಳ್ ಅಱಿಪುವುದುಂ:ಪಂಪಭಾ, ೧೨. ೮೮ ವ)"
ಹಯೌಘ,"[ನಾ]ಕುದುರೆ ಸೈನ್ಯ (ಮನಮುಳ್ಳುನ್ಮದ ಗಂಧಸಿಂಧುರಚಯಂ ಚಂಡಾಜಿವಿಕ್ರಾಂತಮರ್ತ್ಯನಿಳಾಕ್ರಾಂತ ಹಯೌಘಂ:ಆದಿಪು, ೪. ೯೧)"
