page,1
ಅ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೊದಲನೆಯ ಅಕ್ಷರ.
 2. ವಿಷ್ಣು."
ಅಂಕ,"1. ಕೊಕ್ಕೆ.
 2. ಅಂಕುಶ.
 3. ಕೊಂಕು.
 4. ಅಂಕವಣ.
 5. ತೊಡೆ.
 6. ಗುರುತು.
 7. ಹೆಸರು.
 8. ಬಿರುದು.
 9. ಯುದ್ಧ.
 10. ಸ್ಪರ್ಧೆ ಕಾಳಗ ಹೋರಾಟ ಇತ್ಯಾದಿಗಳು ನಡೆಯುವ ಸ್ಥಳ.
 11. ಜಟ್ಟಿ.
 12. ನಾಟಕದಲ್ಲಿ ಒಂದು ವಿಭಾಗ.
 13. ಕುಂದು.
 14. ಅಂಕೆ.
 15. ಪ್ರಸಿದ್ಧಿ.
 16. ಪರೀಕ್ಷೆಯಲಿ"
ಅಕ(ಕ್ಕ)ಟ,ಆಶ್ಚರ್ಯ ವಿಷಾದ ಅಸೂಯೆ ಮುಂತಾದುವನ್ನು ಸೂಚಿಸುವ ಉದ್ಗಾರ.
ಅಕ(ಕ್ಕ)ರಾಸ್ತೆ,ಅಕ್ಕರೆ.
ಅಂಕಗಣಿತ,ಸಂಖ್ಯೆಗಳ ಮೂಲಕ ಮಾಡುವ ಗಣಿತ.
ಅಕಚ,ಕೂದಲಿಲ್ಲದ.
ಅಕಟವಿಕಟ,"1. ಬಲುದೊಡ್ಡ.
 2. ಘೋರ."
ಅಕಟವಿಕಟ,ಅಸಂಬದ್ಧತೆ.
ಅಕಡಿ,ನಾಲ್ಕು ಸಾಲು ಬೆಳೆಯನ್ನುಳ್ಳ ಭೂಮಿಯ ಅಗಲ.
ಅಂಕಣ,"1. ಮನೆಯ ಎರಡು ಕಂಬಗಳ (ತೊಲೆಗಳ) ನಡುವಿನ ಪ್ರದೇಶ.
 2. ಸ್ಥಳ.
 3. ಸೆಳೆಖಾನೆ.
 4. ಪತ್ರಿಕೆಯಲ್ಲಿನ ಉದ್ದ ಸಾಲು.
 5. ಪತ್ರಿಕೆಯಲ್ಲಿ ನಿರ್ದಿಷ್ಟ ವಿಷಯಕ್ಕೆ ಗೊತ್ತುಪಡಿಸಿದ ಜಾಗ."
ಅಂಕಣಬರಹ,ಪತ್ರಿಕೆಗಳಲ್ಲಿ ಬರೆಯುವ ನಿಯತವಾದ ನಿರ್ದಿಷ್ಟ ಲೇಖನ.
ಅಂಕಣಿ,ಕುದುರೆಯ ರಿಕಾಪು.
ಅಂಕನ,"1. ಗುರುತು ಮಾಡುವುದು.
 2. ಬರೆ ಹಾಕುವುದು – ಎಳೆಯುವುದು."
ಅಂಕಪಟ್ಟಿ,ಪರೀಕ್ಷೆಯಲ್ಲಿ ವಿದ್ಯಾರ್ಥಿಯು ಪಡೆದ ಅಂಕಗಳನ್ನು ನಮೂದಿಸಿರುವ ಪಟ್ಟಿ.
ಅಂಕಪರದೆ,ನಾಟಕದ ಅಂಕದ ಕೊನೆಯಲ್ಲಿ ಬಿಡುವ ತೆರೆ.
ಅಂಕಮಾಲೆ,ಬಿರುದುಗಳುಳ್ಳ ಮಾಲೆ.
ಅಕರಾಳವಿಕರಾಳ,ಘೋರವಾದ.
ಅಕಲಂ(ಳಂ)ಕ,ನಿರ್ಮಲವಾದ.
ಅಂಕಲಿಪಿ,"1. ಅಂಕಿಗಳನ್ನೂ ಅಕ್ಷರಗಳನ್ನೂ ಕಲಿಸುವ ಪುಸ್ತಕ.
 2. ಅಂಕೆಗಳನ್ನು ಬಳಸಿ ಬರೆಯುವ ಬರಹ."
ಅಕಲ್ಪಿತ,ಕಲ್ಪಿತವಲ್ಲದ.
page,2
ಅಂಕವಣಿ(ಣೆ),ಅಂಕಣಿ.
ಅಂಕವಱೆ,ರಣಭೇರಿ.
ಅಂಕವಾತು,"1. ಯುದ್ಧದ ಮಾತು.
 2. ವೀರವಚನ."
ಅಕಸಾಲೆ,ಚಿನ್ನ ಬೆಳ್ಳಿ ಕೆಲಸ ಮಾಡುವವನು.
ಅಕಸ್ಮಾತ್,ಇದ್ದಕ್ಕಿದ್ದಂತೆ.
ಅಕಳಸಕಳ,ಅವ್ಯವಸ್ಥಿತವಾಗಿ.
ಅಕಳಸಕಳ,ಚಕ್ಕಲಗುಳಿ.
ಅಕಾರ್ಯ,ಮಾಡಬಾರದ ಕೆಲಸ.
ಅಕಾಲ,ಕಾಲವಲ್ಲದ ಕಾಲ.
ಅಕಾಲಮರಣ,ಸರಿಯಾದ ಕಾಲಕ್ಕಿಂತ ಮುಂಚೆ ಅಲ್ಪಾಯಸ್ಸಿನಲ್ಲಿ ಉಂಟಾಗುವ ಸಾವು.
ಅಕಾಲವರ್ಷ,"1. ಅಕಾಲದಲ್ಲಿ ಬರುವ ಮಳೆ.
 2. ಒಬ್ಬ ರಾಷ್ಟ್ರಕೂಟ ರಾಜನ ಬಿರುದು."
ಅಕಾಲವೃಷ್ಟಿ,ಕಾಲವಲ್ಲದ ಕಾಲದಲ್ಲಿ ಬರುವ ಮಳೆ.
ಅಂಕಿ,ಸಂಖ್ಯೆಯನ್ನು ಬರಹರೂಪದಲ್ಲಿ ತೋರಿಸುವ ಚಿಹ್ನೆ.
ಅಕಿಂಚನ,ಏನೂ ಇಲ್ಲದ.
ಅಂಕಿತ,ಗುರುತು ಮಾಡಿದ.
ಅಂಕಿತ,"1. ಗುರುತು.
 2. ರುಜು.
 3. ಅರ್ಪಣೆ."
ಅಂಕಿತನಾಮ,(ವ್ಯಕ್ತಿ ಅಥವಾ ಸ್ಥಳಗಳಿಗೆ) ಇಟ್ಟಿರುವ ಹೆಸರು.
ಅಂಕಿಸು,"1. ಬಳಿ.
 2. ವಶಪಡಿಸಿಕೊಳ್ಳು.
 3. ಎಣಿಸು.
 4. ಲಕ್ಷಿಸು.
 5. ಗುರುತುಮಾಡು."
ಅಂಕು,ಸೊಟ್ಟು.
ಅಂಕು,ಸೊಟ್ಟಾಗು.
page,3
