page,1
ಈ,
ಈ,"1. ಕೊಡು.
 2. ಅವಕಾಶವನ್ನು ಕೊಡು."
ಈ¾ಲ್,"1. ಹೆರಿಗೆಯ ಹನ್ನೊಂದು ಅಥವಾ ಹನ್ನೆರಡನೆಯ ದಿನ ಮಾಡಿಸುವ ಮಂಗಳ ಸ್ನಾನ.
 2. ಮಂಗಳಸ್ನಾನ."
ಈಕ್ಷಕ,ನೋಡುವವನು.
ಈಕ್ಷಣ,"1. ಕಣ್ಣು.
 2. ನೋಡುವಿಕೆ."
ಈಕ್ಷಿಸು,"1. ನೋಡು.
 2. ಭಾವಿಸಿ ನೋಡು."
ಈಕ್ಷ್ಯ,ನೋಡಬಹುದಾದ.
ಈಂಗಡಲ್,ಇಂಗಡಲು.
ಈಂಗಡಲ್,ಇಂಗಡಲು.
ಈಗಡು,ಈ ಸಮಯದಲ್ಲಿ.
ಈಂಚರ,ಇಂಪಾದ ಧ್ವನಿ.
ಈಚಲ್(ಲು),"1. ಈಚಿಲ್.
 2. ಮಳೆ ಗಾಲದಲ್ಲಿ ದೀಪಕ್ಕೆ ಮುತ್ತುವ ರೆಕ್ಕೆಯಿರುವ ಒಂದು ಜಾತಿಯ ಹುಳು."
ಈಚಿಲ್,ತಾಳೆಯ ಜಾತಿಗೆ ಸೇರಿದ ಮರ.
ಈಂಚು,ಕಂದುವಿಕೆ.
ಈಚುವೋಗು,ನೀಗು.
ಈಚೆ,"1. ಈ ಕಡೆಯ.
 2. ಈ ಕಡೆ.
 3. ಅನಂತರ."
ಈಜಾಟ,ಈಜುವಿಕೆ.
ಈಜಿ,ಒಂದು ಮರ.
ಈಜು,ಈಜುವಿಕೆ.
ಈಜು,"ಅಂಗಚಲನೆಯಿಂದ ನೀರಿನ ಮೇಲೆ ತೇಲುತ್ತ ಹೋಗು,- ನೀರಿನಲ್ಲಿ ಚಲಿಸು."
page,2
ಈಜುಬುರುಡೆ,(ಮುಳುಗದಿರಲೆಂದು) ಈಜುವಾಗ ಕಟ್ಟಿಕೊಳ್ಳುವ ಒಣಗಿದ ಸೋರೆಕಾಯಿ.
ಈಟಿ,ಶಲ್ಯ.
ಈಂಟು,ಕುಡಿ.
ಈಡಾಡಿಸು,ಎಸೆಯುವಂತೆ ಮಾಡು.
ಈಡಾಡು,"1. ಕಿತ್ತು ಒಗೆ.
 2. ಕಳೆ.
 3. ನೀಗು."
ಈಡಿ,ಹೆಂಡ.
ಈಡಿಗ,ಹೆಂಡ ಇಳಿಸುವವನು ಮತ್ತು ಮಾರುವವನು.
ಈಡಿತ,ಹೊಗಳಲ್ಪಟ್ಟ.
ಈಡಿರಿ,ವ್ಯಾಪಿಸು.
ಈಡಿಱೆ,"1. ಕೊಂಬಿನಿಂದ ಉಜ್ಜು.
 2. ಕಿಕ್ಕಿರಿ.
 3. ವ್ಯಾಪಿಸು.
 4. ಗುಣಿಸು."
ಈಡು,"1. ಬಾಣದ ಅಥವಾ ಗುಂಡಿನ ಪ್ರಯೋಗ.
 2. ಹೊಡೆಯಬೇಕಾದ ವಸ್ತು.
 3. ಒಂದು ಸಲ ಇಡುವಿಕೆ.
 4. ಕಾರಣ.
 5. ಇಕ್ಕಟ್ಟು.
 6. ಹೊಣೆ.
 7. ಬಳಿಯುವಿಕೆ.
 8. ಉಪಾಯ.
 9. ಮರಗೆಲಸ ಮಾಡುವಾಗ ಉಳಿಯಾಗಲಿ ಗರಗಸವಾಗಲಿ ನೆಲಕ್ಕೆ ತಾಗದಂತೆ) ಮರದ ತುಂಡನ್ನು ಎತ್ತರಿಸಲು ಅಡಿಗೆ ಕೊಡುವ ಆನಿಕೆ,- ಕೊರಡು.
 10. ಒಂದಾಗುವಿಕೆ.
 11. ಸರಿ.
 12. ಚಿತೆ.
 13. ನೆಲೆ."
ಈಡುಗಾಯಿ,"1. ದಪ್ಪವಾದ ಕಾಯಿ.
 2. ದೇವತಾವಿಗ್ರಹದ ಅಥವಾ ಬೇರೆ ಯಾರಾದರೊಬ್ಬರ ಮುಂದೆ ದೃಷ್ಟಿ ತಾಗದಿರಲಿ ಎಂದು ನಿವಾಳಿಸಿ ನೆಲಕ್ಕೆ ಬೀಸಿ ಎಸೆಯುವ ತೆಂಗಿನಕಾಯಿ."
ಈಡುಗಾರ,ಗುರಿಗೆ ಸರಿಯಾಗಿ ಹೊಡೆಯುವುದರಲ್ಲಿ ನಿಸ್ಸೀಮ.
ಈಡೇರಿಸು,ಕೈಗೂಡಿಸು.
ಈಡೇರು,ಕೈಗೂಡು.
ಈತಿಬಾಧೆ,ತೊಂದರೆ.
ಈನಿಸು,"1. (ಪ್ರಾಣಿಗಳ) ಪ್ರಸವಕ್ಕೆ ಸಹಾಯ ಮಾಡು.
 2. ಒದಗಿಸು."
ಈನ್,(ಪ್ರಾಣಿಗಳು) ಮರಿಹಾಕು.
ಈಪಾಟಿ,"1. ಇಷ್ಟು.
 2. ಈ ರೀತಿ."
ಈಪ್ಸಿತ,ಆಸೆಪಟ್ಟ.
page,3
ಈಪ್ಸಿತ,ಆಸೆ.
