page,1
ಋ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಏಳನೆಯ ಅಕ್ಷರ.
ಋಕ್ಕು,ಋಗ್ವೇದದ ಮಂತ್ರ.
ಋಕ್ಷ,"1. ಕರಡಿ.
 2. ನಕ್ಷತ್ರ."
ಋಗ್ವೇದ,ನಾಲ್ಕು ವೇದಗಳಲ್ಲಿ ಮೊದಲನೆಯದು.
ಋಗ್ವೇದಿ,ಋಗ್ವೇದವನ್ನು ಅನುಸರಿಸುವವನು.
ಋಗ್ವೇದಿ,ಋಗ್ವೇದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ.
ಋಚ,"1. ಋಕ್ಕು.
 2. ಋಗ್ವೇದ."
ಋಚೆ,ಋಕ್ಕು.
ಋಜು,(ಚಿತ್ರಶಾಸ್ತ್ರದಲ್ಲಿ) ಒಂದು ವಸ್ತುವಿನ ಸಮ್ಮುಖದ ಎದುರು ನೋಟ.
ಋಜು,"1. ನೇರವಾದ.
 2. ಪ್ರಾಮಾಣಿಕವಾದ.
 3. ಆಡಂಬರವಿಲ್ಲದ."
ಋಜುತ್ವ,ನೇರವಾಗಿರುವ ಗುಣ.
ಋಜುಮಾರ್ಗ,"1. ನೇರವಾದ ದಾರಿ.
 2. ಸರಳ ಸ್ವಭಾವ."
ಋಜುರೋಹಿತ,"1. ಇಂದ್ರನ ಧನುಸ್ಸು.
 2. ಕಾಮನ ಬಿಲ್ಲು."
ಋಣ,"1. ಸಾಲ.
 2. ಕೋಟೆ.
 3. ನೀರು.
 4. ಹಂಗು.
 5. ಉಪಕಾರ."
ಋಣಚಿಹ್ನೆ,(ಗಣಿತದಲ್ಲಿ) ಕಳೆಯಬೇಕಾದುದನ್ನು ಸೂಚಿಸುವ ಚಿಹ್ನೆ (-).
ಋಣತ್ರಯ,"ದೇವಋಣ, ಪಿತೃಋಣ, ಋಷಿಋಣ ಎಂಬ ಮೂರು ಬಗೆಯ ಋಣಗಳು."
ಋಣನಿಧಾನ,ತನಗೆ ಲಭ್ಯವಾಗ ಬೇಕಾಗಿರುವ ನಿಕ್ಷೇಪ.
ಋಣಮುಕ್ತ,ಋಣ ಅಥವಾ ಸಾಲದಿಂದ ಬಿಡುಗಡೆಯಾದವನು.
ಋಣಹರಿ,ಸಾಲ ತೀರಿಹೋಗು.
ಋಣಾನುಬಂಧ,"ಪೂರ್ವಜನ್ಮದ ಋಣ ಸಂಬಂಧ,- ಸ್ನೇಹಸಂಬಂಧ."
page,2
ಋಣಿ,"1. ಸಾಲವುಳ್ಳವನು.
 2. ಹಂಗಿಗೆ ಒಳಗಾದವನು."
ಋತ,"1. ಸತ್ಯ.
 2. ಧರ್ಮ."
ಋತು,"1. ಎರಡೆರಡು ತಿಂಗಳುಗಳ ಕಾಲದ ಅವಧಿ.
 2. ಸ್ತ್ರೀಯರ ಮುಟ್ಟು,- ರಜಸ್ಸು.
 3. ಆರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಋತುಶಾಂತಿ,"(ಹಿಂದಿನ ಕಾಲದಲ್ಲಿ) ಮದುವೆಯಾದ ಹೆಣ್ಣು ಮೊದಲ ಬಾರಿಗೆ ಮುಟ್ಟಾದಾಗ ಮಾಡುತ್ತಿದ್ದ ಒಂದು ಶುಭ ಸಂಸ್ಕಾರ,- ಕರ್ಮ."
ಋತುಸಾರ್ವಭೌಮ,ಋತುಗಳ ಚಕ್ರವರ್ತಿ.
ಋತುಸ್ನಾತೆ,ಮುಟ್ಟಾದ ನಾಲ್ಕನೆಯ ದಿನ ಸ್ನಾನ ಮಾಡಿ ಶುದ್ಧಳಾದ ಹೆಂಗಸು.
ಋತುಸ್ರಾವ,ರಜಸ್ಸಿನ ಸ್ರಾವ.
ಋತ್ವಿಕ್ಕು,ಯಜ್ಞಪುರೋಹಿತ.
ಋತ್ವಿಜ,ಋತ್ವಿಕ್ಕು.
ಋದಂತ,ಋಕಾರಾಂತವಾದ ಶಬ್ದ.
ಋದ್ಧ,ಕೂಡಿ ಹಾಕಿದ ಅಥವಾ ರಾಶಿ ಮಾಡಿದ ಧಾನ್ಯ.
ಋದ್ಧ,ವೃದ್ಧಿ ಹೊಂದಿದ.
ಋದ್ಧಿ,"1. ಅಭಿವೃದ್ಧಿ.
 2. ಕೈಗೂಡುವಿಕೆ.
 3. ಐಶ್ವರ್ಯ."
ಋದ್ಧಿಮಂತ,"1. ಶ್ರೀಮಂತ.
 2. (ಅಣಿಮಾದಿ ಸಿದ್ಧಿಗಳಿಂದ) ಪವಾಡಗಳನ್ನು ನಡೆಸುವ ಸಾಮಥ್ರ್ಯವುಳ್ಳವನು."
ಋಷಭ,"1. ಗೂಳಿ.
 2. (ಸಂಗೀತದ) ಸಪ್ತಸ್ವರಗಳಲ್ಲಿ ಎರಡನೆಯದು."
