page,1
ಏ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹತ್ತನೆಯ ವರ್ಣ.
ಏಕ,"1. ಒಂದು ಸಂಖ್ಯೆ.
 2. ಒಂಟಿ."
ಏಕಗ್ರಾಹಿ,ಒಂದೇ ಪಟ್ಟು ಹಿಡಿದವನು.
ಏಕಜೀವ,"1. ಒಂದೇ ಜೀವ.
 2. ಅನ್ಯೋನ್ಯವಾದುದು."
ಏಕತಾನ,"1. ಏಕಾಗ್ರಚಿತ್ತ.
 2. ಒಂದೇ ಶ್ರುತಿ."
ಏಕತಾನ,ಒಂದೇ ವಸ್ತುವಿನ ಮೇಲೆ ಗಮನವಿಟ್ಟ.
ಏಕತಾರಿ,ಒಂದೇ ತಂತಿಯುಳ್ಳ ಒಂದು ಬಗೆಯ ತಂತ್ರೀವಾದ್ಯ.
ಏಕತಾಳ,ಸಪ್ತತಾಳಗಳಲ್ಲಿ ಒಂದು.
ಏಕತ್ರ,ಒಂದೇ ಜಾಗದಲ್ಲಿ.
ಏಕತ್ವ,"1. ಒಂದೇ ಒಂದಾಗಿರುವಿಕೆ.
 2. ಹೋಲಿಕೆ."
ಏಕದಂತ,ಗಣೇಶ.
ಏಕದಳಧಾನ್ಯ,"ಗೋದಿ, ರಾಗಿ, ಭತ್ತ ಮೊದಲಾದ ಒಂದು ದಳವುಳ್ಳ ಧಾನ್ಯ."
ಏಕದೃಷ್ಟಿ,"1. ಒಂದೇ ನೋಟ.
 2. ಒಕ್ಕಣ್ಣ.
 3. ಕಾಗೆ."
ಏಕಪತ್ನೀವ್ರತ,ಒಬ್ಬಳೇ ಹೆಂಡತಿಯನ್ನು ಹೊಂದಿರುವ ವ್ರತ.
ಏಕಮಾಡು,ಮುಟ್ಟು ಮೈಲಿಗೆ ಒಂದು ಮಾಡು.
ಏಕಮೇವ,ಒಂದೇ ಒಂದಾದ.
ಏಕವಚನ,(ವ್ಯಾಕರಣದಲ್ಲಿ) ಒಂದೇ ವಸ್ತುವನ್ನು ಹೇಳುವುದು.
ಏಕವೇಣಿ,"1. ಒಂದೇ ಜಡೆಯುಳ್ಳವಳು.
 2. (ಪತಿವಿರಹ ಸೂಚಕವಾಗಿ) ಜಡೆಕಟ್ಟಿಕೊಳ್ಳದವಳು."
ಏಕಸೂತ್ರ,ಒಂದೇ ಕಟ್ಟಿಗೆ ಒಳಪಟ್ಟಿರುವಿಕೆ.
ಏಕಸ್ವಾಮ್ಯ,"ಒಬ್ಬನಿಗೇ ಇರುವ ಅನುಭವದ ಹಕ್ಕು,- ಗುತ್ತಿಗೆ."
page,2
ಏಕಾಏಕಿ,ಒಮ್ಮೆಲೇ.
ಏಕಾಕಿ,ಒಬ್ಬಂಟಿಗ.
ಏಕಾಂಗವೀರ,ಏಕಾಂಗಿಯಾಗಿ ಕಾದುವ ವೀರ.
ಏಕಾಂಗಿ,"1. ಒಬ್ಬಂಟಿಗ.
 2. ಏಕಪಕ್ಷೀಯವಾದುದು."
ಏಕಾಗ್ರ,ಏಕಾಗ್ರತೆ.
ಏಕಾಗ್ರ,ಒಂದೇ ಗುರಿಯುಳ್ಳ.
ಏಕಾಗ್ರತೆ,ಒಂದೇ ವಿಷಯದಲ್ಲಿ ಗಮನವನ್ನು ಕೇಂದ್ರೀಕರಿಸುವುದು.
ಏಕಾಣುಜೀವಿ,ಒಂದೇ ಒಂದು ಅಣುವಿನಿಂದ ಕೂಡಿದ ಪ್ರಾಣಿ.
ಏಕಾಂತ,"1. ಗುಟ್ಟಾದ ಸ್ಥಳ.
 2. ಕಿವಿ ಮಾತು.
 3. ಮಂತ್ರಾಲೋಚನೆ."
ಏಕಾಂತ,"1. ಒಂಟಿಯಾದ.
 2. ಗುಟ್ಟಾದ.
 3. ಒಂದೇ ವಸ್ತುವಿನ ಮೇಲೆ ಗಮನಹರಿಸಿದ."
ಏಕಾದಶ,ಹನ್ನೊಂದನೆಯ.
ಏಕಾದಶ,ಒಂದು ಸಂಖ್ಯೆ.
ಏಕಾದಶಿ,ಚಾಂದ್ರಮಾನದ ಹನ್ನೊಂದನೆಯ ತಿಥಿ.
ಏಕಾಮಿಷ,ಅನೇಕರ ಬಯಕೆಗೆ ಪಾತ್ರವಾದ ಒಂದೇ ವಸ್ತು.
ಏಕಾವಳಿ,"1. ಒಂದೆಳೆಯ ಸರ.
 2. (ಕಾವ್ಯಮೀಮಾಂಸೆಯಲ್ಲಿ) ಒಂದು ಅಲಂಕಾರ."
ಏಕಾಹ,"1. ಒಂದು ದಿವಸ ಕಾಲ.
 2. ಸತ್ತವರಿಗೆ ಹನ್ನೊಂದನೆಯ ದಿನ ಮಾಡುವ ಉತ್ತರಕ್ರಿಯೆ."
ಏಕೀಕರಣ,ಒಂದುಗೂಡಿಸುವುದು.
ಏಕೀಭವಿಸು,ಒಂದಾಗು.
ಏಕೀಭೂತ,ಒಂದಾದ.
ಏಂಕು,ಬಿಕ್ಕಳಿಸಿಕೊಂಡು ಅಳು.
page,3
ಏಕೈಕ,ಒಂದೇ ಒಂದಾದ.
ಏಗಡಿಸು,ಓಕರಿಕೆ ಬರು.
ಏಗಳ್,"1. ಯಾವಾಗ.
 2. ಯಾವಾಗಲೂ."
ಏಗು,"1. ಸಾಗಿಸು.
 2. ಏನು ಪ್ರಯೋಜನವಾಗು.
 3. ಬೇಯು.
 4. ಮೇಲುಸುರು ಬಿಡು."
ಏಚುಪೇಚು,ಮುಚ್ಚುಮರೆ.
ಏಟು,ಹೊಡೆತ.
ಏಟುಪಾವುಡೆ,ಒಂದು ರಾಜಚಿಹ್ನೆ.
ಏಡ,"1. ಕಿವುಡ.
 2. ಕಾಡುಕುರಿ."
ಏಡಿ,ನಳ್ಳಿ.
ಏಡಿಕಾಯಿ,ಏಡಿ.
ಏಡಿಸು,ಅವಹೇಳನ ಮಾಡು.
ಏಡಿಹುಣ್ಣು,ದುರ್ಮಾಂಸ ಬೆಳೆದುಕೊಳ್ಳುವ ರೋಗ.
ಏಡು,"1. ಸಮಯ.
 2. ಗುರುತು."
ಏಣ,ಗಂಡುಜಿಂಕೆ.
ಏಣಗೋಣ,ಏಣಗೋಣ.
ಏಣವಾಹನ,ವಾಯು.
ಏಣಾಂಕ,ಚಂದ್ರ.
ಏಣಿ,"1. ನಿಚ್ಚಣಿಕೆ.
 2. ಹೆಣ್ಣು ಜಿಂಕೆ."
ಏಣಿಲು,ಮುಂಗಾರು ಬೆಳೆಗೆ ಸಂಬಂಧಿಸಿದುದು.
ಏಣ್(ಣು),ಅಂಚು.
page,4
