page,1
ಓ,"1. ಪ್ರೀತಿಸು.
 2. ಸಲಹು."
ಓ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹದಿಮೂರನೆಯ ಅಕ್ಷರ.
ಓಕ,"1. ಮನೆ.
 2. ಸಂತೋಷ.
 3. ಮೇರೆ."
ಓಕರ,ವಾಂತಿ.
ಓಕರಿಕೆ,"1. ಓಕರ.
 2. ಜುಗುಪ್ಸೆ."
ಓಂಕಾರ,ಓಂ ಎಂಬ ಮಂತ್ರಾಕ್ಷರ.
ಓಂಕಾರಮೂರ್ತಿ,ಓಂಕಾರ ಸ್ವರೂಪ ನಾದವನು.
ಓಕು,ಕೊರತೆ.
ಓಕುಳಿ,"1. ಉತ್ಸವ ಸಂದರ್ಭಗಳಲ್ಲಿ ಒಬ್ಬರ ಮೇಲೊಬ್ಬರು ಎರಚುವ ಬಣ್ಣದ ನೀರು.
 2. ಆರತಿ ಬೆಳಗಲು ಉಪಯೋಗಿಸುವ ಅರಿಸಿನದ ನೀರು."
ಓಗಟೆ,ಒಗಂಟು.
ಓಗಡಿಸು,"1. ವಾಂತಿ ಮಾಡು.
 2. ಜುಗುಪ್ಸೆ ಹೊಂದು.
 3. ಹಿಂದೆಗೆ.
 4. ತಪ್ಪಿಹೋಗು."
ಓಗರ,"1. ಪಕ್ವವಾದದ್ದು.
 2. ಬೇಯಿಸಿದ ಆಹಾರ.
 3. ಪರಿಮಳ."
ಓಗರಗಂಪು,ಬೆರಕೆಗಂಧ.
ಓಂಗು,ಕೆಲಸವಿಲ್ಲದೆ ಸುತ್ತಾಡು.
ಓಘ,"1. ಪ್ರವಾಹ.
 2. ರಭಸ.
 3. ಸಮೂಹ."
ಓಜ,"1. ಉಪಾಧ್ಯಾಯ.
 2. ಶಿಲ್ಪಿ.
 3. ಮರಗೆಲಸದವನು.
 4. ಅಕ್ಕಸಾಲೆ.
 5. ಕಮ್ಮಾರ.
 6. ಕಾಂತಿ.
 7. ಕಾವ್ಯದ ಹತ್ತು ಶಬ್ದಗುಣಗಳಲ್ಲಿ ಒಂದು."
ಓಜ,ವಿಷಮ ಸಂಖ್ಯೆಯ.
ಓಜಸ್ವಿ,"1. ಶಕ್ತಿ.
 2. ಕಾಂತಿ.
 3. ಪ್ರಕಟರೂಪ.
 4. ಆಧಾರ.
 5. ನೀರು.
 6. ಕಾವ್ಯದ ಹತ್ತು ಶಬ್ದಗುಣಗಳಲ್ಲಿ ಒಂದು."
ಓಜುಗಟ್ಟಿಗೆ,ಉಪಾಧ್ಯಾಯರ ಕೈಯ ಬೆತ್ತ.
ಓಜೆ,"1. ಶ್ರೇಣಿ.
 2. ಕ್ರಮ.
 3. ಅಣಿ.
 4. ವಶ.
 5. ತಾಳ.
 6. ಶಕ್ತಿ."
page,2
ಓಟ,"1. ಓಡುವಿಕೆ.
 2. ನಡೆ."
ಓಟಗುಳಿ,"1. ಓಡುವುದೇ ಸ್ವಭಾವ ವಾಗುಳ್ಳವನು.
 2. ಹೇಡಿ."
ಓಟೆ,"1. ಬಿದಿರಿನ ಜಾತಿಯ ಒಂದು ಮರ.
 2. ಸೀಳು.
 3. ಗೊರಟೆ.
 4. ಚಿಪ್ಪು."
ಓಡ,ದೋಣಿ.
ಓಡಾರಿ,ಕುಂಬಾರ.
ಓಡು,"1. ಮಡಕೆಯ ಚೂರು.
 2. ಮಡಕೆ.
 3. ಹೆಂಚು.
 4. ಮಾಳಿಗೆಯ ಹೆಂಚು.
 5. ತಲೆ ಬುರುಡೆ.
 6. ಅಲ್ಪ.
 7. ದೋಣಿ."
ಓಡು,ಪಲಾಯನ ಮಾಡು.
ಓಡುಕುಳಿ,ಓಟಗುಳಿ.
ಓಡೆ,"1. ಬಾವಿಯ ಒಳಭಾಗದ ಗೋಡೆಯನ್ನು ಕಟ್ಟಲು ಉಪಯೋಗಿಸುವ ಸುಟ್ಟ ಮಣ್ಣಿನ ವರ್ತುಳ,- ಬಿಲ್ಲೆ.
 2. ದವಸ ಧಾನ್ಯಗಳನ್ನು ತುಂಬಿಡಲು ಬಳಸುವ ದೊಡ್ಡ ಮಣ್ಣಿನ ಸಾಧನ.
 3. ದೋಣಿ."
ಓಣಿ,"1. ಸಾಲು.
 2. ಕೇರಿ.
 3. ಹಳ್ಳ."
ಓತ,"1. ಓದುವಿಕೆ.
 2. ಮಗ್ಗದ ಹಾಸು."
ಓತಪ್ರೋತ,"1. ಹಾಸುಹೊಕ್ಕಾದ.
 2. ನಿರಂತರ."
ಓತಿ,ಹಲ್ಲಿಯ ಜಾತಿಗೆ ಸೇರಿದ ಒಂದು ಪ್ರಾಣಿ.
ಓಂತಿ,ಹಲ್ಲಿಯ ಜಾತಿಗೆ ಸೇರಿದ ಒಂದು ಪ್ರಾಣಿ.
