page,1
ಔ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹದಿನಾಲ್ಕನೆಯ ಅಕ್ಷರ.
ಔಂಕು,ಅದುಮು.
ಔಕು,ಔಂಕು.
ಔಘ,"1. ಗುಂಪು.
 2. ಪ್ರವಾಹ."
ಔಚಿತ್ಯ,"1. ಯೋಗ್ಯವಾದುದು.
 2. ಒಂದು ಸಿದ್ಧಾಂತ."
ಔಂಚು,ಔಂಕು.
ಔಚು,"1. ಔಂಕು.
 2. ಮುಚ್ಚಿಡು."
ಔಡಲ,ಹರಳು.
ಔಂಡು,"1. ಜೊತೆ.
 2. ಕೆಳತುಟಿ."
ಔಡು,"ಹಲ್ಲಿನಿಂದ ಕಚ್ಚು,- ಅಗಿ."
ಔಡು,ಕೆಳತುಟಿ.
ಔತಣ(ನ),ವಿಶೇಷ ಭೋಜನ.
ಔತಣಕೂಟ,ಭೋಜನ ಕೂಟ.
ಔತ್ತರೇಯ,ಉತ್ತರ ದಿಕ್ಕಿಗೆ ಸಂಬಂಧಿಸಿದ.
ಔತ್ತಾನಪಾದ,"1. ಧ್ರುವ ನಕ್ಷತ್ರ.
 2. ಉತ್ತಾನಪಾದನ ಮಗ."
ಔತ್ಸುಕ್ಯ,"1. ಕುತೂಹಲ.
 2. ದುಃಖ.
 3. ಬಯಕೆ."
ಔದಾರ್ಯ,ಉದಾರತೆ.
ಔದಾಸೀನ್ಯ,ಉದಾಸೀನ.
ಔದಾಸ್ಯ,ಔದಾಸೀನ್ಯ.
ಔದುಂಬರ,"1. ಉದುಂಬರ ಮರದಿಂದ ಜನಿಸಿದ್ದು.
 2. ಅತ್ತಿಯಮರ.
 3. ಕುಷ್ಠರೋಗದಲ್ಲಿ ಒಂದು ಬಗೆ.
 4. ಒಂದು ವಾದ್ಯ."
page,2
ಔದ್ಧತ್ಯ,ಉದ್ಧಟತನ.
ಔದ್ಯೋಗಿಕ,ಉದ್ಯೋಗಕ್ಕೆ ಸಂಬಂಧಿಸಿದ.
ಔದ್ಯೋಗಿಕಶಿಕ್ಷಣ,ಉದ್ಯೋಗಕ್ಕೆ ಸಂಬಂಧ ಪಟ್ಟ ಶಿಕ್ಷಣ.
ಔನ್ನತ್ಯ,ಉನ್ನತಿಕೆ.
ಔಪಚಾರಿಕ,"1. ಉಪಚಾರಕ್ಕೆ ಸಂಬಂಧಿಸಿದ.
 2. ಗೌಣವಾದ.
 3. ಲಾಕ್ಷಣಿಕವಾದ."
ಔಪಾಸನೆ,ದಂಪತಿಗಳು ಮಾಡುವ ಹೋಮ.
ಔರಸ,ಹೊಟ್ಟೆಯಲ್ಲಿ ಹುಟ್ಟಿದ ಮಗ.
ಔರಸ,ಎದೆಗೆ ಸಂಬಂಧಿಸಿದ.
ಔರಸಸಂಪತ್ತು,ಪರಂಪರೆಯಾಗಿ ಬಂದ ಸಂಪತ್ತು.
ಔರ್ವ,"1. ಒಬ್ಬ ಋಷಿಯ ಹೆಸರು.
 2. ಸಮುದ್ರದ ಬೆಂಕಿ."
ಔರ್ವ,"1. ಊರ್ವನಿಗೆ ಸಂಬಂಧಿಸಿದ.
 2. ತೊಡೆಯ."
ಔಷಧ,"1. ವನಸ್ಪತಿ.
 2. ಮದ್ದು.
 3. ಪರಿಹಾರ."
ಔಷಧಿ,ಮದ್ದು.
page,3
page,4
