page,1
ಕ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಹದಿನೈದನೆಯ ಅಕ್ಷರ.
ಕ¿Â,"1. ಚಿಲಕ, ಅಗುಳಿ, ನೊಗ ಮೊದಲಾದವುಗಳ ರಂಧ್ರದಲ್ಲಿ ಜೋಡಿಸುವ ಮರದ ಗೂಟ.
 2. ಅಂಬಲಿ."
ಕ¿Â,"1. ಸಾಯು.
 2. ದಾಟು.
 3. ಕಳೆದುಹೋಗು.
 4. ನಿವಾರಿಸು.
 5. ಕೈ ಮೀರು.
 6. ಹಣ್ಣಾಗು."
ಕ¿Âಪು,"1. ಕಳುಹಿಸು.
 2. ದಾಟು."
ಕ¿Âಪು,"1. ಕರೆ.
 2. ಕೀಳಾದುದು."
ಕ¿Âಯುಣ್,ಹೆಚ್ಚಾಗಿ ಊಟಮಾಡು.
ಕ¿Âಯೋದು,ಓದಿನಲ್ಲಿ ಪಾರಂಗತನಾಗು.
ಕ¿Âಲೆ,ಕಳಿಲು.
ಕ¿Âವಣ್,"1. ಕಳಿವಣ್.
 2. ಕೊಳೆಯುವ ಸ್ಥಿತಿಗೆ ಬಂದ ಹಣ್ಣು."
ಕ¿Âವದ,"1. ಇಳಿಮೊಗದ ಸ್ಥಿತಿ.
 2. ಕಳಿವದ."
ಕ¿Âವು,"1. ಸಾವು.
 2. ಸೋಲು."
ಕ¿õÀ್ಕನೆ,ಕಳ್ಕನೆ.
ಕ¿õÀ್ಗನೆ,ಕಪ್ಪಗೆ.
ಕ¿õÀ್ಗು,ಕಳ್ಗು.
ಕ¿õÀ್ಗು,ಕಪ್ಪುಬಣ್ಣ.
ಕ¿õÀ್ಚು,ಕಳ್ಚು.
ಕ¿õÀ್ತಲಿಸು,"1. ಕಳ್ತಲಿಸು.
 2. ಕಾಣದಂತೆ ಮಾಡು,- ಕುರುಡಾಗಿಸು."
ಕ¿õÀ್ತಲೆ,ಕಳ್ತಲೆ.
ಕ¿õÀ್ತಲೆವಗೆಯ,"1. ಸೂರ್ಯ.
 2. ಚಂದ್ರ."
ಕ¿õÀ್ತಲೆವಣಿ,ಚಂದ್ರ.
page,2
ಕ¿õÀ್ತು,ಕೊರಳು.
ಕ¿õÀ್ಬಡಿಕ,ಕೂಳ್ಬಡಿಕ.
ಕ¿õÉ,ಬಿದಿರಿನ ಕೊಳವೆ.
ಕ¿õÉ,"1. ಸಾಯು.
 2. ದಾಟು.
 3. ನಿವಾರಿಸು.
 4. ತೆಗೆ."
ಕ¿õÉ್ಗೂಲೆ,ಕಳ್ಗೊಲೆ.
ಕ¿õÉ್ತ,ಕತ್ತೆ.
ಕ¿õÉ್ತಕುಟಿಗ,ಕತ್ತೆ ಕಾಯುವವನು.
ಕ¿ನಿ,ಕಳನಿ.
ಕ¿ಮ,ಕಳಮ.
ಕ¿ಮೆ(ವೆ),ಕಳಮ.
ಕ¿ಲು,ಅಂದುಗೆ.
ಕ¿ಲೆ,ಮುಳ್ಳುಗಳಿಂದ ಕೂಡಿದ ಸಣ್ಣರೆಂಬೆ.
ಕ¿ಲ್,"1. ಸೊರಗು.
 2. ಎದೆಗುಂದು.
 3. ಬೀಳು."
ಕ¿ಲ್,"1. ಕುಗ್ಗಿದ ಸ್ಥಿತಿ.
 2. ಮೊಸರು ಅಥವಾ ಮಜ್ಜಿಗೆ.
 3. ಅಂದುಗೆ."
ಕ¿ಲ್ಚು,"1. ಬೇರ್ಪಡಿಸು.
 2. ತೆಗೆ.
 3. ಪರಿಹರಿಸು.
 4. ಕೀಳು.
 5. ಉದುರಿಸು.
 6. ಸಡಿಲಿಸು."
ಕ¿ಲ್ಚು,ಕಳೆಯುವಿಕೆ.
ಕ(ಖ)ಡ್ಡಣಿಗೆ,"1. ಜಡೆ.
 2. ಹೆಣೆದ ಚಾವಟಿ."
ಕ(ಖ)ಡ್ಡತನ,"1. ಕಾಟ.
 2. ದಡ್ಡತನ.
 3. ಸೊಕ್ಕು."
ಕ¾õÉ,"1. ಕಪ್ಪು.
 2. ಬಣ್ಣದ ಗುರುತು.
 3. ಕಳಂಕ.
 4. ಮಾವಿನ ಕಾಯಿ ರಸ,- ಸೊನೆ.
 5. ವಿಷ."
ಕ¾õÉ,"1. ಹಾಲನ್ನು ಹಿಂಡು.
 2. ಸೂಸು.
 3. ಎರಚು."
page,3
ಕ¾õÉಕಂಠ,ಕತ್ತಿನಲ್ಲಿ ಕಪ್ಪುಕಲೆಯುಳ್ಳವನು.
ಕ¾õÉಗರ್ಚು,ಕಲಂಕವನ್ನು ತೊಳೆ.
ಕ¾õÉಗೊರಲ,ಕ¾õÉಕಂಠ.
ಕ¾õÉದೊವಲ್,ಹದಮಾಡುವುದಕ್ಕಾಗಿ ಕಪ್ಪು ಬಳಿದು ಹಾಕಿದ ಚರ್ಮ.
ಕ¾õÉಬೋನ,ನಿವಾಳಿಸುವುದಕ್ಕಾಗಿ ಮಾಡಿದ ಕರಿಯ ಬಣ್ಣದ ಅನ್ನ.
ಕ¾õÉಮ¾õÉ,"1. ಲೋಪದೋಷ.
 2. ಮುಚ್ಚು ಮರೆ."
ಕ¾õÉವು,ಹಾಲು ಕರೆಯುವ ಹಸು.
ಕ¾úನೆ,ಕಪ್ಪಾಗಿ.
ಕ¾ಕಟ,ಪ್ರಚಂಡವಾಗಿ.
ಕ¾ಂಗು,ಕಪ್ಪಾಗು.
ಕ¾ಲು(ಳು),ಚೌಳುನೆಲ.
ಕ¾ವು,ಸಿಟ್ಟು.
ಕ¾ು,"1. ಹಸು, ಎಮ್ಮೆ ಮೊದಲಾದವುಗಳ ಮರಿ.
 2. ಮಗು."
ಕ¾ು,"1. ಕೋಪಗೊಳ್ಳು.
 2. ಗುರಿಯಿಡು."
ಕ¾ು(ಂ)ಕೆ,ಒಂದು ಬಗೆಯ ಹುಲ್ಲು.
ಕ¾ು(ಂ)ಬು,ಹೊಟ್ಟೆಕಿಚ್ಚು ಪಡು.
ಕ¾ು(ಂ)ಬು,ಹೊಟ್ಟೆಕಿಚ್ಚು.
ಕ¾ುಕುಟಿಗ,ದನಗಾಹಿ.
ಕ¾ುಗಂದಿ,ಎಳೆಯ ಕರುವುಳ್ಳ ಹಸು.
ಕ¾ುಂಬ,ಹೊಟ್ಟೆ ಕಿಚ್ಚಿನವನು.
page,4
ಕ¾ುಬ,"1. ಕರುಂಬ.
 2. ಕಪಟಿ."
ಕ¾ುಹಟ್ಟಿ,ಕರುಗಳನ್ನು ಕಟ್ಟುವ ಸ್ಥಳ.
ಕಂಕ,"1. ರಣಹದ್ದು.
 2. ಇಕ್ಕುಳ.
 3. ವಿರಾಟರಾಜನ ಆಸ್ಥಾನದಲ್ಲಿ ಯುಧಿಷ್ಠಿರನು ಇಟ್ಟುಕೊಂಡಿದ್ದ ಹೆಸರು."
ಕಂಕಣ,"1. ಕಡಗ.
 2. ನೀರಿನ ಕಣ.
 3. ಕಣ್ಣೀರು.
 4. ಮದುವೆಯಲ್ಲಿ ವಧೂವರರ ಮುಂಗೈಗೆ ಕಟ್ಟುವ ರಕ್ಷಾಸೂತ್ರ."
ಕಂಕಣಕ(ಗ)ಟ್ಟು,"1. ಸಂಕಲ್ಪ ಮಾಡು.
 2. ಮದುವೆ ಮೊದಲಾದ ಮಂಗಳಪ್ರಸಂಗ ಗಳಲ್ಲಿ ಮುಂಗೈಗೆ ಕಂಕಣವನ್ನು ಕಟ್ಟು."
ಕಂಕಣತೊಡು,"1. ಕಂಕಣವನ್ನು ಕಟ್ಟಿಕೊಳ್ಳು.
 2. ಸಂಕಲ್ಪಮಾಡು."
ಕಂಕಣಬದ್ಧ,ತನ್ನ ಗುರಿಯನ್ನು ನೆರವೇರಿಸಲು ಪ್ರತಿಜ್ಞಾಬದ್ಧನಾದವನು.
ಕಂಕಣಬದ್ಧ,ಮಂಗಳಕಾರ್ಯಕ್ಕಾಗಿ ಮುಂಗೈಗೆ ಕಂಕಣವನ್ನು ಕಟ್ಟಿಕೊಂಡ.
ಕಂಕಣಬಲ,"1. ಕಂಕಣವನ್ನು ಕಟ್ಟುವ ಯೋಗ.
 2. ಪ್ರಾಪ್ತಿ."
ಕಂಕಣಿಕೆ,"1. ಗೆಜ್ಜೆಗಳಿರುವ ಬಳೆ.
 2. ಸಣ್ಣಗೆಜ್ಜೆ."
ಕಂಕತ,ಬಾಚಣಿಗೆ.
ಕಂಕಪತ್ರ,ಹದ್ದಿನ ಗರಿಗಳನ್ನು ಕಟ್ಟಿದ ಬಾಣ.
ಕಕಮಕ,ಭ್ರಾಂತಿ.
ಕಂಕರ,"1. ಸುಣ್ಣಕಲ್ಲು.
 2. ಬೆಣಚುಕಲ್ಲು."
ಕಕರ,ಒರಟ.
ಕಂಕರಿ,"1. ಒಂದು ಬಗೆಯ ವಾದ್ಯ.
 2. ಚಾಟಿ.
 3. ಸುಳಿಗೂದಲುಳ್ಳವನು."
ಕಂಕರಿಗೋಲು,"(ಅಸ್ಪೃಶ್ಯತೆಯ ಸಂಕೇತವಾಗಿ ಚಂಡಾಲನು ಕೈಯಲ್ಲಿ ಹಿಡಿದುಕೊಳ್ಳುವ) ದೊಣ್ಣೆ,- ಕೋಲು."
ಕಂಕರಿಗೋಲ್,"1. ಬಾರುಕೋಲು.
 2. (ಅಸ್ಪೃಶ್ಯತೆಯ ಸಂಕೇತವಾಗಿ ಚಂಡಾಲನು ಕೈಯಲ್ಲಿ ಹಿಡಿದುಕೊಳ್ಳುವ) ದೊಣ್ಣೆ."
ಕಕವ,ತಿಳಿಗೇಡಿ.
ಕಕವಕ,ಕಕಮಕ.
page,5
ಕಂಕಳ,ಬಳೆ.
ಕಂಕಾಲ,"1. ಅಸ್ಥಿಪಂಜರ.
 2. ಒಬ್ಬ ರಾಕ್ಷಸನ ಹೆಸರು."
ಕಂಕಾಲಿ,"1. ಶಿವ.
 2. ಶಿವನ ಸೇವಕರಲ್ಲಿ ಒಬ್ಬ."
ಕಂಕಾಳ,ಅಸ್ಥಿಪಂಜರ.
ಕಂಕಾಳಾಂಕಪಾಣಿ,ಶಿವ.
ಕಂಕಾಳಿ,"1. ಶಿವನ ಸೇವಕರಲ್ಲಿ ಒಬ್ಬ.
 2. ರುದ್ರಾಣಿಯರಲ್ಲಿ ಒಬ್ಬಳು."
ಕಂಕಾಳಿಕೆ,ಎಲುಬಿನ ಗೂಡು.
ಕಂಕಿ,"1. ಕಾಳು ತೆಗೆದ ತೆನೆ.
 2. ಕಾಳಿನ ಮೇಲಿನ ಊಬು.
 3. ಕಾಯಿ ಉದುರಿಸಿದ ಗೊನೆ.
 4. ರೋಗಿಷ್ಠೆ."
ಕಂಕು,ಕಾಳು ತೆಗೆದ ತೆನೆ.
ಕಂಕು¿ು,ಬಗಲು.
ಕಕುದ,"1. ತುದಿ.
 2. ಗೂಳಿಯ ಡುಬ್ಬ.
 3. ಮುಖಂಡ.
 4. ರಾಜಚಿಹ್ನೆ.
 5. ಕತ್ತಿ.
 6. ಆಕಾಶ."
ಕಕುಭ,"1. ದಿಕ್ಕು.
 2. ಆಕಾಶ.
 3. ಮತ್ತಿಯ ಮರ.
 4. ಶಿಖರ."
ಕಕುಭವಸನ,ಶಿವ.
ಕಕುಲತೆ,ಜಿಪುಣತನ.
ಕಕುಲಾತಿ,"1. ಚಿಂತೆ.
 2. ಪ್ರೀತಿ.
 3. ಕನಿಕರ."
ಕಂಕುಳು,"1. ಬಗಲು.
 2. (ಮರದಲ್ಲಿ) ಕಾಂಡ ಮತ್ತು ರೆಂಬೆಗಳ ಸಂದು."
ಕಂಕುೞು,ಬಗಲು.
ಕಂಕೆ,ಕಂಕು.
ಕಂಕೆಲ್ಲಿ(ಲಿ),ಅಶೋಕವೃಕ್ಷ.
ಕಕ್ಕ,"1. ಡೊಂಕು.
 2. ಚಿಕ್ಕಪ್ಪ.
 3. ಮಕ್ಕಳ ಭಾಷೆಯಲ್ಲಿ ಹೊಲಸುಪದಾರ್ಥ."
page,6
ಕಕ್ಕಡ,"1. ಒಂದು ಬಗೆಯ ಆಯುಧ.
 2. ದೀವಟಿಗೆ.
 3. ದಪ್ಪ ಬತ್ತಿ."
ಕಕ್ಕಡ,ಹಿರಿಯ.
ಕಕ್ಕಡಾರತಿ,ಕಕ್ಕಡವನ್ನು ಹೊತ್ತಿಸಿ ಅದರಿಂದ ಮಾಡುವ ಆರತಿ.
ಕಕ್ಕಡೆ,ಒಂದು ಬಗೆಯ ಆಯುಧ.
ಕಕ್ಕಂಬು,ಒಂದು ಬಗೆಯ ಮುಳ್ಳಿನ ಬಾಣ.
ಕಕ್ಕರ,"1. ಮಾಸಲು ಬಣ್ಣ.
 2. ಒಂದು ಮದ್ಯದ ಹೆಸರು.
 3. ಸಿಹಿ.
 4. ಒಂದು ಜಾತಿಯ ಪಕ್ಷಿ."
ಕಕ್ಕರಿಬಿಕ್ಕರಿ,ಅಂಕುಡೊಂಕುತನ.
ಕಕ್ಕಲಾತಿ,ಚಿಂತೆ.
ಕಕ್ಕಸ,"1. ಕಷ್ಟ.
 2. ಕಠಿಣತೆ.
 3. ಸೊಕ್ಕು.
 4. ಜೋರು."
ಕಕ್ಕಸು(ಸ್ಸು),"1. ಪಾಯಖಾನೆ.
 2. ಮಲ."
ಕಕ್ಕಾಬಿ(ವಿ)ಕ್ಕಿ,ದಿಕ್ಕು ತೋಚದಿರುವುದು.
ಕಕ್ಕಿ,ಚಿಕ್ಕಪ್ಪನ ಹೆಂಡತಿ.
ಕಕ್ಕು,"1. ವಾಂತಿಮಾಡು.
 2. ತೆಗೆದು ಕೊಂಡದ್ದನ್ನು ಮರಳಿಕೊಡು."
ಕಕ್ಕು,"1. ವಾಂತಿ.
 2. ಗರಗಸ ಮುಂತಾದುವುಗಳ ಹಲ್ಲು.
 3. ಸಿಗುರು.
 4. ಒರಟಾಗಿರುವಿಕೆ."
ಕಕ್ಕುದಱೆ,ಒಂದು ಬಗೆಯ ಆಯುಧ.
ಕಕ್ಕುಂದಱೆ,ಒಂದು ಬಗೆಯ ಆಯುಧ.
ಕಕ್ಕುರಿ,ಕ್ರೌರ್ಯ.
ಕಕ್ಕುಲತೆ,ಕಕುಲಾತಿ.
ಕಕ್ಕುಲಿತೆ,"1. ಚಿಂತೆ.
 2. ಪ್ರೀತಿ.
 3. ಬಯಕೆ.
 4. ಸಂಶಯ."
ಕಕ್ಕುಲಿಸು,ಮೋಹಕ್ಕೆ ಒಳಗಾಗು.
page,7
ಕಕ್ಕೆ,ಹಳದಿ ಹೂವು ಬಿಡುವ ಒಂದು ಮರ.
