page,1
ಜ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಇಪ್ಪತ್ತೆರಡನೆಯ ಅಕ್ಷರ.
ಜಕಣಿ,"1. ಯಕ್ಷಿಣಿ.
 2. ಹೆಣ್ಣುಭೂತ."
ಜಂಕಣೆ,"1. ಗದರಿಕೆ.
 2. (ಪಕ್ಷಿಗಳ) ಕೂಗು,- ಕುಕಿಲು.
 3. ಹೀಯಾಳಿಸುವಿಕೆ."
ಜಕಾತಿ,ಸರಕು ಸಾಗಣೆಯ ಮೇಲಿನ ತೆರಿಗೆ.
ಜಕಾತಿಕಟ್ಟೆ,ಸುಂಕದ ಕಟ್ಟೆ.
ಜಂಕಿಸು,"1. ಗದರಿಸು.
 2. ಹೀಯಾಳಿಸು.
 3. ಕಿರಿಚು."
ಜಕೀರ,"1. ಗಾಲಿ.
 2. ಕುಬೇರನ ಪ್ರಜೆ."
ಜಕೀರ,ದಾಸ್ತಾನು.
ಜಂಕು,ಬೆದರು.
ಜಂಕೆ,"1. ಗರ್ಜನೆ.
 2. ಕೂಗು."
ಜಕ್ಕ(ಕ್ಕಿ)ಣಿ,ಜಕಣಿ.
ಜಕ್ಕಂದೊೞ,ಚಕ್ರಾಕಾರವಾಗಿ ಸುತ್ತುವ ಉಯ್ಯಾಲೆ.
ಜಕ್ಕಂದೊೞ(ಳ)ಲಿ,ಕೋಣ.
ಜಕ್ಕಂದೊೞ(ಳ)ಲಿದೇರ,ಕೋಣವನ್ನು ವಾಹನವಾಗುಳ್ಳವನು.
ಜಕ್ಕವಕ್ಕಿ,ಎಣೆವಕ್ಕಿ.
ಜಕ್ಕಿ,ಯಕ್ಷಸ್ತ್ರೀ.
ಜಕ್ಕುಲಿ,"1. ಕಚಗುಳಿ.
 2. ಸಂತೋಷ."
ಜಕ್ಕುಲಿಸು,"1. ಕಚಗುಳಿಯಿಡು.
 2. ಆಕರ್ಷಿಸು.
 3. ಅಪಹಾಸ್ಯಮಾಡು.
 4. ಆವರಿಸು.
 5. ಸೋಲಿಸು.
 6. ಕಿತ್ತುಕೊಳ್ಳು.
 7. ನಾಶಮಾಡು.
 8. ಮುಟ್ಟು."
ಜಖಂ,"1. ಗಾಯ.
 2. ನಷ್ಟ."
ಜಗ,ದೊಡ್ಡದಾದ.
page,2
ಜಗ,ಲೋಕ.
ಜಗಜಗಿಸು,ಹೊಳೆ.
ಜಗಜಟ್ಟಿ,ಹೆಸರಾದ ಮಲ್ಲ.
ಜಗಜಂಪು,"1. ವೈಭವ.
 2. ಕುಚ್ಚುಗಳ ಅಲಂಕಾರ.
 3. ಜೋಗಿತಿಯರು ಧರಿಸುವ ಉದ್ದವಾದ ನಿಲುವಂಗಿ."
ಜಗಜ್ಜಾಹೀರು,ಲೋಕಕ್ಕೆಲ್ಲ ಪ್ರಕಟವಾದುದು.
ಜಂಗಡೆ,ಮಾಂಸ.
