page,1
ಡ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಇಪ್ಪತ್ತೇಳನೆಯ ಅಕ್ಷರ.
 2. ಮೂರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಡಂಕ,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಡಂಕಣ,ಡಂಕ.
ಡಕಾಯಿತ,ಕೊಳ್ಳೆ ಹೊಡೆಯುವವನು.
ಡಕಾಯಿತಿ,ಕೊಳ್ಳೆ.
ಡಂಕು,ಸೇಡು.
ಡಂಕುಹಿಡಿ,ಸೇಡನ್ನು ಹೊಂದಿರು.
ಡಂಕೆ,ಗುದಿಗೆ.
ಡಕ್ಕೆ,ಒಚಿದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಡಂಗ,"1. ಡಂಕೆ.
 2. ರಾಜ್ಯದ ಗಡಿ ಪ್ರದೇಶಗಳಲ್ಲಿಯ ಘಾಟಿಮಾರ್ಗಗಳಲ್ಲಿರುವ ಸುಂಕದ ಕಟ್ಟೆ,- ಕಾವಲುಕಟ್ಟೆ.
 3. ಕೋಟೆ.
 4. ಹಟ."
ಡಗಲೆ,ಸಡಿಲವೂ ಉದ್ದವೂ ಆದ ಅಂಗಿ ಮೊದಲಾದುವು.
ಡಂಗಹಾಕು,"1. ಘಾಟಿಮಾರ್ಗದಲ್ಲಿ ಸುಂಕದ ಕಟ್ಟೆಯನ್ನು ಸ್ಥಾಪಿಸು,- ಕಾವಲು ಕಟ್ಟೆ ಯನ್ನೇರ್ಪಡಿಸು.
 2. ಕಾದು ಕುಳಿತಿರು."
ಡಂಗು(ಗೂ)ರ,"1. ತಮಟೆ, ಡೋಲು ಮೊದಲಾದುವನ್ನು ಬಾರಿಸಿ, ಯಾವುದಾದರೂ ವಿಷಯವನ್ನು ಘೋಷಿಸಿ ಬಹಿರಂಗ ಪಡಿಸುವುದು.
 2. ಡಂಗುರ ಸಾರಲು ಬಾರಿಸುವ ತಮಟೆ ಮೊದಲಾದ ವಾದ್ಯ."
ಡಂಗುರಂಬೊಯ್,"ತಮಟೆ ಮೊದಲಾದು ವನ್ನು ಬಾರಿಸಿ ವಿಷಯವನ್ನು ಬಹಿರಂಗ ಪಡಿಸು,- ಸಾರು."
ಡಂಗುರಹೊಡೆ,ಡಂಗುರಂಬೊಯ್.
ಡಂಗುರಿಸು,"1. ಡಂಗುರಂಬೊಯ್.
 2. ಎಲ್ಲರಿಗೂ ತಿಳಿಯುವಂತೆ ಪ್ರಕಟಿಸು,- ಸ್ಪಷ್ಟಪಡಿಸು."
ಡಂಗೆ,"1. ಹಟ.
 2. ಗುದಿಗೆ."
ಡಗೆ,"1. ಸೆಕೆ.
 2. ಭಯ."
ಡಗೆವೊಯ್,"1. ಸೆಕೆ ತಾಗು,- ಹೆಚ್ಚಾಗು.
 2. ಭಯದಿಂದ ತತ್ತರಿಸು,- ನಡುಗು."
ಡಪ್ಪು,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
page,2
ಡಂಬ(ಭ),"1. ಮೋಸ.
 2. ಸೋಗಿನ ನಡೆನುಡಿ.
 3. ತೋರಿಕೆಯ ವೇಷದ ವ್ಯಕ್ತಿ.
 4. ಗರ್ವ."
ಡಂಬಕ,"1. ಮೋಸಗಾರ.
 2. ಡಂಬ."
ಡಬಡ್ಡಾಳಿಕೆ,ಬೂಟಾಟಿಕೆ.
ಡಂಬರ,"1. ಗುಂಪು.
 2. ಆಡಂಬರ.
 3. ಚೆಲುವು.
 4. ತೋರಿಕೆಯ ನಡೆನುಡಿ."
ಡಬರಿ,ಲೋಹದಿಂದ ಕೂಡಿದ ಬಾಯಿ ಅಗಲವಿರುವ ಪಾತ್ರೆ.
ಡಂಬಾಚಾರ,ತೋರಿಕೆಯ ನಡವಳಿಕೆ.
ಡಂಬಿಗ,ಸೋಗಿನ ವೇಷಧಾರಿ.
ಡಂಬಿಸು,ಮೋಸಗೊಳಿಸು.
ಡಂಬು,"1. ಮೋಸ.
 2. ಸೋಗು."
ಡಬ್ಬ,"ಸಾಮಾನುಗಳನ್ನಿಡಲು ಅನುಕೂಲ ವಾಗುವಂತೆ ಮುಚ್ಚಳವಿರುವ ಲೋಹದ ತಗಡಿನ ಸಣ್ಣ ಅಥವಾ ದೊಡ್ಡ ಸಂಪುಟ,- ಕರಾಡ,– ಡಬ್ಬಿ."
ಡಬ್ಬಿ,"1. ಡಬ್ಬ.
 2. ರೈಲುಬಂಡಿಯ ಬಿಡಿಗಾಡಿ."
ಡಬ್ಬಿಗಡಿಗೆ,"ದೇವಾಲಯಗಳಲ್ಲಿ, ಕಾಣಿಕೆ ಯನ್ನು ಹಾಕಲು (ಇಟ್ಟಿರುವ) ಗಡಿಗೆ."
ಡಬ್ಬು,ನೂಕು.
ಡಬ್ಬು,"1. ಅಡಿಮೇಲು.
 2. ಆಡಂಬರ."
ಡಬ್ಬುಗಳ್ಳಿ,ಒಂದು ಬಗೆಯ ಕಳ್ಳಿಗಿಡ.
ಡಬ್ಬುಹಾಕು,ಮಗುಚಿಡು.
ಡಂಭಕ,ಬೂಟಾ ಟಿಕೆಯ.
ಡಂಭಕ,ಡಂಬಕ.
ಡಂಭತನ,"1. ಮೋಸ.
 2. ಬೂಟಾಟಿಕೆ.
 3. ಗರ್ವ."
ಡಮಣಿ,ಒಂದು ಬಗೆಯ ಸಣ್ಣ ಎತ್ತಿನ ಗಾಡಿ.
page,3
ಡಮರು,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಡಮರುಕ,ಡಮರು.
ಡಮಾನ,"ಕುದುರೆ, ಒಂಟೆ ಮೊದಲಾದುವುಗಳ ಎರಡು ಪಕ್ಕಗಳಲ್ಲಿಯೂ ಬರುವಂತೆ ಅಳವಡಿಸುವ ಜೋಡುನಗಾರಿ."
ಡಮಾಮಿ,ಒಂದು ಬಗೆಯ ರಣವಾದ್ಯ.
ಡವಕೆ,"1. ಉಗುಳುವ ಪಾತ್ರೆ.
 2. ಒಂದು ಬಗೆಯ ವಾದ್ಯ."
ಡವಣೆ,ಒಂದು ಬಗೆಯ ದೊಡ್ಡ ಚರ್ಮ ವಾದ್ಯ.
ಡವರ,"1. ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
 2. ಆವರಿಸುವಿಕೆ."
ಡವರಿಸು,ಆವರಿಸು.
ಡವರುಗ,ಡಮರು.
ಡವಳ,ಮಂಗಳದ ಹಾಡು.
ಡವಾಲಿ,ಪೇದೆ ಅಥವಾ ಸೇವಕರು ಎದೆಯ ಮೇಲೆ ಅಡ್ಡಲಾಗಿ ಧರಿಸುವ ಬಿಲ್ಲೆಯನ್ನುಳ್ಳ ಪಟ್ಟಿ.
ಡವಿಗೆ,"1. ಟೊಳ್ಳಾದ ದಪ್ಪ ಬಿದಿರು.
 2. ತಲೆಯ ಚಿಪ್ಪು."
ಡವುಡೆ,ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
ಡಾಕಿಣಿ,"1. ಒಂದು ಬಗೆಯ ಹೆಣ್ಣು ಪಿಶಾಚಿ.
 2. ರಾಕ್ಷಸಿಯ ಕತ್ತಿ."
ಡಾಕಿನಿ,"1. ಡಾಕಿಣಿ.
 2. ಕಾಳಿಕಾ ದೇವಿಯ ಪರಿಚಾರಿಕೆಯರ ಒಂದು ವರ್ಗಕ್ಕೆ ಸೇರಿದವಳು.
 3. ಕಠೋರಹೃದಯದವಳು."
ಡಾಕು,"1. ಮುತ್ತಿಗೆ.
 2. ಪ್ರಭೆ.
 3. ಬಲ.
 4. ವೇಗ.
 5. ಲೂಟಿ.
 6. ಗುರುತು.
 7. ದೇವಿಹಾಕುವಿಕೆ."
ಡಾಕ್ಟರು,"1. ವೈದ್ಯ.
 2. ವಿಶ್ವ ವಿದ್ಯಾನಿಲಯಗಳು ಕೊಡುವ ಗೌರವ ಪ್ರಶಸ್ತಿ ಪಡೆದವನು."
ಡಾಗು,"1. ಕಾಯ್ದ ಕಬ್ಬಿಣದ ಗುಳದಿಂದ ಹಾಕಿದ ಗುರುತು,- ಮುದ್ರೆ.
 2. ಮೈಲಿ ರೋಗ.
 3. ಭಾಂಗಿ.
 4. ಪಾಲು.
 5. ಕಪ್ಪುಕಲೆ,- ಗುರುತು."
ಡಾಣಿ,"1. ದಪ್ಪಕೋಲು.
 2. ಕಡಲೆಹಿಟ್ಟಿನಿಂದ ಮಾಡುವ ಒಂದು ಬಗೆಯ ತಿನಿಸು."
ಡಾಣಿಗ,ದಪ್ಪನೆಯ ಮನುಷ್ಯ.
page,4
ಡಾಣೆ,"1. ಕಡಲೆಹಿಟ್ಟಿನಿಂದ ಮಾಡುವ ಒಂದು ಬಗೆಯ ತಿನಿಸು.
 2. ಒಂದು ಬಗೆಯ ಆಯುಧ.
 3. ದಪ್ಪಕೋಲು."
ಡಾಂಬರ(ರು),ಕಪ್ಪುಬಣ್ಣದ ಅಂಟುದ್ರವ.
