page,1
ಥ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತೊಂದನೆಯ ಅಕ್ಷರ.
 2. ಏಳು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಥಕ್ಕು,ಆಶ್ಚರ್ಯ.
ಥಟ್ಟನೆ,ಕೂಡಲೆ.
ಥಟ್ಟು,"1. ಪಕ್ಕ.
 2. ಗುಂಪು.
 3. ಸೈನ್ಯ."
ಥಟ್ಟುಗಿ,ಗುಂಪಾಗಿ ಬೀಳುವಂತೆ ಮಾಡು.
ಥಟ್ಟುಚ್ಚು,ಸೀಳಿಕೊಂಡು ಹೊರಬರು.
ಥರ,"1. ಒಂದು ಅನುಕರಣ ಶಬ್ದ.
 2. ಸರಿಯಾದುದು.
 3. ಯೋಗ್ಯತೆ.
 4. ಪದರ.
 5. ರೀತಿ."
ಥಳಕು,"1. ಹೊಳಪು.
 2. ಒಂದು ಬಗೆಯ ಕಿವಿಯ ಆಭರಣ."
ಥಳಥಳಿಸು,ಪ್ರಕಾಶಿಸು.
ಥಳಿಸು,"1. ಕುಟ್ಟು.
 2. ಹೊಡೆ.
 3. ಮಸೆ."
ಥಾಟು,ಡೌಲು.
ಥಾನು,(ನಲವತ್ತು ಗಜಗಳ) ಬಟ್ಟೆಯ ಕಟ್ಟು.
ಥಾಲಿ,"ಲೋಹದ ಗುಂಡನೆಯ ಸಣ್ಣ ಪಾತ್ರೆ, ತಟ್ಟೆ ಮೊದಲಾದುವು."
ಥಾಲೀಪಿಟ್ಟು,ಒಂದು ಬಗೆಯ ರೊಟ್ಟಿ.
ಥೇಟ್,ತದ್ರೂಪವಾದ.
ಥೈಲಿ,ಹಣ ಮೊದಲಾದುವನ್ನು ಹಾಕುವ ಚೀಲ.
page,2
page,3
