page,1
ದ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತೆರಡನೆಯ ಅಕ್ಷರ.
 2. ಎಂಟು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ದಕ್ಕಡ,"1. ಸಮರ್ಥ.
 2. ಧೈರ್ಯ."
ದಕ್ಕಿಸು,"1. ತನ್ನ ಸ್ವಾಧೀನಕ್ಕೆ ಬರುವಂತೆ ಮಾಡಿಕೊಳ್ಳು.
 2. ಅರಗಿಸಿಕೊಳ್ಳು."
ದಕ್ಕು,"1. ದೊರಕು.
 2. ಜೀರ್ಣವಾಗು.
 3. ಸ್ವಾಧೀನಕ್ಕೆ ಬರು.
 4. ಸರಿಯಾಗು.
 5. ಗರ್ವಿಸು."
ದಕ್ಕು,"1. ಸ್ವಾಧೀನ.
 2. ಚೂಪಾದ ಮರದ ಕೋಲು.
 3. ಶೂಲ.
 4. ಮುಳ್ಳು."
ದಕ್ಕುಕೊಡು,ಸ್ವಾಧೀನಮಾಡು.
ದಕ್ಕುಂದಲೆ,"1. ಉನ್ಮತ್ತತೆ.
 2. ಶೂಲಕ್ಕೆ ಹಾಕಿದ ತಲೆ."
ದಕ್ಕೆ,"1. ಒಂದು ಬಗೆಯ ಚರ್ಮವಾದ್ಯ.
 2. ವಿಪತ್ತು."
ದಕ್ಷ,"1. ಚತುರ.
 2. ದಕ್ಷಬ್ರಹ್ಮ.
 3. ತಪಸ್ವಿ.
 4. ಹುಂಜ.
 5. ಸಾಮಥ್ರ್ಯ.
 6. ವೇಗ.
 7. ಕೊಲೆ.
 8. ಬಲಗಡೆ."
ದಕ್ಷತೆ,"1. ಸಾಮಥ್ರ್ಯ.
 2. ಚಾತುರ್ಯ.
 3. ಕಾರ್ಯಪಟುತ್ವ."
ದಕ್ಷಬ್ರಹ್ಮ,ಬ್ರಹ್ಮನ ಮಗನಾದ ದಕ್ಷ.
