page,1
ನ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತ ನಾಲ್ಕನೆಯ ಅಕ್ಷರ.
 2. ಶೂನ್ಯದ ಸಂಕೇತ.
 3. (ಛಂದಸ್ಸಿನ) ಅಕ್ಷರಗಣಗಳಲ್ಲಿ ಒಂದು."
ನಕಲಿ,ಅನುಕರಣೆಯಿಂದ ಕೂಡಿರುವುದು ಹಾಸ್ಯಗಾರ.
ನಕಲಿ,ನೈಜವಲ್ಲದ.
ನಕಲಿಶ್ಯಾಮ,ಹಾಸ್ಯಗಾರ.
ನಕಲು,"1. (ಬರವಣಿಗೆ, ಚಿತ್ರ ಮೊದಲಾದುವುಗಳ) ಮೂಲದ ಪ್ರತಿಕೃತಿ.
 2. ಅನುಕರಿಸಿದುದು."
ನಕಲು,ನೈಜವಲ್ಲದ.
ನಕಲುತೆಗೆ,ಮೂಲದಂತೆ ಪ್ರತಿಯನ್ನು ತಯಾರಿಸು.
ನಕಾರ,ನಿರಾಕರಣವನ್ನು ಸೂಚಿಸುವುದು.
ನಕಾರಾತ್ಮಕ,ನಿರಾಕೃತವಾದ.
ನಕಾಶೆ,"1. (ಭೂಮಿಯ) ಅಳತೆ, ಪ್ರಮಾಣ ಗಳನ್ನು ಗುರುತಿಸಿದ ರೇಖಾಚಿತ್ರ.
 2. ಕೆತ್ತನೆ ಕೆಲಸ."
ನಕಾಸೆ,"1. ಕಟ್ಟಡದ ಸ್ಥಾನ, ಅಳತೆ, ಆಕಾರ ಮೊದಲಾದುವನ್ನು ಸೂಚಿಸುವ ರೇಖಾಚಿತ್ರ.
 2. ಕೆತ್ತನೆಕೆಲಸ."
ನಕುಲ,"1. ಮುಂಗುಲಿ ಪಂಚಪಾಂಡವರಲ್ಲಿ ನಾಲ್ಕನೆಯವನು.
 2. ಒಂದು ಬಗೆಯ ಮೀನು."
ನಕ್ಕಿ,"1. ಬಟ್ಟೆ, ಕಸೂತಿ, ಹಾರ ಮೊದಲಾದುವುಗಳಿಗೆ ಸೇರಿಸುವ, ಹೊಳೆಯುವ ಬಣ್ಣಬಣ್ಣದಬಿಲ್ಲೆ.
 2. ಥಳಥಳಿಸಿ ಹೊಳೆಯುವ ಒಂದು ಬಗೆಯ ಪುಡಿ ಖಂಡಿತ ತಂತೀವಾದ್ಯಗಳನ್ನು ಮೀಟುವಾಗ ಬೆರಳಿನ ತುದಿಗೆ ಹಾಕಿಕೊಳ್ಳುವ, ಉಂಗುರದಂತಹ ಸಾಧನ."
ನಕ್ಕು,ನಾಲಗೆಯಿಂದ ಸವರು.
ನಕ್ಕೆ,ನರಿ.
ನಕ್ತ,ರಾತ್ರಿ.
ನಕ್ತಂಚರ,"1. ರಾತ್ರಿಯಲ್ಲಿ ಸಂಚರಿಸುವಂಥದು.
 2. ಕಳ್ಳ.
 3. ಗೂಬೆ.
 4. ಬೆಕ್ಕು.
 5. ಭೂತ.
 6. ರಾಕ್ಷಸ."
ನಕ್ತಂಚರಿ,ರಾತ್ರಿಯಲ್ಲಿ ಸಂಚರಿಸುವವಳು.
ನಕ್ರ,"1. ಮೊಸಳೆ.
 2. ಮೀನು."
ನಕ್ರಕೇತನ,"1. ಮೀನಿನ ಗುರುತುಳ್ಳ ಧ್ವಜ.
 2. ಮೀನಿನ ಗುರುತನ್ನು ಧ್ವಜದಲ್ಲಿ ಉಳ್ಳವನು."
page,2
ನಕ್ಷತ್ರ,"1. ತಾರೆ.
 2. ಅಶ್ವಿನಿ ಮೊದಲಾದ ಇಪ್ಪತ್ತೇಳು ತಾರೆಗಳು."
ನಕ್ಷತ್ರಕ,"1. ಹರಿಶ್ಚಂದ್ರನನ್ನು ಪೀಡಿಸಲು ನಿಯಮಿತನಾದ ವಿಶ್ವಾಮಿತ್ರನ ಒಬ್ಬ ಶಿಷ್ಯ.
 2. ಅತಿಯಾಗಿ ಉಪದ್ರವ ಕೊಡುವ ವ್ಯಕ್ತಿ."
ನಕ್ಷೆ,"1. ಭೂಪಟ.
 2. ಕಟ್ಟಡದ ಸ್ಥಾನ, ಅಳತೆ, ಆಕಾರ ಮೊದಲಾದುವನ್ನು ಸೂಚಿಸುವ ರೇಖಾಚಿತ್ರ.
 3. ನೀಲಿನಕಾಶೆ.
 4. ಆಕೃತಿ."
ನಖ,"1. ಉಗುರು.
 2. ಪ್ರಾಣಿಗಳ ಮೊನೆಯುಗುರು.
 3. ಗೊರಸು.
 4. ಒಂದು ಬಗೆಯ ಗಂಧದ್ರವ್ಯ.
 5. ಇಪ್ಪತ್ತು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ನಖಕ್ಷತ,"ಉಗುರಿನಿಂದಾದ ಗೀರು,- ಗುರುತು."
ನಖರ,"1. ವ್ಯಾಪಾರಿಗಳ ಒಂದು ಪಂಗಡ.
 2. ಉಗುರು.
 3. ಸಿಂಹ, ಹುಲಿ ಮೊದಲಾದ ಪ್ರಾಣಿಗಳ ಮೊನಚಾದ ಉಗುರು,- ಪಂಜ."
ನಖರಾಯುಧ,ಉಗುರುಗಳನ್ನೇ ಆಯುಧವಾಗಿ ಉಳ್ಳುದು.
ನಖಶಿಖಾಂತ,ಕಾಲುಗುರಿನಿಂದ ತಲೆಯ ಮುಡಿಯವರೆಗೆ.
ನಖಹತಿ,"1. ನಖಕ್ಷತ.
 2. ಪಂಜದ ಹೊಡೆತ."
ನಗ,"1. ಆಭರಣ.
 2. ಸರಕುಗಳ ಕಟ್ಟು,- ಹೊರೆ.
 3. ಹಡಗು.
 4. ಬೆಟ್ಟ.
 5. ಮರ.
 6. ಏಳು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ನಗಜೆ,ಪರ್ವತರಾಜನ ಮಗಳು.
ನಗದು,ಕೈಯಲ್ಲಿರುವ ಹಣ.
ನಗದುವ್ಯಾಪಾರ,ಕೈಮೇಲೆ ಹಣ ಕೊಟ್ಟು ನಡೆಸುವ ವ್ಯಾಪಾರ.
ನಗರ,"1. ಮುಖ್ಯಪಟ್ಟಣ.
 2. ವ್ಯಾಪಾರಿಗಳ ಸಂಸ್ಥೆ.
 3. ವರ್ತಕಸಂಘದ ಸದಸ್ಯ."
ನಗರಪಾಲಕ,ಪಟ್ಟಣವನ್ನು ಪಾಲಿಸುವವನು.
ನಗರಪಾಲಿಕೆ,ಸ್ಥಳೀಯ ಆಡಳಿತಾಧಿಕಾರವುಳ್ಳ ಪುರಸಭೆ.
ನಗರಸಭೆ,ನಗರಪಾಲಿಕೆ.
ನಗರಿ,ಪಟ್ಟಣ.
ನಗರೆ,"1. ಒಂದು ಬಗೆಯ ಸುವಾಸನೆಯ ಬೇರು.
 2. ಔಷಧಕ್ಕಾಗಿಬಳಕೆಯಾಗುವ ಒಂದು ಬಗೆಯ ಹಣ್ಣಿನ ಬೀಜ ಮತ್ತು ಅದರ ಮರ.
 3. ವ್ಯಾಪಾರಿಗಳ ಸಂಘ."
ನಗರ್ತ,ವೈಶ್ಯಪಂಗಡದವನು.
page,3
ನಗಾಧೀಶ್ವರ,ಪರ್ವತಗಳಿಗೆ ಒಡೆಯನಾದವನು.
ನಗಾರಿ,"1. ಪರ್ವತಗಳ ಶತ್ರುವಾದವನು.
 2. ಒಂದು ಬಗೆಯ ದೊಡ್ಡ ಚರ್ಮ ವಾದ್ಯ."
ನಗಿಸು,"1. ನಗುವಂತೆ ಮಾಡು.
 2. ಪರಿಹಾಸ ಮಾಡಿಸು."
ನಗು,"1. ಸಂತೋಷ, ಹಾಸ್ಯ, ಅಪಹಾಸ್ಯ ಮೊದಲಾದುವನ್ನು(ಸಶಬ್ದವಾಗಿ)ಮುಖ ವಿಕಾರದಿಂದ ವ್ಯಕ್ತಪಡಿಸು.
 2. ತಿರಸ್ಕಾರವನ್ನು ಸೂಚಿಸು.
 3. (ಹೂವು) ತೆರೆದುಕೊಳ್ಳು."
ನಗು,"1. ನಗುವಿಕೆ.
 2. (ಹೂವು ಮೊದಲಾದುವು) ಅರಳುವಿಕೆ."
ನಗೆ,"1. ನಗುವಿಕೆ.
 2. ಅಪಹಾಸ್ಯ.
 3. (ಹೂವು) ಅರಳುವಿಕೆ.
 4. ಸಂತೋಷ.
 5. ಹಾಸ್ಯ."
ನಗೆಗಾ¾,"1. ನಗಿಸುವವನು.
 2. ವಿದೂಷಕ."
