page,1
ಪ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತೈದನೆಯ ಅಕ್ಷರ.
 2. ಶಾಸನಗಳಲ್ಲಿ ಬರುವ `ಪಣ’ ಎಂಬುದರ ಸಂಕ್ಷಿಪ್ತ ರೂಪ.
 3. ಒಂದು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ.
 4. ಸಪ್ತಸ್ವರಗಳಲ್ಲಿ ಒಂದು."
ಪಂಕ,"1. ಕೆಸರು.
 2. ವಿಲೇಪನ ದ್ರವ್ಯ.
 3. ಕೊಳೆ.
 4. ಪಾಪ.
 5. ಕ್ಲೇಶ.
 6. ಬೀಸಣಿಗೆ."
ಪಂಕಜ,ಕೆಸರಿನಲ್ಲಿ ಹುಟ್ಟಿದುದು.
ಪಂಕಜವಿಷ್ಟರ,"1. ತಾವರೆಯ ಪೀಠ.
 2. ಕಮಲವನ್ನು ಪೀಠವನ್ನಾಗಿ ಉಳ್ಳವನು."
ಪಂಕಜಾಕರ,ತಾವರೆಗಳಿಗೆ ಆಶ್ರಯ ಸ್ಥಾನವಾದುದು.
ಪಂಕಜಾಕ್ಷ,ಕಮಲದಂತೆ ಕಣ್ಣುಳ್ಳವನು.
ಪಂಕರುಹ,ಪಂಕಜ.
ಪಕಳೆ,"ಹೂವಿನ ದಳ,- ಎಸಳು,- ರೇಕು."
ಪಕಾಲಿ,"ಎತ್ತು, ಕುದುರೆ ಮೊದಲಾದ ಪ್ರಾಣಿಗಳ ಮೇಲೆ ನೀರು ಮೊದಲಾದ ದ್ರವಪದಾರ್ಥಗಳನ್ನು ಸಾಗಿಸಲು ಉಪಯೋಗಿಸುವ ಚರ್ಮದ ಚೀಲ."
ಪಕಾಸಿ(ಸು),ದೂಲ.
ಪಂಕಿಲ,ಕೆಸರಿನಿಂದ ಕೂಡಿರುವ.
ಪಂಕಿಲ,"1. ಕೆಸರುಳ್ಳುದು.
 2. ಕೆಸರು."
ಪಂಕಿಳ,"1. ಕೆಸರುಳ್ಳುದು.
 2. ದೋಷಯುಕ್ತನಾದವನು."
ಪಕೀರ,"1. ಬಡವ.
 2. (ಮಹಮ್ಮದೀಯರಲ್ಲಿ) ಸಂಸಾರವನ್ನು ತೊರೆದವನು."
ಪಕೋಡ,"ಕಡಲೆಹಿಟ್ಟಿಗೆ, ಈರುಳ್ಳಿ ಮುಂತಾದುವನ್ನು ಸೇರಿಸಿ ಮಾಡುವ ಒಂದು ಬಗೆಯ ಕರಿದ ತಿಂಡಿ."
ಪಕ್ಕ,"1. ಬದಿ.
 2. ಹತ್ತಿರ.
 3. ಗರಿ.
 4. ಕಡೆ.
 5. ಚಾಂದ್ರಮಾನ ತಿಂಗಳಿನ ಮೊದಲ ಅಥವಾ ಕಡೆಯ ಹದಿನೈದು ದಿವಸ."
