page,1
ಬ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತೇಳನೆಯ ಅಕ್ಷರ.
 2. ಮೂರು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಬ¾,"1. ಕ್ಷಾಮ.
 2. ಒಣಗಿರುವುದು.
 3. ತಾಪ ಹೆಚ್ಚಾದುದು.
 4. ಅತ್ಯಾಸೆ."
ಬಂಕ,"1. ಮನೆಯ ಮುಂದಿರುವ ಜಗುಲಿ.
 2. ಸಿಪ್ಪೆ.
 3. ಬದಿ."
ಬಕ,"1. ಕೊಕ್ಕರೆ ಜಾತಿಗೆ ಸೇರಿದ ಒಂದು ಜಲಚರ ಪಕ್ಷಿ.
 2. ಕಪಟಿ.
 3. ಭೀಮಸೇನನಿಂದ ಹತನಾದ ಒಬ್ಬ ರಾಕ್ಷಸ.
 4. ಕೃಷ್ಣನಿಂದ ಹತನಾದ ಒಬ್ಬ ರಾಕ್ಷಸ."
ಬಕಧ್ಯಾನ,ಬಕಪಕ್ಷಿಯು ತನ್ನ ಆಹಾರದ ಬೇಟೆಗಾಗಿ ನಿಶ್ಚಲವಾಗಿರುವಂತೆ ಮಾಡುವ ಧ್ಯಾನ.
ಬಕರ(ರಾ),"1. ಗಂಡಾಡು.
 2. ಏನೂ ತಿಳಿಯದವನು."
ಬಕವಿಡಂಬನ,ಸೋಗು.
ಬಕವೃತ್ತಿ,ಮೋಸಗಾರಿಕೆ.
ಬಕಾಳಭಾತು,ಮೊಸರನ್ನ.
ಬಂಕು,ಬಾಗು.
ಬಂಕು,"1. ಡೊಂಕು.
 2. ಒಂದು ಬಗೆಯ ಆಯುಧ."
ಬಂಕುಡಿ,"1. ಸೊಟ್ಟಾದುದು.
 2. ಬಾಗಿದ ಅಲಗುಳ್ಳ ಕತ್ತಿ."
ಬಕುತಿ,ಭಕ್ತಿ.
ಬಕುಳ,ಒಂದು ಬಗೆಯ ಮರ ಮತ್ತು ಅದರ ಹೂವು.
ಬಂಕೆ,"1. ಅಂಟು.
 2. ಕೊಕ್ಕೆ."
ಬಕೋಟ,ಒಂದು ಬಗೆಯ ಕೊಕ್ಕರೆ.
ಬಕ್ಕ,ಬರಿದಾದ.
ಬಕ್ಕ,"1. ಬೋಳು ತಲೆಯವನು.
 2. ಬರಿದು."
ಬಕ್ಕಟ,ನಿರರ್ಥಕವಾದುದು.
ಬಕ್ಕಣ,"1. ಕುದುರೆಯ ಬಾಯಿಗೆ ಕಟ್ಟುವ ಚೀಲ.
 2. ಜೇಬು.
 3. ಆಹಾರ."
page,2
ಬಕ್ಕತ(ದ)ಲೆ,"1. ಕೂದಲು ಉದುರಿ ಬೋಳಾದ ತಲೆ.
 2. ಟೋಪಿ, ಪೇಟಮೊದಲಾದುವನ್ನು ಧರಿಸದಿರುವ ತಲೆ."
ಬಕ್ಕನೆತ್ತಿ,ಬಕ್ಕತಲೆ.
ಬಕ್ಕಂಬಯಲ್,"1. ತೆರಪಾದ ಜಾಗ.
 2. ಬರಿದು."
ಬಕ್ಕಬೋರಲು,ತಲೆಕೆಳಗು.
ಬಕ್ಕರಿ,ಜೋಳದ ರೊಟ್ಟಿ.
ಬಕ್ಕರೆ,"1. ಮಡಕೆಯ ಚೂರು.
 2. ಮುಚ್ಚಳ."
ಬಕ್ಕುಡಿ,"1. ಆಶ್ಚರ್ಯ.
 2. ಅಂಜಿಕೆ.
 3. ದೈನ್ಯ.
 4. ಕಾತರ.
 5. ಚರ್ಚೆ.
 6. ಒಂದು ಬಗೆಯ ಸಸ್ಯ."
ಬಕ್ಕುಡಿಗುಟ್ಟು,ಚರ್ಚಿಸು.
ಬಕ್ಕುಡೆಯ,ವಿತಂಡವಾದ ಮಾಡುವವನು.
ಬಕ್ಕೆ,"1. ಸಿಹಿಯಾದುದು.
 2. ಒಂದು ಬಗೆಯ ಹಲಸು."
ಬಕ್ಕೆವ(ಹ)ಲಸು,ಒಂದು ಬಗೆಯ ಹಲಸಿನ ಮರ ಮತ್ತು ಅದರ ಹಣ್ಣು.
ಬಕ್ಷಿ,ಅರಮನೆಯ ಮುಖ್ಯಾಧಿಕಾರಿ.
ಬಕ್ಷೀಸು,(ಮೆಚ್ಚುಗೆಯಿಂದ ಕೊಡುವ) ಬಹುಮಾನ.
ಬಖೈರು,"ದೇಶಭಾಷೆಗಳಲ್ಲಿ ಗದ್ಯರೂಪವಾಗಿ ಬರೆದ ಐತಿಹಾಸಿಕ ವಿವರಗಳನ್ನೊಳಗೊಂಡ ಗ್ರಂಥ,- ಪುಸ್ತಕ."
ಬಂಗ,"1. ಕಷ್ಟ.
 2. ಅವಮಾನ.
 3. ಭಿನ್ನವಾದುದು.
 4. ವೃತ್ತಿ."
ಬಗಟು,"1. ಕಾಲುಗಳನ್ನು ಅಗಲಿಸು.
 2. ಪಾಲುಮಾಡು."
ಬಂಗಡೆ,ಒಂದು ಬಗೆಯ ಕಡಲ ಮೀನು.
ಬಗದ(ದಾ)ಳ,ಭಗಂದರ ಹುಣ್ಣು.
ಬಗನಿ,ತಾಳೆಜಾತಿಗೆ ಸೇರಿದ ಒಂದು ಬಗೆಯ ಮರ.
ಬಂಗರ,"1. ಚಿನ್ನ.
 2. ಒಂದು ಬಗೆಯ ಆಟದ ವಸ್ತು."
page,3
ಬಗರಗೆ,"1. ಒಣಗಿದ ನದಿದಂಡೆ(ಯಲ್ಲಿ) ನೀರಿಗಾಗಿ ತಾತ್ಕಾಲಿಕವಾಗಿ ತೋಡಿದ ಕುಳಿ,- ಗುಣಿ.
 2. ಹೆಂಚಿನ ಚೂರು."
ಬಗರು,(ಉಗುರಿನಿಂದ) ಕೆರೆ.
ಬಗಲು,"1. ಕಂಕುಳು.
 2. ಪಕ್ಕ.
 3. ಪಂಗಡ."
ಬಂಗಲೆ,ದೊಡ್ಡಮನೆ.
ಬಗಸಿಗೆ,ಅಂಜಲಿ.
ಬಗಸೆ,"1. ಬಗಸಿಗೆ.
 2. ಒಂದು ಬೊಗಸೆಯಲ್ಲಿ ತುಂಬುವಷ್ಟು."
ಬಂಗಾರ,"1. ಚಿನ್ನ.
 2. ಒಡವೆ."
ಬಂಗಾಲಿ,"1. ಬಂಗಾಳ ದೇಶಕ್ಕೆ ಸೇರಿದವನು.
 2. ಬಂಗಾಳ ದೇಶದ ಭಾಷೆ.
 3. ಮೋಸಗಾರಿಕೆ."
ಬಂಗಾಳಿ,"1. ಬಂಗಾಲಿ.
 2. ಒಂದು ಬಗೆಯ ಮರ."
ಬಂಗಿ,"1. ಸೇವಿಸಿದರೆ ಅಮಲೇರಿಸುವ ಒಂದು ವನಸ್ಪತಿ.
 2. ಗಾಂಜಾದಿಂದ ತಯಾರಿಸುವ ಮಾದಕವಸ್ತು.
 3. ಗಾಂಜಾಸೊಪ್ಪಿನ ಪಾನೀಯ.
 4. ಗಾಂಜಾ ಸೇವಿಸುವ ವ್ಯಕ್ತಿ."
ಬಗಿ,"1. ಸೀಳುವಿಕೆ.
 2. ಹೋಳು.
 3. ಸೀಳು.
 4. ಕುದುರೆಯ ಗಾಡಿ."
ಬಗಿ,"1. ಸೀಳು.
 2. ಕೆದಕು.
 3. ಎರಡು ಭಾಗಗಳಾಗುವಂತೆ ತಳ್ಳಿ ಜಾಗಮಾಡಿಕೊಳ್ಳು.
 4. ಅಗೆ.
 5. ಬೇರೆಮಾಡು."
ಬಂಗು,"1. ಚರ್ಮದ ಮೇಲೆ ಕಪ್ಪು ಚುಕ್ಕೆ ಗಳುಂಟಾಗುವ ಒಂದು ಬಗೆಯ ಚರ್ಮ ರೋಗ.
 2. ಬೂಷ್ಟು."
ಬಗುಳಿಸು,ನಾಯಿಯು ಬಗುಳುವಂತೆ ಮಾಡು.
ಬಗುಳು,"1. (ನಾಯಿಗಳು) ಕೂಗು.
 2. ಗಳಹು."
ಬಗುಳು,"1. (ನಾಯಿ, ನರಿ ಮುಂತಾದ ಪ್ರಾಣಿಗಳು) ಕೂಗುವಿಕೆ,- ಅರಚುವಿಕೆ.
 2. ಗಳಹುವಿಕೆ."
ಬಗುಳುಸನ್ನಿ,"ಜ್ವರದ ತಾಪವು ಹೆಚ್ಚಾಗಿ, ಅಸಂಬದ್ಧವಾಗಿ ಮಾತನಾಡುವಂತಹ ಒಂದು ಬಗೆಯ ರೋಗ."
ಬಗುಳ್,"1. (ನಾಯಿಗಳು) ಕೂಗುವ ಧ್ವನಿಮಾಡು.
 2. ಗಳಹು.
 3. ಭೇದಿಯಾಗು."
ಬಗೆ,"1. ಯೋಚಿಸು.
 2. ಎಣಿಸು.
 3. ತಿಳಿ.
 4. ಬಯಸು."
ಬಗೆ,"1. ಆಲೋಚನೆ.
 2. ಅಭಿಪ್ರಾಯ.
 3. ಚಿತ್ತ.
 4. ರೀತಿ.
 5. ಆಸೆ.
 6. ಊಹೆ.
 7. ಉಪಾಯ.
 8. ಗತಿ.
 9. ಜಾತಿ."
page,4
ಬಗೆಗಾಣ್,"ಮನಸ್ಸನ್ನು ತಿಳಿ,- ಅರಿ."
ಬಗೆಗುದಿ,ಮನಸ್ಸಿನ ಚಿಂತೆ.
ಬಗೆಗುಂದು,ಮನಸ್ಸು ಕುಗ್ಗು.
ಬಗೆಗೊಳ್,"1. ಮನಸ್ಸಿಗೆ ತಂದುಕೊಳ್ಳು.
 2. ಎಣಿಸು.
 3. ಮನಸ್ಸನ್ನು ಸೆಳೆ,- ಆಕರ್ಷಿಸು."
ಬಗೆಯಱೆ,ಮನಸ್ಸನ್ನು ತಿಳಿ.
ಬಗೆವುಗು,ಮನಸ್ಸು ಉತ್ಸಾಹಗೊಳ್ಳು.
ಬಗೆಹರಿ,"(ಮನಸ್ಸಿನ ಆಲೋಚನೆ, ಉದ್ದೇಶ ಮುಂತಾದುವು) ತೀರ್ಮಾನವಾಗು."
ಬಗ್ಗ,"1. ಹುಲಿ.
 2. ಗುಂಪು.
 3. ಗ್ರಂಥದ ಪರಿಚ್ಛೇದ,- ಸರ್ಗ.
 4. ಶಿವ."
ಬಗ್ಗ(ಂ)ದೊವಲ್(ಲು),ಹುಲಿಯ ಚರ್ಮ.
ಬಗ್ಗಡ,"1. ಕೊಚ್ಚೆ.
 2. ಗಸಿ."
ಬಗ್ಗಡೆ,ಒಂದು ಬಗೆಯ ಮೀನು.
ಬಗ್ಗಡೆಯ,ಬಕ್ಕುಡೆಯ.
ಬಗ್ಗಣೆ,"1. ಗದರಿಕೆ.
 2. ಕೂಗಾಟ.
 3. ಹಕ್ಕಿಗಳ ಕೂಗು."
ಬಗ್ಗದೊವಲ್(ಲು),ಹುಲಿಯ ಚರ್ಮ.
ಬಗ್ಗರೆ,ಮಡಕೆಯ ಚೂರು.
ಬಗ್ಗಿಸು,"1. ಬಗ್ಗುವಂತೆ ಮಾಡು.
 2. ಚೆಲ್ಲು.
 3. ಸೋಲಿಸು.
 4. ಗದರಿಸು.
 5. ಮೂದಲಿಸು.
 6. (ಕೋಗಿಲೆ ಮೊದಲಾದ ಪಕ್ಷಿಗಳು) ಕೂಗು."
ಬಗ್ಗು,"1. ಕೆಳಮುಖವಾಗು.
 2. ಕಿÉೂಂಕಾಗು.
 3. ಓರೆ ಯಾಗು.
 4. ವಿನೀತವಾಗು.
 5. ಮಣಿ.
 6. ಗದರಿಸು.
 7. (ಪಕ್ಷಿಗಳು) ಕೂಗು."
ಬಗ್ಗು,"1. ಗದರಿಸುವಿಕೆ.
 2. ಪಕ್ಷಿಗಳ ಕೂಗು.
 3. ಐಶ್ವರ್ಯ."
ಬಗ್ಗುಬಡಿ,ಬಾಯಿಮುಚ್ಚಿಸು.
ಬಗ್ಗುರಿ,"1. ಎದೆಗೂಡಿನ ಮೂಳೆ.
 2. ಬೇಡ."
page,5
ಬಂಗ್ಲೆ,ಬಂಗಲೆ.
ಬಂಚ,"1. ಪೀಳಿಗೆ.
 2. ಕೊಳಲು."
ಬಂಚನೆ,ಮೋಸ.
ಬಂಚರ,ಒಂದು ಬಗೆಯ ತಂತಿವಾದ್ಯ.
ಬಚಾಯಿಸು,"1. ಉಳಿಸು.
 2. ನಿಭಾಯಿಸು."
ಬಚಾವು,ಉಳಿವು.
ಬಂಚಿಸು,"1. ಮೋಸಮಾಡು.
 2. ತಪ್ಪಿಸು."
ಬಚ್ಚ,"1. ಮಗು.
 2. ಕರು.
 3. ವ್ಯಾಪಾರ ಮಾಡುವವನು.
 4. ಮಕ್ಕಳು ಆಟಕ್ಕೆ ಬಳಸುವ ಕಲ್ಲು ಅಥವಾ ಬಕ್ಕರೆಯ ಬಿಲ್ಲೆ."
ಬಚ್ಚಣಿಸು,"1. ಬಣ್ಣವನ್ನು ಹಚ್ಚು,- ಲೇಪಿಸು.
 2. ಬಳಿ."
ಬಚ್ಚಣೆ,"1. ಬಣ್ಣವನ್ನು ಬಳಿದು ಚಿತ್ರಿಸುವಿಕೆ.
 2. ಅಲಂಕಾರ.
 3. ಬಣ್ಣ ಹಾಕಿದ ಆಕೃತಿ.
 4. ವೇಷ.
 5. ಬಣ್ಣ ಬಳಿಯುವ ಕಸುಬು.
 6. ಮಾಯೆ.
 7. ಕರುವಿನ ಮೇಲೆ ಪ್ರೀತಿಯುಳ್ಳ ಹಸು.
 8. ಪ್ರೀತಿಪಾತ್ರಳಾದ ಯುವತಿ."
ಬಚ್ಚಲು,"1. ಚರಂಡಿ.
 2. ನಾಲೆ.
 3. (ಮನೆಯಲ್ಲಿ) ನೀರು ಹರಿದು ಹೋಗುವ ಮೋರಿಯಿರುವ ಸ್ನಾನದ ಕೋಣೆ."
ಬಚ್ಚಲುಮನೆ,ಸ್ನಾನಗೃಹ.
ಬಚ್ಚಲ್,"1. (ಹೊಲಸು ನೀರು ಹರಿದು ಹೋಗಲು ಮಾಡಿರುವ) Z್ಪರಂಡಿ.
 2. (ವ್ಯವಸಾಯ ಮುಂತಾದುವಕ್ಕೆ ನೀರನ್ನೊದಗಿಸಲು ತೋಡಿದ) ನಾಲೆ."
ಬಚ್ಚಳೆ,ಕರುವಿನ ಮೇಲೆ ಪ್ರೀತಿಯುಳ್ಳ ಹಸು.
ಬಚ್ಚಿಡು,"1. ಅಡಗಿಸಿ ಇಡು.
 2. ಗುಟ್ಟಾಗಿ ಇಡು."
ಬಚ್ಚಿಸು,"1. ಬಣ್ಣಹಾಕು.
 2. ಬಳಿ."
ಬಚ್ಚು,"1. ಅಡಗಿಸು.
 2. ಒಣಗು.
 3. ಕೃಶವಾಗು.
 4. ಬರಿದಾಗು."
