page,1
ಭ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತೆಂಟನೆಯ ಅಕ್ಷರ.
 2. ನಕ್ಷತ್ರ.
 3. ಪ್ರಕಾಶ.
 4. ಸಾಮ್ಯ.
 5. ನಾಲ್ಕು ಮತ್ತು ಇಪ್ಪತ್ತೇಳು ಎಂಬ ಸಂಖ್ಯೆಗಳ ಸಂಕೇತ."
ಭಕ್ಕರಿ,"ಜೋಳ, ಸೆಜ್ಜೆ ಮೊದಲಾದುವುಗಳ ಹಿಟ್ಟಿನಿಂದ ಮಾಡುವ ರೊಟ್ಟಿ."
ಭಕ್ತ,"1. ಪೂಜಿಸುವವನು.
 2. ಅನ್ನ.
 3. ನೆಲ್ಲು."
ಭಕ್ತವತ್ಸಲ,ಭಕ್ತರಲ್ಲಿ ವಾತ್ಸಲ್ಯವುಳ್ಳವನು.
ಭಕ್ತಿ,"ಗುರುಹಿರಿಯರಲ್ಲಿ ತೋರುವ ನಿಷ್ಠೆ,- ಪೂಜ್ಯಭಾವನೆ."
ಭಕ್ತಿಪಂಥ,ಭಗವಂತನ ಅನುಗ್ರಹಕ್ಕೆ ಭಕ್ತಿಯೇ ಸಾಧನವೆಂದು ನಂಬಿರುವ ಸಂಪ್ರದಾಯ.
ಭಕ್ತಿಮಾರ್ಗ,"ಮುಕ್ತಿಸಾಧನೆಗಾಗಿ ಹೇಳಿರುವ ಕರ್ಮಮಾರ್ಗ, ಭಕ್ತಿಮಾರ್ಗ, ಜ್ಞಾನಮಾರ್ಗ ಗಳೆಂಬ ಮೂರು ಪ್ರಕಾರಗಳಲ್ಲಿ ಒಂದು."
ಭಕ್ತಿಹೀನ,ಭಕ್ತಿ ಇಲ್ಲದವನು.
ಭಕ್ತಿಹೀನ,ಭಕ್ತಿ ಇಲ್ಲದಿರುವ.
ಭಕ್ಷ,"1. ತಿಂಡಿ.
 2. ಆಹಾರ."
ಭಕ್ಷಕ,"1. ತಿನ್ನುವವನು.
 2. ಹೆಚ್ಚು ತಿನ್ನುವವನು."
ಭಕ್ಷಣೆ,"1. ಆಹಾರ.
 2. ಆಹಾರದ ಜೊತೆ ನಂಜಿಕೊಳ್ಳುವ ವ್ಯಂಜನ."
ಭಕ್ಷಿ,ಅರಮನೆಯ ಮುಖ್ಯಾಧಿಕಾರಿ.
ಭಕ್ಷಿಸು,ತಿನ್ನು.
ಭಕ್ಷೀಸು,(ಮೆಚ್ಚುಗೆಯಿಂದ ಕೊಡುವ) ಬಹುಮಾನ.
ಭಕ್ಷ್ಯ,"1. ತಿನ್ನತಕ್ಕುದು.
 2. ಲಾಡು, ಹೋಳಿಗೆ ಮುಂತಾದ ಸಿಹಿತಿಂಡಿ."
