page,1
ಮ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ಮೂವತ್ತೊಂಭತ್ತನೆಯ ಅಕ್ಷರ.
 2. (ಛಂದಸ್ಸಿ ನಲ್ಲಿ) ಮೂರು ಗುರುಗಳನ್ನು ಒಳಗೊಂಡಿರುವ ಒಂದು ಅಕ್ಷರ ಗಣ.
 3. (ಸಂಗೀತದಲ್ಲಿ) ಸರಿಗಮಪಧನಿ ಎಂಬ ಸಪ್ತಸ್ವರಗಳಲ್ಲಿ ನಾಲ್ಕನೆಯದು.
 4. ಐದು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಮ(ಮಾ)ಹಳ,ಭಾದ್ರಪದ ಕೃಷ್ಣ ಅಮಾವಾಸ್ಯೆ ಮತ್ತು ಅಂದು ಸರ್ವಪಿತೃಗಳಿಗೆ ಮಾಡುವ ಶ್ರಾದ್ಧ.
ಮಂಕ,"1. ಕಳೆಗುಂದಿದವನು.
 2. ದಡ್ಡ."
ಮಕ(ಖ)ಮಲ್ಲು,ನಯವಾದ ಹೊರ ಮೈಯುಳ್ಳ ಒಂದು ಬಗೆಯ ದಪ್ಪಬಟ್ಟೆ.
ಮಂಕಡ,"1. ಕೋತಿ.
 2. ಮಲ್ಲ ಯುದ್ಧದ ಒಂದು ಪಟ್ಟು,- ವರಸೆ."
ಮಂಕಣಿ,"1. ಬಿದಿರಿನ ಸಾಧನ.
 2. ಎತ್ತು, ಕತ್ತೆ ಮೊದಲಾದ ಪ್ರಾಣಿಗಳು ಸಾಮಾನುಗಳನ್ನು ಹೊರಲು ಅನುಕೂಲ ವಾಗುವಂತೆ ಬೆನ್ನಿನ ಎರಡು ಕಡೆಗೂ ಬರುವ ಹಾಗೆ ಬಿದಿರು, ಮರ ಕುಕ್ಕೆಯಂತಹ ಸಾಧನ."
ಮಕಮಕ,(ದೀಪ ಮೊದಲಾದುವು) ಮಂಕಾಗಿರುವುದನ್ನು ಸೂಚಿಸುವ ಒಂದು ಅನುಕರಣ ಶಬ್ದ.
ಮಕಮಕಿಸು,(ಬೆಳಕಿಲ್ಲದೆ) ಮಂಕಾಗು.
ಮಕರ,"1. ಮೊಸಳೆ.
 2. ಒಂದು ಜಾತಿಯ ಮೀನು.
 3. ಕುಬೇರನ ನವನಿಧಿ ಗಳಲ್ಲಿ ಒಂದು.
 4. ಮೀನಿನ ಗುರುತುಳ್ಳ ಧ್ವಜ.
 5. ಜ್ಯೋತಿಷ್ಯದ ಹನ್ನೆರಡು ರಾಶಿಗಳಲ್ಲಿ ಒಂದು.
 6. ದೇವತಾಮೂರ್ತಿ, ನವದಂಪತಿ ಗಳು, ಮೈನೆರೆದ ಹುಡುಗಿ ಮುಂತಾದವರನ್ನು ಕುಳ್ಳಿರಿಸಿ ಆರತಿಯೆತ್ತಲು ರಚಿಸಿದ ಮಂಟಪ"
ಮಕರಕುಂಡಲ,ಮೊಸಳೆ ಅಥವಾ ಮೀನಿನ ಆಕಾರದ ಒಂದು ಬಗೆಯ ಕಿವಿಯ ಆಭರಣ.
ಮಕರಕೇತನ,"1. ಮೀನಿನ ಗುರುತುಳ್ಳ ಧ್ವಜ.
 2. ಮೊಸಳೆ ಮುಂತಾದ ಜಲಚರಗಳ ವಾಸಸ್ಥಾನ.
 3. ಮೀನಿನ ಚಿಹ್ನೆ ಯನ್ನು ಧ್ವಜದಲ್ಲಿ ಉಳ್ಳವನು."
"ಮಕರಗು(ಡಿ,ಬಿ)ಬ್ಬಿ",(ಹಿಂದೆ ಯುದ್ಧದ ಸಮಯದಲ್ಲಿ ಶತ್ರುಗಳ ಮೇಲೆ ಎಸೆಯುತ್ತಿದ್ದ) ಮೀನಿನಾಕಾರದ ಮೊಳೆಯಂತಿದ್ದ ಒಂದು ಸ್ಫೋಟಕವಸ್ತು ಮತ್ತು ಅದನ್ನು ಎಸೆಯಲು ಬಳಸುತ್ತಿದ್ದ ಸಾಧನ.
ಮಕರಟೆಕ್ಕೆ,"ಮೈಸೂರಿನ ರಾಜರ ಮೆರವಣಿಗೆ, ದರ್ಬಾರುಗಳಲ್ಲಿ ಸೇವಕರು ಎತ್ತಿ ಹಿಡಿಯುತ್ತಿದ್ದ ಬಿರುದಿನ ಸಂಕೇತಗಳಲ್ಲಿ ಒಂದು."
ಮಕರತೋರಣ,"ರಾಜರ ಮೆರವಣಿಗೆ, ದೇವರ ಉತ್ಸವಾದಿಗಳಲ್ಲಿ ಹಿಡಿಯುತ್ತಿದ್ದ ಮೀನು, ಮೊಸಳೆ ಮುಂತಾದ ಆಕೃತಿಗಳುಳ್ಳ ಒಂದು ಬಗೆಯ ತೋರಣ."
ಮಕರಂದ,"ಹೂವಿನ ರಸ,- ಬಂಡು."
ಮಕರಧ್ವಜ,"1. ಮೀನಿನ ಗುರುತುಳ್ಳ ಬಾವುಟ.
 2. ಮೀನಿನ ಗುರುತಿನ ಬಾವುಟ ವುಳ್ಳವನು."
ಮಕರಪತಾಕ,ಮಕರಧ್ವಜ.
ಮಕರವೃತ್ತ,ಭೂಮಿಯ ಮೇಲೆ ಭೂಮಧ್ಯ ರೇಖೆಯ ದಕ್ಷಿಣಕ್ಕೆ ಸೂರ್ಯನು ಸಂಚರಿಸು ವುದನ್ನು ಸೂಚಿಸಲು ಎಳೆದಿರುವಂತೆ ಭಾವಿಸಿರುವ ರೇಖೆ.
ಮಕರವ್ಯೂಹ,ಯುದ್ಧದಲ್ಲಿ ಮೊಸಳೆಯ ಆಕಾರದಲ್ಲಿ ಸೈನ್ಯವನ್ನು ನಿಲ್ಲಿಸುತ್ತಿದ್ದ ಒಂದು ರಚನೆ.
ಮಕರಸಂಕ್ರಮಣ,ಸೂರ್ಯನು ಮಕರರಾಶಿ ಯನ್ನು ಪ್ರವೇಶಿಸುವ ದಿನ ಮತ್ತು ಅಂದು ಆಚರಿಸುವ ಹಬ್ಬ.
page,2
ಮಕರಸಂಕ್ರಾತಿ,ಮಕರಸಂಕ್ರಮಣ.
ಮಕರಾಂಕ,ಮನ್ಮಥ.
ಮಕರಾಕರ,ಮೊಸಳೆಗಳ ವಾಸಸ್ಥಾನ.
ಮಂಕರಿ,(ಬಿದಿರಿನ) ಬುಟ್ಟಿ.
ಮಕರಿಕಾಪತ್ರ,"ಸ್ತ್ರೀಯರು ಅಲಂಕಾರಕ್ಕಾಗಿ ಕೆನ್ನೆ, ಗಲ್ಲ, ಸ್ತನಗಳ ಮೇಲೆ ಪರಿಮಳಯುಕ್ತ ವಾದ ಬಣ್ಣಬಣ್ಣದ ಪುಡಿ ಮುಂತಾದುವು ಗಳಿಂದ ಬರೆದುಕೊಳ್ಳುತ್ತಿದ್ದ ಚಿತ್ತಾರ."
ಮಕರಿಕೆ,ಮಕರಿಕಾಪತ್ರ.
ಮಕರಿಸು,"1. ಕವಿ.
 2. ಹೆಚ್ಚು.
 3. ಗಾತ್ರವು ಹೆಚ್ಚಾಗು,- ದೊಡ್ಡದಾಗು.
 4. ಹೊಳೆ."
ಮಂಕಿ,ಬುದ್ಧಿಯಿಲ್ಲದವಳು.
