page,1
ವ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತ ನಾಲ್ಕನೆಯ ಅಕ್ಷರ.
 2. ನಾಲ್ಕು ಎಂಬ ಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ವ,"1. ಅಥವಾ.
 2. ಮತ್ತು."
ವಂಕ,"1. ಡೊಂಕು.
 2. ಅಗಸೆ ಬಾಗಿಲು.
 3. ದಾರಿ.
 4. ಕುದುರೆಯನ್ನು ಏರುವಾಗ ಮತ್ತು ಸವಾರಿ ಮಾಡುವಾಗ ಕಾಲನ್ನಿಡಲು ಜೀನಿಗೆ ಅಳವಡಿಸಿರುವ ಬಳೆ.
 5. ನೀರಿನ ಹರಿವು.
 6. ಬದಿ."
"ವಂಕದ(ದಾ,ಬಾ)ರ",(ಕೋಟೆ ಮುಂತಾದುವು ಗಳ ಸಮೀಪದಲ್ಲಿ ಮಾಡಿರುವ) ಚಿಕ್ಕ ಬಾಗಿಲು.
ವಕಾಲತ್ತು,"1. ನ್ಯಾಯಾಸ್ಥಾನದಲ್ಲಿ ನ್ಯಾಯಕ್ಕಾಗಿ ವಾದ ಮಾಡುವ ಉದ್ಯೋಗ.
 2. ಇನ್ನೊಬ್ಬರ ಪರವಾಗಿ ವಾದಿಸು ವುದು."
ವಂಕಿ,"1. (ವಸ್ತ್ರ, ವಸ್ತು ಮುಂತಾದುವನ್ನು) ತೂಗುಹಾಕಲು ಅನುಕೂಲವಾಗಿರುವಂತಹ ಒಂದು ಬಗೆಯ ಕೊಕ್ಕೆ,- ಕೊಂಡಿ.
 2. ಒಂದು ಬಗೆಯ ಆಭರಣ.
 3. ಭರಣಿ.
 4. ಬಾಗಿರುವ ಒಂದು ಬಗೆಯ ಆಯುಧ.
 5. (ಹೆಂಗಸರು ಬಳಸುವ) ಸಂತಾನನಿರೋಧದ ಒಂದು ಸಾಧನ."
ವಕೀಲ,"1. ವಕಾಲತ್ತು ಮಾಡುವವನು.
 2. ರಾಯಭಾರಿ."
ವಕೀಲಿ,ವಕಾಲತ್ತು.
ವಂಕುಡಿ,ಬಾಗಿದ ಅಲುಗುಳ್ಳ ಕತ್ತಿ.
ವಕುಲ(ಳ),ಬಕುಳದ ಮರ ಮತ್ತು ಅದರ ಹೂವು.
ವಕ್ಕಣೆ,"1. ವಿವರಣೆ.
 2. ಮಾತಿನ ಶೈಲಿ,- ಧಾಟಿ."
ವಕ್ಕರಿಸು,"1. (ತಿರಸ್ಕಾರಾರ್ಥದಲ್ಲಿ) ಉಂಟಾಗು.
 2. ನಷ್ಟ ಉಂಟು ಮಾಡು.
 3. (ಇನ್ನೊಬ್ಬರ ಮನೆಯಲ್ಲಿ) ಅನಪೇಕ್ಷಿತವಾಗಿ ಬರು."
ವಕ್ಖಾಣ,ವಿವರಣೆ.
ವಕ್ತಾರ,"1. ಚೆನ್ನಾಗಿ ಮಾತನಾಡುವವನು.
 2. ಭಾಷಣಕಾರ.
 3. ವಿವರಿಸುವವನು.
 4. ಒಬ್ಬರ ಅಥವಾ ಒಂದು ವಿಷಯದ ಪರವಾಗಿ ಅಧಿಕೃತವಾಗಿ ಮಾತನಾಡುವ ವ್ಯಕ್ತಿ."
ವಕ್ತೃ,ವಕ್ತಾರ.
ವಕ್ತ್ರ,"1. ಬಾಯಿ.
 2. ಮುಖ."
ವಕ್ರ,"1. ಕೊಂಕಿದುದು.
 2. ಕುಟಿಲವಾದುದು.
 3. ತೊಂದರೆ.
 4. ಮಂಗಳಗ್ರಹ."
ವಕ್ರ,"1. ಕೊಂಕಿದ.
 2. ಬಳಸಾದ.
 3. ಕಪಟದ.
 4. ಕ್ರೂರವಾದ."
ವಕ್ರಗತಿ,"1. ಡೊಂಕಾದ ಚಲನೆ,- ಗಮನ.
 2. ಹೀನವಾದ ನಡತೆ.
 3. (ನೀರಿನ ಪ್ರವಾಹದ) ತಿರುವು."
ವಕ್ರತುಂಡ,"1. ಕೊಂಕಿದ ಸೊಂಡಿಲನ್ನುಳ್ಳ ವನು.
 2. ಕೊಂಕಿದ ಕೊಕ್ಕನ್ನುಳ್ಳುದು."
page,2
ವಕ್ರತೆ,"1. ಕೊಂಕು.
 2. ಮೋಸ."
ವಕ್ರದೃಷ್ಟಿ,"1. ಓರೆಯಾದ ದೃಷ್ಟಿ.
 2. ಸರಳವಲ್ಲದ ಧೋರಣೆ."
ವಕ್ರದ್ವಾರ,"1. ವಂಕದರ.
 2. ರಹಸ್ಯ ವಾದ ಬಾಗಿಲು."
ವಕ್ರಾಂಗಿ,"1. ಊನವಾದ ಅಂಗವುಳ್ಳವನು.
 2. ಒಂದು ಬಗೆಯ ಔಷಧೀಸಸ್ಯ."
ವಕ್ರಿಮ,ಡೊಂಕು.
ವಕ್ರಿಮ,"1. ಬಳಸಾದ.
 2. ಕೊಂಕಿದ."
ವಕ್ರಿಸು,"1. ಡೊಂಕಾಗು.
 2. ವಿರೋಧಿಸು.
 3. (ಅಮಂಗಳವನ್ನು ಸೂಚಿಸಲು) ಕೂಗು.
 4. (ಗ್ರಹಗತಿಗಳು) ಕ್ರೂರವಾಗು.
 5. (ಇನ್ನೊಬ್ಬರ ಮನೆಯಲ್ಲಿ) ದಾಕ್ಷಿಣ್ಯವಿಲ್ಲದೆ ಬಂದಿರು."
ವಕ್ರೋಕ್ತಿ,"1. ಕೊಂಕುಮಾತು.
 2. ದ್ವಂದ್ವಾರ್ಥದ ನುಡಿ.
 3. ಒಂದು ಬಗೆಯ ಅಲಂಕಾರ."
ವಕ್ಷ,ಎದೆ.
ವಕ್ಷಸ್ಥಲ(ಳ),ವಕ್ಷ.
ವಕ್ಷೋಜ,ಮೊಲೆ.
ವಖಾರ,ಉಗ್ರಾಣ.
ವಂಗ,"1. ಒಂದು ಬಗೆಯ ಲೋಹ.
 2. ಸೀಸ.
 3. ಬಂಗಾಳ ಪ್ರಾಂತ ಮತ್ತು ಆ ಪ್ರಾಂತಕ್ಕೆ ಸೇರಿದ ವ್ಯಕ್ತಿ ಮತ್ತು ಭಾಷೆ."
ವಂಗಡ,"1. ಗುಂಪು.
 2. ಬೇರೆಯಾದುದು."
ವಂಗಡದೆಗೆ,ಪ್ರತ್ಯೇಕವಾಗು.
ವಗೈರೆ,ಮುಂತಾದುವು.
ವಗ್ಗ,"1. ಹುಲಿ.
 2. ಗುಂಪು.
 3. U್ಪ್ರಂಥದ ಪರಿಚ್ಛೇದ."
ವಂಚ,"1. ವಂಶ.
 2. ಕೊಳಲು.
 3. ಕರು."
ವಂಚಕ,"1. ಮೋಸ ಮಾಡುವವನು.
 2. ನರಿ."
ವಂಚಕ,ಮೋಸಮಾಡುವ.
page,3
ವಂಚಕಿ,ವಂಚಿಸುವವಳು.
ವಚನ,"1. ನುಡಿಯುವುದು.
 2. ಮಾತು.
 3. ಭಾಷೆ.
 4. ಕಾವ್ಯದಲ್ಲಿ ಬರುವ ಗದ್ಯಭಾಗ,- U್ಪದ್ಯರಚನೆ.
 5. ಗದ್ಯಸಾಹಿತ್ಯದಲ್ಲಿ ಒಂದು ಪ್ರಕಾರ.
 6. (ವ್ಯಾಕರಣದಲ್ಲಿ) ವ್ಯಕ್ತಿ ಅಥವಾ ವಸ್ತು ಒಂದೋ ಅಥವಾ ಹಲವೋ ಎಚಿದು ಸೂಚಿಸುವ ಸಂಜ್ಞೆ,- ಪರಿಭಾಷೆ."
ವಚನಚತುರ,"ಮಾತಿನಲ್ಲಿ ಜಾಣ ನಾದವನು,- ನಿಪುಣ."
ವಚನದೋಷ,"1. ಮಾತಿನಲ್ಲಿ ಉಂಟಾದ ತಪ್ಪು,- ನ್ಯೂನತೆ.
 2. ಕಾವ್ಯದೋಷಗಳಲ್ಲಿ ಒಂದು."
ವಚನಭಂಗ,ಕೊಟ್ಟ ಮಾತನ್ನು ಮುರಿಯು ವುದು.
ವಚನಸಾಹಿತ್ಯ,"ಶಿವಶರಣರು ರಚಿಸಿದ ಅನುಭಾವದ ನುಡಿ,- ವಾಙ್ಮಯ."
ವಚನಿಸು,"1. ನುಡಿ.
 2. ವಿವರಿಸು.
 3. ಭಾಷೆ ನೀಡು."
ವಂಚನೆ,"1. ಮೋಸ.
 2. ಭ್ರಮೆ."
ವಂಚಿ,"1. ಕೊಳಲು.
 2. ಕೊಳಲನ್ನು ನುಡಿಸುವವನು."
ವಂಚಿಗ,ಕೊಳಲನ್ನು ನುಡಿಸುವವನು.
ವಂಚಿಸು,"1. ಮೋಸಮಾಡು.
 2. ಮರೆಮಾಚು.
 3. ತಪ್ಪಿಸಿಕೊಳ್ಳು."
ವಚಿಸು,"1. ಹೇಳು.
 2. ವಿವರಿಸು.
 3. ವಚನರೂಪದಲ್ಲಿ ಹೇಳು."
ವಚೋವಿಸ್ತರ,ವಿವರವಾಗಿ ಹೇಳುವಿಕೆ.
ವಚ್ಚ,"1. ಓರೆ.
 2. ಸುಳಿವು.
 3. ಎದೆ.
 4. ಕರು.
 5. ವತ್ಸ ನಾಭವೆಂಬ ಒಂದು ವಿಷಮೂಲಿಕೆ."
ವಜನ,U್ಷರವ.
ವಜನು,"1. ತೂಕ.
 2. ವಜನ."
ವಜನುದಾರ,U್ಷರವಾನ್ವಿತ.
ವಜಾ,ಗಿÉಗೆದುಹಾಕುವುದು.
ವಜೀರ,"1. ಪ್ರಧಾನಮಂತ್ರಿ.
 2. ಕುದುರೆ ಸವಾರರ ಮುಖ್ಯಸ್ಥ.
 3. ಶೂರ."
ವಂಜುಳ,"1. ಒಂದು ಬಗೆಯ ಸಸ್ಯ.
 2. ಒಂದು ಬಗೆಯ ಸಸ್ಯ.
 3. ಅಶೋಕವೃಕ್ಷ.
 4. ಬಕುಳ ವೃಕ್ಷ ಮತ್ತು ಅದರ ಹೂವು.
 5. ಒಂದು ಬಗೆಯ ಹಕ್ಕಿ."
page,4
