page,1
ಶ,"1. ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತೈದನೆಯ ಅಕ್ಷರ.
 2. ಐದು ಎಂಬಸಂಖ್ಯೆಯ ಸಂಕೇತ."
ಶಕ,"1. ನಿರ್ದಿಷ್ಟವಾದ ಕಾಲದಿಂದ ಆರಂಭಿಸುವ ಕಾಲಗಣನೆ.
 2. ಪರಿವರ್ತನೆಯ ಕಾಲ.
 3. ಒಂದು ದೇಶದ ಹೆಸರು.
 4. ಒಂದು ಜನಾಂಗದ ಹೆಸರು."
ಶಕಟ,"1. ರಥ.
 2. ಕೃಷ್ಣನಿಂದ ಹತನಾದ ಒಬ್ಬ ರಾಕ್ಷಸ.
 3. ಇಪ್ಪತ್ತೇಳು ನಕ್ಷತ್ರಗಳಲ್ಲಿ ಒಂದು."
ಶಕಟರೇಫ,ದ್ರಾವಿಡಭಾಷೆಯ ವರ್ಣ ಮಾಲೆಯ ಒಂದು ವಿಶೇಷಾಕ್ಷರ.
ಶಕಟವ್ಯೂಹ,ಒಂದು ಬಗೆಯ ಸೇನಾವ್ಯೂಹ.
ಶಕಪುರುಷ,"1. ಶಕೆಯನ್ನು ಪ್ರಾರಂಭಿಸಲು ಕಾರಣನಾದ ವ್ಯಕ್ತಿ.
 2. ಒಂದು ಕಾಲದ ಅತ್ಯಂತ ಸತ್ತ್ವಶಾಲಿಯಾದ ವ್ಯಕ್ತಿ."
ಶಂಕರ,"1. ಮಂಗಳವನ್ನುಂಟುಮಾಡುವವನು.
 2. (ಅದ್ವೈತ) ಮತಪ್ರವರ್ತಕರಾದ ಆದಿಶಂಕರಾಚಾರ್ಯ."
ಶಂಕರ,ಸಂತೋಷವನ್ನುಂಟುಮಾಡುವ.
ಶಂಕರಗಂಡ,ಒಂದು ಬಗೆಯ ಧಾನ್ಯ.
ಶಂಕರಪಾ(ಪೋ)ಳಿ,ಒಂದು ಬಗೆಯ ಕರಿದ ತಿಂಡಿ.
ಶಂಕರಾರಿ,ಶಿವನ ಶತ್ರು.
ಶಂಕರಿ,"1. ಶಿವನ ಹೆಚಿಡತಿ.
 2. ಶಮೀವೃಕ್ಷ.
 3. ಮಂಗಳವನ್ನುಂಟು ಮಾಡುವವಳು.
 4. ಒಂದು ಬಗೆಯ ಪಾತ್ರೆ."
