page,1
ಸ,ಕನ್ನಡ ವರ್ಣಮಾಲೆಯ ನಲವತ್ತೇಳ ನೆಯ ಅಕ್ಷರ.
ಸ(ಸಂ)ನ್ಯಾಸ,"1. ತೊರೆಯುವಿಕೆ.
 2. ಐಹಿಕಸುಖವನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ತ್ಯಜಿಸುವಿಕೆ.
 3. ಸಂನ್ಯಾಸಾಶ್ರಮ."
ಸ(ಸಂ)ನ್ಯಾಸಾಶ್ರಮ,"ಬ್ರಹ್ಮಚರ್ಯೆ, ಗಾರ್ಹಸ್ಥ್ಯ, ವಾನಪ್ರಸ್ಥ ಮತ್ತು ಸಂನ್ಯಾಸಗಳೆಂಬ ನಾಲ್ಕು ಆಶ್ರಮಗಳಲ್ಲಿ ಕಡೆಯದು."
ಸ(ಸಂ)ನ್ಯಾಸಿ,"1. ಐಹಿಕಸುಖಗಳನ್ನು ತೊರೆ ದವನು.
 2. ಚತುರಾಶ್ರಮ ಗಳಲ್ಲಿ ಕೊನೆಯದನ್ನು ಸ್ವೀಕರಿಸಿದವನು."
ಸ(ಸೆ)ಗಣಿ,ದನಕರಗಳ ಮಲ.
ಸ(ಸೆ)ಡ್ಡುಹೊಡೆ,"1. ಭುಜ ಅಥವಾ ತೊಡೆ ಯನ್ನು ತಟ್ಟು,- ಚಪ್ಪರಿಸು.
 2. ಪ್ರತಿಭಟನೆ ತೋರು."
ಸ(ಸೆ)ಣ(ಣಂ)ಬು,ಒಂದು ಬಗೆಯ ಸಸ್ಯ ಅದರ ನಾರು ಹಾಗು ಹೂವು.
ಸ(ಸೆ)ಣಬು,ಒಂದು ಬಗೆಯ ಸಸ್ಯ ಅದರ ನಾರು ಹಾಗು ಹೂವು.
ಸಂಕ,"1. ಶಂಖ.
 2. ಸೇತುವೆ."
ಸಂಕಟ,"1. ಇಕ್ಕಟ್ಟಾದುದು.
 2. ಬಾಧೆ.
 3. ಕಷ್ಟ.
 4. ದುಃಖ."
ಸಂಕಟ,ಇಕ್ಕಟ್ಟಾದ.
ಸಕಟ,ಬಂಡಿ.
ಸಂಕಟಪಡು,"1. ಆಯಾಸಹೊಂದು.
 2. ತೊಂದರೆಗೊಳಗಾಗು."
ಸಂಕಟಿ,"1. ರಾಗಿ ಅಥವಾ ಇತರ ಧಾನ್ಯದ ಹಿಟ್ಟಿನಿಂದ ಬೇಯಿಸಿ ಮಾಡುವ ಮುದ್ದೆ.
 2. ತೆಳುವಾದ ಅಂಬಲಿ.
 3. ದುಃಖ."
ಸಕತ್,ತೀವ್ರವಾದ.
ಸಂಕಥೆ,ಮಾತುಕತೆ.
